% Motor Sweep Step 3/180
% Vcmd       = 2.5200 [V]
% Direction  = CW
% Zone       = DEADZONE
% Vg_offset  = 1.336920 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000094000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.0050029000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.0100030000         2.5200000000         1.3378393285         4.5881274777         0.0239354367
        0.0150031000         2.5200000000         1.3378393285         4.5906793551         0.0239354367
        0.0200035000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.0250026000         2.5200000000         1.3352870017         4.5983349875        -0.0425518875
        0.0300013000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.0350011000         2.5200000000         1.3378393285         4.5932312326         0.0239354367
        0.0400025000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.0450029000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.0500030000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.0550030000         2.5200000000         1.3276300211         4.5855756002        -0.2420138602
        0.0600024000         2.5200000000         1.3403916554         4.5983349875         0.0904227609
        0.0650029000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.0700133000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.0750027000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.0800015000         2.5200000000         1.3429439823         4.5983349875         0.1569100852
        0.0850012000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.0900011000         2.5200000000         1.3301823480         4.5932312326        -0.1755265360
        0.0950018000         2.5200000000         1.3403916554         4.5983349875         0.0904227609
        0.1000011000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.1050011000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.1100022000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.1150014000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.1200011000         2.5200000000         1.3403916554         4.5881274777         0.0904227609
        0.1250018000         2.5200000000         1.3327346748         4.5983349875        -0.1090392117
        0.1300022000         2.5200000000         1.3429439823         4.5932312326         0.1569100852
        0.1350050000         2.5200000000         1.3301823480         4.5881274777        -0.1755265360
        0.1400016000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.1450028000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.1500018000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.1550025000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.1600025000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.1650014000         2.5200000000         1.3276300211         4.5830237228        -0.2420138602
        0.1700011000         2.5200000000         1.3276300211         4.5855756002        -0.2420138602
        0.1750023000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.1800012000         2.5200000000         1.3352870017         4.5932312326        -0.0425518875
        0.1850026000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.1900064000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.1950139000         2.5200000000         1.3327346748         4.5881274777        -0.1090392117
        0.2000033000         2.5200000000         1.3225253674         4.5855756002        -0.3749885086
        0.2050018000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.2100027000         2.5200000000         1.3378393285         4.5906793551         0.0239354367
        0.2150022000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.2200021000         2.5200000000         1.3301823480         4.5881274777        -0.1755265360
        0.2250037000         2.5200000000         1.3403916554         4.5957831101         0.0904227609
        0.2300043000         2.5200000000         1.3301823480         4.5830237228        -0.1755265360
        0.2350646000         2.5200000000         1.3506009628         4.5957831101         0.3563720579
        0.2400060000         2.5200000000         1.3429439823         4.5983349875         0.1569100852
        0.2450512000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.2500049000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.2550038000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.2600028000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.2650033000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.2700017000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.2750013000         2.5200000000         1.3352870017         4.5932312326        -0.0425518875
        0.2800015000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.2850031000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.2900031000         2.5200000000         1.3327346748         4.5855756002        -0.1090392117
        0.2950044000         2.5200000000         1.3352870017         4.5932312326        -0.0425518875
        0.3000029000         2.5200000000         1.3378393285         4.5906793551         0.0239354367
        0.3050057000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.3100035000         2.5200000000         1.3429439823         4.5983349875         0.1569100852
        0.3150030000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.3200057000         2.5200000000         1.3378393285         4.5906793551         0.0239354367
        0.3250046000         2.5200000000         1.3378393285         4.5906793551         0.0239354367
        0.3300045000         2.5200000000         1.3301823480         4.5932312326        -0.1755265360
        0.3350157000         2.5200000000         1.3276300211         4.5906793551        -0.2420138602
        0.3400051000         2.5200000000         1.3352870017         4.5957831101        -0.0425518875
        0.3450066000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.3500084000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.3550062000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.3600051000         2.5200000000         1.3378393285         4.5906793551         0.0239354367
        0.3650042000         2.5200000000         1.3429439823         4.5957831101         0.1569100852
        0.3700028000         2.5200000000         1.3301823480         4.5906793551        -0.1755265360
        0.3750022000         2.5200000000         1.3352870017         4.5881274777        -0.0425518875
        0.3800023000         2.5200000000         1.3378393285         4.5881274777         0.0239354367
        0.3850026000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.3900018000         2.5200000000         1.3429439823         4.5983349875         0.1569100852
        0.3950034000         2.5200000000         1.3301823480         4.5855756002        -0.1755265360
        0.4000025000         2.5200000000         1.3352870017         4.5906793551        -0.0425518875
        0.4050022000         2.5200000000         1.3480486360         4.5983349875         0.2898847336
