% Motor Sweep Step 90/180
% Vcmd       = 2.0500 [V]
% Direction  = CCW
% Zone       = DEADZONE
% Vg_offset  = 1.336920 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000111000         2.0500000000         1.3378393285         3.0340341051         0.0239354367
        0.0050036000         2.0500000000         1.3352870017         3.0314822277        -0.0425518875
        0.0100036000         2.0500000000         1.3352870017         3.0314822277        -0.0425518875
        0.0150032000         2.0500000000         1.3301823480         3.0238265953        -0.1755265360
        0.0200171000         2.0500000000         1.3352870017         3.0314822277        -0.0425518875
        0.0250029000         2.0500000000         1.3301823480         3.0314822277        -0.1755265360
        0.0300059000         2.0500000000         1.2255369469         3.0289303502        -2.9015068293
        0.0350060000         2.0500000000         1.2842404646         3.0238265953        -1.3722983720
        0.0400033000         2.0500000000         1.2663741766         3.0161709629        -1.8377096416
        0.0450061000         2.0500000000         1.2536125423         3.0085153306        -2.1701462628
        0.0500043000         2.0500000000         1.2510602154         2.9983078207        -2.2366335870
        0.0550018000         2.0500000000         1.2587171960         2.9855484334        -2.0371716143
        0.0600051000         2.0500000000         1.2357462543         2.9778928011        -2.6355575323
        0.0650022000         2.0500000000         1.2459555617         2.9778928011        -2.3696082354
        0.0700013000         2.0500000000         1.2485078886         2.9574777814        -2.3031209112
        0.0750012000         2.0500000000         1.2229846200         2.9472702715        -2.9679941535
        0.0800011000         2.0500000000         1.2434032349         2.9447183941        -2.4360955597
        0.0850030000         2.0500000000         1.2331939274         2.9268552519        -2.7020448566
        0.0900014000         2.0500000000         1.2331939274         2.9217514970        -2.7020448566
        0.0950014000         2.0500000000         1.2204322931         2.8987845998        -3.0344814777
        0.1000028000         2.0500000000         1.2331939274         2.9013364773        -2.7020448566
        0.1050020000         2.0500000000         1.2306416006         2.8860252125        -2.7685321808
        0.1100014000         2.0500000000         1.2204322931         2.8732658252        -3.0344814777
        0.1150011000         2.0500000000         1.2255369469         2.8681620703        -2.9015068293
        0.1200018000         2.0500000000         1.2127753126         2.8502989281        -3.2339434504
        0.1250013000         2.0500000000         1.2229846200         2.8400914183        -2.9679941535
        0.1300019000         2.0500000000         1.2255369469         2.8298839084        -2.9015068293
        0.1350022000         2.0500000000         1.2127753126         2.8094688888        -3.2339434504
        0.1400015000         2.0500000000         1.2255369469         2.8120207662        -2.9015068293
        0.1450011000         2.0500000000         1.2051183320         2.7890538691        -3.4334054231
        0.1500019000         2.0500000000         1.2204322931         2.7788463592        -3.0344814777
        0.1550011000         2.0500000000         1.2255369469         2.7711907269        -2.9015068293
        0.1600019000         2.0500000000         1.2000136783         2.7482238297        -3.5663800715
        0.1650011000         2.0500000000         1.1974613514         2.7405681974        -3.6328673957
        0.1700024000         2.0500000000         1.1898043709         2.7303606875        -3.8323293684
        0.1750014000         2.0500000000         1.2204322931         2.7227050552        -3.0344814777
        0.1800015000         2.0500000000         1.2051183320         2.6971862806        -3.4334054231
        0.1850010000         2.0500000000         1.2204322931         2.6920825256        -3.0344814777
        0.1900021000         2.0500000000         1.2076706589         2.6793231383        -3.3669180988
        0.1950011000         2.0500000000         1.2204322931         2.6716675060        -3.0344814777
        0.2000012000         2.0500000000         1.2025660052         2.6538043638        -3.4998927473
        0.2050011000         2.0500000000         1.2102229857         2.6410449765        -3.3004307746
        0.2100024000         2.0500000000         1.2051183320         2.6308374666        -3.4334054231
        0.2150012000         2.0500000000         1.2127753126         2.6180780793        -3.2339434504
        0.2200019000         2.0500000000         1.2025660052         2.6078705695        -3.4998927473
        0.2250012000         2.0500000000         1.2076706589         2.5900074273        -3.3669180988
        0.2300020000         2.0500000000         1.2178799663         2.5823517949        -3.1009688019
        0.2350011000         2.0500000000         1.2102229857         2.5644886527        -3.3004307746
        0.2400019000         2.0500000000         1.1974613514         2.5517292654        -3.6328673957
        0.2450012000         2.0500000000         1.2153276394         2.5491773879        -3.1674561262
        0.2500032000         2.0500000000         1.2076706589         2.5262104908        -3.3669180988
        0.2550063000         2.0500000000         1.2076706589         2.5185548584        -3.3669180988
        0.2600039000         2.0500000000         1.1974613514         2.5006917162        -3.6328673957
        0.2650043000         2.0500000000         1.2025660052         2.4777248191        -3.4998927473
        0.2700045000         2.0500000000         1.2076706589         2.4777248191        -3.3669180988
        0.2750039000         2.0500000000         1.2076706589         2.4598616769        -3.3669180988
        0.2800019000         2.0500000000         1.2025660052         2.4419985347        -3.4998927473
        0.2850015000         2.0500000000         1.2051183320         2.4368947797        -3.4334054231
        0.2900017000         2.0500000000         1.2076706589         2.4164797601        -3.3669180988
        0.2950052000         2.0500000000         1.2025660052         2.4139278826        -3.4998927473
        0.3000026000         2.0500000000         1.1974613514         2.3935128629        -3.6328673957
        0.3050020000         2.0500000000         1.2076706589         2.3807534756        -3.3669180988
        0.3100495000         2.0500000000         1.2025660052         2.3654422109        -3.4998927473
        0.3150041000         2.0500000000         1.1923566977         2.3450271912        -3.7658420442
        0.3200024000         2.0500000000         1.2102229857         2.3450271912        -3.3004307746
        0.3250083000         2.0500000000         1.2178799663         2.3322678039        -3.1009688019
        0.3300042000         2.0500000000         1.2051183320         2.3169565392        -3.4334054231
        0.3350041000         2.0500000000         1.2000136783         2.2914377646        -3.5663800715
        0.3400021000         2.0500000000         1.2051183320         2.2863340097        -3.4334054231
        0.3450016000         2.0500000000         1.1949090246         2.2710227449        -3.6993547200
        0.3500018000         2.0500000000         1.2025660052         2.2557114802        -3.4998927473
        0.3550052000         2.0500000000         1.2076706589         2.2429520929        -3.3669180988
        0.3600012000         2.0500000000         1.2102229857         2.2327445830        -3.3004307746
        0.3650012000         2.0500000000         1.2051183320         2.2199851957        -3.4334054231
        0.3700011000         2.0500000000         1.2178799663         2.2123295633        -3.1009688019
        0.3750013000         2.0500000000         1.2000136783         2.1868107888        -3.5663800715
        0.3800010000         2.0500000000         1.2178799663         2.1842589113        -3.1009688019
        0.3850028000         2.0500000000         1.1974613514         2.1689476465        -3.6328673957
        0.3900022000         2.0500000000         1.1846997172         2.1459807494        -3.9653040169
        0.3950013000         2.0500000000         1.2051183320         2.1408769945        -3.4334054231
        0.4000018000         2.0500000000         1.2204322931         2.1332213621        -3.0344814777
        0.4050023000         2.0500000000         1.2000136783         2.1077025875        -3.5663800715
        0.4100013000         2.0500000000         1.2102229857         2.1000469552        -3.3004307746
        0.4150012000         2.0500000000         1.2178799663         2.0949432002        -3.1009688019
        0.4200023000         2.0500000000         1.1974613514         2.0796319355        -3.6328673957
        0.4250013000         2.0500000000         1.2178799663         2.0694244256        -3.1009688019
        0.4300011000         2.0500000000         1.2025660052         2.0439056511        -3.4998927473
        0.4350021000         2.0500000000         1.2051183320         2.0311462638        -3.4334054231
        0.4400012000         2.0500000000         1.2051183320         2.0285943863        -3.4334054231
        0.4450011000         2.0500000000         1.2178799663         2.0158349990        -3.1009688019
        0.4500010000         2.0500000000         1.1898043709         1.9877643470        -3.8323293684
        0.4550029000         2.0500000000         1.2153276394         1.9877643470        -3.1674561262
        0.4600034000         2.0500000000         1.1949090246         1.9622455724        -3.6993547200
        0.4650026000         2.0500000000         1.2025660052         1.9545899400        -3.4998927473
        0.4700012000         2.0500000000         1.2000136783         1.9418305527        -3.5663800715
        0.4750013000         2.0500000000         1.2000136783         1.9214155330        -3.5663800715
        0.4800012000         2.0500000000         1.2025660052         1.9239674105        -3.4998927473
        0.4850024000         2.0500000000         1.2000136783         1.8958967584        -3.5663800715
        0.4900021000         2.0500000000         1.2025660052         1.8907930035        -3.4998927473
        0.4950015000         2.0500000000         1.2051183320         1.8703779838        -3.4334054231
        0.5000013000         2.0500000000         1.2127753126         1.8729298613        -3.2339434504
        0.5050023000         2.0500000000         1.2025660052         1.8448592093        -3.4998927473
        0.5100023000         2.0500000000         1.2051183320         1.8423073318        -3.4334054231
        0.5150020000         2.0500000000         1.2076706589         1.8218923121        -3.3669180988
        0.5200012000         2.0500000000         1.2025660052         1.8065810474        -3.4998927473
        0.5250025000         2.0500000000         1.2051183320         1.8040291699        -3.4334054231
        0.5300010000         2.0500000000         1.1949090246         1.7836141502        -3.6993547200
        0.5350023000         2.0500000000         1.2076706589         1.7708547629        -3.3669180988
        0.5400012000         2.0500000000         1.1898043709         1.7504397433        -3.8323293684
        0.5450024000         2.0500000000         1.2178799663         1.7504397433        -3.1009688019
        0.5500014000         2.0500000000         1.2000136783         1.7300247236        -3.5663800715
        0.5550010000         2.0500000000         1.2051183320         1.7198172138        -3.4334054231
        0.5600010000         2.0500000000         1.2102229857         1.7147134588        -3.3004307746
        0.5650021000         2.0500000000         1.2025660052         1.6968503166        -3.4998927473
        0.5700012000         2.0500000000         1.1949090246         1.6764352970        -3.6993547200
        0.5750013000         2.0500000000         1.1974613514         1.6636759097        -3.6328673957
        0.5800029000         2.0500000000         1.2153276394         1.6585721547        -3.1674561262
        0.5850034000         2.0500000000         1.2051183320         1.6483646449        -3.4334054231
        0.5900011000         2.0500000000         1.2076706589         1.6330533802        -3.3669180988
        0.5950010000         2.0500000000         1.2025660052         1.6151902379        -3.4998927473
        0.6000023000         2.0500000000         1.2025660052         1.6049827281        -3.4998927473
        0.6050012000         2.0500000000         1.2025660052         1.5896714634        -3.4998927473
        0.6100011000         2.0500000000         1.2025660052         1.5667045662        -3.4998927473
        0.6150011000         2.0500000000         1.2051183320         1.5667045662        -3.4334054231
        0.6200011000         2.0500000000         1.1949090246         1.5437376691        -3.6993547200
        0.6250014000         2.0500000000         1.2051183320         1.5360820367        -3.4334054231
