% Motor Sweep Step 105/180
% Vcmd       = 3.1500 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336920 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000069000         3.1500000000         1.3429439823         2.7813982367         0.1569100852
        0.0050015000         3.1500000000         1.3429439823         2.7762944818         0.1569100852
        0.0100030000         3.1500000000         1.3352870017         2.7762944818        -0.0425518875
        0.0150037000         3.1500000000         1.3429439823         2.7813982367         0.1569100852
        0.0200032000         3.1500000000         1.3327346748         2.7686388494        -0.1090392117
        0.0250050000         3.1500000000         1.4603510177         2.7890538691         3.2153269996
        0.0300030000         3.1500000000         1.4629033445         2.7967095015         3.2818143238
        0.0350030000         3.1500000000         1.4322754222         2.8069170113         2.4839664331
        0.0400017000         3.1500000000         1.4526940371         2.8171245211         3.0158650269
        0.0450017000         3.1500000000         1.4909789399         2.8298839084         4.0131748903
        0.0500029000         3.1500000000         1.4629033445         2.8451951732         3.2818143238
        0.0550029000         3.1500000000         1.4680079982         2.8528508056         3.4147889723
        0.0600029000         3.1500000000         1.4960835936         2.8681620703         4.1461495388
        0.0650029000         3.1500000000         1.5062929011         2.8962327224         4.4120988357
        0.0700012000         3.1500000000         1.4986359205         2.9140958646         4.2126368630
        0.0750011000         3.1500000000         1.4960835936         2.9166477420         4.1461495388
        0.0800020000         3.1500000000         1.5139498816         2.9447183941         4.6115608084
        0.0850023000         3.1500000000         1.5037405742         2.9523740265         4.3456115115
        0.0900014000         3.1500000000         1.5165022085         2.9753409236         4.6780481326
        0.0950011000         3.1500000000         1.5216068622         2.9957559433         4.8110227810
        0.1000012000         3.1500000000         1.5113975548         3.0034115756         4.5450734841
        0.1050011000         3.1500000000         1.5267115159         3.0365859826         4.9439974295
        0.1100011000         3.1500000000         1.5216068622         3.0442416150         4.8110227810
        0.1150012000         3.1500000000         1.5292638428         3.0646566347         5.0104847537
        0.1200032000         3.1500000000         1.5267115159         3.0927272867         4.9439974295
        0.1250020000         3.1500000000         1.5343684965         3.1029347965         5.1434594022
        0.1300014000         3.1500000000         1.5190545354         3.1284535711         4.7445354568
        0.1350011000         3.1500000000         1.5394731502         3.1488685908         5.2764340506
        0.1400020000         3.1500000000         1.5139498816         3.1667317330         4.6115608084
        0.1450014000         3.1500000000         1.5445778039         3.1948023851         5.4094086991
        0.1500019000         3.1500000000         1.5318161696         3.2101136498         5.0769720779
        0.1550012000         3.1500000000         1.5471301308         3.2356324244         5.4758960233
        0.1600021000         3.1500000000         1.5445778039         3.2509436892         5.4094086991
        0.1650010000         3.1500000000         1.5394731502         3.2637030765         5.2764340506
        0.1700011000         3.1500000000         1.5471301308         3.2917737285         5.4758960233
        0.1750014000         3.1500000000         1.5496824576         3.3147406256         5.5423833475
        0.1800011000         3.1500000000         1.5445778039         3.3351556453         5.4094086991
        0.1850010000         3.1500000000         1.5445778039         3.3504669101         5.4094086991
        0.1900011000         3.1500000000         1.5547871113         3.3836413170         5.6753579960
        0.1950010000         3.1500000000         1.5471301308         3.3989525818         5.4758960233
        0.2000010000         3.1500000000         1.5420254771         3.4117119691         5.3429213749
        0.2050010000         3.1500000000         1.5445778039         3.4372307437         5.4094086991
        0.2100027000         3.1500000000         1.5573394382         3.4627495183         5.7418453202
        0.2150022000         3.1500000000         1.5649964188         3.4933720478         5.9413072929
        0.2200023000         3.1500000000         1.5624440919         3.5163389449         5.8748199687
        0.2250011000         3.1500000000         1.5445778039         3.5265464547         5.4094086991
        0.2300029000         3.1500000000         1.5624440919         3.5546171068         5.8748199687
        0.2350020000         3.1500000000         1.5573394382         3.5750321265         5.7418453202
        0.2400036000         3.1500000000         1.5547871113         3.5928952687         5.6753579960
        0.2450038000         3.1500000000         1.5598917651         3.6209659207         5.8083326444
        0.2500035000         3.1500000000         1.5598917651         3.6439328179         5.8083326444
        0.2550061000         3.1500000000         1.5573394382         3.6668997150         5.7418453202
        0.2600038000         3.1500000000         1.5726533993         3.6949703670         6.1407692656
        0.2650021000         3.1500000000         1.5598917651         3.7128335092         5.8083326444
