% Motor Sweep Step 110/180
% Vcmd       = 1.7500 [V]
% Direction  = CCW
% Zone       = OUTER
% Vg_offset  = 1.336920 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000091000         1.7500000000         1.3301823480         2.1689476465        -0.1755265360
        0.0050015000         1.7500000000         1.3352870017         2.1791551564        -0.0425518875
        0.0100011000         1.7500000000         1.3378393285         2.1766032789         0.0239354367
        0.0150017000         1.7500000000         1.3454963091         2.1791551564         0.2233974094
        0.0200026000         1.7500000000         1.3123160600         2.1689476465        -0.6409378055
        0.0250012000         1.7500000000         1.1566241217         2.1612920142        -4.6966645834
        0.0300022000         1.7500000000         1.2408509080         2.1587401367        -2.5025828839
        0.0350013000         1.7500000000         1.1898043709         2.1383251170        -3.8323293684
        0.0400012000         1.7500000000         1.1770427366         2.1230138523        -4.1647659896
        0.0450032000         1.7500000000         1.1795950634         2.1102544650        -4.0982786653
        0.0500039000         1.7500000000         1.1821473903         2.0898394453        -4.0317913411
        0.0550030000         1.7500000000         1.1591764486         2.0770800580        -4.6301772591
        0.0600032000         1.7500000000         1.1515194680         2.0643206707        -4.8296392318
        0.0650014000         1.7500000000         1.1515194680         2.0388018961        -4.8296392318
        0.0700017000         1.7500000000         1.1413101606         2.0183868765        -5.0955885287
        0.0750018000         1.7500000000         1.1617287755         2.0056274892        -4.5636899349
        0.0800023000         1.7500000000         1.1234438726         1.9724530822        -5.5609997983
        0.0850013000         1.7500000000         1.1515194680         1.9673493273        -4.8296392318
        0.0900016000         1.7500000000         1.1259961995         1.9367267978        -5.4945124741
        0.0950012000         1.7500000000         1.1311008532         1.9163117781        -5.3615378256
        0.1000012000         1.7500000000         1.1132345652         1.8958967584        -5.8269490952
        0.1050011000         1.7500000000         1.1208915457         1.8729298613        -5.6274871225
        0.1100021000         1.7500000000         1.1311008532         1.8627223515        -5.3615378256
        0.1150012000         1.7500000000         1.1081299115         1.8295479445        -5.9599237437
        0.1200014000         1.7500000000         1.1081299115         1.8091329248        -5.9599237437
        0.1250013000         1.7500000000         1.1055775846         1.7887179052        -6.0264110679
        0.1300012000         1.7500000000         1.1106822383         1.7631991306        -5.8934364195
        0.1350011000         1.7500000000         1.1030252578         1.7427841109        -6.0928983921
        0.1400013000         1.7500000000         1.0979206040         1.7121615814        -6.2258730406
        0.1450025000         1.7500000000         1.1106822383         1.6968503166        -5.8934364195
        0.1500022000         1.7500000000         1.0877112966         1.6662277871        -6.4918223375
        0.1550021000         1.7500000000         1.1106822383         1.6509165224        -5.8934364195
        0.1600024000         1.7500000000         1.0877112966         1.6202939929        -6.4918223375
        0.1650012000         1.7500000000         1.0979206040         1.6049827281        -6.2258730406
        0.1700012000         1.7500000000         1.0928159503         1.5718083211        -6.3588476890
        0.1750011000         1.7500000000         1.0877112966         1.5590489338        -6.4918223375
        0.1800032000         1.7500000000         1.0851589698         1.5207707720        -6.5583096617
        0.1850013000         1.7500000000         1.0902636235         1.5029076297        -6.4253350133
        0.1900009000         1.7500000000         1.0851589698         1.4773888552        -6.5583096617
        0.1950010000         1.7500000000         1.0749496623         1.4544219580        -6.8242589586
        0.2000020000         1.7500000000         1.0698450086         1.4212475511        -6.9572336071
        0.2050015000         1.7500000000         1.0979206040         1.4033844088        -6.2258730406
        0.2100016000         1.7500000000         1.0775019892         1.3753137568        -6.7577716344
        0.2150011000         1.7500000000         1.0749496623         1.3421393498        -6.8242589586
        0.2200010000         1.7500000000         1.0826066429         1.3242762076        -6.6247969859
        0.2250023000         1.7500000000         1.0800543160         1.3013093105        -6.6912843102
        0.2300011000         1.7500000000         1.0519787206         1.2706867810        -7.4226448767
        0.2350012000         1.7500000000         1.0775019892         1.2451680064        -6.7577716344
        0.2400019000         1.7500000000         1.0672926818         1.2247529867        -7.0237209313
        0.2450028000         1.7500000000         1.0775019892         1.1992342121        -6.7577716344
        0.2500026000         1.7500000000         1.0723973355         1.1660598052        -6.8907462829
        0.2550041000         1.7500000000         1.0723973355         1.1456447855        -6.8907462829
        0.2600046000         1.7500000000         1.0596357012         1.1124703785        -7.2231829040
        0.2650040000         1.7500000000         1.0672926818         1.0869516039        -7.0237209313
        0.2700058000         1.7500000000         1.0621880280         1.0563290744        -7.1566955798
        0.2750045000         1.7500000000         1.0672926818         1.0308102998        -7.0237209313
        0.2800024000         1.7500000000         1.0545310475         0.9976358929        -7.3561575524
        0.2850027000         1.7500000000         1.0698450086         0.9695652408        -6.9572336071
        0.2900033000         1.7500000000         1.0468740669         0.9440464662        -7.5556195251
        0.2950014000         1.7500000000         1.0621880280         0.9108720593        -7.1566955798
        0.3000026000         1.7500000000         1.0647403549         0.8879051621        -7.0902082555
        0.3050042000         1.7500000000         1.0545310475         0.8649382650        -7.3561575524
        0.3100035000         1.7500000000         1.0672926818         0.8343157355        -7.0237209313
        0.3150029000         1.7500000000         1.0494263938         0.8011413285        -7.4891322009
        0.3200020000         1.7500000000         1.0596357012         0.7654150441        -7.2231829040
        0.3250019000         1.7500000000         1.0545310475         0.7526556568        -7.3561575524
        0.3300031000         1.7500000000         1.0545310475         0.7169293724        -7.3561575524
        0.3350052000         1.7500000000         1.0417694132         0.6812030879        -7.6885941736
        0.3400037000         1.7500000000         1.0596357012         0.6633399457        -7.2231829040
        0.3450019000         1.7500000000         1.0494263938         0.6276136613        -7.4891322009
        0.3500033000         1.7500000000         1.0545310475         0.5969911318        -7.3561575524
        0.3550047000         1.7500000000         1.0519787206         0.5689204797        -7.4226448767
        0.3600034000         1.7500000000         1.0417694132         0.5382979502        -7.6885941736
        0.3650013000         1.7500000000         1.0545310475         0.5102272982        -7.3561575524
        0.3700010000         1.7500000000         1.0545310475         0.4796047687        -7.3561575524
        0.3750013000         1.7500000000         1.0392170863         0.4438784843        -7.7550814978
        0.3800010000         1.7500000000         1.0468740669         0.4183597097        -7.5556195251
        0.3850034000         1.7500000000         1.0570833743         0.3953928125        -7.2896702282
        0.3900035000         1.7500000000         1.0494263938         0.3622184056        -7.4891322009
        0.3950026000         1.7500000000         1.0392170863         0.3290439986        -7.7550814978
        0.4000012000         1.7500000000         1.0545310475         0.3009733466        -7.3561575524
        0.4050018000         1.7500000000         1.0468740669         0.2754545720        -7.5556195251
        0.4100012000         1.7500000000         1.0596357012         0.2448320425        -7.2231829040
        0.4150012000         1.7500000000         1.0341124326         0.2142095129        -7.8880561463
        0.4200033000         1.7500000000         1.0468740669         0.1759313511        -7.5556195251
        0.4250025000         1.7500000000         1.0647403549         0.1504125765        -7.0902082555
        0.4300028000         1.7500000000         1.0392170863         0.1070306597        -7.7550814978
        0.4350015000         1.7500000000         1.0366647595         0.0815118851        -7.8215688220
        0.4400019000         1.7500000000         1.0290077789         0.0508893556        -8.0210307947
        0.4450020000         1.7500000000         1.0417694132         0.0228187035        -7.6885941736
        0.4500017000         1.7500000000         1.0341124326         0.0024036839        -7.8880561463
        0.4550028000         1.7500000000         1.0392170863        -0.0001481936        -7.7550814978
        0.4600047000         1.7500000000         1.0290077789        -0.0052519485        -8.0210307947
        0.4650063000         1.7500000000         1.0341124326         0.0024036839        -7.8880561463
        0.4700012000         1.7500000000         1.0392170863         1.0997109912        -7.7550814978
        0.4750021000         1.7500000000         1.0264554521         1.0920553588        -8.0875181189
        0.4800014000         1.7500000000         1.0443217401         5.0091872584        -7.6221068493
        0.4850018000         1.7500000000         1.0162461446         5.0066353810        -8.3534674158
        0.4900013000         1.7500000000         1.0392170863         5.0040835035        -7.7550814978
        0.4950011000         1.7500000000         1.0417694132         5.0091872584        -7.6885941736
        0.5000011000         1.7500000000         1.0239031252         4.9811166064        -8.1540054432
        0.5050018000         1.7500000000         1.0417694132         4.9555978318        -7.6885941736
        0.5100012000         1.7500000000         1.0392170863         4.9351828121        -7.7550814978
        0.5150015000         1.7500000000         1.0264554521         4.8892490178        -8.0875181189
        0.5200027000         1.7500000000         1.0162461446         4.8535227334        -8.3534674158
        0.5250015000         1.7500000000         1.0315601058         4.8305558363        -7.9545434705
        0.5300011000         1.7500000000         1.0392170863         4.7999333068        -7.7550814978
        0.5350011000         1.7500000000         1.0136938178         4.7539995125        -8.4199547401
        0.5400031000         1.7500000000         1.0341124326         4.7259288605        -7.8880561463
        0.5450026000         1.7500000000         1.0290077789         4.7004100859        -8.0210307947
        0.5500012000         1.7500000000         1.0111414909         4.6646838015        -8.4864420643
        0.5550025000         1.7500000000         1.0213507983         4.6213018847        -8.2204927674
        0.5600014000         1.7500000000         1.0162461446         4.5906793551        -8.3534674158
        0.5650019000         1.7500000000         1.0392170863         4.5702643355        -7.7550814978
        0.5700012000         1.7500000000         1.0187984715         4.5294342961        -8.2869800916
        0.5750012000         1.7500000000         1.0162461446         4.4886042568        -8.3534674158
        0.5800011000         1.7500000000         1.0290077789         4.4681892371        -8.0210307947
