% Potentiometer Recording  5.0 s
% Vg_offset=1.338069V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0007908000         1.3378393285         2.4649654318        -0.0059838592
        0.0053844000         1.3429439823         2.4700691867         0.1269907893
        0.0104752000         1.3378393285         2.4649654318        -0.0059838592
        0.0153880000         1.3378393285         2.4649654318        -0.0059838592
        0.0203883000         1.3301823480         2.4598616769        -0.2054458319
        0.0254264000         1.3378393285         2.4649654318        -0.0059838592
        0.0305102000         1.3480486360         2.4700691867         0.2599654377
        0.0354834000         1.3352870017         2.4649654318        -0.0724711834
        0.0404741000         1.3378393285         2.4649654318        -0.0059838592
        0.0454138000         1.3327346748         2.4573097994        -0.1389585076
        0.0503895000         1.3327346748         2.4598616769        -0.1389585076
        0.0554047000         1.3403916554         2.4649654318         0.0605034650
        0.0603809000         1.3378393285         2.4649654318        -0.0059838592
        0.0654114000         1.3429439823         2.4726210642         0.1269907893
        0.0703973000         1.3352870017         2.4700691867        -0.0724711834
        0.0754127000         1.3378393285         2.4649654318        -0.0059838592
        0.0803863000         1.3352870017         2.4624135543        -0.0724711834
        0.0853938000         1.3378393285         2.4649654318        -0.0059838592
        0.0903889000         1.3454963091         2.4726210642         0.1934781135
        0.0954301000         1.3378393285         2.4649654318        -0.0059838592
        0.1003990000         1.3378393285         2.4649654318        -0.0059838592
        0.1054058000         1.3378393285         2.4700691867        -0.0059838592
        0.1103925000         1.3429439823         2.4726210642         0.1269907893
        0.1154888000         1.3454963091         2.4700691867         0.1934781135
        0.1204120000         1.3327346748         2.4598616769        -0.1389585076
        0.1253953000         1.3327346748         2.4649654318        -0.1389585076
        0.1303859000         1.3378393285         2.4675173092        -0.0059838592
        0.1353846000         1.3327346748         2.4598616769        -0.1389585076
        0.1403986000         1.3378393285         2.4675173092        -0.0059838592
        0.1453980000         1.3429439823         2.4700691867         0.1269907893
        0.1504156000         1.3378393285         2.4649654318        -0.0059838592
        0.1553953000         1.3378393285         2.4649654318        -0.0059838592
        0.1604085000         1.3301823480         2.4598616769        -0.2054458319
        0.1653838000         1.3480486360         2.4573097994         0.2599654377
        0.1703951000         1.3454963091         2.4649654318         0.1934781135
        0.1753831000         1.3327346748         2.4573097994        -0.1389585076
        0.1803934000         1.3403916554         2.4649654318         0.0605034650
        0.1853935000         1.3454963091         2.4700691867         0.1934781135
        0.1903809000         1.3429439823         2.4700691867         0.1269907893
        0.1953950000         1.3352870017         2.4649654318        -0.0724711834
        0.2004026000         1.3327346748         2.4573097994        -0.1389585076
        0.2053881000         1.3301823480         2.4598616769        -0.2054458319
        0.2103906000         1.3378393285         2.4649654318        -0.0059838592
        0.2153736000         1.3378393285         2.4649654318        -0.0059838592
        0.2204069000         1.3378393285         2.4649654318        -0.0059838592
        0.2253875000         1.3352870017         2.4649654318        -0.0724711834
        0.2303822000         1.3403916554         2.4649654318         0.0605034650
        0.2354024000         1.3378393285         2.4649654318        -0.0059838592
        0.2403985000         1.3352870017         2.4649654318        -0.0724711834
        0.2454038000         1.3454963091         2.4700691867         0.1934781135
        0.2503905000         1.3403916554         2.4726210642         0.0605034650
        0.2553865000         1.3378393285         2.4624135543        -0.0059838592
        0.2604111000         1.3327346748         2.4573097994        -0.1389585076
        0.2653824000         1.3327346748         2.4573097994        -0.1389585076
        0.2703899000         1.3454963091         2.4649654318         0.1934781135
        0.2754042000         1.3378393285         2.4649654318        -0.0059838592
        0.2803872000         1.3301823480         2.4598616769        -0.2054458319
        0.2853989000         1.3454963091         2.4700691867         0.1934781135
        0.2903881000         1.3378393285         2.4649654318        -0.0059838592
        0.2953916000         1.3327346748         2.4598616769        -0.1389585076
        0.3003767000         1.3454963091         2.4598616769         0.1934781135
        0.3053783000         1.3378393285         2.4649654318        -0.0059838592
        0.3103911000         1.3429439823         2.4700691867         0.1269907893
        0.3154000000         1.3301823480         2.4598616769        -0.2054458319
        0.3204064000         1.3454963091         2.4700691867         0.1934781135
        0.3253914000         1.3454963091         2.4726210642         0.1934781135
        0.3305390000         1.3403916554         2.4649654318         0.0605034650
        0.3354090000         1.3429439823         2.4726210642         0.1269907893
