% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0009905000         1.4016475000         3.3504669101         0.1628939444
        0.0054271000         1.3888858657         3.3402594002        -0.1695426768
        0.0104008000         1.3965428462         3.3453631551         0.0299192959
        0.0153868000         1.4016475000         3.3530187875         0.1628939444
        0.0203905000         1.3888858657         3.3428112777        -0.1695426768
        0.0254283000         1.4041998268         3.3530187875         0.2293812686
        0.0304408000         1.3863335388         3.3402594002        -0.2360300010
        0.0354259000         1.3965428462         3.3453631551         0.0299192959
        0.0404306000         1.4016475000         3.3530187875         0.1628939444
        0.0461154000         1.3939905194         3.3453631551        -0.0365680283
        0.0507941000         1.4016475000         3.3504669101         0.1628939444
        0.0554691000         1.3965428462         3.3504669101         0.0299192959
        0.0604649000         1.3965428462         3.3453631551         0.0299192959
        0.0658039000         1.3914381925         3.3402594002        -0.1030553526
        0.0704432000         1.3990951731         3.3530187875         0.0964066201
        0.0758621000         1.4041998268         3.3530187875         0.2293812686
        0.0804560000         1.3965428462         3.3453631551         0.0299192959
        0.0854010000         1.3888858657         3.3402594002        -0.1695426768
        0.0904188000         1.3965428462         3.3479150326         0.0299192959
        0.0953994000         1.3965428462         3.3453631551         0.0299192959
        0.1004089000         1.3888858657         3.3402594002        -0.1695426768
        0.1053857000         1.4041998268         3.3530187875         0.2293812686
        0.1104456000         1.3965428462         3.3428112777         0.0299192959
        0.1154463000         1.3914381925         3.3402594002        -0.1030553526
        0.1204637000         1.4016475000         3.3530187875         0.1628939444
        0.1254397000         1.3939905194         3.3453631551        -0.0365680283
        0.1305977000         1.3965428462         3.3453631551         0.0299192959
        0.1354831000         1.3888858657         3.3402594002        -0.1695426768
        0.1404489000         1.3939905194         3.3453631551        -0.0365680283
        0.1454556000         1.3939905194         3.3453631551        -0.0365680283
        0.1504628000         1.3888858657         3.3402594002        -0.1695426768
        0.1554458000         1.3939905194         3.3453631551        -0.0365680283
        0.1604347000         1.4016475000         3.3530187875         0.1628939444
        0.1654460000         1.3939905194         3.3453631551        -0.0365680283
        0.1705906000         1.3965428462         3.3453631551         0.0299192959
        0.1754575000         1.3965428462         3.3453631551         0.0299192959
        0.1804459000         1.3888858657         3.3402594002        -0.1695426768
        0.1854265000         1.4041998268         3.3530187875         0.2293812686
