% Potentiometer Recording  5.0 s
% Vg_offset=1.338069V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0009674000         1.3378393285         1.7759585179        -0.0059838592
        0.0053969000         1.3378393285         1.7785103953        -0.0059838592
        0.0103937000         1.3352870017         1.7759585179        -0.0724711834
        0.0153875000         1.3378393285         1.7785103953        -0.0059838592
        0.0204121000         1.3454963091         1.7836141502         0.1934781135
        0.0254582000         1.3378393285         1.7785103953        -0.0059838592
        0.0305410000         1.3403916554         1.7785103953         0.0605034650
        0.0354295000         1.3403916554         1.7785103953         0.0605034650
        0.0404316000         1.3506009628         1.7785103953         0.3264527620
        0.0455623000         1.3352870017         1.7785103953        -0.0724711834
        0.0516433000         1.3327346748         1.7708547629        -0.1389585076
        0.0555048000         1.3378393285         1.7759585179        -0.0059838592
        0.0604337000         1.3429439823         1.7836141502         0.1269907893
        0.0658104000         1.3327346748         1.7734066404        -0.1389585076
        0.0706176000         1.3378393285         1.7785103953        -0.0059838592
        0.0754424000         1.3454963091         1.7836141502         0.1934781135
        0.0804379000         1.3352870017         1.7785103953        -0.0724711834
        0.0854377000         1.3454963091         1.7810622728         0.1934781135
        0.0904073000         1.3378393285         1.7785103953        -0.0059838592
        0.0954411000         1.3378393285         1.7785103953        -0.0059838592
        0.1004639000         1.3531532897         1.7785103953         0.3929400862
        0.1054421000         1.3352870017         1.7759585179        -0.0724711834
        0.1103932000         1.3327346748         1.7734066404        -0.1389585076
        0.1153979000         1.3378393285         1.7785103953        -0.0059838592
        0.1204372000         1.3327346748         1.7734066404        -0.1389585076
        0.1254385000         1.3327346748         1.7734066404        -0.1389585076
        0.1304321000         1.3454963091         1.7861660277         0.1934781135
        0.1354088000         1.3378393285         1.7759585179        -0.0059838592
        0.1403923000         1.3378393285         1.7759585179        -0.0059838592
        0.1453987000         1.3429439823         1.7861660277         0.1269907893
        0.1504057000         1.3378393285         1.7785103953        -0.0059838592
        0.1553880000         1.3378393285         1.7785103953        -0.0059838592
        0.1604023000         1.3429439823         1.7836141502         0.1269907893
        0.1654037000         1.3378393285         1.7759585179        -0.0059838592
        0.1704504000         1.3301823480         1.7708547629        -0.2054458319
        0.1754106000         1.3429439823         1.7836141502         0.1269907893
        0.1803890000         1.3301823480         1.7708547629        -0.2054458319
        0.1853973000         1.3352870017         1.7785103953        -0.0724711834
        0.1903777000         1.3352870017         1.7785103953        -0.0724711834
        0.1953918000         1.3429439823         1.7836141502         0.1269907893
        0.2004078000         1.3378393285         1.7785103953        -0.0059838592
        0.2054861000         1.3327346748         1.7708547629        -0.1389585076
        0.2104246000         1.3429439823         1.7836141502         0.1269907893
        0.2154931000         1.3378393285         1.7785103953        -0.0059838592
        0.2204280000         1.3327346748         1.7734066404        -0.1389585076
        0.2254196000         1.3378393285         1.7785103953        -0.0059838592
        0.2304403000         1.3327346748         1.7734066404        -0.1389585076
        0.2354077000         1.3454963091         1.7836141502         0.1934781135
        0.2404076000         1.3378393285         1.7708547629        -0.0059838592
        0.2453920000         1.3378393285         1.7785103953        -0.0059838592
        0.2505196000         1.3429439823         1.7836141502         0.1269907893
        0.2554425000         1.3378393285         1.7785103953        -0.0059838592
        0.2604005000         1.3429439823         1.7836141502         0.1269907893
        0.2654054000         1.3429439823         1.7836141502         0.1269907893
        0.2703851000         1.3327346748         1.7734066404        -0.1389585076
        0.2755133000         1.3352870017         1.7785103953        -0.0724711834
        0.2804057000         1.3378393285         1.7759585179        -0.0059838592
        0.2854193000         1.3327346748         1.7708547629        -0.1389585076
        0.2903999000         1.3454963091         1.7836141502         0.1934781135
        0.2954228000         1.3429439823         1.7810622728         0.1269907893
        0.3004223000         1.3327346748         1.7734066404        -0.1389585076
        0.3054274000         1.3378393285         1.7785103953        -0.0059838592
        0.3104158000         1.3454963091         1.7708547629         0.1934781135
        0.3154241000         1.3454963091         1.7861660277         0.1934781135
        0.3204211000         1.3301823480         1.7708547629        -0.2054458319
        0.3254193000         1.3352870017         1.7785103953        -0.0724711834
        0.3304374000         1.3378393285         1.7759585179        -0.0059838592
        0.3354390000         1.3429439823         1.7836141502         0.1269907893
        0.3404178000         1.3301823480         1.7708547629        -0.2054458319
        0.3454239000         1.3378393285         1.7785103953        -0.0059838592
        0.3504130000         1.3378393285         1.7785103953        -0.0059838592
        0.3553856000         1.3327346748         1.7708547629        -0.1389585076
        0.3604017000         1.3352870017         1.7785103953        -0.0724711834
        0.3654088000         1.3429439823         1.7836141502         0.1269907893
        0.3703919000         1.3327346748         1.7708547629        -0.1389585076
        0.3754041000         1.3378393285         1.7785103953        -0.0059838592
        0.3804021000         1.3378393285         1.7836141502        -0.0059838592
        0.3856617000         1.3327346748         1.7708547629        -0.1389585076
        0.3904624000         1.3327346748         1.7785103953        -0.1389585076
        0.3954607000         1.3454963091         1.7861660277         0.1934781135
        0.4004234000         1.3327346748         1.7708547629        -0.1389585076
        0.4054255000         1.3352870017         1.7785103953        -0.0724711834
        0.4104170000         1.3327346748         1.7708547629        -0.1389585076
        0.4154682000         1.3454963091         1.7861660277         0.1934781135
        0.4204726000         1.3352870017         1.7734066404        -0.0724711834
        0.4254467000         1.3378393285         1.7785103953        -0.0059838592
        0.4304308000         1.3454963091         1.7861660277         0.1934781135
        0.4354251000         1.3378393285         1.7759585179        -0.0059838592
        0.4403856000         1.3378393285         1.7785103953        -0.0059838592
        0.4454254000         1.3301823480         1.7708547629        -0.2054458319
        0.4504072000         1.3378393285         1.7759585179        -0.0059838592
        0.4554846000         1.3531532897         1.7759585179         0.3929400862
        0.4603999000         1.3327346748         1.7708547629        -0.1389585076
        0.4654031000         1.3454963091         1.7861660277         0.1934781135
        0.4703891000         1.3378393285         1.7785103953        -0.0059838592
        0.4753989000         1.3327346748         1.7734066404        -0.1389585076
        0.4804068000         1.3378393285         1.7785103953        -0.0059838592
        0.4853956000         1.3378393285         1.7759585179        -0.0059838592
        0.4904101000         1.3378393285         1.7759585179        -0.0059838592
        0.4954274000         1.3352870017         1.7785103953        -0.0724711834
        0.5004426000         1.3352870017         1.7785103953        -0.0724711834
        0.5054597000         1.3327346748         1.7734066404        -0.1389585076
        0.5104934000         1.3378393285         1.7785103953        -0.0059838592
        0.5154945000         1.3378393285         1.7785103953        -0.0059838592
        0.5204106000         1.3301823480         1.7734066404        -0.2054458319
        0.5254092000         1.3352870017         1.7785103953        -0.0724711834
        0.5304601000         1.3327346748         1.7785103953        -0.1389585076
        0.5353814000         1.3403916554         1.7759585179         0.0605034650
        0.5403927000         1.3327346748         1.7734066404        -0.1389585076
        0.5453975000         1.3378393285         1.7785103953        -0.0059838592
        0.5505186000         1.3378393285         1.7759585179        -0.0059838592
        0.5554055000         1.3378393285         1.7785103953        -0.0059838592
        0.5603902000         1.3301823480         1.7734066404        -0.2054458319
        0.5654148000         1.3454963091         1.7785103953         0.1934781135
        0.5703857000         1.3378393285         1.7785103953        -0.0059838592
        0.5754188000         1.3352870017         1.7734066404        -0.0724711834
        0.5804287000         1.3378393285         1.7759585179        -0.0059838592
        0.5853876000         1.3429439823         1.7785103953         0.1269907893
        0.5904228000         1.3352870017         1.7759585179        -0.0724711834
        0.5954322000         1.3301823480         1.7708547629        -0.2054458319
        0.6004433000         1.3378393285         1.7785103953        -0.0059838592
        0.6054331000         1.3352870017         1.7785103953        -0.0724711834
        0.6104065000         1.3327346748         1.7734066404        -0.1389585076
        0.6153950000         1.3378393285         1.7785103953        -0.0059838592
        0.6204023000         1.3378393285         1.7810622728        -0.0059838592
        0.6254113000         1.3378393285         1.7759585179        -0.0059838592
        0.6303999000         1.3327346748         1.7708547629        -0.1389585076
        0.6354010000         1.3429439823         1.7861660277         0.1269907893
        0.6408278000         1.3378393285         1.7785103953        -0.0059838592
        0.6455634000         1.3557056165         1.7836141502         0.4594274104
        0.6503984000         1.3378393285         1.7785103953        -0.0059838592
        0.6554158000         1.3429439823         1.7836141502         0.1269907893
        0.6603940000         1.3301823480         1.7708547629        -0.2054458319
        0.6654031000         1.3378393285         1.7810622728        -0.0059838592
        0.6703870000         1.3429439823         1.7785103953         0.1269907893
        0.6753950000         1.3301823480         1.7708547629        -0.2054458319
        0.6803882000         1.3454963091         1.7836141502         0.1934781135
        0.6853944000         1.3429439823         1.7836141502         0.1269907893
        0.6904021000         1.3327346748         1.7708547629        -0.1389585076
        0.6954079000         1.3429439823         1.7836141502         0.1269907893
        0.7003909000         1.3352870017         1.7759585179        -0.0724711834
        0.7054064000         1.3378393285         1.7785103953        -0.0059838592
        0.7103872000         1.3378393285         1.7785103953        -0.0059838592
        0.7155098000         1.3352870017         1.7785103953        -0.0724711834
        0.7203979000         1.3378393285         1.7785103953        -0.0059838592
        0.7254933000         1.3429439823         1.7861660277         0.1269907893
        0.7303915000         1.3327346748         1.7708547629        -0.1389585076
        0.7354268000         1.3429439823         1.7836141502         0.1269907893
        0.7410578000         1.3352870017         1.7785103953        -0.0724711834
        0.7454127000         1.3454963091         1.7810622728         0.1934781135
        0.7504074000         1.3378393285         1.7785103953        -0.0059838592
        0.7554109000         1.3429439823         1.7836141502         0.1269907893
        0.7604431000         1.3454963091         1.7836141502         0.1934781135
        0.7654048000         1.3378393285         1.7861660277        -0.0059838592
        0.7704164000         1.3301823480         1.7734066404        -0.2054458319
        0.7753950000         1.3378393285         1.7785103953        -0.0059838592
        0.7804073000         1.3378393285         1.7785103953        -0.0059838592
        0.7853855000         1.3327346748         1.7708547629        -0.1389585076
        0.7903979000         1.3429439823         1.7836141502         0.1269907893
        0.7954072000         1.3378393285         1.7785103953        -0.0059838592
        0.8003850000         1.3454963091         1.7836141502         0.1934781135
        0.8054134000         1.3557056165         1.7785103953         0.4594274104
        0.8104431000         1.3403916554         1.7785103953         0.0605034650
        0.8154099000         1.3327346748         1.7734066404        -0.1389585076
        0.8203956000         1.3378393285         1.7785103953        -0.0059838592
        0.8253831000         1.3454963091         1.7836141502         0.1934781135
        0.8304011000         1.3378393285         1.7708547629        -0.0059838592
        0.8354012000         1.3429439823         1.7836141502         0.1269907893
        0.8404020000         1.3378393285         1.7810622728        -0.0059838592
        0.8453887000         1.3454963091         1.7836141502         0.1934781135
        0.8504018000         1.3327346748         1.7734066404        -0.1389585076
        0.8553887000         1.3378393285         1.7759585179        -0.0059838592
        0.8604245000         1.3301823480         1.7708547629        -0.2054458319
        0.8654041000         1.3378393285         1.7759585179        -0.0059838592
        0.8703887000         1.3429439823         1.7836141502         0.1269907893
        0.8753893000         1.3327346748         1.7708547629        -0.1389585076
        0.8804070000         1.3429439823         1.7836141502         0.1269907893
        0.8853828000         1.3378393285         1.7785103953        -0.0059838592
        0.8903853000         1.3301823480         1.7708547629        -0.2054458319
        0.8954059000         1.3378393285         1.7785103953        -0.0059838592
        0.9004206000         1.3276300211         1.7708547629        -0.2719331561
        0.9053949000         1.3454963091         1.7836141502         0.1934781135
        0.9104293000         1.3327346748         1.7708547629        -0.1389585076
        0.9153827000         1.3403916554         1.7785103953         0.0605034650
        0.9204513000         1.3429439823         1.7836141502         0.1269907893
        0.9254171000         1.3301823480         1.7785103953        -0.2054458319
        0.9304162000         1.3429439823         1.7836141502         0.1269907893
        0.9353931000         1.3378393285         1.7785103953        -0.0059838592
        0.9404014000         1.3378393285         1.7785103953        -0.0059838592
        0.9453920000         1.3301823480         1.7734066404        -0.2054458319
        0.9503734000         1.3352870017         1.7785103953        -0.0724711834
        0.9553877000         1.3327346748         1.7734066404        -0.1389585076
        0.9603850000         1.3378393285         1.7785103953        -0.0059838592
        0.9654050000         1.3454963091         1.7836141502         0.1934781135
        0.9704288000         1.3429439823         1.7861660277         0.1269907893
        0.9754200000         1.3301823480         1.7708547629        -0.2054458319
        0.9804012000         1.3429439823         1.7810622728         0.1269907893
        0.9854151000         1.3378393285         1.7759585179        -0.0059838592
        0.9905019000         1.3327346748         1.7708547629        -0.1389585076
        0.9954053000         1.3454963091         1.7785103953         0.1934781135
        1.0003912000         1.3378393285         1.7785103953        -0.0059838592
        1.0055619000         1.3327346748         1.7708547629        -0.1389585076
        1.0103879000         1.3454963091         1.7836141502         0.1934781135
        1.0153944000         1.3378393285         1.7785103953        -0.0059838592
        1.0203990000         1.3327346748         1.7708547629        -0.1389585076
        1.0253839000         1.3378393285         1.7785103953        -0.0059838592
        1.0304207000         1.3327346748         1.7734066404        -0.1389585076
        1.0354298000         1.3327346748         1.7708547629        -0.1389585076
        1.0404082000         1.3429439823         1.7836141502         0.1269907893
        1.0453933000         1.3327346748         1.7734066404        -0.1389585076
        1.0503971000         1.3378393285         1.7810622728        -0.0059838592
        1.0553835000         1.3378393285         1.7759585179        -0.0059838592
        1.0603866000         1.3352870017         1.7708547629        -0.0724711834
        1.0654726000         1.3506009628         1.7810622728         0.3264527620
        1.0704094000         1.3429439823         1.7836141502         0.1269907893
        1.0753964000         1.3301823480         1.7708547629        -0.2054458319
        1.0803969000         1.3403916554         1.7759585179         0.0605034650
        1.0854017000         1.3403916554         1.7836141502         0.0605034650
        1.0903913000         1.3327346748         1.7734066404        -0.1389585076
        1.0954010000         1.3378393285         1.7785103953        -0.0059838592
        1.1003865000         1.3429439823         1.7836141502         0.1269907893
        1.1053908000         1.3429439823         1.7861660277         0.1269907893
        1.1103845000         1.3327346748         1.7734066404        -0.1389585076
        1.1154512000         1.3429439823         1.7861660277         0.1269907893
        1.1203831000         1.3327346748         1.7708547629        -0.1389585076
        1.1253906000         1.3531532897         1.7785103953         0.3929400862
        1.1304072000         1.3301823480         1.7708547629        -0.2054458319
        1.1354168000         1.3327346748         1.7708547629        -0.1389585076
        1.1403767000         1.3327346748         1.7708547629        -0.1389585076
        1.1454106000         1.3352870017         1.7785103953        -0.0724711834
        1.1504250000         1.3454963091         1.7861660277         0.1934781135
        1.1555507000         1.3301823480         1.7708547629        -0.2054458319
        1.1604549000         1.3352870017         1.7785103953        -0.0724711834
        1.1653974000         1.3378393285         1.7759585179        -0.0059838592
        1.1704169000         1.3403916554         1.7759585179         0.0605034650
        1.1754056000         1.3531532897         1.7785103953         0.3929400862
        1.1804216000         1.3378393285         1.7785103953        -0.0059838592
        1.1853999000         1.3403916554         1.7785103953         0.0605034650
        1.1903984000         1.3378393285         1.7810622728        -0.0059838592
        1.1953974000         1.3429439823         1.7810622728         0.1269907893
        1.2004056000         1.3327346748         1.7785103953        -0.1389585076
        1.2053892000         1.3378393285         1.7759585179        -0.0059838592
        1.2103804000         1.3352870017         1.7785103953        -0.0724711834
        1.2153891000         1.3378393285         1.7785103953        -0.0059838592
        1.2204314000         1.3378393285         1.7785103953        -0.0059838592
        1.2254446000         1.3378393285         1.7861660277        -0.0059838592
        1.2304315000         1.3352870017         1.7759585179        -0.0724711834
        1.2353954000         1.3327346748         1.7734066404        -0.1389585076
        1.2403776000         1.3378393285         1.7759585179        -0.0059838592
        1.2454130000         1.3327346748         1.7734066404        -0.1389585076
        1.2509315000         1.3378393285         1.7785103953        -0.0059838592
        1.2554015000         1.3378393285         1.7785103953        -0.0059838592
        1.2605081000         1.3327346748         1.7708547629        -0.1389585076
        1.2654414000         1.3327346748         1.7708547629        -0.1389585076
        1.2704191000         1.3454963091         1.7836141502         0.1934781135
        1.2754115000         1.3301823480         1.7708547629        -0.2054458319
        1.2803931000         1.3429439823         1.7836141502         0.1269907893
        1.2854067000         1.3378393285         1.7759585179        -0.0059838592
        1.2903855000         1.3352870017         1.7785103953        -0.0724711834
        1.2953990000         1.3454963091         1.7861660277         0.1934781135
        1.3004135000         1.3327346748         1.7734066404        -0.1389585076
        1.3053948000         1.3327346748         1.7785103953        -0.1389585076
        1.3104293000         1.3429439823         1.7836141502         0.1269907893
        1.3154124000         1.3378393285         1.7785103953        -0.0059838592
        1.3203983000         1.3378393285         1.7785103953        -0.0059838592
        1.3253998000         1.3454963091         1.7861660277         0.1934781135
