% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0011032000         1.3888858657         2.6869787707        -0.1695426768
        0.0053864000         1.4016475000         2.6997381580         0.1628939444
        0.0104562000         1.3965428462         2.6920825256         0.0299192959
        0.0154111000         1.4016475000         2.6971862806         0.1628939444
        0.0204052000         1.3939905194         2.6920825256        -0.0365680283
        0.0254346000         1.3939905194         2.6971862806        -0.0365680283
        0.0304176000         1.3914381925         2.6869787707        -0.1030553526
        0.0353776000         1.4016475000         2.6997381580         0.1628939444
        0.0406749000         1.3939905194         2.6920825256        -0.0365680283
        0.0454501000         1.3965428462         2.6920825256         0.0299192959
        0.0504344000         1.3965428462         2.6920825256         0.0299192959
        0.0554109000         1.3939905194         2.6920825256        -0.0365680283
        0.0604257000         1.3888858657         2.6844268933        -0.1695426768
        0.0654276000         1.3888858657         2.6869787707        -0.1695426768
        0.0706181000         1.3965428462         2.6920825256         0.0299192959
        0.0754039000         1.3914381925         2.6844268933        -0.1030553526
        0.0804302000         1.3888858657         2.6869787707        -0.1695426768
        0.0853909000         1.3888858657         2.6869787707        -0.1695426768
        0.0903966000         1.4016475000         2.6997381580         0.1628939444
        0.0953867000         1.3965428462         2.6920825256         0.0299192959
        0.1004915000         1.4016475000         2.6997381580         0.1628939444
        0.1054255000         1.3888858657         2.6869787707        -0.1695426768
        0.1104311000         1.4016475000         2.6997381580         0.1628939444
        0.1154145000         1.3914381925         2.6869787707        -0.1030553526
        0.1204247000         1.3965428462         2.6895306482         0.0299192959
        0.1254142000         1.4016475000         2.6971862806         0.1628939444
        0.1304141000         1.4016475000         2.6997381580         0.1628939444
        0.1354298000         1.3965428462         2.6920825256         0.0299192959
        0.1404137000         1.4016475000         2.6997381580         0.1628939444
        0.1454290000         1.3914381925         2.6895306482        -0.1030553526
        0.1504070000         1.4016475000         2.6971862806         0.1628939444
        0.1554412000         1.3888858657         2.6869787707        -0.1695426768
        0.1604224000         1.4041998268         2.6997381580         0.2293812686
        0.1655110000         1.3914381925         2.6869787707        -0.1030553526
        0.1704087000         1.3965428462         2.6920825256         0.0299192959
        0.1754189000         1.3965428462         2.6895306482         0.0299192959
        0.1804021000         1.3914381925         2.6844268933        -0.1030553526
        0.1854260000         1.4016475000         2.6971862806         0.1628939444
        0.1904293000         1.3888858657         2.6844268933        -0.1695426768
        0.1954303000         1.3939905194         2.6971862806        -0.0365680283
        0.2004183000         1.3939905194         2.6920825256        -0.0365680283
