Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega_out[deg/s]           Omega_target[deg/s]
        0.0000017000         0.0001068141         2.5093752432         1.3327346748         2.2123295633        -8.5521996906         0.0001068141
        0.0050060000         0.3145362239         2.5131059927         1.3378393285         2.2199851957        -0.9333135520         0.3145362239
        0.0100210000         0.6296377390         2.5168447168         1.3429439823         2.2225370732         6.6855725866         0.6296377390
        0.0150016000         0.9425774545         2.5205577908         1.3429439823         2.2250889506         6.6855725866         0.9425774545
        0.0200052000         1.2569617183         2.5242880047         1.3454963091         2.2174333183        10.4950156559         1.2569617183
        0.0250023000         1.5709368013         2.5280133635         1.3327346748         2.2123295633        -8.5521996906         1.5709368013
        0.0300029000         1.8851308259         2.5317413201         1.3301823480         2.2123295633       -12.3616427599         1.8851308259
        0.0350018000         2.1992168744         2.5354679956         1.3480486360         2.2199851957        14.3044587253         2.1992168744
        0.0400024000         2.5134083794         2.5391959223         1.3403916554         2.2148814408         2.8761295173         2.5134083794
        0.0450016000         2.8275103712         2.5429227869         1.3301823480         2.2097776859       -12.3616427599         2.8275103712
        0.0500025000         3.1417174297         2.5466508981         1.3429439823         2.2199851957         6.6855725866         3.1417174297
        0.0550017000         3.4558157403         2.5503777191         1.3327346748         2.2199851957        -8.5521996906         3.4558157403
        0.0600017000         3.7699621821         2.5541051111         1.3327346748         2.2123295633        -8.5521996906         3.7699621821
        0.0650015000         4.0840937335         2.5578323265         1.3454963091         2.2225370732        10.4950156559         4.0840937335
        0.0700027000         4.3983107246         2.5615605556         1.3403916554         2.2199851957         2.8761295173         4.3983107246
        0.0750016000         4.7123804980         2.5652870379         1.3454963091         2.2225370732        10.4950156559         4.7123804980
        0.0800021000         5.0265478892         2.5690146785         1.3429439823         2.2174333183         6.6855725866         5.0265478892
        0.0850015000         5.3406430705         2.5727414623         1.3352870017         2.2250889506        -4.7427566213         5.3406430705
        0.0900026000         5.6548417612         2.5764694743         1.3429439823         2.2199851957         6.6855725866         5.6548417612
        0.0950028000         5.9689804197         2.5801967740         1.3327346748         2.2174333183        -8.5521996906         5.9689804197
        0.1000055000         6.2832724570         2.5839258935         1.3378393285         2.2199851957        -0.9333135520         6.2832724570
        0.1050034000         6.5972590620         2.5876513891         1.3327346748         2.2148814408        -8.5521996906         6.5972590620
        0.1100689000         6.9154883991         2.5914272252         1.3327346748         2.2148814408        -8.5521996906         6.9154883991
        0.1150024000         7.2254209090         2.5951046184         1.3378393285         2.2199851957        -0.9333135520         7.2254209090
        0.1200021000         7.5395078090         2.5988313039         1.3531532897         2.2123295633        21.9233448639         7.5395078090
        0.1250023000         7.8536214693         2.6025583070         1.3352870017         2.2097776859        -4.7427566213         7.8536214693
        0.1300015000         8.1676674658         2.6062845072         1.3378393285         2.2174333183        -0.9333135520         8.1676674658
        0.1350028000         8.4818403428         2.6100122129         1.3454963091         2.2250889506        10.4950156559         8.4818403428
        0.1400015000         8.7958446617         2.6137379186         1.3480486360         2.2250889506        14.3044587253         8.7958446617
        0.1450025000         9.1099880332         2.6174652742         1.3378393285         2.2199851957        -0.9333135520         9.1099880332
        0.1500016000         9.4240064363         2.6211911471         1.3429439823         2.2250889506         6.6855725866         9.4240064363
        0.1550035000         9.7381949046         2.6249190378         1.3454963091         2.2250889506        10.4950156559         9.7381949046
        0.1600026000        10.0522014880         2.6286447704         1.3403916554         2.2174333183         2.8761295173        10.0522014880
        0.1650017000        10.3662018735         2.6323704294         1.3429439823         2.2174333183         6.6855725866        10.3662018735
        0.1700013000        10.6802272706         2.6360963852         1.3454963091         2.2199851957        10.4950156559        10.6802272706
        0.1750079000        10.9946857380         2.6398274795         1.3378393285         2.2199851957        -0.9333135520        10.9946857380
        0.1800034000        11.3084402509         2.6435502212         1.3429439823         2.2276408281         6.6855725866        11.3084402509
        0.1850041000        11.6225143879         2.6472767553         1.3378393285         2.2199851957        -0.9333135520        11.6225143879
        0.1900029000        11.9364620260         2.6510017885         1.3378393285         2.2148814408        -0.9333135520        11.9364620260
        0.1950022000        12.2504337064         2.6547271070         1.3378393285         2.2199851957        -0.9333135520        12.2504337064
        0.2000017000        12.5644103922         2.6584524848         1.3327346748         2.2148814408        -8.5521996906        12.5644103922
        0.2050021000        12.8784358485         2.6621784414         1.3403916554         2.2225370732         2.8761295173        12.8784358485
        0.2100015000        13.1923905621         2.6659035585         1.3378393285         2.2250889506        -0.9333135520        13.1923905621
        0.2150037000        13.5065129685         2.6696306654         1.3301823480         2.2148814408       -12.3616427599        13.5065129685
        0.2200045000        13.8205391239         2.6733566302         1.3378393285         2.2148814408        -0.9333135520        13.8205391239
        0.2250042000        14.1344876793         2.6770816743         1.3454963091         2.2225370732        10.4950156559        14.1344876793
        0.2300016000        14.4482830983         2.6808049014         1.3352870017         2.2148814408        -4.7427566213        14.4482830983
        0.2350028000        14.7623082124         2.6845308538         1.3429439823         2.2199851957         6.6855725866        14.7623082124
        0.2400017000        15.0761798057         2.6882549847         1.3506009628         2.2276408281        18.1139017946        15.0761798057
