% f=0.10Hz  n_cycles=5  N_total=10000  dt=0.005000
% Amp=0.4500V  K_lin=8.298800
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3301823480         4.2104496138        -0.1958051698         0.0000000000
        0.0050000000         0.0014137144         2.5000000000         1.3378393285         4.2104496138         0.0036568028         0.0117321328
        0.0100000000         0.0028274148         2.5000000000         1.3454963091         4.2155533687         0.2031187755         0.0234641498
        0.0150000000         0.0042410873         2.5000000000         1.3378393285         4.2181052461         0.0036568028         0.0351959352
        0.0200000000         0.0056547179         2.5000000000         1.3403916554         4.2104496138         0.0701441271         0.0469273733
        0.0250000000         0.0070682928         2.5000000000         1.3429439823         4.2206571236         0.1366314513         0.0586583482
        0.0300000000         0.0084817979         2.5000000000         1.3327346748         4.2104496138        -0.1293178456         0.0703887442
        0.0350000000         0.0098952192         2.5000000000         1.3250776943         4.2104496138        -0.3287798183         0.0821184454
        0.0400000000         0.0113085429         2.5000000000         1.3352870017         4.2181052461        -0.0628305214         0.0938473362
        0.0450000000         0.0127217550         2.5000000000         1.3378393285         4.2181052461         0.0036568028         0.1055753008
        0.0500000000         0.0141348416         2.5000000000         1.3378393285         4.2206571236         0.0036568028         0.1173022233
        0.0550000000         0.0155477886         2.5000000000         1.3327346748         4.2104496138        -0.1293178456         0.1290279882
        0.0600000000         0.0169605822         2.5000000000         1.3378393285         4.2181052461         0.0036568028         0.1407524796
        0.0650000000         0.0183732084         2.5000000000         1.3378393285         4.2181052461         0.0036568028         0.1524755818
        0.0700000000         0.0197856532         2.5000000000         1.3378393285         4.2181052461         0.0036568028         0.1641971791
        0.0750000000         0.0211979028         2.5000000000         1.3454963091         4.2206571236         0.2031187755         0.1759171559
        0.0800000000         0.0226099432         2.5000000000         1.3301823480         4.2104496138        -0.1958051698         0.1876353965
        0.0850000000         0.0240217604         2.5000000000         1.3378393285         4.2155533687         0.0036568028         0.1993517851
        0.0900000000         0.0254333405         2.5000000000         1.3378393285         4.2155533687         0.0036568028         0.2110662063
        0.0950000000         0.0268446696         2.5000000000         1.3352870017         4.2232090010        -0.0628305214         0.2227785443
        0.1000000000         0.0282557338         2.5000000000         1.3352870017         4.2181052461        -0.0628305214         0.2344886836
        0.1050000000         0.0296665191         2.5000000000         1.3378393285         4.2155533687         0.0036568028         0.2461965085
        0.1100000000         0.0310770116         2.5000000000         1.3352870017         4.2181052461        -0.0628305214         0.2579019036
        0.1150000000         0.0324871973         2.5000000000         1.3454963091         4.2232090010         0.2031187755         0.2696047533
        0.1200000000         0.0338970625         2.5000000000         1.3352870017         4.2155533687        -0.0628305214         0.2813049422
        0.1250000000         0.0353065931         2.5000000000         1.3301823480         4.2104496138        -0.1958051698         0.2930023546
        0.1300000000         0.0367157752         2.5000000000         1.3403916554         4.2206571236         0.0701441271         0.3046968753
        0.1350000000         0.0381245950         2.5000000000         1.3378393285         4.2130014912         0.0036568028         0.3163883887
        0.1400000000         0.0395330384         2.5000000000         1.3531532897         4.2155533687         0.4025807482         0.3280767795
        0.1450000000         0.0409410918         2.5000000000         1.3352870017         4.2155533687        -0.0628305214         0.3397619323
        0.1500000000         0.0423487410         2.5000000000         1.3352870017         4.2181052461        -0.0628305214         0.3514437318
        0.1550000000         0.0437559723         2.5000000000         1.3301823480         4.2130014912        -0.1958051698         0.3631220626
        0.1600000000         0.0451627717         2.5000000000         1.3378393285         4.2155533687         0.0036568028         0.3747968096
        0.1650000000         0.0465691254         2.5000000000         1.3378393285         4.2155533687         0.0036568028         0.3864678576
        0.1700000000         0.0479750194         2.5000000000         1.3429439823         4.2232090010         0.1366314513         0.3981350912
        0.1750000000         0.0493804400         2.5000000000         1.3352870017         4.2181052461        -0.0628305214         0.4097983954
        0.1800000000         0.0507853732         2.5000000000         1.3429439823         4.2232090010         0.1366314513         0.4214576551
        0.1850000000         0.0521898052         2.5000000000         1.3301823480         4.2078977363        -0.1958051698         0.4331127551
