freq[Hz]       mag[dB]        phase[deg]    
      0.100000      13.888782      -4.714086
      0.200000      13.950732      -9.324410
      0.300000      13.729198     -13.145187
      0.400000      13.524313     -16.448080
      0.500000      13.441776     -20.496162
      0.600000      13.422365     -24.284178
      0.700000      13.235383     -25.864259
      0.800000      12.775531     -28.161678
      0.900000      12.378236     -30.142164
      1.000000      11.747403     -29.899653
      1.100000      11.863650     -32.771918
      1.200000      12.004568     -35.639863
      1.300000      11.788194     -38.278542
      1.400000      11.557984     -39.903888
      1.500000      11.382860     -41.984162
      2.000000      10.118002     -51.690557
      2.500000       8.994646     -61.088209
      3.000000       7.730964     -70.652749

