% f=1.80Hz  n_cycles=5  N_total=555  dt=0.005000
% Amp=400.00deg/s
Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5093739758         1.3352870017         2.1944664211        -0.0964066201         0.0000000000
        0.0050000000        22.6074137928         2.7498112429         1.3454963091         2.1995701761         0.1695426768         0.3945738060
        0.0100000000        45.1425539494         2.7766211698         1.3301823480         2.1868107888        -0.2293812686         0.7878861992
        0.0150000000        67.5333778851         2.8028078297         1.3352870017         2.1919145437        -0.0964066201         1.1786797991
        0.0200000000        89.7083043798         2.8283607787         1.3454963091         2.1995701761         0.1695426768         1.5657052778
        0.0250000000       111.5964424157         2.8532703340         1.3454963091         2.1995701761         0.1695426768         1.9477253537
        0.0300000000       133.1278178092         2.8775259795         1.3378393285         2.1944664211        -0.0299192959         2.3235187468
        0.0350000000       154.2335969110         2.9011149671         1.3429439823         2.1995701761         0.1030553526         2.6918840833
        0.0400000000       174.8463066604         2.9240211448         1.3378393285         2.1944664211        -0.0299192959         3.0516437362
        0.0450000000       194.9000502901         2.9462240379         1.3454963091         2.1868107888         0.1695426768         3.4016475899
        0.0500000000       214.3307179916         2.9676981964         1.4373800759         2.1995701761         2.5630863489         3.7407767171
        0.0550000000       233.0761918674         2.9884128179         1.3888858657         2.2097776859         1.2998271886         4.0679469561
        0.0600000000       251.0765445163         3.0083316401         1.4169614611         2.2174333183         2.0311877551         4.3821123763
        0.0650000000       268.2742306147         3.0274130964         1.4246184417         2.2199851957         2.2306497278         4.6822686225
        0.0700000000       284.6142708837         3.0456107139         1.4169614611         2.2327445830         2.0311877551         4.9674561251
        0.0750000000       300.0444278522         3.0628737327         1.4271707685         2.2429520929         2.2971370520         5.2367631683
        0.0800000000       314.5153728546         3.0791479162         1.4603510177         2.3271640490         3.1614722670         5.4893288045
        0.0850000000       327.9808437302         3.0943765201         1.4629033445         2.3348196814         3.2279595912         5.7243456066
        0.0900000000       340.3977927179         3.1085013848         1.4552463639         2.3322678039         3.0284976185         5.9410622494
        0.0950000000       351.7265240762         3.1214641139         1.4629033445         2.3424753138         3.2279595912         6.1387859117
        0.1000000000       361.9308209864         3.1332072998         1.4680079982         2.3475790687         3.3609342397         6.3168844907
        0.1050000000       370.9780613339         3.1436757600         1.4756649788         2.3603384560         3.5603962123         6.4747886229
        0.1100000000       378.8393219979         3.1528177472         1.4756649788         2.3552347011         3.5603962123         6.6119935049
        0.1150000000       385.4894713160         3.1605860985         1.4629033445         2.3526828236         3.2279595912         6.7280605062
        0.1200000000       390.9072494273         3.1669392929         1.4756649788         2.3730978433         3.5603962123         6.8226185724
        0.1250000000       395.0753362381         3.1718423878         1.4782173056         2.3730978433         3.6268835366         6.8953654108
        0.1300000000       397.9804067925         3.1752678114         1.4807696325         2.3705459658         3.6933708608         6.9460684570
        0.1350000000       399.6131738712         3.1771959890         1.4858742862         2.3833053531         3.8263455092         6.9745656184
        0.1400000000       399.9684176815         3.1776157893         1.4731126519         2.3884091080         3.4939088881         6.9807657925
        0.1450000000       399.0450025445         3.1765247781         1.4833219594         2.4113760052         3.7598581850         6.9646491580
        0.1500000000       396.8458805258         3.1739292736         1.4986359205         2.4343429023         4.1587821304         6.9262672382
        0.1550000000       393.3780819981         3.1698442027         1.4986359205         2.4419985347         4.1587821304         6.8657427360
        0.1600000000       388.6526931659         3.1642927607         1.4960835936         2.4522060445         4.0922948062         6.7832691425
        0.1650000000       382.6848206235         3.1573058826         1.5088452279         2.4751729416         4.4247314273         6.6791101173
        0.1700000000       375.4935430615         3.1489215419         1.4960835936         2.4930360838         4.0922948062         6.5535986464
        0.1750000000       367.1018502736         3.1391838905         1.5037405742         2.5057954711         4.2917567788         6.4071359774
        0.1800000000       357.5365696605         3.1281422654         1.5190545354         2.5287623683         4.6906807242         6.2401903369
        0.1850000000       346.8282804658         3.1158500870         1.5190545354         2.5466255105         4.6906807242         6.0532954332
        0.1900000000       335.0112160169         3.1023636784         1.5113975548         2.5593848978         4.4912187515         5.8470487506
        0.1950000000       322.1231542844         3.0877410396         1.5241591891         2.5823517949         4.8236553726         5.6221096392
        0.2000000000       308.2052971103         3.0720406111         1.5165022085         2.6027668146         4.6241934000         5.3791972067
        0.2050000000       293.3021384890         3.0553200648         1.5267115159         2.6206299568         4.8901426969         5.1190880198
        0.2100000000       277.4613223251         3.0376351588         1.5598917651         2.6384930990         5.7544779118         4.8426136215
        0.2150000000       260.7334901204         3.0190386955         1.5394731502         2.6614599961         5.2225793180         4.5506578728
        0.2200000000       243.1721190778         2.9995796189         1.5369208233         2.6767712609         5.1560919938         4.2441541270
        0.2250000000       224.8333511409         2.9793022852         1.5394731502         2.6997381580         5.2225793180         3.9240822457
        0.2300000000       205.7758135126         2.9582459387         1.5113975548         2.7073937904         4.4912187515         3.5914654668
        0.2350000000       186.0604312310         2.9364444191         1.5241591891         2.7354644424         4.8236553726         3.2473671327
        0.2400000000       165.7502323973         2.9139261206         1.5165022085         2.7507757072         4.6241934000         2.8928872913
        0.2450000000       144.9101466818         2.8907142192         1.5165022085         2.7686388494         4.6241934000         2.5291591791
        0.2500000000       123.6067977500         2.8668271717         1.5216068622         2.7941576240         4.7571680484         2.1573455986
        0.2550000000       101.9082902734         2.8422794882         1.5088452279         2.7992613789         4.4247314273         1.7786352003
        0.2600000000        79.8839922058         2.8170827662         1.5190545354         2.8298839084         4.6906807242         1.3942386836
        0.2650000000        57.6043130209         2.7912469660         1.4986359205         2.8400914183         4.1587821304         1.0053849256
        0.2700000000        35.1404786203         2.7647819020         1.4935312668         2.8528508056         4.0258074819         0.6133170527
        0.2750000000        12.5643036313         2.6584512181         1.4935312668         2.8732658252         4.0258074819         0.2192884666
        0.2800000000       -10.0520381773         2.3901051190         1.4960835936         2.8936808449         4.0922948062        -0.1754411627
        0.2850000000       -32.6362446273         2.2498294934         1.4807696325         2.9038883547         3.6933708608        -0.5696099242
        0.2900000000       -55.1161162739         2.2119813745         1.4501417102         2.9166477420         2.8955229701        -0.9619576999
        0.2950000000       -77.4197872203         2.1764247557         1.4322754222         2.9243033744         2.4301117005        -1.3512301932
        0.3000000000       -99.4759548659         2.1430162650         1.4016475000         2.9319590068         1.6322638098        -1.7361829390
        0.3050000000      -121.2141078531         2.1116093509         1.3710195777         2.9370627617         0.8344159190        -2.1155852819
        0.3100000000      -142.5647514853         2.0820597037         1.3480486360         2.9421665166         0.2360300010        -2.4882243107
        0.3150000000      -163.4596298945         2.0542299400         1.3225253674         2.9345108842        -0.4288432413        -2.8529087358
        0.3200000000      -183.8319442486         2.0279934813         1.3454963091         2.9498221490         0.1695426768        -3.2084726975
        0.3250000000      -203.6165663001         2.0032375906         1.3480486360         2.9472702715         0.2360300010        -3.5537794935
        0.3300000000      -222.7502465953         1.9798655614         1.3250776943         2.9396146392        -0.3623559170        -3.8877252127
        0.3350000000      -241.1718166756         1.9577980815         1.2408509080         2.9345108842        -2.5564376165        -4.2092422640
        0.3400000000      -258.8223846278         1.9369738192         1.2867927914         2.9243033744        -1.3596657804        -4.5173027896
        0.3450000000      -275.6455233549         1.9173492997         1.2561648691         2.9191996195        -2.1575136712        -4.8109219509
        0.3500000000      -291.5874509686         1.8988981545         1.2434032349         2.9140958646        -2.4899502923        -5.0891610769
        0.3550000000      -306.5972027237         1.8816098389         1.2434032349         2.8962327224        -2.4899502923        -5.3511306649
        0.3600000000      -320.6267939483         1.8654879168         1.2357462543         2.8885770900        -2.6894122650        -5.5959932245
        0.3650000000      -333.6313734453         1.8505480183         1.2076706589         2.8681620703        -3.4207728315        -5.8229659546
        0.3700000000      -345.5693668771         1.8368155697         1.2178799663         2.8579545605        -3.1548235346        -6.0313232460
        0.3750000000      -356.4026096753         1.8243233934         1.2076706589         2.8528508056        -3.4207728315        -6.2203990015
        0.3800000000      -366.0964690484         1.8131092690         1.2153276394         2.8426432957        -3.2213108588        -6.3895887648
        0.3850000000      -374.6199546993         1.8032135358         1.1898043709         2.8171245211        -3.8861841010        -6.5383516532
        0.3900000000      -381.9458178987         1.7946768083         1.1923566977         2.8094688888        -3.8196967768        -6.6662120866
        0.3950000000      -388.0506385960         1.7875378675         1.2051183320         2.7992613789        -3.4872601557        -6.7727613080
        0.4000000000      -392.9149002915         1.7818317767         1.1795950634         2.7788463592        -4.1521333980        -6.8576586902
        0.4050000000      -396.5230524278         1.7775882665         1.1898043709         2.7660869720        -3.8861841010        -6.9206328249
        0.4100000000      -398.8635601042         1.7748304184         1.1642811023         2.7431200748        -4.5510573433        -6.9614823900
        0.4150000000      -399.9289409523         1.7735736734         1.1642811023         2.7303606875        -4.5510573433        -6.9800767936
        0.4200000000      -399.7157890562         1.7738251823         1.1719380829         2.7099456679        -4.3515953706        -6.9763565912
        0.4250000000      -398.2247858412         1.7755835085         1.1566241217         2.6895306482        -4.7505193160        -6.9503336760
        0.4300000000      -395.4606978952         1.7788386871         1.1566241217         2.6691156285        -4.7505193160        -6.9020912405
        0.4350000000      -391.4323617302         1.7835726407         1.1540717949         2.6640118736        -4.8170066402        -6.8317835110
        0.4400000000      -386.1526555333         1.7897599450         1.1591764486         2.6410449765        -4.6840319918        -6.7396352544
        0.4450000000      -379.6384579961         1.7973689302         1.1387578337         2.6180780793        -5.2159305856        -6.6259410592
        0.4500000000      -371.9105943553         1.8063631002         1.1591764486         2.6078705695        -4.6840319918        -6.4910643945
        0.4550000000      -362.9937698164         1.8167028416         1.1489671412         2.5849036724        -4.9499812887        -6.3354364475
        0.4600000000      -352.9164905740         1.8283473874         1.1515194680         2.5644886527        -4.8834939645        -6.1595547451
        0.4650000000      -341.7109726797         1.8412569908         1.1515194680         2.5466255105        -4.8834939645        -5.9639815635
        0.4700000000      -329.4130390514         1.8553952546         1.1413101606         2.5262104908        -5.1494432614        -5.7493421304
