% f=5.00Hz  n_cycles=5  N_total=200  dt=0.005000
% Amp=1.0000V  K_lin=7.165500
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3352870017         2.7456719523        -0.0608359017         0.0000000000
        0.0050000000         0.1564344650         2.7985414235         1.3352870017         2.7482238297        -0.0608359017         1.1209311592
        0.0100000000         0.3090169944         2.8600303462         1.3378393285         2.7456719523         0.0056514226         2.2142612732
        0.0150000000         0.4539904997         2.9197068910         1.3454963091         2.7507757072         0.2051133952         3.2530689259
        0.0200000000         0.5877852523         2.9759363474         1.3327346748         2.7380163199        -0.1273232259         4.2117752253
        0.0250000000         0.7071067812         3.0270762550         1.3327346748         2.7405681974        -0.1273232259         5.0667736406
        0.0300000000         0.8090169944         3.0715378373         1.3378393285         2.7456719523         0.0056514226         5.7970112732
        0.0350000000         0.8910065242         3.1078592720         1.3429439823         2.7431200748         0.1386260710         6.3845072491
        0.0400000000         0.9510565163         3.1347861486         1.4654556714         2.7507757072         3.3300176339         6.8147954675
        0.0450000000         0.9876883406         3.1513511616         1.4297230954         2.7609832170         2.3991950947         7.0772808045
        0.0500000000         1.0000000000         3.1569426369         1.4144091342         2.7711907269         2.0002711494         7.1655000000
        0.0550000000         0.9876883406         3.1513511616         1.4603510177         2.7865019916         3.1970429854         7.0772808045
        0.0600000000         0.9510565163         3.1347861486         1.4858742862         2.7967095015         3.8619162277         6.8147954675
        0.0650000000         0.8910065242         3.1078592720         1.4603510177         2.8120207662         3.1970429854         6.3845072491
        0.0700000000         0.8090169944         3.0715378373         1.4884266131         2.8247801535         3.9284035519         5.7970112732
        0.0750000000         0.7071067812         3.0270762550         1.4756649788         2.8247801535         3.5959669308         5.0667736406
        0.0800000000         0.5877852523         2.9759363474         1.4833219594         2.8528508056         3.7954289035         4.2117752253
        0.0850000000         0.4539904997         2.9197068910         1.4833219594         2.8579545605         3.7954289035         3.2530689259
        0.0900000000         0.3090169944         2.8600303462         1.4884266131         2.8732658252         3.9284035519         2.2142612732
        0.0950000000         0.1564344650         2.7985414235         1.4782173056         2.8911289674         3.6624542550         1.1209311592
        0.1000000000         0.0000000000         2.5000000000         1.4807696325         2.9089921097         3.7289415793         0.0000000000
        0.1050000000        -0.1564344650         2.1949233660         1.4680079982         2.9140958646         3.3965049581        -1.1209311592
        0.1100000000        -0.3090169944         2.1302493416         1.4577986908         2.9268552519         3.1305556612        -2.2142612732
        0.1150000000        -0.4539904997         2.0676102662         1.4297230954         2.9396146392         2.3991950947        -3.2530689259
        0.1200000000        -0.5877852523         2.0087121548         1.3888858657         2.9498221490         1.3353979071        -4.2117752253
        0.1250000000        -0.7071067812         1.9552543189         1.3480486360         2.9472702715         0.2716007195        -5.0667736406
        0.1300000000        -0.8090169944         1.9088663533         1.3148683868         2.9549259039        -0.5927344955        -5.7970112732
        0.1350000000        -0.8910065242         1.8710353147         1.3327346748         2.9498221490        -0.1273232259        -6.3845072491
        0.1400000000        -0.9510565163         1.8430278723         1.3352870017         2.9447183941        -0.0608359017        -6.8147954675
        0.1450000000        -0.9876883406         1.8258148806         1.3327346748         2.9523740265        -0.1273232259        -7.0772808045
        0.1500000000        -1.0000000000         1.8200076144         1.2127753126         2.9421665166        -3.2522274645        -7.1655000000
        0.1550000000        -0.9876883406         1.8258148806         1.2229846200         2.9345108842        -2.9862781676        -7.0772808045
        0.1600000000        -0.9510565163         1.8430278723         1.2536125423         2.9243033744        -2.1884302769        -6.8147954675
        0.1650000000        -0.8910065242         1.8710353147         1.2178799663         2.9115439871        -3.1192528161        -6.3845072491
        0.1700000000        -0.8090169944         1.9088663533         1.1846997172         2.8911289674        -3.9835880310        -5.7970112732
        0.1750000000        -0.7071067812         1.9552543189         1.2000136783         2.8809214576        -3.5846640857        -5.0667736406
        0.1800000000        -0.5877852523         2.0087121548         1.2408509080         2.8656101929        -2.5208668981        -4.2117752253
        0.1850000000        -0.4539904997         2.0676102662         1.2051183320         2.8554026830        -3.4516894372        -3.2530689259
        0.1900000000        -0.3090169944         2.1302493416         1.2025660052         2.8477470506        -3.5181767615        -2.2142612732
        0.1950000000        -0.1564344650         2.1949233660         1.2102229857         2.8324357859        -3.3187147888        -1.1209311592
        0.2000000000        -0.0000000000         2.5000000000         1.2204322931         2.8145726437        -3.0527654919        -0.0000000000
        0.2050000000         0.1564344650         2.7985414235         1.2229846200         2.8069170113        -2.9862781676         1.1209311592
        0.2100000000         0.3090169944         2.8600303462         1.2357462543         2.7916057465        -2.6538415465         2.2142612732
        0.2150000000         0.4539904997         2.9197068910         1.2842404646         2.7788463592        -1.3905823862         3.2530689259
        0.2200000000         0.5877852523         2.9759363474         1.3250776943         2.7890538691        -0.3267851986         4.2117752253
        0.2250000000         0.7071067812         3.0270762550         1.3429439823         2.7839501142         0.1386260710         5.0667736406
        0.2300000000         0.8090169944         3.0715378373         1.3403916554         2.7762944818         0.0721387468         5.7970112732
        0.2350000000         0.8910065242         3.1078592720         1.3403916554         2.7839501142         0.0721387468         6.3845072491
        0.2400000000         0.9510565163         3.1347861486         1.3352870017         2.7839501142        -0.0608359017         6.8147954675
        0.2450000000         0.9876883406         3.1513511616         1.3531532897         2.7916057465         0.4045753679         7.0772808045
        0.2500000000         1.0000000000         3.1569426369         1.4399324028         2.7865019916         2.6651443916         7.1655000000
        0.2550000000         0.9876883406         3.1513511616         1.4552463639         2.7967095015         3.0640683370         7.0772808045
        0.2600000000         0.9510565163         3.1347861486         1.4322754222         2.8196763986         2.4656824189         6.8147954675
        0.2650000000         0.8910065242         3.1078592720         1.4475893834         2.8222282761         2.8646063643         6.3845072491
        0.2700000000         0.8090169944         3.0715378373         1.4909789399         2.8349876633         3.9948908762         5.7970112732
        0.2750000000         0.7071067812         3.0270762550         1.4654556714         2.8502989281         3.3300176339         5.0667736406
        0.2800000000         0.5877852523         2.9759363474         1.4705603251         2.8630583154         3.4629922823         4.2117752253
        0.2850000000         0.4539904997         2.9197068910         1.4807696325         2.8809214576         3.7289415793         3.2530689259
        0.2900000000         0.3090169944         2.8600303462         1.4731126519         2.8834733351         3.5294796066         2.2142612732
        0.2950000000         0.1564344650         2.7985414235         1.4756649788         2.9038883547         3.5959669308         1.1209311592
        0.3000000000         0.0000000000         2.5000000000         1.4807696325         2.9191996195         3.7289415793         0.0000000000
        0.3050000000        -0.1564344650         2.1949233660         1.4680079982         2.9370627617         3.3965049581        -1.1209311592
        0.3100000000        -0.3090169944         2.1302493416         1.4373800759         2.9370627617         2.5986570674        -2.2142612732
        0.3150000000        -0.4539904997         2.0676102662         1.4220661148         2.9447183941         2.1997331220        -3.2530689259
        0.3200000000        -0.5877852523         2.0087121548         1.3582579434         2.9523740265         0.5375500164        -4.2117752253
        0.3250000000        -0.7071067812         1.9552543189         1.3378393285         2.9600296588         0.0056514226        -5.0667736406
        0.3300000000        -0.8090169944         1.9088663533         1.3225253674         2.9472702715        -0.3932725228        -5.7970112732
        0.3350000000        -0.8910065242         1.8710353147         1.3403916554         2.9498221490         0.0721387468        -6.3845072491
        0.3400000000        -0.9510565163         1.8430278723         1.3352870017         2.9549259039        -0.0608359017        -6.8147954675
        0.3450000000        -0.9876883406         1.8258148806         1.3301823480         2.9549259039        -0.1938105501        -7.0772808045
        0.3500000000        -1.0000000000         1.8200076144         1.1923566977         2.9447183941        -3.7841260584        -7.1655000000
