% Designation Loop (PD + Notch)  psi_cmd=+20.000deg
% Kp=72.9511  Kd=2.1545  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395318V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0004195000      1527.1539229829         5.0000000000         1.3939905194         2.4981398388        -0.0345734086        -0.8754364435
        0.0057414000      1485.3935910902         5.0000000000         1.3990951731         2.5032435937         0.0984012399        -0.5280058810
        0.0107049000      1455.5828736225         5.0000000000         1.3965428462         2.5108992261         0.0319139156        -0.0068600373
        0.0155347000      1349.7358310339         5.0000000000         1.3939905194         2.5338661232        -0.0345734086         1.5565774939
        0.0205195000      1231.2160675917         4.5933685569         1.3914381925         2.5593848978        -0.1010607328         3.2937303063
        0.0257211000       953.1393152432         3.8645408411         1.3990951731         2.6104224470         0.0984012399         6.7680359312
        0.0307089000       858.5187806509         3.6954208961         1.3812288851         2.6410449765        -0.3670100297         8.8526193061
        0.0357096000       551.3544172633         3.2958795891         1.3939905194         2.6946344031        -0.0345734086        12.5006402122
        0.0406372000       382.1437704072         3.1195661311         1.3914381925         2.7303606875        -0.1010607328        14.9326541496
        0.0455853000       150.2926257120         2.8725531259         1.3965428462         2.7737426043         0.0319139156        17.8858139307
        0.0505336000       -61.4014594654         2.2179120099         1.3914381925         2.8196763986        -0.1010607328        21.0126889931
        0.0556632000      -217.9393854680         2.0229205145         1.3888858657         2.8528508056        -0.1675480571        23.2709876493
        0.0606592000      -528.8459181878         1.6849248637         1.4067521537         2.9038883547         0.2978632125        26.7452932742
        0.0656615000      -639.8813429657         1.5522419588         1.3939905194         2.9345108842        -0.0345734086        28.8298766491
        0.0706628000      -673.4342297655         1.5087371181         1.3965428462         2.9396146392         0.0319139156        29.1773072116
        0.0756797000      -749.4705548865         1.4025572150         1.3965428462         2.9549259039         0.0319139156        30.2195988990
        0.0806607000      -765.1623386436         1.3791666183         1.4093044805         2.9498221490         0.3643505368        29.8721683365
        0.0856402000      -673.4342297655         1.5087371181         1.3965428462         2.9396146392         0.0319139156        29.1773072116
        0.0906091000      -598.8441175016         1.6030948039         1.3812288851         2.9345108842        -0.3670100297        28.8298766491
        0.0956648000      -572.7755693661         1.6342194404         1.3888858657         2.9243033744        -0.1675480571        28.1350155241
        0.1006479000      -520.6384730950         1.6941879397         1.4041998268         2.9038883547         0.2313758883        26.7452932742
        0.1054957000      -391.6153080849         1.8342662717         1.3837812120         2.8911289674        -0.3005227055        25.8767168679
        0.1106057000      -282.0260961641         1.9515665584         1.3812288851         2.8707139478        -0.3670100297        24.4869946180
        0.1156647000      -292.5294977320         1.9401475586         1.4041998268         2.8579545605         0.2313758883        23.6184182118
        0.1206797000      -161.3370134363         2.0892976562         1.4067521537         2.8298839084         0.2978632125        21.7075501181
        0.1255747000         0.5159319451         2.5031017222         1.3761242314         2.8171245211        -0.4999846782        20.8389737119
        0.1306348000        81.7406392553         2.7930981863         1.3863335388         2.7941576240        -0.2340353813        19.2755361807
        0.1355365000        54.0992410732         2.7599340564         1.4067521537         2.7865019916         0.2978632125        18.7543903370
        0.1406568000       175.6380674190         2.9009962625         1.3965428462         2.7686388494         0.0319139156        17.5383833683
        0.1457818000       346.4215643217         3.0828432273         1.3710195777         2.7507757072        -0.6329593266        16.3223763996
        0.1506690000       206.1718913152         2.9346605194         1.4067521537         2.7558794621         0.2978632125        16.6698069620
        0.1556761000       281.4851100077         3.0153027400         1.3990951731         2.7456719523         0.0984012399        15.9749458371
        0.1606802000       356.7983287002         3.0935299855         1.3914381925         2.7354644424        -0.1010607328        15.2800847121
        0.1656672000       330.7297805646         3.0666391924         1.3837812120         2.7456719523        -0.3005227055        15.9749458371
        0.1705849000       218.8446121687         2.9484535422         1.4067521537         2.7533275847         0.2978632125        16.4960916808
        0.1756763000       288.9694486720         3.0231625957         1.3888858657         2.7507757072        -0.1675480571        16.3223763996
        0.1806596000       250.2281796829         2.9822023165         1.3812288851         2.7635350945        -0.3670100297        17.1909528058
        0.1856716000       104.7901244872         2.8202456921         1.4067521537         2.7762944818         0.2978632125        18.0595292120
        0.1906613000       124.9471840050         2.8436220162         1.3965428462         2.7788463592         0.0319139156        18.2332444932
        0.1956626000       136.8967984300         2.8573248797         1.3888858657         2.7813982367        -0.1675480571        18.4069597745
        0.2006584000       -21.9370840478         2.2739056636         1.4067521537         2.8018132564         0.2978632125        19.7966820244
        0.2056499000       -30.8676355691         2.2609369982         1.4016475000         2.8069170113         0.1648885641        20.1441125869
        0.2105040000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.2155136000       -60.6783530368         2.2189083428         1.3990951731         2.8145726437         0.0984012399        20.6652584306
        0.2205648000       -52.4709079440         2.2302920201         1.3965428462         2.8145726437         0.0319139156        20.6652584306
        0.2254673000       -10.7105760513         2.3792359113         1.3914381925         2.8094688888        -0.1010607328        20.3178278682
        0.2305082000       -39.7981870905         2.2481463145         1.3965428462         2.8120207662         0.0319139156        20.4915431494
        0.2355227000       -52.4709079440         2.2302920201         1.3965428462         2.8145726437         0.0319139156        20.6652584306
        0.2404703000       -60.6783530368         2.2189083428         1.3990951731         2.8145726437         0.0984012399        20.6652584306
        0.2454660000       -52.4709079440         2.2302920201         1.3965428462         2.8145726437         0.0319139156        20.6652584306
        0.2505716000      -110.6461300223         2.1524197873         1.4067521537         2.8196763986         0.2978632125        21.0126889931
        0.2555420000      -102.4386849295         2.1630278064         1.4041998268         2.8196763986         0.2313758883        21.0126889931
        0.2604627000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.2655177000        27.3075865092         2.7271358211         1.3914381925         2.8018132564        -0.1010607328        19.7966820244
        0.2705367000       -72.6279674618         2.2025778758         1.4067521537         2.8120207662         0.2978632125        20.4915431494
        0.2755033000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.2804409000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.2855321000        23.5654171770         2.7225024701         1.3965428462         2.7992613789         0.0319139156        19.6229667432
        0.2905434000       147.4001999979         2.8692767438         1.3659149240         2.7941576240        -0.7659339751        19.2755361807
        0.2955468000         7.1505269914         2.5763034244         1.4016475000         2.7992613789         0.1648885641        19.6229667432
        0.3004911000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.3055434000        18.3770349878         2.7001692353         1.3863335388         2.8069170113        -0.2340353813        20.1441125869
        0.3104615000        73.5331941625         2.7833211427         1.3888858657         2.7941576240        -0.1675480571        19.2755361807
        0.3155789000        44.4455831233         2.7481912095         1.3939905194         2.7967095015        -0.0345734086        19.4492514619
        0.3210806000        65.3257490697         2.7734850466         1.3914381925         2.7941576240        -0.1010607328        19.2755361807
        0.3255821000        -5.5221938621         2.4364810642         1.4016475000         2.8018132564         0.1648885641        19.7966820244
        0.3307475000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.3357617000        -5.5221938621         2.4364810642         1.4016475000         2.8018132564         0.1648885641        19.7966820244
        0.3405164000        73.5331941625         2.7833211427         1.3888858657         2.7941576240        -0.1675480571        19.2755361807
        0.3456239000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.3505991000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.3555888000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.3604988000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.3657250000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        0.3705154000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.3757252000        28.0306929377         2.7280296464         1.3990951731         2.7967095015         0.0984012399        19.4492514619
        0.3807173000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.3856975000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.3905866000        19.1001414163         2.7081475100         1.3939905194         2.8018132564        -0.0345734086        19.7966820244
        0.3956504000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        0.4007932000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.4056652000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.4110219000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.4156240000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.4208580000        13.9117592271         2.6509023571         1.3837812120         2.8094688888        -0.3005227055        20.3178278682
        0.4257539000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.4305817000       -47.2825257548         2.2375605298         1.4067521537         2.8069170113         0.2978632125        20.1441125869
        0.4355976000        44.4455831233         2.7481912095         1.3939905194         2.7967095015        -0.0345734086        19.4492514619
        0.4407457000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
        0.4455912000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
        0.4507311000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.4556409000       -39.0750806619         2.2491754681         1.4041998268         2.8069170113         0.2313758883        20.1441125869
        0.4607127000        73.5331941625         2.7833211427         1.3888858657         2.7941576240        -0.1675480571        19.2755361807
        0.4659731000       -59.9552466083         2.2199057376         1.4067521537         2.8094688888         0.2978632125        20.3178278682
        0.4705997000        15.3579720842         2.6668589064         1.3990951731         2.7992613789         0.0984012399        19.6229667432
        0.4756070000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.4807509000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.4855098000       130.9853098122         2.8505602417         1.3710195777         2.7941576240        -0.6329593266        19.2755361807
        0.4905873000       -47.2825257548         2.2375605298         1.4067521537         2.8069170113         0.2978632125        20.1441125869
        0.4956580000        25.8613736521         2.7253467277         1.3761242314         2.8120207662        -0.4999846782        20.4915431494
        0.5007046000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.5056505000       -18.1949147156         2.2966587040         1.4016475000         2.8043651338         0.1648885641        19.9703973057
        0.5107213000       -18.1949147156         2.2966587040         1.4016475000         2.8043651338         0.1648885641        19.9703973057
        0.5157389000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.5206143000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.5256232000       -30.8676355691         2.2609369982         1.4016475000         2.8069170113         0.1648885641        20.1441125869
        0.5307096000        19.1001414163         2.7081475100         1.3939905194         2.8018132564        -0.0345734086        19.7966820244
        0.5355688000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.5406212000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        0.5456066000        60.8604733090         2.7681086762         1.3888858657         2.7967095015        -0.1675480571        19.4492514619
        0.5506182000       -39.0750806619         2.2491754681         1.4041998268         2.8069170113         0.2313758883        20.1441125869
        0.5555594000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.5605773000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.5657499000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.5705940000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.5755648000        47.4646460269         2.7518726776         1.3812288851         2.8043651338        -0.3670100297        19.9703973057
        0.5805947000       -72.6279674618         2.2025778758         1.4067521537         2.8120207662         0.2978632125        20.4915431494
        0.5855182000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.5905688000       -15.1758518121         2.3299690330         1.3888858657         2.8120207662        -0.1675480571        20.4915431494
        0.5955049000       -56.2130772762         2.2250844492         1.4016475000         2.8120207662         0.1648885641        20.4915431494
        0.6005198000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.6055114000       -59.9552466083         2.2199057376         1.4067521537         2.8094688888         0.2978632125        20.3178278682
        0.6105446000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.6156122000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.6205093000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.6255103000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.6305286000       122.0547582909         2.8402880458         1.3659149240         2.7992613789        -0.7659339751        19.6229667432
        0.6355941000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.6404425000        -6.2453002907         2.4285027896         1.3939905194         2.8069170113        -0.0345734086        20.1441125869
        0.6454075000        46.7415395984         2.7509916670         1.3735719045         2.8094688888        -0.5664720024        20.3178278682
        0.6504027000        27.3075865092         2.7271358211         1.3914381925         2.8018132564        -0.1010607328        19.7966820244
        0.6554376000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        0.6604435000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
        0.6654495000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        0.6704450000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.6754777000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.6804026000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.6854043000        -6.9684067192         2.4205245149         1.3863335388         2.8120207662        -0.2340353813        20.4915431494
        0.6904496000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.6954064000       -48.0056321833         2.2365441128         1.3990951731         2.8120207662         0.0984012399        20.4915431494
        0.7004411000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.7054413000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.7104044000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.7154189000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.7204053000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.7254475000        -6.2453002907         2.4285027896         1.3939905194         2.8069170113        -0.0345734086        20.1441125869
        0.7304412000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.7361623000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.7404057000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.7456043000        34.7919251734         2.7363639248         1.3812288851         2.8069170113        -0.3670100297        20.1441125869
        0.7504376000       -39.0750806619         2.2491754681         1.4041998268         2.8069170113         0.2313758883        20.1441125869
        0.7554090000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.7604613000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.7654427000        27.3075865092         2.7271358211         1.3914381925         2.8018132564        -0.1010607328        19.7966820244
        0.7704484000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.7754939000       -56.2130772762         2.2250844492         1.4016475000         2.8120207662         0.1648885641        20.4915431494
        0.7804484000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        0.7855513000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.7904049000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.7954188000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        0.8004422000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.8059509000        -6.2453002907         2.4285027896         1.3939905194         2.8069170113        -0.0345734086        20.1441125869
        0.8104034000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        0.8154356000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.8204596000       -27.1254662370         2.2663493169         1.3965428462         2.8094688888         0.0319139156        20.3178278682
        0.8254352000       -27.1254662370         2.2663493169         1.3965428462         2.8094688888         0.0319139156        20.3178278682
        0.8304030000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        0.8354361000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.8404414000       122.0547582909         2.8402880458         1.3659149240         2.7992613789        -0.7659339751        19.6229667432
        0.8454213000       -72.6279674618         2.2025778758         1.4067521537         2.8120207662         0.2978632125        20.4915431494
        0.8504567000       -22.6601904763         2.2728488544         1.3990951731         2.8069170113         0.0984012399        20.1441125869
        0.8555054000        89.2249779196         2.8019629145         1.3761242314         2.7992613789        -0.4999846782        19.6229667432
        0.8605115000       -72.6279674618         2.2025778758         1.4067521537         2.8120207662         0.2978632125        20.4915431494
        0.8655441000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        0.8705574000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        0.8755492000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        0.8804965000        60.8604733090         2.7681086762         1.3888858657         2.7967095015        -0.1675480571        19.4492514619
        0.8855798000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.8905081000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.8956806000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.9006670000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        0.9056501000        89.2249779196         2.8019629145         1.3761242314         2.7992613789        -0.4999846782        19.6229667432
        0.9106503000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        0.9156433000        23.5654171770         2.7225024701         1.3965428462         2.7992613789         0.0319139156        19.6229667432
        0.9206446000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        0.9256589000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        0.9306542000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.9356604000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.9406493000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.9456185000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.9504944000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        0.9555762000        19.1001414163         2.7081475100         1.3939905194         2.8018132564        -0.0345734086        19.7966820244
        0.9606192000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.9655893000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        0.9704936000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        0.9757643000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        0.9806676000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
        0.9855870000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        0.9906653000       122.7778647194         2.8411221719         1.3735719045         2.7941576240        -0.5664720024        19.2755361807
        0.9956187000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        1.0005612000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        1.0055943000       -18.9180211442         2.2886804294         1.3939905194         2.8094688888        -0.0345734086        20.3178278682
        1.0105982000        48.9108588840         2.7536332818         1.3965428462         2.7941576240         0.0319139156        19.2755361807
        1.0155313000        52.6530282162         2.7581802083         1.3914381925         2.7967095015        -0.1010607328        19.4492514619
        1.0205173000        76.5522570661         2.7869244056         1.3761242314         2.8018132564        -0.4999846782        19.7966820244
        1.0256151000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        1.0305278000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        1.0355813000         5.7043141343         2.5603468751         1.3863335388         2.8094688888        -0.2340353813        20.3178278682
        1.0405589000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        1.0455499000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        1.0505000000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.0629363000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.0648208000       -72.6279674618         2.2025778758         1.4067521537         2.8120207662         0.2978632125        20.4915431494
        1.0663312000       -52.4709079440         2.2302920201         1.3965428462         2.8145726437         0.0319139156        20.6652584306
        1.0705365000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.0755897000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.0805380000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.0855158000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.0905376000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        1.0955458000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        1.1005347000       -27.1254662370         2.2663493169         1.3965428462         2.8094688888         0.0319139156        20.3178278682
        1.1055600000        59.4142604519         2.7663635760         1.3735719045         2.8069170113        -0.5664720024        20.1441125869
        1.1105472000       -30.8676355691         2.2609369982         1.4016475000         2.8069170113         0.1648885641        20.1441125869
        1.1155643000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.1205408000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.1254480000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        1.1305698000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        1.1355504000        10.8926963235         2.6175920281         1.3965428462         2.8018132564         0.0319139156        19.7966820244
        1.1405458000        48.1877524555         2.7527532157         1.3888858657         2.7992613789        -0.1675480571        19.6229667432
        1.1456186000        -6.9684067192         2.4205245149         1.3863335388         2.8120207662        -0.2340353813        20.4915431494
        1.1504340000         2.6852512307         2.5270365461         1.3990951731         2.8018132564         0.0984012399        19.7966820244
        1.1554036000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.1604032000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.1654421000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        1.1704900000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
        1.1754371000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.1804559000       -39.7981870905         2.2481463145         1.3965428462         2.8120207662         0.0319139156        20.4915431494
        1.1854366000        23.5654171770         2.7225024701         1.3965428462         2.7992613789         0.0319139156        19.6229667432
        1.1904036000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
        1.1954479000       -73.3510738903         2.2015987241         1.3990951731         2.8171245211         0.0984012399        20.8389737119
        1.2004548000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        1.2054558000         6.4274205628         2.5683251498         1.3939905194         2.8043651338        -0.0345734086        19.9703973057
        1.2104439000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.2154509000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.2204063000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        1.2254361000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        1.2304816000        72.0869813054         2.7815922534         1.3735719045         2.8043651338        -0.5664720024        19.9703973057
        1.2354456000        34.7919251734         2.7363639248         1.3812288851         2.8069170113        -0.3670100297        20.1441125869
        1.2404361000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.2455775000       -59.9552466083         2.2199057376         1.4067521537         2.8094688888         0.2978632125        20.3178278682
        1.2506157000       -51.7478015154         2.2313016455         1.4041998268         2.8094688888         0.2313758883        20.3178278682
        1.2555861000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        1.2605703000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        1.2655935000        -5.5221938621         2.4364810642         1.4016475000         2.8018132564         0.1648885641        19.7966820244
        1.2705319000       -56.2130772762         2.2250844492         1.4016475000         2.8120207662         0.1648885641        20.4915431494
        1.2755587000        31.7728622698         2.7326476343         1.3939905194         2.7992613789        -0.0345734086        19.6229667432
        1.2805378000       -14.4527453835         2.3379473076         1.3965428462         2.8069170113         0.0319139156        20.1441125869
        1.2855499000        63.8795362126         2.7717456869         1.3761242314         2.8043651338        -0.4999846782        19.9703973057
        1.2906189000        39.9803073627         2.7427310705         1.3914381925         2.7992613789        -0.1010607328        19.6229667432
        1.2955120000       -18.1949147156         2.2966587040         1.4016475000         2.8043651338         0.1648885641        19.9703973057
        1.3005652000       122.0547582909         2.8402880458         1.3659149240         2.7992613789        -0.7659339751        19.6229667432
        1.3055589000        -1.7800245300         2.4777696679         1.3965428462         2.8043651338         0.0319139156        19.9703973057
        1.3104918000       -43.5403564226         2.2428383956         1.4016475000         2.8094688888         0.1648885641        20.3178278682
        1.3155325000        40.7034137912         2.7436165142         1.3990951731         2.7941576240         0.0984012399        19.2755361807
        1.3205099000       -26.4023598084         2.2673987821         1.4041998268         2.8043651338         0.2313758883        19.9703973057
        1.3255813000       -64.4205223690         2.2137636066         1.4041998268         2.8120207662         0.2313758883        20.4915431494
        1.3306090000        -9.9874696228         2.3872141859         1.3990951731         2.8043651338         0.0984012399        19.9703973057
