% Designation Loop (PD + Notch)  psi_cmd=+20.000deg
% Kp=56.9305  Kd=1.8754  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.338835V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0004677000       996.9840128885         3.9540875688         1.3378393285         2.5415217556        -0.0259300564         2.0777233376
        0.0055951000       940.8831883099         3.8408646551         1.3403916554         2.5415217556         0.0405572678         2.0777233376
        0.0105541000       866.5253042448         3.7085935654         1.3454963091         2.5466255105         0.1735319162         2.4251539001
        0.0154414000       870.2187828097         3.7147357923         1.3403916554         2.5415217556         0.0405572678         2.0777233376
        0.0206513000       793.1470297829         3.5946186490         1.3684672508         2.5364180006         0.7719178343         1.7302927751
        0.0256091000       331.1671800283         3.0670916856         1.5113975548         2.5542811429         4.4952079910         2.9462997438
        0.0305854000       -18.3556036559         2.2948857693         1.6185952828         2.5772480400         7.2876756085         4.5097372750
        0.0355380000         7.6519533737         2.5818358291         1.5905196873         2.6053186920         6.5563150420         6.4206053687
        0.0407276000       -13.8620058662         2.3444651340         1.5879673605         2.6282855892         6.4898277178         7.9840428999
        0.0455372000        33.7697215834         2.7351065858         1.5675487456         2.6461487314         5.9579291240         9.2000498686
        0.0505614000       -15.0141764173         2.3317528516         1.5624440919         2.6767712609         5.8249544755        11.2846332435
        0.0555463000       -59.4829773170         2.2205577223         1.5573394382         2.7048419129         5.6919798270        13.1955013372
        0.0604919000        26.8516810775         2.7265720334         1.5292638428         2.7124975453         4.9606192606        13.7166471809
        0.0655320000       -40.4593778288         2.2472062754         1.5190545354         2.7431200748         4.6946699636        15.8012305558
        0.0705887000       -42.5570440506         2.2442302073         1.5088452279         2.7533275847         4.4287206667        16.4960916808
        0.0756609000       -85.0992619081         2.1858313706         1.4935312668         2.7737426043         4.0297967214        17.8858139307
        0.0806943000       -24.7743851953         2.2697658410         1.4603510177         2.7762944818         3.1654615064        18.0595292120
        0.0857263000       -60.1936194109         2.2195768279         1.4348277491         2.7941576240         2.5005882642        19.2755361807
