% Designation Loop (PD + Notch)  psi_cmd=+30.000deg
% Kp=72.9511  Kd=2.6949  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395445V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0006606000      2184.6190379722         5.0000000000         1.3965428462         2.5108992261         0.0285895494        -0.0068600373
        0.0056744000      2113.3960183033         5.0000000000         1.4016475000         2.5211067359         0.1615641979         0.6880010877
        0.0107332000      2085.6439238703         5.0000000000         1.3990951731         2.5287623683         0.0950768736         1.2091469314
        0.0156695000      1984.2621570423         5.0000000000         1.3990951731         2.5491773879         0.0950768736         2.5988691813
        0.0207496000      1880.4737374883         5.0000000000         1.3965428462         2.5721442851         0.0285895494         4.1623067125
        0.0257068000      1759.1992916287         5.0000000000         1.3888858657         2.6027668146        -0.1708724233         6.2468900875
        0.0306841000      1533.4969689917         5.0000000000         1.3914381925         2.6461487314        -0.1043850990         9.2000498686
        0.0356865000      1313.2474090302         4.8987882739         1.3863335388         2.6946344031        -0.2373597475        12.5006402122
        0.0406679000       978.3039041637         3.9149810162         1.3939905194         2.7558794621        -0.0378977748        16.6698069620
        0.0456819000       720.0361816416         3.4941033788         1.3888858657         2.8120207662        -0.1708724233        20.4915431494
        0.0507293000       347.0745142147         3.0835162932         1.3965428462         2.8809214576         0.0285895494        25.1818557430
        0.0557253000       137.0910223807         2.8575466670         1.3888858657         2.9294071293        -0.1708724233        28.4824460866
        0.0607738000      -223.1979241928         2.0169341663         1.3965428462         2.9957559433         0.0285895494        32.9990433989
        0.0656331000      -515.3099610466         1.7001703990         1.4093044805         3.0442416150         0.3610261706        36.2996337425
        0.0705487000      -817.0486088046         1.2977639164         1.4118568074         3.1029347965         0.4275134948        40.2950852111
        0.0756282000     -1007.1394216071         0.9357702354         1.4118568074         3.1412129584         0.4275134948        42.9008144298
        0.0805535000      -942.4969028929         1.0713667402         1.3863335388         3.1488685908        -0.2373597475        43.4219602735
        0.0856190000      -990.7811335809         0.9714185426         1.3888858657         3.1565242232        -0.1708724233        43.9431061172
        0.0905245000      -909.2920457844         1.1357534722         1.3812288851         3.1463167133        -0.3703343959        43.2482449923
        0.0956456000      -917.1514611859         1.1208209611         1.3863335388         3.1437648359        -0.2373597475        43.0745297110
        0.1006742000      -867.1000349953         1.2127941549         1.3990951731         3.1233498162         0.0950768736        41.6848074611
        0.1056603000      -847.2073559637         1.2473666741         1.4067521537         3.1131423064         0.2945388463        40.9899463361
        0.1106678000      -613.0061607018         1.5858165514         1.3863335388         3.0825197769        -0.2373597475        38.9053629612
        0.1156331000      -568.4074971867         1.6393542049         1.4067521537         3.0570010023         0.2945388463        37.1682101487
        0.1206605000      -433.8208732502         1.7892439464         1.4016475000         3.0340341051         0.1615641979        35.6047726176
        0.1256279000      -228.0112296448         2.0114780717         1.3914381925         3.0008596982        -0.1043850990        33.3464739614
        0.1306543000      -170.1003880527         2.0787645518         1.3990951731         2.9829965560         0.0950768736        32.1304669927
        0.1356526000       -33.1071113903         2.2577130025         1.3965428462         2.9574777814         0.0285895494        30.3933141803
        0.1406727000       116.5588861257         2.8339345056         1.3939905194         2.9294071293        -0.0378977748        28.4824460866
        0.1456326000       253.5521627882         2.9857451005         1.3914381925         2.9038883547        -0.1043850990        26.7452932742
        0.1506561000       336.8084460873         3.0729232298         1.3990951731         2.8809214576         0.0950768736        25.1818557430
        0.1556449000       428.5636020112         3.1671921053         1.3888858657         2.8707139478        -0.1708724233        24.4869946180
        0.1606388000       488.8810963293         3.2295883916         1.3990951731         2.8502989281         0.0950768736        23.0972723680
        0.1656037000       552.2447005968         3.2968426676         1.3990951731         2.8375395408         0.0950768736        22.2286959618
        0.1706353000       548.0708523681         3.2923327599         1.3812288851         2.8528508056        -0.3703343959        23.2709876493
        0.1755666000       486.4744436032         3.2270762770         1.3965428462         2.8528508056         0.0285895494        23.2709876493
        0.1809753000       389.9059822273         3.1275284210         1.4016475000         2.8681620703         0.1615641979        24.3132793367
        0.1855745000       389.9059822273         3.1275284210         1.4016475000         2.8681620703         0.1615641979        24.3132793367
        0.1905967000       347.0745142147         3.0835162932         1.3965428462         2.8809214576         0.0285895494        25.1818557430
        0.1956494000       306.6496989282         3.0416419712         1.3939905194         2.8911289674        -0.0378977748        25.8767168679
        0.2005747000       202.8612793742         2.9310405161         1.3914381925         2.9140958646        -0.1043850990        27.4401543991
        0.2056212000       108.6994707243         2.8248055659         1.3990951731         2.9268552519         0.0950768736        28.3087308053
        0.2106347000        68.2746554377         2.7770259582         1.3965428462         2.9370627617         0.0285895494        29.0035919303
        0.2155737000        20.6298819731         2.7188588123         1.3863335388         2.9549259039        -0.2373597475        30.2195988990
        0.2206273000        -7.1222124599         2.4188275248         1.3837812120         2.9625815363        -0.3038470717        30.7407447427
        0.2256462000       -63.2658585493         2.2153480263         1.3914381925         2.9676852912        -0.1043850990        31.0881753052
        0.2306281000      -113.9567419633         2.1481734410         1.3914381925         2.9778928011        -0.1043850990        31.7830364302
        0.2355646000      -208.1185506132         2.0341752335         1.3990951731         2.9906521883         0.0950768736        32.6516128364
        0.2405357000      -210.5252033393         2.0314079648         1.3965428462         2.9932040658         0.0285895494        32.8253281177
        0.2456870000      -151.9749045238         2.1006663080         1.3914381925         2.9855484334        -0.1043850990        32.3041822739
        0.2506754000      -223.1979241928         2.0169341663         1.3965428462         2.9957559433         0.0285895494        32.9990433989
        0.2556434000      -171.8675835554         2.0766527859         1.3837812120         2.9957559433        -0.3038470717        32.9990433989
        0.2605553000      -253.9961285752         1.9823784937         1.4041998268         2.9957559433         0.2280515221        32.9990433989
        0.2656093000      -253.9961285752         1.9823784937         1.4041998268         2.9957559433         0.2280515221        32.9990433989
        0.2706412000      -167.6937353267         2.0816470314         1.4016475000         2.9804446785         0.1615641979        31.9567517114
        0.2755643000      -109.1434365113         2.1543533384         1.3965428462         2.9727890461         0.0285895494        31.4356058677
        0.2806417000       -81.3913420782         2.1907794540         1.3990951731         2.9651334138         0.0950768736        30.9144600240
        0.2856118000       -63.9053157727         2.2144702376         1.4041998268         2.9574777814         0.2280515221        30.3933141803
        0.2906207000        89.4462489161         2.8022242624         1.3786765582         2.9472702715        -0.4368217202        29.6984530553
        0.2955563000        19.9904247498         2.7179703033         1.3990951731         2.9447183941         0.0950768736        29.5247377740
        0.3007533000        42.9292137307         2.7463390228         1.3965428462         2.9421665166         0.0285895494        29.3510224928
        0.3056631000        91.2134444187         2.8043100302         1.3939905194         2.9345108842        -0.0378977748        28.8298766491
        0.3106750000        55.6019345842         2.7617544117         1.3965428462         2.9396146392         0.0285895494        29.1773072116
        0.3156604000        55.6019345842         2.7617544117         1.3965428462         2.9396146392         0.0285895494        29.1773072116
        0.3207938000       -10.8077796326         2.3781634317         1.4067521537         2.9447183941         0.2945388463        29.5247377740
        0.3256113000        -0.5417115052         2.4914323889         1.4041998268         2.9447183941         0.2280515221        29.5247377740
        0.3306219000        42.9292137307         2.7463390228         1.3965428462         2.9421665166         0.0285895494        29.3510224928
        0.3356358000       117.1983433491         2.8346750200         1.3812288851         2.9396146392        -0.3703343959        29.1773072116
        0.3406017000        45.3358664568         2.7492776853         1.3990951731         2.9396146392         0.0950768736        29.1773072116
        0.3456447000        88.8067916927         2.8014688711         1.3914381925         2.9370627617        -0.1043850990        29.0035919303
        0.3506453000       173.3419894385         2.8984388322         1.3735719045         2.9345108842        -0.5697963686        28.8298766491
        0.3556119000       101.4795125462         2.8163741958         1.3914381925         2.9345108842        -0.1043850990        28.8298766491
        0.3606282000        99.0728598202         2.8135540263         1.3888858657         2.9370627617        -0.1708724233        29.0035919303
        0.3656337000         7.3177038963         2.5781479430         1.3990951731         2.9472702715         0.0950768736        29.6984530553
        0.3706330000        38.1159082787         2.7404459187         1.3914381925         2.9472702715        -0.1043850990        29.6984530553
        0.3756513000       -30.7004586642         2.2611781175         1.3990951731         2.9549259039         0.0950768736        30.2195988990
        0.3806358000       -33.1071113903         2.2577130025         1.3965428462         2.9574777814         0.0285895494        30.3933141803
        0.3856200000       -63.9053157727         2.2144702376         1.4041998268         2.9574777814         0.2280515221        30.3933141803
        0.3906636000        38.7553655021         2.7412300437         1.3786765582         2.9574777814        -0.4368217202        30.3933141803
        0.3956528000       -56.0459003712         2.2253164727         1.3990951731         2.9600296588         0.0950768736        30.5670294615
        0.4006559000      -101.9234783332         2.1636976036         1.4041998268         2.9651334138         0.2280515221        30.9144600240
        0.4056284000        46.6147809035         2.7508371794         1.3735719045         2.9600296588        -0.5697963686        30.5670294615
        0.4106401000       -33.1071113903         2.2577130025         1.3965428462         2.9574777814         0.0285895494        30.3933141803
        0.4156858000         2.5043984442         2.5250411370         1.3939905194         2.9523740265        -0.0378977748        30.0458836178
        0.4206333000       -33.1071113903         2.2577130025         1.3965428462         2.9574777814         0.0285895494        30.3933141803
        0.4255986000      -112.1895464607         2.1504378280         1.4067521537         2.9651334138         0.2945388463        30.9144600240
        0.4305931000       -45.7798322438         2.2396763043         1.3965428462         2.9600296588         0.0285895494        30.5670294615
        0.4355947000       -68.7186212247         2.2078892139         1.3990951731         2.9625815363         0.0950768736        30.7407447427
        0.4405806000       -45.7798322438         2.2396763043         1.3965428462         2.9600296588         0.0285895494        30.5670294615
        0.4455787000       -71.1252739508         2.2046159244         1.3965428462         2.9651334138         0.0285895494        30.9144600240
        0.4504971000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.4555564000       -53.6392476452         2.2286630487         1.4016475000         2.9574777814         0.1615641979        30.3933141803
        0.4605395000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.4655971000        79.1801807886         2.7900543624         1.3812288851         2.9472702715        -0.3703343959        29.6984530553
        0.4705542000       -48.8259421932         2.2353924033         1.4067521537         2.9523740265         0.2945388463        30.0458836178
        0.4754878000        -5.3550169572         2.4383255828         1.3990951731         2.9498221490         0.0950768736        29.8721683365
        0.4804823000        30.2564928772         2.7307779220         1.3965428462         2.9447183941         0.0285895494        29.5247377740
        0.4854743000         7.3177038963         2.5781479430         1.3990951731         2.9472702715         0.0950768736        29.6984530553
        0.4905203000        30.2564928772         2.7307779220         1.3965428462         2.9447183941         0.0285895494        29.5247377740
        0.4956262000        30.2564928772         2.7307779220         1.3965428462         2.9447183941         0.0285895494        29.5247377740
        0.5006256000       147.9965477315         2.8699527766         1.3735719045         2.9396146392        -0.5697963686        29.1773072116
        0.5056205000        42.9292137307         2.7463390228         1.3965428462         2.9421665166         0.0285895494        29.3510224928
        0.5106330000        63.4613499857         2.7712423887         1.3914381925         2.9421665166        -0.1043850990        29.3510224928
        0.5156053000        63.4613499857         2.7712423887         1.3914381925         2.9421665166        -0.1043850990        29.3510224928
