% Designation Loop (PD + Notch)  psi_cmd=-10.000deg
% Kp=72.9511  Kd=2.6949  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395445V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0005365000     -2913.1329488298         0.0000000000         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.0057458000     -2971.6832476452         0.0000000000         1.4016475000         2.9574777814         0.1615641979        30.3933141803
        0.0104817000     -2946.3378059382         0.0000000000         1.4016475000         2.9523740265         0.1615641979        30.0458836178
        0.0155591000     -2773.7330194413         0.0000000000         1.3965428462         2.9217514970         0.0285895494        27.9613002429
        0.0204995000     -2578.1894439633         0.0000000000         1.3888858657         2.8885770900        -0.1708724233        25.7030015867
        0.0255155000     -2431.5695563968         0.0000000000         1.3965428462         2.8528508056         0.0285895494        23.2709876493
        0.0304688000     -2251.7448117217         0.0000000000         1.3990951731         2.8145726437         0.0950768736        20.6652584306
        0.0354859000     -1893.8625178743         0.0000000000         1.3888858657         2.7507757072        -0.1708724233        16.3223763996
        0.0404847000     -1686.2856787663         0.0000000000         1.3939905194         2.7048419129        -0.0378977748        13.1955013372
        0.0455028000     -1394.8130991358         0.0000000000         1.3939905194         2.6461487314        -0.0378977748         9.2000498686
        0.0505469000     -1121.4660030342         0.6591558266         1.4016475000         2.5849036724         0.1615641979         5.0308831188
        0.0556407000      -692.3606895178         1.4833449421         1.3863335388         2.5108992261        -0.2373597475        -0.0068600373
        0.0606979000      -441.9523823972         1.7805127228         1.3965428462         2.4522060445         0.0285895494        -4.0023115059
        0.0656121000       -81.6634358238         2.1904154745         1.3888858657         2.3858572306        -0.1708724233        -8.5189088182
        0.0706054000       181.4175921503         2.9074171514         1.3990951731         2.3246121715         0.0950768736       -12.6880755681
        0.0754971000       521.1744024688         3.2635653148         1.3965428462         2.2582633576         0.0285895494       -17.2046728804
        0.0805689000       822.9130502267         3.6390910603         1.3939905194         2.1995701761        -0.0378977748       -21.2001243490
        0.0855548000      1033.5359992842         4.0349788189         1.3888858657         2.1612920142        -0.1708724233       -23.8058535676
        0.0905810000      1109.5723244052         4.2237124405         1.3888858657         2.1459807494        -0.1708724233       -24.8481452551
        0.0955732000      1050.3825683664         4.0743182194         1.4067521537         2.1434288720         0.2945388463       -25.0218605363
        0.1005648000      1073.3213573474         4.1300915653         1.4041998268         2.1408769945         0.2280515221       -25.1955758176
        0.1055215000      1107.1656716792         4.2172806872         1.3863335388         2.1485326269        -0.2373597475       -24.6744299738
        0.1105637000       939.3741906343         3.8379886221         1.3965428462         2.1740514015         0.0285895494       -22.9372771614
        0.1154687000       904.4021380232         3.7736341381         1.3863335388         2.1893626662        -0.2373597475       -21.8949854739
        0.1205788000       844.0846437051         3.6721524147         1.3761242314         2.2097776859        -0.5033090444       -20.5052632240
        0.1255484000       684.1525780616         3.4486079031         1.3812288851         2.2378483379        -0.3703343959       -18.5943951303
        0.1307804000       389.6338884817         3.1272493591         1.3914381925         2.2888858871        -0.1043850990       -15.1200895055
        0.1355781000       206.1235766339         2.9346077401         1.4118568074         2.3093009068         0.4275134948       -13.7303672555
        0.1406126000       153.6654977173         2.8763657030         1.3965428462         2.3322678039         0.0285895494       -12.1669297243
        0.1457329000       121.7395550556         2.8399243165         1.3761242314         2.3552347011        -0.5033090444       -10.6034921931
        0.1507166000      -150.4798027667         2.1024932826         1.3965428462         2.3935128629         0.0285895494        -7.9977629745
        0.1557150000      -285.0664267032         1.9482548276         1.4016475000         2.4164797601         0.1615641979        -6.4343254433
        0.1605835000      -432.3257714931         1.7908467183         1.4067521537         2.4419985347         0.2945388463        -4.6971726309
        0.1658871000      -464.2517141548         1.7564246059         1.3863335388         2.4649654318        -0.2373597475        -3.1337350997
        0.1705546000      -632.6826524231         1.5613406085         1.4093044805         2.4802766965         0.3610261706        -2.0914434122
        0.1757282000      -494.4104613139         1.7234147267         1.3812288851         2.4751729416        -0.3703343959        -2.4388739747
        0.1806311000      -574.1323536077         1.6326199920         1.4041998268         2.4726210642         0.2280515221        -2.6125892559
        0.1856045000      -543.9736064486         1.6676878939         1.4093044805         2.4624135543         0.3610261706        -3.3074503809
        0.1906621000      -372.4965582309         1.8545801938         1.3761242314         2.4547579220        -0.5033090444        -3.8285962247
        0.1957135000      -363.5094045502         1.8641298629         1.3990951731         2.4343429023         0.0950768736        -5.2183184746
        0.2006019000      -301.9129957853         1.9299951739         1.3837812120         2.4343429023        -0.3038470717        -5.2183184746
        0.2056843000      -343.6167255186         1.8852975386         1.4067521537         2.4241353924         0.2945388463        -5.9131795996
        0.2104679000      -183.6846598752         2.0626338754         1.4016475000         2.3960647404         0.1615641979        -7.8240476932
        0.2156142000      -110.0549874802         2.1531799656         1.3990951731         2.3833053531         0.0950768736        -8.6926240995
        0.2207224000      -117.9144028816         2.1431212441         1.4041998268         2.3807534756         0.2280515221        -8.8663393807
        0.2255662000        17.3116782782         2.6884147991         1.3863335388         2.3679940883        -0.2373597475        -9.7349157869
        0.2305857000        11.2194583794         2.6211973029         1.4067521537         2.3526828236         0.2945388463       -10.7772074744
        0.2355406000       115.6473351568         2.8328783182         1.3965428462         2.3399234363         0.0285895494       -11.6457838806
        0.2404832000       222.4818646602         2.9523940689         1.3888858657         2.3246121715        -0.1708724233       -12.6880755681
        0.2454536000       148.2127350419         2.8701977841         1.4041998268         2.3271640490         0.2280515221       -12.5143602868
        0.2504391000       181.4175921503         2.9074171514         1.3990951731         2.3246121715         0.0950768736       -12.6880755681
        0.2557336000       227.9346273356         2.9582866765         1.3812288851         2.3297159265        -0.3703343959       -12.3406450056
        0.2604084000       166.3382185708         2.8906144900         1.3965428462         2.3297159265         0.0285895494       -12.3406450056
        0.2654271000       130.7267087363         2.8502636877         1.3990951731         2.3348196814         0.0950768736       -11.9932144431
        0.2704508000       112.6012252074         2.8293439322         1.4067521537         2.3322678039         0.2945388463       -12.1669297243
        0.2754453000        99.9285043539         2.8145572488         1.4067521537         2.3348196814         0.2945388463       -11.9932144431
        0.2804493000        84.8491307744         2.7967858650         1.4041998268         2.3399234363         0.2280515221       -11.6457838806
        0.2856667000       154.3049549407         2.8770875541         1.3837812120         2.3424753138        -0.3038470717       -11.4720685994
        0.2904100000       148.8521922652         2.8709222792         1.3914381925         2.3373715588        -0.1043850990       -11.8194991618
        0.2954462000       113.2406824307         2.8300865241         1.3939905194         2.3424753138        -0.0378977748       -11.4720685994
        0.3004545000       -39.4714250346         2.2486112344         1.4067521537         2.3628903334         0.2945388463       -10.0823463494
        0.3054095000         3.9995002013         2.5415370938         1.3990951731         2.3603384560         0.0950768736       -10.2560616306
        0.3104402000        83.0819352717         2.7946904235         1.3888858657         2.3526828236        -0.1708724233       -10.7772074744
        0.3154434000        -0.8138052507         2.4884302878         1.3939905194         2.3654422109        -0.0378977748        -9.9086310682
        0.3204819000        45.0637727112         2.7489457062         1.3888858657         2.3603384560        -0.1708724233       -10.2560616306
        0.3254622000        32.3910518577         2.7334092691         1.3888858657         2.3628903334        -0.1708724233       -10.0823463494
        0.3304157000       -92.5689611746         2.1759409457         1.4041998268         2.3756497207         0.2280515221        -9.2137699432
        0.3355156000       -92.5689611746         2.1759409457         1.4041998268         2.3756497207         0.2280515221        -9.2137699432
        0.3404519000       -46.6913832127         2.2383922788         1.3990951731         2.3705459658         0.0950768736        -9.5612005057
        0.3454416000       -46.6913832127         2.2383922788         1.3990951731         2.3705459658         0.0950768736        -9.5612005057
