% Designation Loop (PD + Notch)  psi_cmd=-20.000deg
% Kp=72.9511  Kd=2.1545  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395420V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0004790000     -1640.2740269513         0.0000000000         1.3888858657         2.5517292654        -0.1702075500         2.7725844626
        0.0055744000     -1690.2418039368         0.0000000000         1.3965428462         2.5568330203         0.0292544227         3.1200150251
        0.0105056000     -1580.6525920159         0.0000000000         1.3939905194         2.5364180006        -0.0372329016         1.7302927751
        0.0154596000     -1542.6344294554         0.0000000000         1.3939905194         2.5287623683        -0.0372329016         1.2091469314
        0.0213000000     -1368.9585068386         0.0000000000         1.3990951731         2.4904842064         0.0957417469        -1.3965822872
        0.0254953000     -1170.6602489433         0.5241582553         1.3965428462         2.4522060445         0.0292544227        -4.0023115059
        0.0304845000      -926.1363833946         1.1035185513         1.3914381925         2.4062722502        -0.1037202258        -7.1291865683
        0.0354663000      -752.4604607778         1.3981421283         1.3965428462         2.3679940883         0.0292544227        -9.7349157869
        0.0404850000      -399.0704897368         1.8263383919         1.3812288851         2.3067490293        -0.3696695227       -13.9040825368
        0.0454671000      -212.7218462665         2.0288874638         1.3863335388         2.2659189900        -0.2366948742       -16.6835270366
        0.0504385000        40.7325708035         2.7436522069         1.3863335388         2.2148814408        -0.2366948742       -20.1578326615
        0.0555293000       189.7861581419         2.9166732565         1.3990951731         2.1766032789         0.0957417469       -22.7635618802
        0.0606127000       325.4439181983         3.0611668454         1.4041998268         2.1459807494         0.2287163953       -24.8481452551
        0.0654718000       590.8479496932         3.3392463141         1.3965428462         2.0974950777         0.0292544227       -28.1487355987
        0.0707119000       667.6073812428         3.4283496237         1.4041998268         2.0770800580         0.2287163953       -29.5384578486
        0.0754730000       692.9528229498         3.4595608041         1.4041998268         2.0719763031         0.2287163953       -29.8858884111
        0.0804615000       692.9528229498         3.4595608041         1.4041998268         2.0719763031         0.2287163953       -29.8858884111
        0.0854706000       713.8329888961         3.4860759361         1.4016475000         2.0694244256         0.1622290711       -30.0596036924
        0.0904531000       696.6949922819         3.4642573461         1.3990951731         2.0745281806         0.0957417469       -29.7121731299
        0.0954388000       641.5388331073         3.3972503227         1.3965428462         2.0872875679         0.0292544227       -28.8435967237
        0.1011203000       528.2074518543         3.2710414880         1.4041998268         2.1051507101         0.2287163953       -27.6275897550
        0.1054657000       422.3604092656         3.1608205484         1.4016475000         2.1281176072         0.1622290711       -26.0641522238
        0.1106501000       392.5496917979         3.1302397186         1.3990951731         2.1357732396         0.0957417469       -25.5430063800
        0.1154477000       423.9332593122         3.1624356544         1.3735719045         2.1459807494        -0.5691314954       -24.8481452551
        0.1204173000       306.8597087271         3.0418607825         1.3863335388         2.1612920142        -0.2366948742       -23.8058535676
        0.1254529000       156.2332713421         2.8792624725         1.4016475000         2.1817070338         0.1622290711       -22.4161313177
        0.1304311000       116.7688959245         2.8341777414         1.3863335388         2.1995701761        -0.2366948742       -21.2001243490
        0.1354477000        54.1283980856         2.7599693963         1.3939905194         2.2072258084        -0.0372329016       -20.6789785052
        0.1404417000       -80.8062555423         2.1915625984         1.3965428462         2.2327445830         0.0292544227       -18.9418256928
        0.1454594000       -89.7368070636         2.1796788357         1.3914381925         2.2378483379        -0.1037202258       -18.5943951303
        0.1504352000      -228.4136300236         2.0110229225         1.3990951731         2.2608152351         0.0957417469       -17.0309575991
