% Designation Loop  psi_cmd=+0.000deg  (absolute, NEUTRAL ref)
% Kp=16.6052  Kd=0.5122  K_pot=68.073520deg/V
% Vg_offset=1.338784V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0004847000      -301.0264938408         1.8880193772         1.3327346748         2.7813982367        -9.0283800743        18.4069597745
        0.0054198000      -311.6313166998         1.8758225437         1.3352870017         2.7890538691        -5.2189370049        18.9281056182
        0.0104420000      -265.9065212786         1.9286871176         1.2867927914         2.7813982367       -77.5983553218        18.4069597745
        0.0154344000      -271.7598500389         1.9218659373         1.2944497720         2.7813982367       -66.1700261139        18.4069597745
        0.0204273000      -256.1509733446         1.9401084568         1.2740311571         2.7813982367       -96.6455706683        18.4069597745
        0.0254600000      -238.7593602212         1.9606668707         1.2663741766         2.7711907269      -108.0738998762        17.7120986495
        0.0304534000      -229.0879988661         1.9722298828         1.2612695229         2.7660869720      -115.6927860149        17.3646680870
        0.0354253000      -230.2740201067         1.9708062746         1.2816881377         2.7533275847       -85.2172414604        16.4960916808
        0.0404738000      -202.0250243877         2.0052054455         1.2485078886         2.7507757072      -134.7400013614        16.3223763996
        0.0454498000      -195.3224207022         2.0135365788         1.2510602154         2.7431200748      -130.9305582921        15.8012305558
        0.0505263000      -163.4237655462         2.0542768692         1.2357462543         2.7252569326      -153.7872167079        14.5852235871
        0.0554417000      -165.4590617118         2.0516179583         1.2459555617         2.7201531777      -138.5494444307        14.2377930246
        0.0604517000      -144.2494159937         2.0797779966         1.2408509080         2.7048419129      -146.1683305693        13.1955013372
        0.0654391000      -130.7600220439         2.0982485862         1.2382985811         2.6946344031      -149.9777736386        12.5006402122
        0.0704427000      -113.4525954994         2.1226611726         1.2382985811         2.6793231383      -149.9777736386        11.4583485248
        0.0754316000      -112.5191339954         2.1240021629         1.2408509080         2.6767712609      -146.1683305693        11.2846332435
        0.0804360000      -105.8165303100         2.1337076894         1.2434032349         2.6691156285      -142.3588875000        10.7634873998
        0.0854450000       -78.7535558315         2.1743569271         1.2306416006         2.6538043638      -161.4061028465         9.7211957123
        0.0904271000       -82.7399615839         2.1682141003         1.2434032349         2.6487006088      -142.3588875000         9.3737651498
        0.0954404000       -60.5968543619         2.2030678341         1.2408509080         2.6308374666      -146.1683305693         8.1577581811
        0.1004254000       -53.8942506764         2.2139847809         1.2434032349         2.6231818342      -142.3588875000         7.6366123374
        0.1054492000       -55.9295468420         2.2106509566         1.2536125423         2.6180780793      -127.1211152228         7.2891817749
        0.1104416000       -53.1291623301         2.2152422917         1.2612695229         2.6104224470      -115.6927860149         6.7680359312
        0.1154347000       -58.9824910905         2.2056810595         1.2689265034         2.6104224470      -104.2644568069         6.7680359312
        0.1204361000       -28.1014840173         2.2577281102         1.2587171960         2.5900074273      -119.5022290842         5.3783136812
        0.1254466000       -29.1191321001         2.2559475748         1.2638218497         2.5874555498      -111.8833429456         5.2045984000
        0.1304345000       -25.3852860843         2.2625034396         1.2740311571         2.5772480400       -96.6455706683         4.5097372750
        0.1354516000       -22.5007149935         2.2676116341         1.2740311571         2.5746961625       -96.6455706683         4.3360219938
        0.1404707000       -11.9800787133         2.3672286449         1.2791358108         2.5619367752       -89.0266845297         3.4674455876
        0.1454601000        -4.2598269450         2.4588305257         1.2765834840         2.5568330203       -92.8361275990         3.1200150251
        0.1504653000       -14.9488363829         2.3320039147         1.2867927914         2.5593848978       -77.5983553218         3.2937303063
        0.1554484000       -15.1172095407         2.3300061433         1.3021067526         2.5491773879       -54.7416969059         2.5988691813
        0.1604509000       -12.2326384499         2.3642319879         1.3021067526         2.5466255105       -54.7416969059         2.4251539001
        0.1654585000       -18.0859672103         2.2947814130         1.3097637331         2.5466255105       -43.3133676980         2.4251539001
        0.1704403000        -0.6943540869         2.5011353662         1.3021067526         2.5364180006       -54.7416969059         1.7302927751
        0.1754541000       -18.1701537891         2.2937825274         1.3174207137         2.5415217556       -31.8850384901         2.0777233376
        0.1804348000       -23.0900210455         2.2665649436         1.3276300211         2.5389698781       -16.6472662129         1.9040080564
        0.1854764000        -8.5829790129         2.4075357141         1.3199730405         2.5313142457       -28.0755954208         1.3828622126
        0.1904471000        -6.6318694261         2.4306859057         1.3174207137         2.5313142457       -31.8850384901         1.3828622126
        0.1954310000       -11.5517366825         2.3723109838         1.3276300211         2.5287623683       -16.6472662129         1.2091469314
        0.2004408000       -39.6323592438         2.2378213399         1.3454963091         2.5415217556        10.0188352723         2.0777233376
        0.2054398000       -10.6182751786         2.3833866368         1.3301823480         2.5262104908       -12.8378231436         1.0354316502
        0.2104372000       -26.0587787152         2.2613162547         1.3352870017         2.5364180006        -5.2189370049         1.7302927751
        0.2154276000       -25.1253172112         2.2629622472         1.3378393285         2.5338661232        -1.4094939356         1.5565774939
        0.2204365000        -7.6495175089         2.4186113670         1.3225253674         2.5287623683       -24.2661523515         1.2091469314
        0.2254177000       -29.8768113099         2.2546249154         1.3327346748         2.5415217556        -9.0283800743         2.0777233376
        0.2304571000       -27.0764267980         2.2595263283         1.3403916554         2.5338661232         2.3999491337         1.5565774939
        0.2354343000       -23.1742076244         2.2664155471         1.3352870017         2.5338661232        -5.2189370049         1.5565774939
        0.2404538000       -32.8455689795         2.2494671020         1.3403916554         2.5389698781         2.3999491337         1.9040080564
        0.2454326000       -28.9433498059         2.2562548010         1.3352870017         2.5389698781        -5.2189370049         1.9040080564
        0.2504463000       -11.5517366825         2.3723109838         1.3276300211         2.5287623683       -16.6472662129         1.2091469314
        0.2554276000       -11.5517366825         2.3723109838         1.3276300211         2.5287623683       -16.6472662129         1.2091469314
        0.2604597000        -8.7513521706         2.4055379427         1.3352870017         2.5211067359        -5.2189370049         0.6880010877
        0.2654676000       -19.3561750297         2.2797102173         1.3378393285         2.5287623683        -1.4094939356         1.2091469314
        0.2704825000        -7.7337040878         2.4176124814         1.3301823480         2.5236586133       -12.8378231436         0.8617163689
        0.2754598000       -17.4050654429         2.3028604090         1.3352870017         2.5287623683        -5.2189370049         1.2091469314
        0.2804759000       -33.8632170623         2.2477080587         1.3454963091         2.5364180006        10.0188352723         1.7302927751
        0.2855555000        -5.6984079222         2.4417615587         1.3199730405         2.5287623683       -28.0755954208         1.2091469314
        0.2904494000        -3.8314849142         2.4639128646         1.3250776943         2.5236586133       -20.4567092822         0.8617163689
        0.2954950000       -21.3072846165         2.2697362501         1.3403916554         2.5287623683         2.3999491337         1.2091469314
        0.3004630000       -30.9786459716         2.2527060536         1.3454963091         2.5338661232        10.0188352723         1.5565774939
        0.3054558000       -19.2719884508         2.2807091030         1.3301823480         2.5338661232       -12.8378231436         1.5565774939
        0.3104459000       -20.2896365336         2.2715531476         1.3352870017         2.5313142457        -5.2189370049         1.3828622126
        0.3154478000        -5.7825945010         2.4407626730         1.3276300211         2.5236586133       -16.6472662129         0.8617163689
        0.3204867000       -12.5693847653         2.3602364452         1.3327346748         2.5262104908        -9.0283800743         1.0354316502
        0.3254412000       -17.4892520217         2.3018615233         1.3429439823         2.5236586133         6.2093922030         0.8617163689
        0.3304539000       -26.1429652940         2.2611680018         1.3429439823         2.5313142457         6.2093922030         1.3828622126
