% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=53.8007  Kd=1.7520  K_pot=68.073520deg/V
% Vg_offset=1.338707V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0004778000      1110.6936165943         4.4001384964         1.3327346748         2.5057954711        -8.9140967822        -0.3542905998
        0.0054560000      1069.3070721656         4.3013625574         1.3378393285         2.5134511035        -1.2952106436         0.1668552439
        0.0104715000      1027.9205277368         4.2064779263         1.3429439823         2.5211067359         6.3236754950         0.6880010877
        0.0154580000       638.1418847441         3.4900574114         1.4884266131         2.5236586133       223.4619304456         0.8617163689
        0.0205077000       156.2338878828         2.9033427851         1.6262522633         2.5568330203       429.1718561881         3.1200150251
        0.0254771000       285.7062643794         3.0468297009         1.5624440919         2.5670405302       333.9357794555         3.8148761501
        0.0305479000       226.9481940773         2.9816393480         1.5420254771         2.5976630597       303.4602349010         5.8994595250
        0.0354787000       244.2889559195         3.0008156594         1.5139498816         2.6129743244       261.5563611386         6.9417512124
        0.0404698000       125.4728298747         2.8689272200         1.5343684965         2.6308374666       292.0319056931         8.1577581811
        0.0454719000       -10.7045673663         2.3823627678         1.5471301308         2.6589081187       311.0791210396        10.0686262748
        0.0504621000       -30.7375921833         2.2531253897         1.5369208233         2.6716675060       295.8413487624        10.9372026810
        0.0554279000       -29.4170973885         2.2554271183         1.5113975548         2.6895306482       257.7469180693        12.1532096497
        0.0604665000       -73.4856501150         2.1825613847         1.4960835936         2.7124975453       234.8902596535        13.7166471809
        0.0654495000       -97.5211780246         2.1459117235         1.4909789399         2.7227050552       227.2713735149        14.4115083059
        0.0704846000        88.0170057992         2.8264238221         1.4093044805         2.7303606875       105.3691952970        14.9326541496
        0.0754449000       384.3560548056         3.1592597919         1.2995544257         2.7278088101       -58.4368566832        14.7589388684
        0.0804794000       262.8784298171         3.0214194424         1.3352870017         2.7354644424        -5.1046537129        15.2800847121
        0.0854401000       264.2194339660         3.0229083925         1.3454963091         2.7278088101        10.1331185644        14.7589388684
        0.0904563000       281.5704504852         3.0422149245         1.3352870017         2.7303606875        -5.1046537129        14.9326541496
        0.0954275000        50.6329644630         2.7830815351         1.4093044805         2.7405681974       105.3691952970        15.6275152746
        0.1004668000      -134.9154740378         2.0925089963         1.4731126519         2.7456719523       200.6052720297        15.9749458371
        0.1054526000        13.2489231269         2.6665743254         1.4093044805         2.7507757072       105.3691952970        16.3223763996
        0.1104425000        -4.1123480694         2.4605803835         1.4016475000         2.7609832170        93.9408660891        17.0172375245
        0.1154549000        50.6124551090         2.7830574517         1.3735719045         2.7660869720        52.0369923267        17.3646680870
        0.1204545000        91.9887448607         2.8309695186         1.3506009628         2.7711907269        17.7520047030        17.7120986495
        0.1254543000       148.0545521879         2.8942251771         1.3327346748         2.7686388494        -8.9140967822        17.5383833683
        0.1304756000        95.9912479532         2.8355402811         1.3454963091         2.7737426043        10.1331185644        17.8858139307
        0.1354298000       -97.5621967327         2.1458508396         1.4195137880         2.7737426043       120.6069675743        17.8858139307
        0.1404665000        38.5946911542         2.7688810929         1.3710195777         2.7711907269        48.2275492574        17.7120986495
        0.1454244000        54.6047035245         2.7877386067         1.3506009628         2.7813982367        17.7520047030        18.4069597745
        0.1504386000        46.5894426623         2.7783262573         1.3429439823         2.7890538691         6.3236754950        18.9281056182
        0.1554192000       -17.4813708501         2.3019550345         1.3710195777         2.7865019916        48.2275492574        18.7543903370
        0.1605125000        -5.4738615724         2.4444258329         1.3557056165         2.7941576240        25.3708908416        19.2755361807
        0.1654464000       101.3245005176         2.8416155056         1.3327346748         2.7813982367        -8.9140967822        18.4069597745
        0.1704160000        66.6122128022         2.8017385575         1.3352870017         2.7890538691        -5.1046537129        18.9281056182
        0.1754300000        13.2181590957         2.6662093058         1.3557056165         2.7890538691        25.3708908416        18.9281056182
        0.1804501000       -16.1506213782         2.3177445655         1.3633625971         2.7916057465        36.7992200495        19.1018208995
        0.1854513000        11.8771549468         2.6502981016         1.3454963091         2.7967095015        10.1331185644        19.4492514619
        0.1904644000        66.6122128022         2.8017385575         1.3352870017         2.7890538691        -5.1046537129        18.9281056182
        0.1954143000        78.6299767570         2.8156384261         1.3378393285         2.7839501142        -1.2952106436        18.5806750557
        0.2004429000       -22.8248780916         2.2670356766         1.3659149240         2.7916057465        40.6086631188        19.1018208995
        0.2054393000        -8.1456151931         2.4127250978         1.3531532897         2.7967095015        21.5614477723        19.4492514619
        0.2104699000        61.2687055608         2.7955227812         1.3301823480         2.7941576240       -12.7235398515        19.2755361807
        0.2154370000        89.3067365629         2.8279010528         1.3301823480         2.7865019916       -12.7235398515        18.7543903370
        0.2204966000        62.6097097096         2.7970848191         1.3403916554         2.7865019916         2.5142324257        18.7543903370
