% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0004883000      1447.7160441899         5.0000000000         1.3454963091         2.5517292654         8.8950495668         2.7725844626
        0.0054602000      1439.6389112051         5.0000000000         1.3557056165         2.5466255105        24.1328218441         2.4251539001
        0.0104708000       632.7285406745         3.4821074158         1.5420254771         2.5670405302       302.2221659035         3.8148761501
        0.0154561000       458.9419963495         3.2488469953         1.5649964188         2.5823517949       336.5071535272         4.8571678375
        0.0205529000       359.2385661024         3.1301025954         1.5598917651         2.6027668146       328.8882673886         6.2468900875
        0.0255002000       229.8945653583         2.9848957373         1.5547871113         2.6282855892       321.2693812500         7.9840428999
        0.0304831000       115.3708498627         2.8575385357         1.5496824576         2.6512524863       313.6504951114         9.5474804311
        0.0354656000        35.8785642422         2.7656587535         1.5471301308         2.6665637511       309.8410520421        10.5897721185
        0.0404479000       -63.8248660049         2.1978728652         1.5420254771         2.6869787707       302.2221659035        11.9794943685
        0.0454585000       -82.7020299103         2.1682722880         1.5190545354         2.7048419129       267.9371782797        13.1955013372
        0.0504466000       -96.1883344377         2.1478930168         1.4986359205         2.7201531777       237.4616337253        14.2377930246
        0.0554655000      -154.1354947106         2.0665251555         1.4782173056         2.7431200748       206.9860891708        15.8012305558
        0.0604471000       -89.4818065031         2.1579507757         1.4526940371         2.7482238297       168.8916584777        16.1486611183
        0.0654596000       124.6904027459         2.8680468650         1.3786765582         2.7584313396        58.4178094678        16.8435222433
        0.0704417000       435.8614564706         3.2205854855         1.2944497720         2.7584313396       -67.2938118193        16.8435222433
        0.0754534000       334.8423576670         3.1021715313         1.3378393285         2.7482238297        -2.5332796411        16.1486611183
        0.0804310000       267.4840836882         3.0265349660         1.3480486360         2.7533275847        12.7044926361        16.4960916808
        0.0854483000       338.8809241594         3.1067713675         1.3327346748         2.7507757072       -10.1521657797        16.3223763996
        0.0904316000       178.5806843618         2.9281606248         1.3761242314         2.7507757072        54.6083663985        16.3223763996
        0.0954352000      -407.4143246561         1.7647181304         1.4986359205         2.7737426043       237.4616337253        17.8858139307
        0.1004413000      -206.7101077700         1.9994235949         1.4322754222         2.7813982367       138.4161139233        18.4069597745
        0.1054549000      -195.9467011785         2.0127575613         1.4093044805         2.7941576240       104.1311262995        19.2755361807
        0.1104397000       -34.2941684952         2.2469645161         1.3735719045         2.7890538691        50.7989233292        18.9281056182
        0.1154268000       150.2557824213         2.8966810173         1.3276300211         2.7865019916       -17.7710519183        18.7543903370
        0.1204409000       266.0951664735         3.0249917615         1.2842404646         2.7941576240       -82.5315840965        19.2755361807
        0.1254515000       208.1846305297         2.9609076389         1.3199730405         2.7813982367       -29.1993811262        18.4069597745
        0.1304297000       123.3197976957         2.8665040364         1.3429439823         2.7813982367         5.0856064975        18.4069597745
        0.1354426000        43.8275120751         2.7750698283         1.3403916554         2.7967095015         1.2761634282        19.4492514619
        0.1404281000        73.4680825721         2.8096812374         1.3403916554         2.7916057465         1.2761634282        19.1018208995
        0.1454381000       161.0375011774         2.9086880517         1.3327346748         2.7813982367       -10.1521657797        18.4069597745
        0.1504388000       -62.5824461066         2.1998675831         1.3812288851         2.7890538691        62.2272525371        18.9281056182
        0.1554512000      -156.8767048110         2.0628904959         1.4067521537         2.7890538691       100.3216832302        18.9281056182
        0.1604340000       -27.5693283961         2.2586610576         1.3557056165         2.7992613789        24.1328218441        19.6229667432
        0.1654684000       139.4740636652         2.8846360976         1.3225253674         2.7916057465       -25.3899380569        19.1018208995
        0.1704449000       -34.3124806597         2.2469329392         1.3454963091         2.8069170113         8.8950495668        20.1441125869
        0.1754625000        49.2183714532         2.7814195698         1.3429439823         2.7941576240         5.0856064975        19.2755361807
        0.1804574000       -43.7419065302         2.2308659055         1.3480486360         2.8069170113        12.7044926361        20.1441125869
        0.1854731000        88.2883678206         2.8267347249         1.3403916554         2.7890538691         1.2761634282        18.9281056182
        0.1904564000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.1954453000       -43.7419065302         2.2308659055         1.3480486360         2.8069170113        12.7044926361        20.1441125869
        0.2004668000        92.3269343130         2.8313561119         1.3352870017         2.7916057465        -6.3427227104        19.1018208995
        0.2055042000         8.7960822001         2.6137407371         1.3378393285         2.8043651338        -2.5332796411        19.9703973057
        0.2104889000        82.8975084426         2.8205491557         1.3378393285         2.7916057465        -2.5332796411        19.1018208995
        0.2154583000        -4.6719101628         2.4539411000         1.3454963091         2.8018132564         8.8950495668        19.7966820244
        0.2204536000      -123.2158799862         2.1087868220         1.3735719045         2.8043651338        50.7989233292        19.9703973057
        0.2254615000       105.7949266758         2.8466950145         1.3276300211         2.7941576240       -17.7710519183        19.2755361807
