% Designation Loop  psi_cmd=+5.000deg  (absolute, NEUTRAL ref)
% Kp=29.5203  Kd=1.0288  K_pot=68.073520deg/V
% Vg_offset=1.338720V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0005585000       132.2706824958         2.8765644223         1.3454963091         2.5134511035        10.1140713490         0.1668552439
        0.0054651000       136.1897700519         2.8809584914         1.3429439823         2.5134511035         6.3046282797         0.1668552439
        0.0104284000       116.5943322711         2.8589205116         1.3557056165         2.5134511035        25.3518436262         0.1668552439
        0.0154288000       139.8168865341         2.8850197349         1.3506009628         2.5057954711        17.7329574876        -0.3542905998
        0.0205147000       116.5943322711         2.8589205116         1.3557056165         2.5134511035        25.3518436262         0.1668552439
        0.0255184000        95.7898556628         2.8353105338         1.3659149240         2.5160029810        40.5896159035         0.3405705252
        0.0304403000        78.6124955367         2.8156182838         1.3837812120         2.5108992261        67.2557173886        -0.0068600373
        0.0354365000        99.7089432190         2.8397769832         1.3633625971         2.5160029810        36.7801728342         0.3405705252
        0.0404343000        71.3582625724         2.8072407405         1.3684672508         2.5262104908        44.3990589728         1.0354316502
        0.0455174000        77.6954277833         2.8145613139         1.3710195777         2.5211067359        48.2085020421         0.6880010877
        0.0505280000        54.7648445943         2.7879260990         1.3659149240         2.5364180006        40.5896159035         1.7302927751
        0.0554264000        61.1020098053         2.7953285085         1.3684672508         2.5313142457        44.3990589728         1.3828622126
        0.0605301000        59.8929709779         2.7939187821         1.3659149240         2.5338661232        40.5896159035         1.5565774939
        0.0654294000        76.7783600300         2.8135037433         1.3582579434         2.5313142457        29.1612866955         1.3828622126
        0.0704402000        18.5759888354         2.7297807146         1.3761242314         2.5466255105        55.8273881807         2.4251539001
        0.0755258000        58.6839321505         2.7925078661         1.3633625971         2.5364180006        36.7801728342         1.7302927751
        0.0804408000        68.0231171642         2.8033760438         1.3506009628         2.5415217556        17.7329574876         2.0777233376
        0.0855188000        21.2860375641         2.7482236644         1.3710195777         2.5491773879        48.2085020421         2.5988691813
        0.0905204000        29.1242126765         2.7576149282         1.3659149240         2.5491773879        40.5896159035         2.5988691813
        0.0954370000         1.9825708573         2.5328974599         1.3735719045         2.5568330203        52.0179451114         3.1200150251
        0.1005590000        39.6724365176         2.7701577833         1.3557056165         2.5517292654        25.3518436262         2.7725844626
        0.1054475000        41.1734464190         2.7719340746         1.3480486360         2.5568330203        13.9235144183         3.1200150251
        0.1104737000        11.3217558710         2.6437082129         1.3608102703         2.5619367752        32.9707297649         3.4674455876
        0.1155395000        19.1599309834         2.7367092709         1.3557056165         2.5619367752        25.3518436262         3.4674455876
        0.1204607000        21.8699797122         2.7489254686         1.3506009628         2.5644886527        17.7329574876         3.6411608688
        0.1254602000        32.1262324793         2.7611955304         1.3506009628         2.5593848978        17.7329574876         3.2937303063
        0.1305497000        14.0318045998         2.6758633250         1.3557056165         2.5644886527        25.3518436262         3.6411608688
        0.1355275000        12.8227657724         2.6615179080         1.3531532897         2.5670405302        21.5424005569         3.8148761501
        0.1405219000       -11.6088273180         2.3716335953         1.3557056165         2.5772480400        25.3518436262         4.5097372750
        0.1455438000        15.5328145012         2.6936730201         1.3480486360         2.5695924076        13.9235144183         3.9885914313
        0.1504373000        41.7573885670         2.7726245491         1.3276300211         2.5721442851       -16.5520301361         4.1623067125
        0.1554299000        23.3709896136         2.7507278289         1.3429439823         2.5695924076         6.3046282797         3.9885914313
        0.1604337000        28.4991159971         2.7568682396         1.3429439823         2.5670405302         6.3046282797         3.8148761501
        0.1655205000        14.3237756738         2.6793276031         1.3454963091         2.5721442851        10.1140713490         4.1623067125
        0.1706780000       -20.6560412577         2.2708984178         1.3582579434         2.5797999174        29.1612866955         4.6834525563
        0.1754351000        24.5800284409         2.7521779242         1.3454963091         2.5670405302        10.1140713490         3.8148761501
        0.1805176000        44.1754662218         2.7754804580         1.3327346748         2.5670405302        -8.9331439975         3.8148761501
        0.1854302000        13.1147368464         2.6649821862         1.3429439823         2.5746961625         6.3046282797         4.3360219938
        0.1905178000        -2.5616133783         2.4789800702         1.3531532897         2.5746961625        21.5424005569         4.3360219938
        0.1955856000       -21.8650800851         2.2687424087         1.3557056165         2.5823517949        25.3518436262         4.8571678375
        0.2005182000       -11.3168562440         2.3750978735         1.3454963091         2.5849036724        10.1140713490         5.0308831188
        0.2055316000        39.0473398382         2.7694174296         1.3327346748         2.5695924076        -8.9331439975         3.9885914313
        0.2105228000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        0.2154146000        17.0338244026         2.7114827152         1.3403916554         2.5746961625         2.4951852104         4.3360219938
        0.2205237000        -6.1887298604         2.4359438194         1.3454963091         2.5823517949        10.1140713490         4.8571678375
        0.2254313000       -42.6695566934         2.2326739603         1.3659149240         2.5849036724        40.5896159035         5.0308831188
        0.2305258000        41.7573885670         2.7726245491         1.3276300211         2.5721442851       -16.5520301361         4.1623067125
        0.2354320000        30.0001258985         2.7586605714         1.3352870017         2.5721442851        -5.1237009282         4.1623067125
        0.2405238000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        0.2455171000        18.2428632300         2.7258281321         1.3429439823         2.5721442851         6.3046282797         4.1623067125
        0.2505163000       -39.9595079646         2.2372650050         1.3608102703         2.5874555498        32.9707297649         5.2045984000
        0.2555181000         4.0675229067         2.5576357113         1.3454963091         2.5772480400        10.1140713490         4.5097372750
        0.2605447000        34.2111845287         2.7636771534         1.3225253674         2.5797999174       -24.1709162747         4.6834525563
        0.2654356000        11.9056980190         2.6506367692         1.3403916554         2.5772480400         2.4951852104         4.5097372750
        0.2706371000        20.9529119588         2.7478231431         1.3378393285         2.5746961625        -1.3142578589         4.3360219938
        0.2755231000       -24.2831577399         2.2644506582         1.3506009628         2.5874555498        17.7329574876         5.2045984000
        0.2805140000       -32.1213328523         2.2507217556         1.3557056165         2.5874555498        25.3518436262         5.2045984000
        0.2855263000        21.2448830328         2.7481741900         1.3276300211         2.5823517949       -16.5520301361         4.8571678375
        0.2904297000        14.6157467478         2.6827918813         1.3352870017         2.5797999174        -5.1237009282         4.6834525563
        0.2955238000         2.8584840793         2.5432902943         1.3429439823         2.5797999174         6.3046282797         4.6834525563
        0.3005176000        13.4067079204         2.6684464643         1.3327346748         2.5823517949        -8.9331439975         4.8571678375
        0.3055205000        10.6966591916         2.6362913523         1.3378393285         2.5797999174        -1.3142578589         4.6834525563
        0.3104225000       -20.3640701837         2.2714200913         1.3480486360         2.5874555498        13.9235144183         5.2045984000
        0.3154342000        -0.7686324029         2.5002540435         1.3352870017         2.5874555498        -5.1237009282         5.2045984000
        0.3205200000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        0.3255237000        19.7438731314         2.7436378272         1.3352870017         2.5772480400        -5.1237009282         4.5097372750
        0.3304350000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.3355165000        18.5348343040         2.7292924103         1.3327346748         2.5797999174        -8.9331439975         4.6834525563
        0.3404304000        32.7101746273         2.7618909938         1.3301823480         2.5746961625       -12.7425870668         4.3360219938
        0.3455123000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
        0.3505180000         1.6494452519         2.5289448774         1.3403916554         2.5823517949         2.4951852104         4.8571678375
        0.3554313000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        0.3605223000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.3657215000       -20.3640701837         2.2714200913         1.3480486360         2.5874555498        13.9235144183         5.2045984000
        0.3705307000        20.9529119588         2.7478231431         1.3378393285         2.5746961625        -1.3142578589         4.3360219938
        0.3755137000        -2.2696423043         2.4824443484         1.3429439823         2.5823517949         6.3046282797         4.8571678375
        0.3804534000        28.7910870711         2.7572170523         1.3327346748         2.5746961625        -8.9331439975         4.3360219938
        0.3855134000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.3904565000         6.7775716355         2.5897908233         1.3403916554         2.5797999174         2.4951852104         4.6834525563
        0.3955146000         9.4876203642         2.6219459353         1.3352870017         2.5823517949        -5.1237009282         4.8571678375
        0.4004181000        28.7910870711         2.7572170523         1.3327346748         2.5746961625        -8.9331439975         4.3360219938
        0.4055154000       -16.4449826276         2.3142519276         1.3454963091         2.5874555498        10.1140713490         5.2045984000
        0.4104175000       -12.5258950714         2.3607524565         1.3429439823         2.5874555498         6.3046282797         5.2045984000
        0.4155221000         5.5685328081         2.5754454064         1.3378393285         2.5823517949        -1.3142578589         4.8571678375
        0.4205108000        -1.0606034769         2.4967897653         1.3454963091         2.5797999174        10.1140713490         4.6834525563
