% Designation Loop  psi_cmd=+8.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0004433000       475.1884168754         3.2153265931         1.3352870017         2.4981398388        -0.0658224510        -0.1266277235
        0.0054031000       508.8846674966         3.2505711303         1.3301823480         2.4930360838        -0.1987970994        -0.4740582860
        0.0104254000       468.3533008709         3.2082333102         1.3378393285         2.4981398388         0.0006648732        -0.1266277235
        0.0153770000       461.5181848664         3.2011551701         1.3403916554         2.4981398388         0.0671521975        -0.1266277235
        0.0204029000       461.5181848664         3.2011551701         1.3403916554         2.4981398388         0.0671521975        -0.1266277235
        0.0253761000       465.1754075692         3.2049406382         1.3352870017         2.5006917162        -0.0658224510         0.0470875577
        0.0303951000       410.9738089346         3.1491348839         1.3480486360         2.5057954711         0.2666141701         0.3945181202
        0.0354160000       458.3402915648         3.1978690045         1.3378393285         2.5006917162         0.0006648732         0.0470875577
        0.0404222000       468.3533008709         3.2082333102         1.3378393285         2.4981398388         0.0006648732        -0.1266277235
        0.0454658000       472.0105235737         3.2120266847         1.3327346748         2.5006917162        -0.1323097752         0.0470875577
        0.0511390000       495.2144354876         3.2362112776         1.3352870017         2.4930360838        -0.0658224510        -0.4740582860
        0.0554019000       444.6700595558         3.1837627782         1.3429439823         2.5006917162         0.1336395217         0.0470875577
        0.0603915000       335.7875328854         3.0718684709         1.3761242314         2.5057954711         0.9979747366         0.3945181202
        0.0653890000        29.6453008878         2.7300237142         1.4680079982         2.5211067359         3.3915184088         1.4368098077
        0.0703773000      -214.9808870697         2.0263005566         1.5369208233         2.5364180006         5.1866761629         2.4791014951
        0.0753934000      -274.5796135052         1.9597011601         1.5292638428         2.5568330203         4.9872141902         3.8688237451
        0.0804152000      -324.1653306347         1.9060736134         1.5216068622         2.5746961625         4.7877522176         5.0848307138
        0.0854571000      -393.7770663763         1.8319680790         1.5139498816         2.5976630597         4.5882902449         6.6482682450
        0.0903985000      -382.3260688667         1.8441377151         1.4909789399         2.6104224470         3.9899043268         7.5168446512
        0.0953987000      -358.1634981505         1.8698132155         1.4782173056         2.6129743244         3.6574677057         7.6905599324
        0.1003966000      -430.9531271938         1.7923175474         1.4680079982         2.6384930990         3.3915184088         9.4277127449
        0.1054157000      -440.0074776976         1.7826033316         1.4526940371         2.6512524863         2.9925944634        10.2962891511
        0.1103877000      -465.9099535120         1.7546236310         1.4399324028         2.6665637511         2.6601578423        11.3385808385
        0.1154080000      -367.0404361478         1.8603772818         1.4067521537         2.6640118736         1.7958226274        11.1648655573
        0.1204315000      -372.9168933499         1.8541336362         1.3939905194         2.6742193834         1.4633860062        11.8597266823
        0.1253890000      -378.7933505520         1.8478908087         1.3812288851         2.6844268933         1.1309493851        12.5545878072
        0.1303882000      -286.7589491923         1.9464135165         1.3506009628         2.6818750158         0.3331014944        12.3808725260
        0.1354064000      -110.0045918783         2.1532447992         1.2995544257         2.6716675060        -0.9966449902        11.6860114010
        0.1403887000       189.7818535160         2.9166685076         1.2025660052         2.6614599961        -3.5231633108        10.9911502760
        0.1453903000       437.1066053740         3.1759757366         1.1438624875         2.6384930990        -5.0523717680         9.4277127449
        0.1503874000       493.0481091067         3.2339439012         1.1566241217         2.6155262019        -4.7199351469         7.8642752137
        0.1554209000       454.7359769804         3.1941452445         1.1821473903         2.6078705695        -4.0550619046         7.3431293699
        0.1604662000       521.1698194204         3.2635604528         1.1872520440         2.5874555498        -3.9220872561         5.9534071200
        0.1654011000       527.0462766225         3.2698050333         1.2000136783         2.5772480400        -3.5896506350         5.2585459950
