% Designation Loop  psi_cmd=-10.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=86

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0004676000       602.3491212993         3.3521522675         1.3378393285         2.1995701761         0.0006648732       -20.4513156290
        0.0054128000       588.6788892904         3.3368274283         1.3429439823         2.1995701761         0.1336395217       -20.4513156290
        0.0103830000       561.8177546736         3.3072379486         1.3454963091         2.2046739310         0.2001268459       -20.1038850665
        0.0154089000       646.0583812266         3.4025743921         1.3327346748         2.1919145437        -0.1323097752       -20.9724614727
        0.0203913000       629.2102559160         3.3828626488         1.3352870017         2.1944664211        -0.0658224510       -20.7987461915
        0.0254492000       619.1972466099         3.3713166940         1.3352870017         2.1970182986        -0.0658224510       -20.6250309102
        0.0303948000       568.6528706781         3.3147062021         1.3429439823         2.2046739310         0.1336395217       -20.1038850665
        0.0353801000       561.8177546736         3.3072379486         1.3454963091         2.2046739310         0.2001268459       -20.1038850665
        0.0404100000       602.3491212993         3.3521522675         1.3378393285         2.1995701761         0.0006648732       -20.4513156290
        0.0453981000       541.7917360614         3.2855724833         1.3454963091         2.2097776859         0.2001268459       -19.7564545040
        0.0503845000       602.3491212993         3.3521522675         1.3378393285         2.1995701761         0.0006648732       -20.4513156290
        0.0554514000       551.3254159663         3.2958482267         1.3531532897         2.2021220535         0.3995888186       -20.2776003477
        0.0603970000       499.8223812322         3.2410414106         1.3761242314         2.1995701761         0.9979747366       -20.4513156290
        0.0654406000       283.0159866939         3.0169123440         1.4271707685         2.2199851957         2.3277212212       -19.0615933790
        0.0706200000      -110.5447651584         2.1525500950         1.5292638428         2.2506077252         4.9872141902       -16.9770100041
        0.0754445000      -304.1472477829         1.9275840729         1.5828627068         2.2633671125         6.3834479990       -16.1084335979
        0.0804055000      -376.4575474251         1.8503722203         1.5649964188         2.2939896420         5.9180367294       -14.0238502230
        0.0854131000      -449.2471764684         1.7726577089         1.5547871113         2.3195084166         5.6520874325       -12.2866974105
        0.0903945000      -491.9977775934         1.7260771068         1.5445778039         2.3373715588         5.3861381356       -11.0706904418
        0.0954855000      -551.5965040290         1.6589165191         1.5369208233         2.3577865785         5.1866761629        -9.6809681919
        0.1004106000      -536.9676132177         1.6756980204         1.5165022085         2.3679940883         4.6547775691        -8.9861070669
        0.1054105000      -549.1998570231         1.6616806794         1.4986359205         2.3833053531         4.1893662995        -7.9438153795
        0.1104199000      -598.7855741526         1.6031656685         1.4909789399         2.4011684953         3.9899043268        -6.7278084108
        0.1154144000      -631.5231659714         1.5627987327         1.4807696325         2.4164797601         3.7239550299        -5.6855167233
        0.1204631000      -656.9463123847         1.5303474570         1.4603510177         2.4368947797         3.1920564361        -4.2957944734
        0.1254648000      -500.6973030841         1.7164576117         1.4169614611         2.4266872699         2.0617719243        -4.9906555983
        0.1304523000      -149.8871523568         2.1032183726         1.3046590794         2.4139278826        -0.8636703417        -5.8592320045
        0.1354315000       271.0140635133         3.0042655849         1.1923566977         2.3833053531        -3.7891126077        -7.9438153795
        0.1404301000       552.9937247948         3.2976534102         1.1132345652         2.3654422109        -5.8502196587        -9.1598223482
        0.1453811000       555.2129592941         3.3000580706         1.1311008532         2.3526828236        -5.3848083891       -10.0283987544
        0.1504019000       597.4842310179         3.3466764255         1.1489671412         2.3297159265        -4.9193971195       -11.5918362856
        0.1553995000       697.6143240791         3.4654147648         1.1489671412         2.3041971519        -4.9193971195       -13.3289890980
        0.1604418000       682.9854332679         3.4471647356         1.1693857560         2.2939896420        -4.3874985257       -14.0238502230
        0.1654816000       627.3458464298         3.3807035719         1.2051183320         2.2837821322        -3.4566759865       -14.7187113479
        0.1704576000       629.0857515279         3.3827183327         1.2306416006         2.2659189900        -2.7918027443       -15.9347183166
        0.1754206000       634.9622087301         3.3895510633         1.2434032349         2.2557114802        -2.4593661231       -16.6295794416
        0.1804080000       573.4461646898         3.3199675481         1.2663741766         2.2557114802        -1.8609802051       -16.6295794416
        0.1854505000       589.3356311981         3.3375593188         1.2791358108         2.2429520929        -1.5285435840       -17.4981558478
        0.1904089000       524.1623644550         3.2667378124         1.3072114063         2.2404002154        -0.7971830175       -17.6718711291
        0.1953974000       160.1613111199         2.8836842508         1.4169614611         2.2582633576         2.0617719243       -16.4558641604
        0.2004258000      -206.5383061157         2.0359956014         1.5165022085         2.2837821322         4.6547775691       -14.7187113479
        0.2054107000      -423.3447006541         1.8004593523         1.5675487456         2.3041971519         5.9845240536       -13.3289890980
        0.2104412000      -499.3122229990         1.7179928480         1.5547871113         2.3322678039         5.6520874325       -11.4181210043
        0.2154382000      -568.9239587407         1.6387482403         1.5471301308         2.3552347011         5.4526254598        -9.8546834731
        0.2204695000      -564.3080772356         1.6441532979         1.5267115159         2.3679940883         4.9207268660        -8.9861070669
        0.2254460000      -607.0586783606         1.5931059975         1.5165022085         2.3858572306         4.6547775691        -7.7701000982
        0.2304045000      -676.6704141023         1.5044406840         1.5088452279         2.4088241277         4.4553155964        -6.2066625670
        0.2353988000      -695.7377739122         1.4787456241         1.4935312668         2.4241353924         4.0563916511        -5.1643708796
        0.2404213000      -671.0958737947         1.5118302022         1.4731126519         2.4317910248         3.5244930573        -4.6432250358
        0.2453900000      -730.6946002303         1.4298465972         1.4654556714         2.4522060445         3.3250310846        -3.2535027859
        0.2504065000      -601.3067255465         1.6001097936         1.4246184417         2.4471022896         2.2612338969        -3.6009333484
        0.2554018000      -247.7980109187         1.9892682896         1.3225253674         2.4266872699        -0.3982590721        -4.9906555983
        0.2604141000       105.7107037091         2.8213206055         1.2204322931         2.4062722502        -3.0577520412        -6.3803778483
        0.2654418000       381.3345783872         3.1187358875         1.1362055069         2.3935128629        -5.2518337407        -7.2489542545
        0.2704581000       481.9440008496         3.2223537710         1.1285485263         2.3730978433        -5.4512957133        -8.6386765044
        0.2754020000       554.7336298929         3.2995383646         1.1387578337         2.3475790687        -5.1853464164       -10.3758293169
        0.2804463000       600.6621243196         3.3502505767         1.1515194680         2.3271640490        -4.8529097953       -11.7655515668
        0.2853861000       650.2478414490         3.4075342602         1.1591764486         2.3093009068        -4.6534478226       -12.9815585355
        0.2904236000       665.6579785561         3.4259903211         1.1795950634         2.2914377646        -4.1215492288       -14.1975655042
        0.2953914000       650.5497583436         3.4078926266         1.2076706589         2.2761264998        -3.3901886623       -15.2398571917
        0.3004293000       655.9468861446         3.4143202801         1.2280892737         2.2608152351        -2.8582900685       -16.2821488791
        0.3054069000       621.2919767211         3.3737221426         1.2485078886         2.2557114802        -2.3263914747       -16.6295794416
        0.3103901000       600.3072993065         3.3498509804         1.2638218497         2.2506077252        -1.9274675293       -16.9770100041
        0.3153886000       507.7935685456         3.2494215176         1.3021067526         2.2480558478        -0.9301576659       -17.1507252853
        0.3203994000       259.9894872865         2.9925900966         1.3684672508         2.2659189900         0.7985127640       -15.9347183166
        0.3253966000       -40.2762875091         2.2474664867         1.4731126519         2.2710227449         3.5244930573       -15.5872877542
        0.3303895000      -348.6377540060         1.8799489740         1.5471301308         2.2990933970         5.4526254598       -13.6764196605
        0.3354114000      -415.5509258473         1.8087824709         1.5496824576         2.3144046617         5.5191127841       -12.6341279730
        0.3403837000      -467.8352068772         1.7525307927         1.5318161696         2.3399234363         5.0537015145       -10.8969751606
        0.3454061000      -524.2560400111         1.6901124599         1.5267115159         2.3577865785         4.9207268660        -9.6809681919
        0.3503960000      -550.1585158255         1.6605757313         1.5139498816         2.3730978433         4.5882902449        -8.6386765044
        0.3553880000      -582.4167782432         1.6228063314         1.4960835936         2.3935128629         4.1228789753        -7.2489542545
        0.3603787000      -672.5338619983         1.5099292132         1.4960835936         2.4164797601         4.1228789753        -5.6855167233
        0.3654011000      -661.0828644886         1.5249689221         1.4731126519         2.4292391474         3.5244930573        -4.8169403171
        0.3704110000      -650.1111963802         1.5391730956         1.4577986908         2.4368947797         3.1255691119        -4.2957944734
        0.3755848000      -682.8487881990         1.4961867466         1.4475893834         2.4522060445         2.8596198150        -3.2535027859
        0.3804267000      -469.2202869623         1.7510238848         1.3939905194         2.4343429023         1.4633860062        -4.4695097546
        0.3854110000      -132.0803682439         2.1252464256         1.2867927914         2.4215835150        -1.3290816113        -5.3380861608
        0.3904253000       251.9467037035         2.9840346782         1.1770427366         2.3986166179        -4.1880365530        -6.9015236920
        0.3953976000       446.0285157291         3.1851626061         1.1157868920         2.3909609855        -5.7837323345        -7.4226695357
        0.4003892000       532.0090473802         3.2750955919         1.1285485263         2.3603384560        -5.4512957133        -9.5072529106
        0.4053866000       618.4689084325         3.3704815319         1.1336531800         2.3348196814        -5.3183210649       -11.2444057231
        0.4104224000       623.8660362335         3.3766851799         1.1540717949         2.3195084166        -4.7864224711       -12.2866974105
        0.4154400000       707.1480039841         3.4775035075         1.1566241217         2.2965415195        -4.7199351469       -13.8501349417
        0.4204128000       675.6709878622         3.4381697526         1.1795950634         2.2888858871        -4.1215492288       -14.3712807855
        0.4253805000       676.9315635592         3.4397139545         1.2127753126         2.2659189900        -3.2572140139       -15.9347183166
