% Designation Loop  psi_cmd=-20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.0005006000     -5074.4037098489         0.0000000000         1.3327346748         3.0952791642       -10.1521657797        39.7739393674
        0.0055000000     -5186.2228395731         0.0000000000         1.3429439823         3.1080385515         5.0856064975        40.6425157736
        0.0107683000     -5059.5834246004         0.0000000000         1.3327346748         3.0927272867       -10.1521657797        39.6002240861
        0.0154686000     -4139.5199436244         0.0000000000         1.1157868920         3.0723122670      -333.9548266708        38.2105018362
        0.0204702000     -3382.4429760527         0.0000000000         0.9549903001         3.0442416150      -573.9497400372        36.2996337425
        0.0254811000     -3150.7092714549         0.0000000000         0.9524379732         3.0059634531      -577.7591831065        33.6939045239
        0.0304583000     -2579.5162355209         0.0000000000         0.8580018795         2.9676852912      -718.7085766708        31.0881753052
        0.0354756000     -2297.9308157995         0.0000000000         0.8580018795         2.9191996195      -718.7085766708        27.7875849616
        0.0404591000     -1775.2188899388         0.0000000000         0.7967460350         2.8681620703      -810.1352103342        24.3132793367
        0.0454622000     -1240.3729524363         0.2028932321         0.7482518247         2.8069170113      -882.5146286510        20.1441125869
        0.0504272000      -806.5644259021         1.1605313159         0.7150715756         2.7533275847      -932.0373885520        16.4960916808
        0.0554625000      -329.6290243435         1.8551471093         0.7023099413         2.6793231383      -951.0846038986        11.4583485248
        0.0604323000       -84.4090152182         2.1656587012         0.7201762293         2.6257337117      -924.4185024134         7.8103276186
        0.0654320000       164.8678725641         2.9129458348         0.7610134590         2.5568330203      -863.4674133045         3.1200150251
        0.0704403000       427.5944405446         3.2105872336         0.7661181127         2.5083473486      -855.8485271659        -0.1805753185
        0.0754496000       648.5647385510         3.5054958831         0.7865367276         2.4573097994      -825.3729826114        -3.6548809434
        0.0804359000       610.9019715628         3.4505168140         0.8809728212         2.4037203728      -684.4235890471        -7.3029018495
        0.0854318000      -402.0668509029         1.7710490631         1.1872520440         2.3833053531      -227.2904207302        -8.6926240995
        0.0904300000      -711.8856117420         1.3330798289         1.2791358108         2.3782015982       -90.1504702352        -9.0400546619
        0.0954421000      -566.3873450283         1.5603113093         1.2638218497         2.3628903334      -113.0071286510       -10.0823463494
        0.1004304000      -659.3293108471         1.4203518257         1.2970020988         2.3577865785       -63.4843687500       -10.4297769119
        0.1054383000       206.8438885129         2.9594261721         1.0826066429         2.3450271912      -383.4775865718       -11.2983533181
        0.1104451000       356.3990338836         3.1268331000         1.0902636235         2.3144046617      -372.0492573639       -13.3829366930
        0.1154392000       322.7382090587         3.0884369616         1.1234438726         2.2990933970      -322.5264974629       -14.4252283805
        0.1204560000       276.9616847567         3.0370786360         1.1719380829         2.2761264998      -250.1470791461       -15.9886659117
        0.1254509000      -590.5454953245         1.5256163666         1.4067521537         2.2761264998       100.3216832302       -15.9886659117
        0.1304309000      -426.2066890345         1.7422684721         1.3582579434         2.2786783773        27.9422649134       -15.8149506304
        0.1354624000      -345.3804226928         1.8370331468         1.3403916554         2.2761264998         1.2761634282       -15.9886659117
        0.1404516000      -283.4130080921         1.9083447927         1.3276300211         2.2735746224       -17.7710519183       -16.1623811929
        0.1454633000       -55.7544943157         2.2109370437         1.2740311571         2.2684708674       -97.7693563738       -16.5098117554
        0.1504407000       414.3828184856         3.1947373731         1.1668334292         2.2557114802      -257.7659652847       -17.3783881616
        0.1554375000       237.9283127184         2.9937782243         1.2306416006         2.2455039703      -162.5298885520       -18.0732492866
        0.1604400000       236.5943319973         2.9923028974         1.2510602154         2.2327445830      -132.0543439975       -18.9418256928
        0.1654291000        89.7620845625         2.8284223398         1.2867927914         2.2352964605       -78.7221410272       -18.7681104116
        0.1704359000      -201.1978245357         2.0062297783         1.3735719045         2.2301927056        50.7989233292       -19.1155409741
        0.1754336000      -279.3378172706         1.9130651843         1.3786765582         2.2404002154        58.4178094678       -18.4206798491
        0.1805154000      -147.3258550843         2.0756290630         1.3429439823         2.2404002154         5.0856064975       -18.4206798491
        0.1854276000       -42.2498776238         2.2333828899         1.3225253674         2.2352964605       -25.3899380569       -18.7681104116
        0.1904526000      -127.1147104578         2.1033213092         1.3454963091         2.2352964605         8.8950495668       -18.7681104116
        0.1954371000       -35.5067253600         2.2448767966         1.3327346748         2.2276408281       -10.1521657797       -19.2892562553
        0.2004426000        34.5378222255         2.7640655559         1.3097637331         2.2301927056       -44.4371534035       -19.1155409741
        0.2054261000       233.9080583905         2.9893325273         1.2638218497         2.2250889506      -113.0071286510       -19.4629715365
        0.2104463000        50.7104003596         2.7831724622         1.3174207137         2.2225370732       -33.0088241955       -19.6366868178
        0.2154480000       -47.6224248372         2.2243633417         1.3480486360         2.2199851957        12.7044926361       -19.8104020990
        0.2204365000        -0.4752954850         2.5037345276         1.3352870017         2.2199851957        -6.3427227104       -19.8104020990
        0.2254432000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
