% Sweep Step 67/200  Vcmd=2.8400V  CW 
% Vg_offset=1.337661V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0041676000         2.8400000000         1.3403916554         3.4704051506         0.0711414369
        0.0055785000         2.8400000000         1.3429439823         3.4755089056         0.1376287611
        0.0104919000         2.8400000000         1.3352870017         3.4704051506        -0.0618332115
        0.0154897000         2.8400000000         1.3429439823         3.4780607830         0.1376287611
        0.0204870000         2.8400000000         1.3352870017         3.4704051506        -0.0618332115
        0.0254951000         2.8400000000         1.3301823480         3.4653013957        -0.1948078600
        0.0305387000         2.8400000000         1.3352870017         3.4704051506        -0.0618332115
        0.0356795000         2.8400000000         1.3378393285         3.4653013957         0.0046541127
        0.0405107000         2.8400000000         1.3939905194         3.4755089056         1.4673752457
        0.0455446000         2.8400000000         1.3939905194         3.4831645379         1.4673752457
        0.0506958000         2.8400000000         1.3837812120         3.4933720478         1.2014259488
        0.0556299000         2.8400000000         1.3939905194         3.4882682929         1.4673752457
        0.0604814000         2.8400000000         1.4041998268         3.5061314351         1.7333245426
        0.0654977000         2.8400000000         1.3863335388         3.5010276801         1.2679132730
        0.0705254000         2.8400000000         1.4093044805         3.5214426998         1.8662991910
        0.0754845000         2.8400000000         1.4067521537         3.5239945773         1.7998118668
        0.0805557000         2.8400000000         1.4093044805         3.5316502097         1.8662991910
        0.0855494000         2.8400000000         1.4016475000         3.5342020871         1.6668372184
        0.0904863000         2.8400000000         1.3965428462         3.5342020871         1.5338625699
        0.0955427000         2.8400000000         1.3939905194         3.5393058420         1.4673752457
        0.1004082000         2.8400000000         1.4016475000         3.5444095970         1.6668372184
        0.1054587000         2.8400000000         1.3990951731         3.5571689842         1.6003498941
        0.1104496000         2.8400000000         1.3939905194         3.5571689842         1.4673752457
        0.1155587000         2.8400000000         1.3990951731         3.5699283715         1.6003498941
        0.1204427000         2.8400000000         1.3990951731         3.5775840039         1.6003498941
        0.1254127000         2.8400000000         1.4016475000         3.5775840039         1.6668372184
        0.1306164000         2.8400000000         1.4016475000         3.5903433912         1.6668372184
        0.1354815000         2.8400000000         1.3914381925         3.5954471461         1.4008879215
        0.1406116000         2.8400000000         1.4067521537         3.6107584109         1.7998118668
        0.1455464000         2.8400000000         1.4041998268         3.6133102883         1.7333245426
        0.1504371000         2.8400000000         1.3939905194         3.6107584109         1.4673752457
        0.1554196000         2.8400000000         1.3965428462         3.6235177982         1.5338625699
        0.1604879000         2.8400000000         1.3965428462         3.6286215531         1.5338625699
        0.1654359000         2.8400000000         1.4016475000         3.6362771855         1.6668372184
        0.1705045000         2.8400000000         1.4041998268         3.6439328179         1.7333245426
        0.1754986000         2.8400000000         1.3914381925         3.6413809404         1.4008879215
        0.1804187000         2.8400000000         1.4016475000         3.6566922051         1.6668372184
        0.1854443000         2.8400000000         1.4016475000         3.6592440826         1.6668372184
        0.1904278000         2.8400000000         1.4067521537         3.6643478375         1.7998118668
        0.1954713000         2.8400000000         1.3939905194         3.6643478375         1.4673752457
        0.2004362000         2.8400000000         1.4041998268         3.6847628572         1.7333245426
        0.2054306000         2.8400000000         1.3939905194         3.6796591023         1.4673752457
        0.2104065000         2.8400000000         1.3939905194         3.6898666121         1.4673752457
        0.2154607000         2.8400000000         1.3863335388         3.6898666121         1.2679132730
        0.2204244000         2.8400000000         1.3965428462         3.7026259994         1.5338625699
        0.2254656000         2.8400000000         1.3914381925         3.7000741219         1.4008879215
        0.2304454000         2.8400000000         1.3914381925         3.7128335092         1.4008879215
        0.2355032000         2.8400000000         1.3939905194         3.7179372642         1.4673752457
        0.2404941000         2.8400000000         1.4016475000         3.7255928965         1.6668372184
        0.2454184000         2.8400000000         1.4067521537         3.7306966515         1.7998118668
        0.2504589000         2.8400000000         1.4016475000         3.7383522838         1.6668372184
        0.2554650000         2.8400000000         1.3990951731         3.7460079162         1.6003498941
        0.2604407000         2.8400000000         1.3990951731         3.7511116711         1.6003498941
        0.2655886000         2.8400000000         1.3990951731         3.7511116711         1.6003498941
        0.2704962000         2.8400000000         1.3965428462         3.7638710584         1.5338625699
        0.2754729000         2.8400000000         1.3990951731         3.7664229359         1.6003498941
        0.2804441000         2.8400000000         1.3888858657         3.7715266908         1.3344005972
        0.2854138000         2.8400000000         1.4041998268         3.7817342006         1.7333245426
        0.2904302000         2.8400000000         1.4016475000         3.7893898330         1.6668372184
        0.2955496000         2.8400000000         1.4144091342         3.8021492203         1.9992738395
        0.3004617000         2.8400000000         1.3939905194         3.7970454654         1.4673752457
        0.3054441000         2.8400000000         1.3939905194         3.8047010978         1.4673752457
        0.3104356000         2.8400000000         1.3965428462         3.8149086076         1.5338625699
        0.3155180000         2.8400000000         1.4144091342         3.8276679949         1.9992738395
        0.3205191000         2.8400000000         1.3990951731         3.8276679949         1.6003498941
        0.3254327000         2.8400000000         1.4067521537         3.8404273822         1.7998118668
        0.3304489000         2.8400000000         1.4016475000         3.8480830146         1.6668372184
        0.3354874000         2.8400000000         1.3914381925         3.8404273822         1.4008879215
        0.3404427000         2.8400000000         1.3939905194         3.8557386469         1.4673752457
        0.3454278000         2.8400000000         1.3939905194         3.8608424019         1.4673752457
        0.3503993000         2.8400000000         1.3939905194         3.8684980342         1.4673752457
        0.3554584000         2.8400000000         1.3939905194         3.8710499117         1.4673752457
        0.3604286000         2.8400000000         1.4016475000         3.8761536666         1.6668372184
        0.3655056000         2.8400000000         1.3914381925         3.8812574215         1.4008879215
        0.3705064000         2.8400000000         1.3990951731         3.8838092990         1.6003498941
        0.3755314000         2.8400000000         1.4041998268         3.9016724412         1.7333245426
        0.3804400000         2.8400000000         1.3914381925         3.8940168088         1.4008879215
        0.3855551000         2.8400000000         1.3939905194         3.9016724412         1.4673752457
        0.3904832000         2.8400000000         1.3939905194         3.9118799510         1.4673752457
        0.3955992000         2.8400000000         1.3965428462         3.9195355834         1.5338625699
        0.4004871000         2.8400000000         1.4016475000         3.9297430933         1.6668372184
        0.4054274000         2.8400000000         1.3965428462         3.9322949707         1.5338625699
        0.4104334000         2.8400000000         1.3965428462         3.9322949707         1.5338625699
        0.4154959000         2.8400000000         1.4016475000         3.9425024806         1.6668372184
        0.4204437000         2.8400000000         1.4041998268         3.9578137453         1.7333245426
        0.4255270000         2.8400000000         1.3965428462         3.9552618679         1.5338625699
        0.4305042000         2.8400000000         1.3990951731         3.9578137453         1.6003498941
        0.4355573000         2.8400000000         1.4016475000         3.9756768875         1.6668372184
        0.4404267000         2.8400000000         1.3965428462         3.9680212551         1.5338625699
        0.4454287000         2.8400000000         1.3965428462         3.9833325199         1.5338625699
        0.4505020000         2.8400000000         1.3914381925         3.9807806424         1.4008879215
        0.4554923000         2.8400000000         1.3965428462         3.9909881523         1.5338625699
        0.4604784000         2.8400000000         1.3914381925         3.9935400297         1.4008879215
        0.4655018000         2.8400000000         1.3965428462         4.0037475396         1.5338625699
        0.4704782000         2.8400000000         1.4041998268         4.0165069269         1.7333245426
        0.4754722000         2.8400000000         1.3888858657         4.0088512945         1.3344005972
        0.4805211000         2.8400000000         1.4067521537         4.0216106818         1.7998118668
        0.4854490000         2.8400000000         1.4067521537         4.0292663142         1.7998118668
        0.4905801000         2.8400000000         1.3990951731         4.0369219465         1.6003498941
        0.4954940000         2.8400000000         1.4041998268         4.0496813338         1.7333245426
        0.5004751000         2.8400000000         1.4041998268         4.0547850888         1.7333245426
        0.5054451000         2.8400000000         1.4067521537         4.0573369662         1.7998118668
        0.5105778000         2.8400000000         1.3914381925         4.0547850888         1.4008879215
        0.5154403000         2.8400000000         1.3863335388         4.0624407211         1.2679132730
        0.5204144000         2.8400000000         1.3914381925         4.0700963535         1.4008879215
        0.5255321000         2.8400000000         1.4041998268         4.0879594957         1.7333245426
        0.5304798000         2.8400000000         1.3939905194         4.0803038633         1.4673752457
        0.5354591000         2.8400000000         1.4067521537         4.0981670056         1.7998118668
        0.5404887000         2.8400000000         1.4016475000         4.0981670056         1.6668372184
        0.5454481000         2.8400000000         1.4093044805         4.1109263928         1.8662991910
        0.5503930000         2.8400000000         1.4016475000         4.1058226379         1.6668372184
        0.5554369000         2.8400000000         1.3965428462         4.1134782703         1.5338625699
        0.5604199000         2.8400000000         1.3939905194         4.1185820252         1.4673752457
        0.5654595000         2.8400000000         1.4016475000         4.1338932900         1.6668372184
        0.5704816000         2.8400000000         1.3939905194         4.1389970449         1.4673752457
        0.5754838000         2.8400000000         1.4016475000         4.1415489224         1.6668372184
        0.5804412000         2.8400000000         1.3990951731         4.1492045547         1.6003498941
        0.5854509000         2.8400000000         1.3990951731         4.1568601871         1.6003498941
        0.5904321000         2.8400000000         1.4041998268         4.1670676969         1.7333245426
        0.5955015000         2.8400000000         1.3939905194         4.1645158195         1.4673752457
        0.6004340000         2.8400000000         1.3965428462         4.1772752068         1.5338625699
        0.6054420000         2.8400000000         1.4093044805         4.1900345941         1.8662991910
        0.6105149000         2.8400000000         1.3914381925         4.1798270842         1.4008879215
        0.6154869000         2.8400000000         1.4067521537         4.2027939814         1.7998118668
        0.6205162000         2.8400000000         1.4067521537         4.2002421039         1.7998118668
        0.6254062000         2.8400000000         1.3965428462         4.2027939814         1.5338625699
        0.6304311000         2.8400000000         1.4067521537         4.2206571236         1.7998118668
        0.6354191000         2.8400000000         1.3990951731         4.2206571236         1.6003498941
        0.6405058000         2.8400000000         1.4041998268         4.2385202658         1.7333245426
        0.6454312000         2.8400000000         1.4067521537         4.2410721433         1.7998118668
        0.6504537000         2.8400000000         1.4016475000         4.2385202658         1.6668372184
        0.6553993000         2.8400000000         1.4093044805         4.2512796531         1.8662991910
        0.6604390000         2.8400000000         1.3914381925         4.2487277756         1.4008879215
        0.6654885000         2.8400000000         1.3965428462         4.2589352855         1.5338625699
        0.6704967000         2.8400000000         1.3990951731         4.2589352855         1.6003498941
        0.6754077000         2.8400000000         1.3939905194         4.2665909178         1.4673752457
        0.6804229000         2.8400000000         1.4041998268         4.2819021826         1.7333245426
        0.6854943000         2.8400000000         1.4041998268         4.2921096924         1.7333245426
        0.6904319000         2.8400000000         1.3990951731         4.2921096924         1.6003498941
        0.6955618000         2.8400000000         1.4067521537         4.2997653248         1.7998118668
        0.7004740000         2.8400000000         1.3990951731         4.3048690797         1.6003498941
        0.7054950000         2.8400000000         1.4016475000         4.3125247121         1.6668372184
        0.7104413000         2.8400000000         1.4067521537         4.3252840994         1.7998118668
        0.7154234000         2.8400000000         1.4067521537         4.3303878543         1.7998118668
        0.7204954000         2.8400000000         1.4041998268         4.3303878543         1.7333245426
        0.7254804000         2.8400000000         1.4016475000         4.3405953642         1.6668372184
        0.7306729000         2.8400000000         1.4041998268         4.3508028740         1.7333245426
        0.7354135000         2.8400000000         1.4016475000         4.3584585064         1.6668372184
        0.7404523000         2.8400000000         1.4016475000         4.3584585064         1.6668372184
        0.7455094000         2.8400000000         1.3939905194         4.3610103838         1.4673752457
        0.7504971000         2.8400000000         1.3965428462         4.3686660162         1.5338625699
        0.7554386000         2.8400000000         1.3965428462         4.3712178937         1.5338625699
        0.7604272000         2.8400000000         1.4016475000         4.3788735260         1.6668372184
        0.7654506000         2.8400000000         1.3939905194         4.3865291584         1.4673752457
        0.7704199000         2.8400000000         1.4067521537         4.3992885457         1.7998118668
        0.7754415000         2.8400000000         1.3990951731         4.4043923006         1.6003498941
        0.7805361000         2.8400000000         1.4067521537         4.4120479330         1.7998118668
        0.7854439000         2.8400000000         1.3939905194         4.4120479330         1.4673752457
        0.7904289000         2.8400000000         1.4016475000         4.4222554428         1.6668372184
        0.7954784000         2.8400000000         1.4041998268         4.4401185851         1.7333245426
        0.8005347000         2.8400000000         1.3965428462         4.4324629527         1.5338625699
        0.8055471000         2.8400000000         1.4041998268         4.4477742174         1.7333245426
        0.8104433000         2.8400000000         1.3990951731         4.4528779724         1.6003498941
        0.8154388000         2.8400000000         1.4093044805         4.4656373597         1.8662991910
        0.8204417000         2.8400000000         1.4067521537         4.4681892371         1.7998118668
        0.8255611000         2.8400000000         1.4144091342         4.4835005019         1.9992738395
        0.8304441000         2.8400000000         1.4067521537         4.4809486244         1.7998118668
        0.8354743000         2.8400000000         1.4041998268         4.4911561342         1.7333245426
        0.8404273000         2.8400000000         1.3965428462         4.4911561342         1.5338625699
        0.8455782000         2.8400000000         1.4041998268         4.5013636441         1.7333245426
        0.8504390000         2.8400000000         1.3990951731         4.5013636441         1.6003498941
        0.8554276000         2.8400000000         1.4041998268         4.5166749088         1.7333245426
        0.8604589000         2.8400000000         1.4093044805         4.5294342961         1.8662991910
        0.8654292000         2.8400000000         1.3965428462         4.5345380510         1.5338625699
        0.8704474000         2.8400000000         1.4016475000         4.5319861736         1.6668372184
        0.8754451000         2.8400000000         1.4041998268         4.5370899285         1.7333245426
        0.8804557000         2.8400000000         1.4067521537         4.5524011933         1.7998118668
        0.8854294000         2.8400000000         1.4144091342         4.5651605806         1.9992738395
        0.8904622000         2.8400000000         1.4118568074         4.5753680904         1.9327865153
        0.8954526000         2.8400000000         1.4144091342         4.5804718453         1.9992738395
        0.9005036000         2.8400000000         1.4016475000         4.5753680904         1.6668372184
        0.9054272000         2.8400000000         1.4399324028         4.5957831101         2.6641470818
        0.9104765000         2.8400000000         1.4118568074         4.6008868650         1.9327865153
        0.9154791000         2.8400000000         1.4067521537         4.6034387424         1.7998118668
        0.9204619000         2.8400000000         1.4118568074         4.6110943748         1.9327865153
        0.9254930000         2.8400000000         1.4144091342         4.6213018847         1.9992738395
        0.9304658000         2.8400000000         1.4093044805         4.6315093945         1.8662991910
        0.9354953000         2.8400000000         1.3939905194         4.6340612719         1.4673752457
        0.9405612000         2.8400000000         1.4169614611         4.6468206592         2.0657611637
        0.9455280000         2.8400000000         1.4144091342         4.6519244142         1.9992738395
        0.9504345000         2.8400000000         1.4041998268         4.6519244142         1.7333245426
        0.9554323000         2.8400000000         1.4118568074         4.6723394338         1.9327865153
        0.9604628000         2.8400000000         1.4424847297         4.6697875564         2.7306344060
        0.9654703000         2.8400000000         1.4144091342         4.6876506986         1.9992738395
        0.9704446000         2.8400000000         1.4093044805         4.6876506986         1.8662991910
        0.9754381000         2.8400000000         1.4067521537         4.6876506986         1.7998118668
        0.9805689000         2.8400000000         1.4220661148         4.7080657183         2.1987358122
        0.9854272000         2.8400000000         1.4067521537         4.7080657183         1.7998118668
        0.9904301000         2.8400000000         1.4016475000         4.7131694732         1.6668372184
        0.9955169000         2.8400000000         1.4169614611         4.7335844928         2.0657611637
        1.0004748000         2.8400000000         1.4144091342         4.7386882478         1.9992738395
        1.0054087000         2.8400000000         1.4041998268         4.7412401252         1.7333245426
        1.0104315000         2.8400000000         1.4016475000         4.7488957576         1.6668372184
        1.0158607000         2.8400000000         1.4093044805         4.7565513900         1.8662991910
        1.0205900000         2.8400000000         1.4195137880         4.7642070224         2.1322484879
        1.0254723000         2.8400000000         1.4144091342         4.7718626547         1.9992738395
        1.0305387000         2.8400000000         1.4041998268         4.7795182871         1.7333245426
        1.0354228000         2.8400000000         1.4016475000         4.7795182871         1.6668372184
        1.0405413000         2.8400000000         1.4093044805         4.7999333068         1.8662991910
        1.0455189000         2.8400000000         1.4093044805         4.7999333068         1.8662991910
        1.0504519000         2.8400000000         1.4016475000         4.8024851842         1.6668372184
        1.0554268000         2.8400000000         1.4016475000         4.8101408166         1.6668372184
        1.0604910000         2.8400000000         1.4067521537         4.8229002039         1.7998118668
        1.0654699000         2.8400000000         1.4041998268         4.8254520814         1.7333245426
        1.0704521000         2.8400000000         1.4041998268         4.8331077137         1.7333245426
        1.0754525000         2.8400000000         1.4118568074         4.8458671010         1.9327865153
        1.0805069000         2.8400000000         1.4118568074         4.8535227334         1.9327865153
        1.0854284000         2.8400000000         1.4041998268         4.8560746109         1.7333245426
        1.0904456000         2.8400000000         1.4169614611         4.8764896306         2.0657611637
        1.0954285000         2.8400000000         1.4118568074         4.8841452629         1.9327865153
        1.1004560000         2.8400000000         1.4067521537         4.8841452629         1.7998118668
        1.1054407000         2.8400000000         1.3990951731         4.8841452629         1.6003498941
        1.1104442000         2.8400000000         1.4067521537         4.8969046502         1.7998118668
        1.1154396000         2.8400000000         1.3990951731         4.9020084051         1.6003498941
        1.1205220000         2.8400000000         1.4169614611         4.9224234248         2.0657611637
        1.1255121000         2.8400000000         1.4246184417         4.9326309346         2.2652231364
        1.1305376000         2.8400000000         1.4093044805         4.9326309346         1.8662991910
        1.1355350000         2.8400000000         1.4195137880         4.9453903219         2.1322484879
        1.1404186000         2.8400000000         1.4169614611         4.9555978318         2.0657611637
        1.1454015000         2.8400000000         1.4144091342         4.9632534642         1.9992738395
        1.1504073000         2.8400000000         1.4016475000         4.9555978318         1.6668372184
        1.1553935000         2.8400000000         1.4067521537         4.9709090965         1.7998118668
        1.1603948000         2.8400000000         1.4067521537         4.9785647289         1.7998118668
        1.1654639000         2.8400000000         1.4220661148         4.9836684838         2.1987358122
        1.1704283000         2.8400000000         1.4093044805         4.9964278711         1.8662991910
        1.1753878000         2.8400000000         1.4093044805         4.9964278711         1.8662991910
        1.1804509000         2.8400000000         1.4041998268         5.0040835035         1.7333245426
        1.1853884000         2.8400000000         1.4195137880         5.0040835035         2.1322484879
        1.1904704000         2.8400000000         1.4093044805         5.0117391359         1.8662991910
        1.1954684000         2.8400000000         1.4118568074         5.0142910133         1.9327865153
        1.2004341000         2.8400000000         1.4041998268         5.0040835035         1.7333245426
        1.2054351000         2.8400000000         1.4118568074         5.0066353810         1.9327865153
        1.2104227000         2.8400000000         1.4067521537         5.0066353810         1.7998118668
        1.2154753000         2.8400000000         1.4144091342         5.0117391359         1.9992738395
        1.2204693000         2.8400000000         1.4067521537         5.0040835035         1.7998118668
        1.2254701000         2.8400000000         1.4144091342         5.0066353810         1.9992738395
        1.2304463000         2.8400000000         1.4220661148         5.0066353810         2.1987358122
        1.2354416000         2.8400000000         1.4195137880         5.0117391359         2.1322484879
        1.2404273000         2.8400000000         1.4118568074         5.0117391359         1.9327865153
        1.2454465000         2.8400000000         1.3990951731         4.9989797486         1.6003498941
        1.2504665000         2.8400000000         1.4016475000         4.9989797486         1.6668372184
        1.2554591000         2.8400000000         1.4118568074         5.0117391359         1.9327865153
        1.2605146000         2.8400000000         1.4118568074         5.0091872584         1.9327865153
        1.2654284000         2.8400000000         1.4093044805         4.9913241162         1.8662991910
        1.2704771000         2.8400000000         1.4169614611         1.1099185011         2.0657611637
        1.2754666000         2.8400000000         1.4041998268         1.0920553588         1.7333245426
        1.2804892000         2.8400000000         1.4016475000         1.1048147461         1.6668372184
        1.2854305000         2.8400000000         1.4041998268         1.1048147461         1.7333245426
        1.2905347000         2.8400000000         1.4220661148         1.1175741334         2.1987358122
        1.2955262000         2.8400000000         1.4169614611         1.1175741334         2.0657611637
        1.3005512000         2.8400000000         1.4067521537         1.1124703785         1.7998118668
        1.3055237000         2.8400000000         1.4144091342         0.0253705810         1.9992738395
        1.3104531000         2.8400000000         1.4118568074         0.0100593162         1.9327865153
        1.3154398000         2.8400000000         1.4067521537         0.0024036839         1.7998118668
        1.3204449000         2.8400000000         1.4041998268        -0.0027000711         1.7333245426
        1.3254330000         2.8400000000         1.4016475000        -0.0052519485         1.6668372184
        1.3304190000         2.8400000000         1.4144091342        -0.0052519485         1.9992738395
        1.3354287000         2.8400000000         1.4067521537         0.0024036839         1.7998118668
        1.3404304000         2.8400000000         1.4195137880         0.0075074388         2.1322484879
        1.3455887000         2.8400000000         1.4067521537         0.0075074388         1.7998118668
        1.3505972000         2.8400000000         1.4144091342         0.0049555613         1.9992738395
        1.3555186000         2.8400000000         1.4169614611         0.0075074388         2.0657611637
        1.3604274000         2.8400000000         1.3965428462         0.0075074388         1.5338625699
        1.3654374000         2.8400000000         1.4118568074        -0.0001481936         1.9327865153
        1.3705000000         2.8400000000         1.4093044805        -0.0001481936         1.8662991910
        1.3753809000         2.8400000000         1.4093044805        -0.0001481936         1.8662991910
        1.3857370000         2.8400000000         1.4118568074         0.0024036839         1.9327865153
        1.3862951000         2.8400000000         1.4118568074         0.0049555613         1.9327865153
        1.3907745000         2.8400000000         1.4169614611         0.0151630711         2.0657611637
        1.3954315000         2.8400000000         1.4093044805         0.0151630711         1.8662991910
        1.4004506000         2.8400000000         1.4093044805         0.0228187035         1.8662991910
