% Sweep Step 136/200  Vcmd=1.1000V  CCW 
% Vg_offset=1.337074V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0018404000         1.1000000000         1.3378393285         4.9504940769         0.0199461973
        0.0055570000         1.1000000000         1.3378393285         4.9504940769         0.0199461973
        0.0106574000         1.1000000000         1.3403916554         4.9530459543         0.0864335215
        0.0155608000         1.1000000000         1.3225253674         4.9428384445        -0.3789777481
        0.0205618000         1.1000000000         1.0596357012         4.9300790572        -7.2271721434
        0.0256018000         1.1000000000         1.1183392189         4.9071121601        -5.6979636862
        0.0305405000         1.1000000000         1.1004729309         4.8815933855        -6.1633749558
        0.0355613000         1.1000000000         0.9932752029         4.8382114687        -8.9558425733
        0.0405629000         1.1000000000         0.9932752029         4.8101408166        -8.9558425733
        0.0455129000         1.1000000000         1.0239031252         4.7718626547        -8.1579946826
        0.0505706000         1.1000000000         0.9345716852         4.7310326154       -10.4850510305
        0.0554813000         1.1000000000         0.9677519344         4.7080657183        -9.6207158156
        0.0605240000         1.1000000000         0.9575426269         4.6672356789        -9.8866651125
        0.0654621000         1.1000000000         0.9167053972         4.6110943748       -10.9504623001
        0.0704848000         1.1000000000         0.9345716852         4.5702643355       -10.4850510305
        0.0755196000         1.1000000000         0.9243623778         4.5396418060       -10.7510003275
        0.0805807000         1.1000000000         0.8886298018         4.4860523793       -11.6818228666
        0.0856964000         1.1000000000         0.9167053972         4.4375667076       -10.9504623001
        0.0905179000         1.1000000000         0.8682111870         4.4043923006       -12.2137214604
        0.0954470000         1.1000000000         0.8886298018         4.3533547515       -11.6818228666
        0.1005892000         1.1000000000         0.8835251481         4.2997653248       -11.8147975151
        0.1055819000         1.1000000000         0.8631065332         4.2614871629       -12.3466961089
        0.1104427000         1.1000000000         0.8656588601         4.2027939814       -12.2802087847
        0.1157382000         1.1000000000         0.8350309378         4.1543083097       -13.0780566754
        0.1206702000         1.1000000000         0.8528972258         4.1083745154       -12.6126454058
        0.1255675000         1.1000000000         0.8452402453         4.0547850888       -12.8121073785
        0.1308277000         1.1000000000         0.8120599961         4.0011956621       -13.6764425934
        0.1355897000         1.1000000000         0.8477925721         3.9578137453       -12.7456200543
        0.1405228000         1.1000000000         0.8273739573         3.9169837060       -13.2775186481
        0.1454822000         1.1000000000         0.8146123230         3.8531867695       -13.6099552692
        0.1504543000         1.1000000000         0.8222693035         3.8047010978       -13.4104932965
        0.1554936000         1.1000000000         0.8146123230         3.7536635486       -13.6099552692
        0.1604998000         1.1000000000         0.8044030155         3.6949703670       -13.8759045661
        0.1654659000         1.1000000000         0.8044030155         3.6515884502       -13.8759045661
        0.1705808000         1.1000000000         0.8350309378         3.5928952687       -13.0780566754
        0.1756002000         1.1000000000         0.7916413813         3.5342020871       -14.2083411872
        0.1806125000         1.1000000000         0.7941937081         3.4857164154       -14.1418538630
        0.1857201000         1.1000000000         0.7941937081         3.4346788662       -14.1418538630
        0.1905527000         1.1000000000         0.8069553424         3.3785375621       -13.8094172419
        0.1955449000         1.1000000000         0.7890890544         3.3300518904       -14.2748285115
        0.2005100000         1.1000000000         0.7839844007         3.2713587088       -14.4078031599
