% Position Control  theta_d=+30.0000 deg (0.523599 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.338733V  K_gimbal=26.049690  samples=233

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.0006737000      7603.7638596504         5.0000000000         1.3378393285         1.4212475511        -0.0232705635        -1.2947425640
        0.0055302000      7662.3143467595         5.0000000000         1.3327346748         1.4135919187        -0.1562452119        -1.3038382748
        0.0106474000      7649.6418171043         5.0000000000         1.3327346748         1.4161437961        -0.1562452119        -1.3008063712
        0.0156492000      7529.4926355645         5.0000000000         1.3531532897         1.4237994285         0.3756533819        -1.2917106604
        0.0205894000      7339.8843911057         5.0000000000         1.3939905194         1.4289031834         1.4394505695        -1.2856468533
        0.0256556000      6958.2618216046         5.0000000000         1.4731126519         1.4416625707         3.5005576205        -1.2704873353
        0.0304648000      6537.9795363997         5.0000000000         1.5649964188         1.4518700806         5.8941012927        -1.2583597209
        0.0355633000      6018.7230945369         5.0000000000         1.6594325125         1.4799407326         8.3541322891        -1.2250087814
        0.0406059000      5720.5163710864         5.0000000000         1.6926127616         1.5131151396         9.2184675040        -1.1855940347
        0.0457298000      5394.5585077422         5.0000000000         1.7232406839         1.5539451789        10.0163153948        -1.1370835773
        0.0505763000      5007.0019499674         5.0000000000         1.7691825673         1.5947752183        11.2130872308        -1.0885731198
        0.0556540000      4596.5064134656         5.0000000000         1.8176767776         1.6381571351        12.4763463911        -1.0370307587
        0.0605814000      4161.3079443917         5.0000000000         1.8534093535         1.6968503166        13.4071689303        -0.9672969761
        0.0655693000      3748.4063273065         5.0000000000         1.8993512370         1.7427841109        14.6039407664        -0.9127227114
        0.0705811000      3236.5305535633         5.0000000000         1.9478454472         1.8065810474        15.8671999267        -0.8369251216
        0.0756087000      2913.6208975408         5.0000000000         1.9682640621         1.8550667191        16.3990985205        -0.7793189534
        0.0806552000      2369.1818227371         5.0000000000         2.0091012918         1.9316230429        17.4628957081        -0.6883618456
        0.0862130000      1876.0749932923         5.0000000000         2.0371768872         2.0081793666        18.1942562746        -0.5974047379
        0.0905909000      1545.9470955196         5.0000000000         2.0499385215         2.0643206707        18.5266928958        -0.5307028588
        0.0955985000      1129.5175707440         4.2782463198         2.0652524826         2.1357732396        18.9256168411        -0.4458095583
        0.1006181000       690.1490672416         3.4560573764         2.0831187706         2.2097776859        19.3910281107        -0.3578843541
        0.1056383000       276.7677497877         3.0103363930         2.0882234243         2.2888858871        19.5240027592        -0.2638953427
        0.1107957000         6.4745926005         2.5688456146         2.0703571363         2.3577865785        19.0585914896        -0.1820339458
        0.1156911000      -284.3514627303         1.9490331330         2.0575955021         2.4266872699        18.7261548684        -0.1001725488
        0.1205856000      -598.1164967880         1.6039752419         2.0473861946         2.4981398388        18.4602055715        -0.0152792482
        0.1255536000      -926.9601410842         1.1019197461         2.0346245604         2.5746961625        18.1277689504         0.0756778596
        0.1305459000     -1243.1312557253         0.3061207028         2.0218629261         2.6487006088        17.7953323293         0.1636030637
        0.1354726000     -1508.6122517457         0.0000000000         2.0091012918         2.7124975453        17.4628957081         0.2394006535
        0.1404644000     -1804.2504682433         0.0000000000         1.9912350038         2.7865019916        16.9974844386         0.3273258577
        0.1456397000     -1936.9097530687         0.0000000000         1.9580547547         2.8400914183        16.1331492236         0.3909958331
        0.1504685000      -908.5008920453         1.1372462623         1.7181360302         2.8273320310         9.8833407463         0.3758363152
        0.1555135000      -138.5172116616         2.1172286549         1.5267115159         2.8273320310         4.8967914293         0.3758363152
        0.1605365000       667.0779771043         3.4277083415         1.3327346748         2.8222282761        -0.1562452119         0.3697725080
        0.1655928000      1172.5400622050         4.4036867956         1.2102229857         2.8196763986        -3.3476367748         0.3667406044
        0.1705426000      1151.3650373232         4.3405766480         1.2280892737         2.8094688888        -2.8822255052         0.3546129900
        0.1755088000      1150.7229105850         4.3387049123         1.2408509080         2.7992613789        -2.5497888841         0.3424853757
        0.1806492000      1282.9024950417         4.7799821022         1.2331939274         2.7788463592        -2.7492508568         0.3182301469
        0.1856941000      1197.7226951459         4.4823526495         1.2638218497         2.7711907269        -1.9514029661         0.3091344362
        0.1907204000      1227.8799156230         4.5819724571         1.2689265034         2.7609832170        -1.8184283176         0.2970068218
        0.1956286000      1178.9537508475         4.4233430948         1.2842404646         2.7584313396        -1.4195043722         0.2939749182
        0.2006983000      1061.2106498911         4.1003220086         1.3072114063         2.7635350945        -0.8211184542         0.3000387254
        0.2056268000        49.8067793209         2.7547230192         1.5113975548         2.8018132564         4.4978674839         0.3455172793
        0.2106017000      -918.1252143788         1.1189577801         1.7079267227         2.8375395408         9.6173914494         0.3879639295
        0.2156720000     -1684.8982610714         0.0000000000         1.8355430655         2.8885770900        12.9417576607         0.4486020014
        0.2206722000     -1845.9508125288         0.0000000000         1.8125721238         2.9396146392        12.3433717427         0.5092400732
        0.2256168000     -2025.7723082846         0.0000000000         1.8100197970         2.9778928011        12.2768844185         0.5547186271
        0.2306052000     -2120.4140041446         0.0000000000         1.7768395479         3.0238265953        11.4125492035         0.6092928918
        0.2357103000     -2228.3703563979         0.0000000000         1.7564209330         3.0621047572        10.8806506097         0.6547714456
        0.2405663000     -2448.6155217026         0.0000000000         1.7513162793         3.1105904289        10.7476759612         0.7123776139
        0.2456745000     -2403.2172646174         0.0000000000         1.7053743959         3.1386610810         9.5509041252         0.7457285534
        0.2507958000     -1293.3189377579         0.1409244367         1.4577986908         3.1156941838         3.1016336752         0.7184414211
