% Potentiometer Recording  5.0 s
% Vg_offset=1.338567V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0009708000         1.3403916554         2.5440736330         0.0475384368
        0.0054312000         1.3378393285         2.5440736330        -0.0189488874
        0.0104168000         1.3454963091         2.5491773879         0.1805130853
        0.0153943000         1.3327346748         2.5389698781        -0.1519235359
        0.0204075000         1.3301823480         2.5415217556        -0.2184108601
        0.0254894000         1.3378393285         2.5440736330        -0.0189488874
        0.0304278000         1.3378393285         2.5440736330        -0.0189488874
        0.0354279000         1.3378393285         2.5440736330        -0.0189488874
        0.0404328000         1.3454963091         2.5491773879         0.1805130853
        0.0454334000         1.3710195777         2.5491773879         0.8453863275
        0.0507121000         1.3378393285         2.5440736330        -0.0189488874
        0.0554818000         1.3327346748         2.5389698781        -0.1519235359
        0.0604191000         1.3378393285         2.5440736330        -0.0189488874
        0.0657413000         1.3454963091         2.5491773879         0.1805130853
        0.0704275000         1.3403916554         2.5440736330         0.0475384368
        0.0754138000         1.3378393285         2.5440736330        -0.0189488874
        0.0804219000         1.3429439823         2.5440736330         0.1140257610
        0.0854220000         1.3352870017         2.5415217556        -0.0854362116
        0.0905103000         1.3429439823         2.5440736330         0.1140257610
        0.0954310000         1.3454963091         2.5491773879         0.1805130853
        0.1004137000         1.3352870017         2.5440736330        -0.0854362116
        0.1054335000         1.3327346748         2.5389698781        -0.1519235359
        0.1104262000         1.3480486360         2.5517292654         0.2470004095
        0.1153950000         1.3582579434         2.5440736330         0.5129497064
        0.1204152000         1.3403916554         2.5440736330         0.0475384368
        0.1254261000         1.3429439823         2.5491773879         0.1140257610
        0.1304308000         1.3454963091         2.5440736330         0.1805130853
        0.1354100000         1.3327346748         2.5440736330        -0.1519235359
        0.1404324000         1.3454963091         2.5491773879         0.1805130853
        0.1454334000         1.3429439823         2.5440736330         0.1140257610
        0.1504122000         1.3378393285         2.5466255105        -0.0189488874
        0.1554311000         1.3454963091         2.5491773879         0.1805130853
        0.1604304000         1.3378393285         2.5440736330        -0.0189488874
        0.1654139000         1.3403916554         2.5440736330         0.0475384368
        0.1704199000         1.3429439823         2.5517292654         0.1140257610
        0.1753860000         1.3327346748         2.5389698781        -0.1519235359
        0.1804127000         1.3378393285         2.5440736330        -0.0189488874
        0.1854329000         1.3557056165         2.5491773879         0.4464623822
        0.1904296000         1.3429439823         2.5440736330         0.1140257610
        0.1954046000         1.3378393285         2.5440736330        -0.0189488874
        0.2004298000         1.3352870017         2.5517292654        -0.0854362116
        0.2053979000         1.3429439823         2.5491773879         0.1140257610
        0.2103928000         1.3378393285         2.5364180006        -0.0189488874
        0.2154326000         1.3352870017         2.5440736330        -0.0854362116
        0.2204070000         1.3403916554         2.5440736330         0.0475384368
        0.2254170000         1.3378393285         2.5440736330        -0.0189488874
        0.2304541000         1.3454963091         2.5517292654         0.1805130853
        0.2354697000         1.3378393285         2.5415217556        -0.0189488874
        0.2404242000         1.3454963091         2.5517292654         0.1805130853
        0.2454355000         1.3378393285         2.5440736330        -0.0189488874
        0.2504160000         1.3378393285         2.5440736330        -0.0189488874
        0.2553876000         1.3608102703         2.5517292654         0.5794370306
        0.2604248000         1.3531532897         2.5415217556         0.3799750580
        0.2655304000         1.3378393285         2.5440736330        -0.0189488874
        0.2703992000         1.3327346748         2.5389698781        -0.1519235359
        0.2754054000         1.3327346748         2.5389698781        -0.1519235359
        0.2803905000         1.3352870017         2.5466255105        -0.0854362116
        0.2853988000         1.3378393285         2.5415217556        -0.0189488874
        0.2904060000         1.3403916554         2.5440736330         0.0475384368
        0.2953912000         1.3454963091         2.5466255105         0.1805130853
        0.3003764000         1.3378393285         2.5440736330        -0.0189488874
        0.3054096000         1.3378393285         2.5440736330        -0.0189488874
        0.3103913000         1.3454963091         2.5491773879         0.1805130853
        0.3154003000         1.3454963091         2.5491773879         0.1805130853
        0.3203887000         1.3429439823         2.5517292654         0.1140257610
        0.3253985000         1.3454963091         2.5491773879         0.1805130853
        0.3303947000         1.3454963091         2.5491773879         0.1805130853
        0.3353884000         1.3378393285         2.5466255105        -0.0189488874
        0.3403873000         1.3378393285         2.5415217556        -0.0189488874
        0.3453936000         1.3378393285         2.5440736330        -0.0189488874
        0.3503845000         1.3378393285         2.5440736330        -0.0189488874
        0.3553872000         1.3403916554         2.5440736330         0.0475384368
        0.3603991000         1.3378393285         2.5415217556        -0.0189488874
        0.3654030000         1.3352870017         2.5466255105        -0.0854362116
        0.3703903000         1.3352870017         2.5440736330        -0.0854362116
        0.3753929000         1.3429439823         2.5517292654         0.1140257610
        0.3803920000         1.3403916554         2.5466255105         0.0475384368
        0.3853981000         1.3429439823         2.5491773879         0.1140257610
        0.3903987000         1.3454963091         2.5491773879         0.1805130853
        0.3953817000         1.3582579434         2.5440736330         0.5129497064
        0.4003932000         1.3608102703         2.5440736330         0.5794370306
        0.4053758000         1.3327346748         2.5389698781        -0.1519235359
        0.4104140000         1.3378393285         2.5415217556        -0.0189488874
        0.4153977000         1.3327346748         2.5389698781        -0.1519235359
        0.4203768000         1.3403916554         2.5466255105         0.0475384368
        0.4253867000         1.3454963091         2.5517292654         0.1805130853
        0.4303992000         1.3454963091         2.5491773879         0.1805130853
        0.4353863000         1.3403916554         2.5440736330         0.0475384368
        0.4405529000         1.3378393285         2.5440736330        -0.0189488874
        0.4453947000         1.3352870017         2.5440736330        -0.0854362116
        0.4506344000         1.3301823480         2.5389698781        -0.2184108601
        0.4554106000         1.3378393285         2.5440736330        -0.0189488874
        0.4604275000         1.3327346748         2.5415217556        -0.1519235359
        0.4653890000         1.3531532897         2.5466255105         0.3799750580
        0.4703848000         1.3403916554         2.5466255105         0.0475384368
        0.4753787000         1.3301823480         2.5389698781        -0.2184108601
        0.4805163000         1.3378393285         2.5440736330        -0.0189488874
        0.4853879000         1.3327346748         2.5389698781        -0.1519235359
        0.4904000000         1.3352870017         2.5466255105        -0.0854362116
        0.4953874000         1.3378393285         2.5440736330        -0.0189488874
        0.5003955000         1.3454963091         2.5440736330         0.1805130853
        0.5053991000         1.3378393285         2.5440736330        -0.0189488874
        0.5103873000         1.3429439823         2.5491773879         0.1140257610
        0.5153967000         1.3378393285         2.5440736330        -0.0189488874
        0.5203994000         1.3327346748         2.5389698781        -0.1519235359
        0.5253878000         1.3327346748         2.5364180006        -0.1519235359
