% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.0000008000         0.0000010053         2.5000050085         1.3378393285         2.3424753138        -0.0003324366         0.0000073167
        0.0050078000         0.0062929455         2.5313520500         1.3454963091         2.3501309461         0.1991295361         0.0458006869
        0.0100058000         0.0125733278         2.5626415086         1.3327346748         2.3475790687        -0.1333070851         0.0915099371
        0.0150082000         0.0188587423         2.5939560383         1.3352870017         2.3450271912        -0.0668197608         0.1372558124
        0.0201168000         0.0252768240         2.6259315286         1.3429439823         2.3501309461         0.1326422118         0.1839672529
        0.0250065000         0.0314189232         2.6565320477         1.3454963091         2.3526828236         0.1991295361         0.2286700649
        0.0300102000         0.0377029913         2.6878398693         1.3327346748         2.3399234363        -0.1333070851         0.2744061407
        0.0350084000         0.0439786639         2.7191058639         1.3429439823         2.3424753138         0.1326422118         0.3200811134
        0.0400078000         0.0502541076         2.7492085979         1.3301823480         2.3399234363        -0.1997944093         0.3657544203
        0.0450077000         0.0565281951         2.7517742535         1.3352870017         2.3424753138        -0.0668197608         0.4114178569
        0.0500080000         0.0628005528         2.7543413035         1.3352870017         2.3450271912        -0.0668197608         0.4570687032
        0.0550076000         0.0690695534         2.7569090843         1.3429439823         2.3450271912         0.1326422118         0.5026951162
        0.0600078000         0.0753365794         2.7594781649         1.3352870017         2.3424753138        -0.0668197608         0.5483071589
        0.0650055000         0.0815975000         2.7620468528         1.3378393285         2.3424753138        -0.0003324366         0.5938747649
        0.0700075000         0.0878605849         2.7646185442         1.3454963091         2.3424753138         0.1991295361         0.6394581228
        0.0750075000         0.0941176963         2.7671899010         1.3761242314         2.3399234363         0.9969774268         0.6849980052
        0.0800078000         0.1003714671         2.7697620055         1.4067521537         2.3501309461         1.7948253175         0.7305135749
        0.0850080000         0.1066211501         2.7723345520         1.3735719045         2.3526828236         0.9304901026         0.7759993923
        0.0900083000         0.1128667483         2.7749075429         1.3837812120         2.3552347011         1.1964393995         0.8214554810
        0.0950069000         0.1191057692         2.7774799510         1.3786765582         2.3628903334         1.0634647510         0.8668636986
        0.1000090000         0.1253444541         2.7800543515         1.3761242314         2.3577865785         0.9969774268         0.9122694714
        0.1050069000         0.1315729545         2.7826266803         1.3786765582         2.3705459658         1.0634647510         0.9576011202
        0.1100076000         0.1377997500         2.7852004387         1.3710195777         2.3679940883         0.8640027783         1.0029203606
        0.1150066000         0.1440189899         2.7877732088         1.3735719045         2.3679940883         0.9304901026         1.0481846104
        0.1200067000         0.1502339130         2.7903463297         1.3659149240         2.3730978433         0.7310281299         1.0934174425
        0.1250059000         0.1564417879         2.7929186700         1.3684672508         2.3782015982         0.7975154541         1.1385989766
        0.1300076000         0.1626465885         2.7954918765         1.3710195777         2.3858572306         0.8640027783         1.1837581356
        0.1350066000         0.1688416195         2.7980631711         1.3735719045         2.3909609855         0.9304901026         1.2288461905
        0.1400136000         0.1750398854         2.8006379537         1.3684672508         2.3807534756         0.7975154541         1.2739577900
        0.1450093000         0.1812172569         2.8032061968         1.3659149240         2.3909609855         0.7310281299         1.3189173172
        0.1500183000         0.1874039037         2.8057804429         1.3710195777         2.3909609855         0.8640027783         1.3639443512
        0.1550160000         0.1935691940         2.8083479453         1.3684672508         2.3960647404         0.7975154541         1.4088159509
        0.1600168000         0.1997306667         2.8109160001         1.3735719045         2.4011684953         0.9304901026         1.4536597652
