% p_cw=[-2.123276e-13 9.891086e-10 -5.800253e-07 1.225497e-03 2.722391e+00]  p_ccw=[1.174692e-12 3.376534e-09 2.532918e-06 1.886410e-03 2.308813e+00]
Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target[rad/s]
        0.0000009000         0.0000565487         2.5093746468         1.3429439823         1.1941304572         0.1146906343         0.0000009870
        0.0458525000         2.8809726353         2.5435571242         1.3327346748         1.1839229474        -0.1512586626         0.0502824581
        0.0475844000         2.9897881897         2.5448482362         1.3301823480         1.1839229474        -0.2177459868         0.0521816478
        0.0493896000         3.1032089614         2.5461939897         1.3429439823         1.1941304572         0.1146906343         0.0541612138
        0.0511686000         3.2149833406         2.5475202086         1.3429439823         1.1864748248         0.1146906343         0.0561120447
        0.0529096000         3.3243699435         2.5488180961         1.3327346748         1.1813710699        -0.1512586626         0.0580212011
        0.0553764000         3.4793579507         2.5506570508         1.3378393285         1.1890267023        -0.0182840142         0.0607262521
        0.0572344000         3.5960949679         2.5520421520         1.3429439823         1.1992342121         0.1146906343         0.0627636974
        0.0594351000         3.7343632204         2.5536827244         1.3378393285         1.1890267023        -0.0182840142         0.0651769337
        0.0615357000         3.8663418554         2.5552486696         1.3403916554         1.1941304572         0.0482033101         0.0674803954
        0.0636083000         3.9965608638         2.5567937366         1.3378393285         1.1890267023        -0.0182840142         0.0697531458
        0.0655590000         4.1191206512         2.5582479258         1.3378393285         1.1890267023        -0.0182840142         0.0718922177
        0.0676850000         4.2526938549         2.5598327908         1.3378393285         1.1890267023        -0.0182840142         0.0742235098
        0.0695474000         4.3697051023         2.5612211458         1.3327346748         1.1839229474        -0.1512586626         0.0762657414
        0.0712997000         4.4797986194         2.5625274210         1.3429439823         1.1941304572         0.1146906343         0.0781872357
        0.0750078000         4.7127700299         2.5652916598         1.3352870017         1.1890267023        -0.0847713384         0.0822533539
        0.0800089000         5.0269751137         2.5690197476         1.3454963091         1.1941304572         0.1811779585         0.0877372672
        0.0850097000         5.3411582461         2.5727475750         1.3378393285         1.1864748248        -0.0182840142         0.0932207973
        0.0900086000         5.6552187149         2.5764739469         1.3378393285         1.1890267023        -0.0182840142         0.0987021865
        0.0950084000         5.9693322393         2.5802009484         1.3378393285         1.1890267023        -0.0182840142         0.1041845017
        0.1000084000         6.2834546467         2.5839280552         1.3659149240         1.1788191925         0.7130765523         0.1096669720
        0.1050079000         6.5975417670         2.5876547434         1.3327346748         1.1813710699        -0.1512586626         0.1151488264
        0.1100071000         6.9116059723         2.5913811597         1.3327346748         1.1839229474        -0.1512586626         0.1206302808
        0.1150078000         7.2257601467         2.5951086435         1.3378393285         1.1890267023        -0.0182840142         0.1261133055
        0.1200047000         7.5396711437         2.5988332419         1.3761242314         1.1890267023         0.9790258492         0.1315920860
        0.1250082000         7.8539921055         2.6025627047         1.3454963091         1.1941304572         0.1811779585         0.1370780217
        0.1300079000         8.1680695060         2.6062892775         1.3429439823         1.1941304572         0.1146906343         0.1425597064
        0.1350136000         8.4825187758         2.6100202626         1.3327346748         1.1813710699        -0.1512586626         0.1480478815
        0.1400083000         8.7962718157         2.6137429869         1.3454963091         1.1941304572         0.1811779585         0.1535239051
