% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339600V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0004892000       129.4140691594         2.8733575528         1.3327346748         3.9297430933       -10.2474018564       110.2474018564         1.3968249959
        0.0054850000       128.8855719033         2.8727638700         1.3429439823         3.9450543580         4.9903704208        95.0096295792         1.3942737988
        0.0105146000       109.3067774613         2.8506774616         1.3633625971         3.9476062355        35.4659149752        64.5340850248         1.4019273900
        0.0155169000       135.6332843532         2.8803349420         1.3531532897         3.9399506031        20.2281426980        79.7718573020         1.4044785871
        0.0204765000       134.8068457929         2.8794086770         1.3608102703         3.9348468482        31.6564719059        68.3435280941         1.3993761929
        0.0254825000       136.4938634843         2.8812991797         1.3659149240         3.9501581129        39.2753580446        60.7246419554         1.4044785871
        0.0304711000       137.0563221533         2.8819292284         1.3710195777         3.9501581129        46.8942441832        53.1057558168         1.4044785871
        0.0354729000       136.4942217998         2.8812995811         1.3761242314         3.9578137453        54.5131303218        45.4868696782         1.3993761929
        0.0404623000       126.4069728535         2.8699779144         1.3863335388         3.9603656228        69.7509025990        30.2490974010         1.3917226017
        0.0454524000       135.0720797888         2.8797059790         1.3837812120         3.9629175002        65.9414595297        34.0585404703         1.3917226017
        0.0504342000       144.2994662353         2.8900319496         1.3812288851         3.9654693777        62.1320164604        37.8679835396         1.3942737988
        0.0554846000       124.6870686959         2.8680431130         1.3965428462         3.9756768875        84.9886748762        15.0113251238         1.3891714046
        0.0604349000       139.5036471571         2.8846692049         1.3888858657         3.9731250101        73.5603456683        26.4396543317         1.3891714046
        0.0654463000       143.4061797959         2.8890337046         1.3888858657         3.9833325199        73.5603456683        26.4396543317         1.3968249959
