% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339141V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004680000       125.6470190215         2.8691231724         1.3378393285         4.4962598892        -1.9428159653        -6.6218059755       106.6218059755         1.3917226017
        0.0054423000       134.5315366792         2.8791000515         1.3454963091         4.4937080117         9.4855132426        -0.4064820361       100.4064820361         1.3942737988
        0.0104283000       146.7638010713         2.8927843721         1.3429439823         4.4962598892         5.6760701733         1.9405896179        98.0594103821         1.3917226017
        0.0154324000       166.1312827419         2.9143494012         1.3327346748         4.4886042568        -9.5617021040        -2.4977944564       102.4977944564         1.4019273900
        0.0204509000       179.4032239359         2.9290720435         1.3403916554         4.4988117666         1.8666271040        -0.8136970943       100.8136970943         1.4044785871
        0.0254289000       193.1431059806         2.9442809933         1.3403916554         4.4937080117         1.8666271040         0.2205583848        99.7794416152         1.3891714046
        0.0304545000       199.0665355626         2.9508306613         1.3531532897         4.4886042568        20.9138424505         8.2054664938        91.7945335062         1.3993761929
        0.0354438000       165.0687283424         2.9131689990         1.4195137880         4.5090192765       119.9593622525        51.3278914128        48.6721085872         1.3891714046
        0.0404577000       167.3643431461         2.9157188747         1.3812288851         4.5064673990        62.8177162129        55.7614648816        44.2385351184         1.3840690105
        0.0454390000       162.7880350540         2.9106343937         1.3939905194         4.5141230314        81.8649315594        65.8339976940        34.1660023060         1.3917226017
        0.0504222000       139.9405104274         2.8851580657         1.4271707685         4.5192267863       131.3876914604        91.1291716869         8.8708283131         1.3942737988
        0.0554569000       141.9498903828         2.8874056854         1.3990951731         4.5294342961        89.4838176980        90.4942796917         9.5057203083         1.3993761929
        0.0604422000       138.9205626548         2.8840166054         1.4067521537         4.5370899285       100.9121469059        94.5142173745         5.4857826255         1.3942737988
        0.0654448000       141.8705064960         2.8873169180         1.3990951731         4.5345380510        89.4838176980        92.5731393397         7.4268606603         1.4070297842
        0.0704584000       142.6603393713         2.8882000093         1.4016475000         4.5498493158        93.2932607673        92.8510122674         7.1489877326         1.4019273900
