% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=4545

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0005241000        60.9732637732         2.7951784483         1.3378393285         3.3096368707        -1.3523522896        51.3523522896         1.4044785871
        0.0054549000        60.1523584291         2.7942213250         1.3429439823         3.3147406256         6.2665338490        43.7334661510         1.3942737988
        0.0106568000        75.0080732038         2.8114605178         1.3378393285         3.3096368707        -1.3523522896        51.3523522896         1.4044785871
        0.0154517000        95.1886417862         2.8346245236         1.3301823480         3.3045331158       -12.7806814975        62.7806814975         1.3993761929
        0.0204538000        79.2533958344         2.8163566015         1.3454963091         3.3121887482        10.0759769183        39.9240230817         1.3917226017
        0.0254674000        85.1462415273         2.8231317652         1.3454963091         3.3172925031        10.0759769183        39.9240230817         1.3968249959
        0.0304410000       112.0405611467         2.8537729414         1.3327346748         3.3045331158        -8.9712384282        58.9712384282         1.3993761929
        0.0354401000       103.9436252544         2.8445928656         1.3429439823         3.3172925031         6.2665338490        43.7334661510         1.3993761929
        0.0404499000        89.3972765319         2.8280047146         1.3557056165         3.3096368707        25.3137491955        24.6862508045         1.4044785871
        0.0454498000        34.2368771858         2.7637077081         1.3914381925         3.3121887482        78.6459521658       -28.6459521658         1.3968249959
        0.0504398000        55.2104603890         2.7884477099         1.3761242314         3.3249481355        55.7892937500        -5.7892937500         1.3968249959
        0.0554485000        58.5562467329         2.7923587908         1.3735719045         3.3223962580        51.9798506807        -1.9798506807         1.4044785871
        0.0604297000        54.0637230173         2.7871050695         1.3761242314         3.3275000129        55.7892937500        -5.7892937500         1.3917226017
        0.0654207000        57.4095093612         2.7910193501         1.3735719045         3.3300518904        51.9798506807        -1.9798506807         1.4044785871
        0.0704308000        36.1158065045         2.7659404891         1.3863335388         3.3249481355        71.0270660272       -21.0270660272         1.3968249959
        0.0754323000        33.0121800182         2.7622505465         1.3863335388         3.3351556453        71.0270660272       -21.0270660272         1.3917226017
        0.0804413000        34.1088483173         2.7635554451         1.3837812120         3.3453631551        67.2176229579       -17.2176229579         1.3993761929
        0.0855914000        69.3701544100         2.8049379793         1.3608102703         3.3428112777        32.9326353342        17.0673646658         1.3942737988
        0.0904553000        67.6890282504         2.8029884412         1.3633625971         3.3453631551        36.7420784035        13.2579215965         1.3968249959
        0.0954557000        73.8462121503         2.8101182835         1.3608102703         3.3402594002        32.9326353342        17.0673646658         1.3993761929
        0.1004355000        72.1650859907         2.8081744104         1.3633625971         3.3555706650        36.7420784035        13.2579215965         1.3891714046
        0.1054414000        86.7228594611         2.8249404347         1.3557056165         3.3530187875        25.3137491955        24.6862508045         1.3968249959
        0.1104299000        60.9645236121         2.7951682607         1.3735719045         3.3555706650        51.9798506807        -1.9798506807         1.3917226017
        0.1154410000        52.2717051113         2.7850046795         1.3786765582         3.3606744199        59.5987368193        -9.5987368193         1.3968249959
        0.1204457000        67.6560962998         2.8029502296         1.3684672508         3.3606744199        44.3609645421         5.6390354579         1.4044785871
        0.1254282000        47.4869524655         2.7793829921         1.3812288851         3.3632262974        63.4081798886       -13.4081798886         1.3942737988
        0.1304402000        24.5064110752         2.7520896716         1.3939905194         3.3759856847        82.4553952352       -32.4553952352         1.3993761929
        0.1354258000        65.9191886937         2.8009336735         1.3659149240         3.3657781748        40.5515214728         9.4484785272         1.3993761929
        0.1404406000        67.3137982970         2.8025530051         1.3659149240         3.3734338072        40.5515214728         9.4484785272         1.3942737988
        0.1454391000        39.3063444032         2.7697242342         1.3837812120         3.3836413170        67.2176229579       -17.2176229579         1.3993761929
        0.1504289000        61.9667661400         2.7963360811         1.3684672508         3.3759856847        44.3609645421         5.6390354579         1.3917226017
        0.1554546000        50.1982118762         2.7825709418         1.3761242314         3.3836413170        55.7892937500        -5.7892937500         1.3840690105
        0.1606613000        40.9431138642         2.7716616348         1.3812288851         3.3938488269        63.4081798886       -13.4081798886         1.3917226017
