% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339728V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0005446000       588.5046791311         3.4188498855         1.3454963091         2.7865019916         8.6093413366        -0.0869632203       500.0869632203         1.3942737988
        0.0054447000       661.7502830676         3.5252785662         1.3352870017         2.7839501142        -6.6284309406         0.4281660912       499.5718339088         1.4070297842
        0.0105217000       740.2119675770         3.6491270146         1.3327346748         2.7762944818       -10.4378740099        -3.8563697816       503.8563697816         1.3891714046
        0.0154327000       784.9158341141         3.7246744455         1.4169614611         2.7813982367       115.2737472772        23.0491891229       476.9508108771         1.4044785871
        0.0205457000       763.5197642075         3.6880462461         1.5267115159         2.8043651338       279.0797992574       106.3021027621       393.6978972379         1.4019273900
        0.0254196000       742.5963884770         3.6530622329         1.4960835936         2.8171245211       233.3664824258       177.9815170103       322.0184829897         1.3866202076
        0.0304770000       728.7979975708         3.6304336692         1.5777580530         2.8400914183       355.2686606436       233.6034654112       266.3965345888         1.3993761929
        0.0354441000       706.9926964439         3.5953751642         1.5701010725         2.8630583154       343.8403314357       289.0413283248       210.9586716752         1.3866202076
        0.0405322000       697.1928283585         3.5798932764         1.6007289948         2.8885770900       389.5536482673       326.1696220093       173.8303779907         1.3942737988
        0.0454454000       682.4075614255         3.5568507653         1.6185952828         2.9140958646       416.2197497525       362.8491648719       137.1508351281         1.3917226017
        0.0504913000       671.5035615487         3.5400961155         1.6262522633         2.9421665166       427.6480789604       391.0984372109       108.9015627891         1.3917226017
        0.0554417000       668.3097447546         3.5352265047         1.6262522633         2.9727890461       427.6480789604       408.5733489721        91.4266510279         1.4019273900
        0.0604630000       662.7118453259         3.5267323890         1.6492232050         3.0034115756       461.9330665842       425.8893269092        74.1106730908         1.3993761929
        0.0654410000       654.6495370928         3.5145897967         1.6492232050         3.0391378601       461.9330665842       443.1223595797        56.8776404203         1.3968249959
        0.0705870000       653.1283339866         3.5123106674         1.6492232050         3.0570010023       461.9330665842       452.1160303610        47.8839696390         1.4095809812
        0.0754486000       651.0043959065         3.5091348002         1.6594325125         3.0952791642       477.1708388614       460.4523967428        39.5476032572         1.3968249959
        0.0804626000       645.0158988067         3.5002197184         1.6670894930         3.1259016937       488.5991680693       471.1777501057        28.8222498943         1.4095809812
        0.0854408000       639.0819577640         3.4914427303         1.6696418199         3.1590761006       492.4086111386       480.4178566088        19.5821433912         1.3942737988
        0.0904746000       638.6634856823         3.4908258841         1.6619848393         3.1922505076       480.9802819307       483.4187849317        16.5812150683         1.4070297842
        0.0954346000       638.3799586967         3.4904081112         1.6721941467         3.2254249146       496.2180542079       485.8956009519        14.1043990481         1.4044785871
        0.1006217000       627.9913325310         3.4751882679         1.6900604347         3.2611511990       522.8841556931       497.2056391700         2.7943608300         1.3840690105
        0.1054288000       615.8709683753         3.4576441947         1.6875081079         3.2917737285       519.0747126238       508.5722340192        -8.5722340192         1.4019273900
        0.1105367000       610.0732197861         3.4493317251         1.6849557810         3.3300518904       515.2652695545       512.6829458881       -12.6829458881         1.4095809812
        0.1154521000       606.8398760649         3.4447180617         1.6849557810         3.3581225424       515.2652695545       513.9175921404       -13.9175921404         1.4019273900
        0.1204493000       602.0669427453         3.4379362455         1.6900604347         3.4015044592       522.8841556931       516.3832859496       -16.3832859496         1.3993761929
        0.1254453000       595.2175750897         3.4282632467         1.6926127616         3.4321269888       526.6935987624       520.4021205771       -20.4021205771         1.3968249959
        0.1304537000       592.9059602748         3.4250142833         1.6824034542         3.4780607830       511.4558264852       519.7674676573       -19.7674676573         1.3942737988
        0.1354354000       589.3493408070         3.4200307258         1.6951650884         3.5035795576       530.5030418317       520.3469263510       -20.3469263510         1.3942737988
        0.1404447000       584.0044436093         3.4125759352         1.6875081079         3.5393058420       519.0747126238       522.4706872390       -22.4706872390         1.3942737988
        0.1454601000       580.4697685714         3.4076685263         1.6926127616         3.5673764941       526.6935987624       522.6683724804       -22.6683724804         1.3891714046
        0.1504445000       576.0060176854         3.4014966692         1.6900604347         3.6031027785       522.8841556931       523.6822164355       -23.6822164355         1.3968249959
        0.1554299000       566.9065353192         3.3890020704         1.7053743959         3.6490365728       545.7408141089       528.7647013667       -28.7647013667         1.3942737988
        0.1604407000       554.7156467727         3.3724420138         1.7028220690         3.6847628572       541.9313710396       535.9705512428       -35.9705512428         1.3942737988
        0.1654470000       545.2598671573         3.3597355589         1.7053743959         3.7179372642       545.7408141089       539.7311801886       -39.7311801886         1.3993761929
        0.1704338000       540.2438338075         3.3530431498         1.6951650884         3.7511116711       530.5030418317       538.9617734538       -38.9617734538         1.4019273900
