% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338516V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004751000       597.7889197239         3.4318864871         1.3327346748         1.5616008113        -8.6283885520        -1.0095024134       508.6283885520         1.4044785871
        0.0054584000       672.8632328168         3.5421743897         1.3327346748         1.5641526888        -8.6283885520        -1.0095024134       508.6283885520         1.4095809812
        0.0104987000       634.5295867065         3.4847472739         1.4016475000         1.5769120761        94.2265743193        -1.0095024134       405.7734256807         1.3993761929
        0.0154815000       618.8170468617         3.4618877608         1.4475893834         1.5692564437       162.7965495668        -1.0095024134       337.2034504332         1.4044785871
        0.0205083000       626.5858340979         3.4731421583         1.4731126519         1.5871195859       200.8909802599        -1.0095024134       299.1090197401         1.3993761929
        0.0254439000       649.7333001485         3.5072376699         1.4858742862         1.5998789732       219.9381956064        -1.0095024134       280.0618043936         1.3993761929
        0.0304498000       636.4670103608         3.4875927473         1.5190545354         1.6100864830       269.4609555074        -1.0095024134       230.5390444926         1.4044785871
        0.0354308000       645.2931504247         3.5006311858         1.5343684965         1.6305015027       292.3176139233        -1.0095024134       207.6823860767         1.4019273900
        0.0404448000       638.1447290655         3.4900616008         1.5573394382         1.6483646449       326.6026015470        -1.0095024134       173.3973984530         1.4019273900
        0.0454263000       621.7354973202         3.4661046818         1.5828627068         1.6789871744       364.6970322401        -1.0095024134       135.3029677599         1.3942737988
        0.0504324000       666.9081870278         3.5330949272         1.5675487456         1.6968503166       341.8403738243        -1.0095024134       158.1596261757         1.3993761929
        0.0554407000       627.2483633113         3.4741062773         1.6058336485         1.7274728461       398.9820198639        -1.0095024134       101.0179801361         1.3993761929
        0.0605390000       625.3575895652         3.4713566136         1.6160429559         1.7529916207       414.2197921411        -1.0095024134        85.7802078589         1.3993761929
        0.0654348000       646.4194664860         3.5023040167         1.6109383022         1.7759585179       406.6009060025        -1.0095024134        93.3990939975         1.3917226017
        0.0704420000       647.6044285028         3.5040661568         1.6185952828         1.8014772924       418.0292352104        -1.0095024134        81.9707647896         1.3917226017
        0.0754507000       642.9022572007         3.4970869343         1.6288045902         1.8295479445       433.2670074876        -1.0095024134        66.7329925124         1.3917226017
        0.0804429000       631.7506730685         3.4806762609         1.6415662245         1.8678261064       452.3142228342        -1.0095024134        47.6857771658         1.3942737988
        0.0854352000       630.3885757363         3.4786852728         1.6466708782         1.8907930035       459.9331089728        -1.0095024134        40.0668910272         1.3993761929
        0.0904504000       640.5028037375         3.4935392012         1.6441185513         1.9163117781       456.1236659035        -1.0095024134        43.8763340965         1.3993761929
        0.0954244000       617.5769529676         3.4600998936         1.6619848393         1.9571418174       482.7897673886        -1.0095024134        17.2102326114         1.3891714046
        0.1004550000       636.9183882576         3.4882565350         1.6517755319         1.9801087146       467.5519951114        -1.0095024134        32.4480048886         1.4070297842
        0.1054447000       612.3056989540         3.4525264738         1.6696418199         2.0158349990       494.2180965966        -1.0095024134         5.7819034034         1.3993761929
        0.1104559000       608.9588217839         3.4477398082         1.6721941467         2.0592169158       498.0275396659        -1.0095024134         1.9724603341         1.3942737988
