% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338950V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004741000       779.6927454000         3.7156522622         1.3327346748         2.8987845998        -9.2759938738         2.3190788689       509.2759938738         1.3968249959
        0.0054742000       862.6904208483         3.8653868178         1.3403916554         2.9038883547         2.1523353342        -0.4926682750       497.8476646658         1.3968249959
        0.0105324000       976.2863049179         4.0934898933         1.3327346748         2.8987845998        -9.2759938738        -1.9600784875       509.2759938738         1.4095809812
        0.0154604000       785.7085406357         3.7260483306         1.4680079982         2.9064402322       192.6244887995        42.8078455052       307.3755112005         1.4044785871
        0.0204572000       599.4912667911         3.4342906071         1.5828627068         2.9396146392       364.0494269183       155.4177168628       135.9505730817         1.4044785871
        0.0254611000       740.9309111952         3.6503124491         1.5292638428         2.9498221490       284.0511224629       236.0433790322       215.9488775371         1.4070297842
        0.0304432000       717.4266744018         3.6120448821         1.5598917651         2.9829965560       329.7644392946       269.9246733487       170.2355607054         1.3942737988
        0.0355555000       652.1700082551         3.5108768004         1.6058336485         2.9957559433       398.3344145421       314.9270778715       101.6655854579         1.4044785871
        0.0404735000       693.9014707117         3.5747311474         1.5956243410         3.0289303502       383.0966422649       351.1626310034       116.9033577351         1.3917226017
        0.0454924000       667.4777777002         3.5339608019         1.6185952828         3.0595528797       417.3816298886       374.6268170981        82.6183701114         1.3891714046
        0.0504930000       672.6621138118         3.5418667813         1.6236999365         3.0774160220       425.0005160273       396.8898605488        74.9994839727         1.3942737988
        0.0554427000       681.8307292872         3.5559593831         1.6262522633         3.1054866740       428.8099590966       411.2406459376        71.1900409034         1.3993761929
        0.0604505000       651.9551684847         3.5105555577         1.6466708782         3.1463167133       459.2855036510       426.9261874558        40.7144963490         1.3993761929
        0.0654406000       643.4882339317         3.4979547354         1.6543278587         3.1743873654       470.7138328589       445.1296686819        29.2861671411         1.3993761929
        0.0704515000       665.6195080000         3.5311379083         1.6466708782         3.1973542625       459.2855036510       454.6298025441        40.7144963490         1.4019273900
        0.0754580000       651.6810646524         3.5101458085         1.6568801856         3.2356324244       474.5232759282       460.4984600399        25.4767240718         1.4070297842
        0.0804912000       618.3536360591         3.4612193763         1.6747464736         3.2688068314       501.1893774134       473.5786513213        -1.1893774134         1.3993761929
        0.0854460000       623.5929748145         3.4687954318         1.6721941467         3.3019812383       497.3799343441       485.8690634805         2.6200656559         1.3917226017
        0.0904626000       624.1044194907         3.4695372510         1.6721941467         3.3300518904       497.3799343441       491.3725771405         2.6200656559         1.3917226017
        0.0954468000       624.6158641669         3.4702794760         1.6721941467         3.3632262974       497.3799343441       494.2447814091         2.6200656559         1.3917226017
        0.1008470000       575.8837296917         3.4013279837         1.6951650884         3.4117119691       531.6649219678       503.9398172745       -31.6649219678         1.3917226017
        0.1054827000       602.5316946964         3.4385951111         1.6798511273         3.4321269888       508.8082635520       511.7315410772        -8.8082635520         1.3917226017
        0.1104505000       584.3977688425         3.4131231205         1.6875081079         3.4729570281       520.2365927599       513.0659045101       -20.2365927599         1.3917226017
        0.1154555000       569.5045076367         3.3925575739         1.6926127616         3.5035795576       527.8554788985       518.3156639262       -27.8554788985         1.3993761929
        0.1204945000       553.1240170001         3.3702948548         1.6977174153         3.5495133519       535.4743650372       524.6981370556       -35.4743650372         1.3891714046
        0.1254751000       529.7847881379         3.3391935895         1.7053743959         3.5877915138       546.9026942451       532.5824319911       -46.9026942451         1.3917226017
        0.1304880000       520.6292415132         3.3271841431         1.7053743959         3.6209659207       546.9026942451       539.4291562627       -46.9026942451         1.3942737988
