% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=ON  fc=20.0 Hz
% Vg_offset=1.338873V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004421000       764.7827305908         3.6901841646         1.3378393285         2.5236586133        -1.5428244431         1.3559437426       498.6440562574         1.4044785871
        0.0054574000       861.4941708377         3.8631299835         1.3429439823         2.5313142457         6.0760616955         1.7913505612       498.2086494388         1.3840690105
        0.0104726000       958.4196194130         4.0557687186         1.3378393285         2.5211067359        -1.5428244431         2.0185830894       497.9814169106         1.3968249959
        0.0154614000       979.5925411618         4.1005472325         1.4909789399         2.5364180006       227.0237597154        54.9563157148       445.0436842852         1.4044785871
        0.0204397000       893.3686954915         3.9242802547         1.5981766679         2.5593848978       387.0203686263       175.4725917013       324.5274082987         1.3942737988
        0.0254746000       832.3721299266         3.8090922392         1.5573394382         2.5695924076       326.0692795173       262.0458419882       237.9541580118         1.4044785871
        0.0304422000       789.0754150922         3.7318971792         1.6466708782         2.5951111822       459.3997869431       324.5299933595       175.4700066405         1.3942737988
        0.0354433000       734.6343856053         3.6399625773         1.6390138976         2.6384930990       447.9714577352       386.2811655146       113.7188344854         1.3891714046
        0.0404782000       707.9288833296         3.5968629785         1.6517755319         2.6665637511       467.0186730817       420.3295598968        79.6704401032         1.4095809812
        0.0454613000       680.9545783500         3.5546065447         1.6721941467         2.7048419129       497.4942176362       449.9376985077        50.0623014923         1.3917226017
        0.0504312000       652.8370287232         3.5118746522         1.6824034542         2.7354644424       512.7319899134       476.3178568972        23.6821431028         1.4019273900
        0.0554512000       645.5337052250         3.5009882919         1.6568801856         2.7609832170       474.6375592203       484.6212311388        15.3787688612         1.3968249959
        0.0605224000       639.6955948404         3.4923477625         1.6875081079         2.8018132564       520.3508760520       490.7759919620         9.2240080380         1.4070297842
        0.0654740000       623.8025954617         3.4690994247         1.6824034542         2.8273320310       512.7319899134       503.0948215531        -3.0948215531         1.3917226017
        0.0704734000       612.6564634015         3.4530291160         1.6900604347         2.8732658252       524.1603191213       510.4345156274       -10.4345156274         1.4044785871
        0.0754710000       603.8098863466         3.4404088284         1.6849557810         2.9038883547       516.5414329827       515.1756708103       -15.1756708103         1.3942737988
        0.0805508000       601.2176621631         3.4367330755         1.6824034542         2.9345108842       512.7319899134       514.9179865527       -14.9179865527         1.4019273900
        0.0854470000       597.1907789874         3.4310427867         1.6875081079         2.9778928011       520.3508760520       515.6941797452       -15.6941797452         1.3968249959
        0.0904530000       593.5454052427         3.4259122364         1.6824034542         3.0085153306       512.7319899134       516.0992637585       -16.0992637585         1.3917226017
        0.0954603000       582.2511135498         3.4101394426         1.7028220690         3.0544491248       543.2075344678       521.7747205546       -21.7747205546         1.3917226017
        0.1004427000       569.8223743737         3.3929932410         1.6900604347         3.0774160220       524.1603191213       527.4686841129       -27.4686841129         1.3968249959
        0.1054588000       554.9602803363         3.3727723347         1.7130313764         3.1284535711       558.4453067451       534.0829809666       -34.0829809666         1.3993761929
        0.1104592000       543.3492024805         3.3571824540         1.6900604347         3.1565242232       524.1603191213       537.5348869363       -37.5348869363         1.3993761929
