% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.336563V  K_gimbal=26.049690  samples=2001

Time[s]              OmegaU[deg/s]        Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Error[rad/s]        
        0.0004775000        -3.0841365372         2.4727802590         1.3378393285         4.8382114687         0.0332436621        -0.0332436621
        0.0056358000         5.0353132778         2.5691186811         1.3327346748         4.8331077137        -0.0997309863         0.0997309863
        0.0105376000         1.6784377593         2.5292888776         1.3352870017         4.8407633461        -0.0332436621         0.0332436621
        0.0155313000         1.9595775148         2.5326246406         1.3352870017         4.8382114687        -0.0332436621         0.0332436621
        0.0205696000       -10.3601670854         2.3864491259         1.3429439823         4.8484189785         0.1662183106        -0.1662183106
        0.0259057000         9.2356080631         2.6189557737         1.3301823480         4.8331077137        -0.1662183106         0.1662183106
        0.0305289000        14.8416016264         2.6854716814         1.3276300211         4.8356595912        -0.2327056348         0.2327056348
        0.0356761000         8.4089903449         2.6091478374         1.3327346748         4.8382114687        -0.0997309863         0.0997309863
        0.0406564000        17.6529991823         2.7188293116         1.3276300211         4.8407633461        -0.2327056348         0.2327056348
        0.0456311000         2.8197983303         2.5428312824         1.3378393285         4.8407633461         0.0332436621        -0.0332436621
        0.0506465000        -1.6616362106         2.4896584268         1.3403916554         4.8407633461         0.0997309863        -0.0997309863
        0.0555582000        18.4964184491         2.7288366007         1.3276300211         4.8331077137        -0.2327056348         0.2327056348
        0.0606904000         3.6632175971         2.5528385715         1.3378393285         4.8407633461         0.0332436621        -0.0332436621
        0.0656330000        -5.0185117291         2.4498286233         1.3429439823         4.8407633461         0.1662183106        -0.1662183106
        0.0706029000         6.1766738488         2.5826610860         1.3352870017         4.8433152236        -0.0332436621         0.0332436621
        0.0755922000        -6.1430707515         2.4364855712         1.3429439823         4.8407633461         0.1662183106        -0.1662183106
        0.0806890000         5.0521148264         2.5693180339         1.3352870017         4.8433152236        -0.0332436621         0.0332436621
        0.0856180000         9.5335493673         2.6224908895         1.3327346748         4.8407633461        -0.0997309863         0.0997309863
        0.0904719000         6.1766738488         2.5826610860         1.3352870017         4.8433152236        -0.0332436621         0.0332436621
