% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338069V  K_gimbal=26.049690  samples=6753

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        0.0005160000        -3.7969656766         2.4643224402         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4733609081
        0.0054755000        12.4925391094         2.6575997219         1.3301823480         3.9654693777        -0.2054458319         0.2054458319         1.4733609081
        0.0105032000        -2.5711963422         2.4788663670         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4631561198
        0.0154721000         1.1174240879         2.5226323709         1.3378393285         3.9705731326        -0.0059838592         0.0059838592         1.4733609081
        0.0204683000        -3.0322655414         2.4733957157         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4682585140
        0.0254707000         0.6563548887         2.5171617196         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4759121052
        0.0304762000         0.7069600447         2.5177621569         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4682585140
        0.0358399000         0.7575652007         2.5183625942         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4682585140
        0.0407668000        13.4090547126         2.6684743094         1.3301823480         3.9603656228        -0.2054458319         0.2054458319         1.4733609081
        0.0458905000        -1.6546807390         2.4897409545         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4708097111
        0.0506898000        -2.1663550942         2.4836698658         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4682585140
        0.0557627000        18.3234444772         2.7267842400         1.3276300211         3.9527099904        -0.2719331561         0.2719331561         1.4682585140
        0.0614808000        -0.3783062486         2.5048853186         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4708097111
        0.0656680000         3.3103141816         2.5486513225         1.3378393285         3.9603656228        -0.0059838592         0.0059838592         1.4759121052
        0.0709253000        11.7615089082         2.6489259450         1.3327346748         3.9680212551        -0.1389585076         0.1389585076         1.4759121052
        0.0759792000         0.3357887307         2.5133581567         1.3403916554         3.9629175002         0.0605034650        -0.0605034650         1.4682585140
        0.0805715000        12.4249987314         2.6567983457         1.3327346748         3.9654693777        -0.1389585076         0.1389585076         1.4708097111
        0.0858072000        13.6001629098         2.6707418352         1.3327346748         3.9629175002        -0.1389585076         0.1389585076         1.4657073169
        0.0905186000         6.3747375176         2.5850111394         1.3378393285         3.9654693777        -0.0059838592         0.0059838592         1.4606049228
        0.0957199000        14.8259322442         2.6852857620         1.3327346748         3.9603656228        -0.1389585076         0.1389585076         1.4657073169
        0.1005494000        16.0010964226         2.6992292514         1.3327346748         3.9603656228        -0.1389585076         0.1389585076         1.4682585140
        0.1056288000        -8.0255081108         2.4141501853         1.3480486360         3.9731250101         0.2599654377        -0.2599654377         1.4631561198
        0.1104711000         6.5771581416         2.5874128888         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4733609081
        0.1166644000        -1.7728262730         2.4883391410         1.3429439823         3.9731250101         0.1269907893        -0.1269907893         1.4657073169
        0.1207676000         5.5538094312         2.5752707114         1.3378393285         3.9629175002        -0.0059838592         0.0059838592         1.4682585140
        0.1257236000        14.0050041578         2.6755453339         1.3327346748         3.9629175002        -0.1389585076         0.1389585076         1.4657073169
        0.1305350000         6.7795787656         2.5898146382         1.3378393285         3.9654693777        -0.0059838592         0.0059838592         1.4733609081
        0.1354989000         2.6298891363         2.5405779829         1.3403916554         3.9680212551         0.0605034650        -0.0605034650         1.4733609081
        0.1405258000        -2.0820800041         2.4846698017         1.3429439823         3.9731250101         0.1269907893        -0.1269907893         1.4606049228
        0.1454889000         5.2445557001         2.5716013721         1.3378393285         3.9731250101        -0.0059838592         0.0059838592         1.4682585140
        0.1507269000        13.6957504267         2.6718759946         1.3327346748         3.9603656228        -0.1389585076         0.1389585076         1.4657073169
        0.1556111000        -6.1305593214         2.4366340211         1.3454963091         3.9731250101         0.1934781135        -0.1934781135         1.4708097111
        0.1615931000        -3.5664979137         2.4670569729         1.3429439823         3.9731250101         0.1269907893        -0.1269907893         1.4682585140
        0.1659128000         3.7601377905         2.5539885433         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4733609081
        0.1713857000         8.0110377318         2.6044260733         1.3352870017         3.9680212551        -0.0724711834         0.0724711834         1.4606049228
        0.1757989000        -3.9769619569         2.4621867589         1.3429439823         3.9731250101         0.1269907893        -0.1269907893         1.4682585140
        0.1806206000         3.3496737474         2.5491183293         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4682585140
        0.1856010000         3.4002789034         2.5497187667         1.3378393285         3.9654693777        -0.0059838592         0.0059838592         1.4631561198
        0.1914269000         3.4508840594         2.5503192040         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4733609081
        0.1963550000        -0.6988055699         2.5010825488         1.3403916554         3.9654693777         0.0605034650        -0.0605034650         1.4733609081
        0.2006891000        11.3904044308         2.6445227378         1.3327346748         3.9705731326        -0.1389585076         0.1389585076         1.4733609081
        0.2055027000        16.7658633945         2.7083033198         1.3301823480         3.9629175002        -0.2054458319         0.2054458319         1.4733609081
        0.2105468000         5.9024227282         2.5794070576         1.3378393285         3.9603656228        -0.0059838592         0.0059838592         1.4682585140
        0.2156091000         1.7527330989         2.5301704023         1.3403916554         3.9731250101         0.0605034650        -0.0605034650         1.4708097111
        0.2206033000         5.4413535290         2.5739364062         1.3378393285         3.9603656228        -0.0059838592         0.0059838592         1.4657073169
        0.2255448000         5.4919586850         2.5745368435         1.3378393285         3.9654693777        -0.0059838592         0.0059838592         1.4682585140
        0.2308071000         5.5425638410         2.5751372809         1.3378393285         3.9654693777        -0.0059838592         0.0059838592         1.4708097111
        0.2357645000        13.9937585676         2.6754119034         1.3327346748         3.9705731326        -0.1389585076         0.1389585076         1.4733609081
        0.2407734000        15.1689227460         2.6893553928         1.3327346748         3.9578137453        -0.1389585076         0.1389585076         1.4657073169
        0.2455291000        20.5443817097         2.7473318049         1.3301823480         3.9603656228        -0.2054458319         0.2054458319         1.4708097111
        0.2504971000        18.0815306140         2.7239138978         1.3327346748         3.9629175002        -0.1389585076         0.1389585076         1.4657073169
        0.2554812000       -10.1453687047         2.3889977391         1.3506009628         3.9731250101         0.3264527620        -0.3264527620         1.4657073169
        0.2604808000         3.8950180365         2.5555889166         1.3403916554         3.9705731326         0.0605034650        -0.0605034650         1.4631561198
        0.2655308000        15.9842280372         2.6990291056         1.3327346748         3.9603656228        -0.1389585076         0.1389585076         1.4810144994
        0.2704915000        21.3596870009         2.7483121985         1.3301823480         3.9603656228        -0.2054458319         0.2054458319         1.4682585140
        0.2754750000        -2.1046380213         2.4844021476         1.3454963091         3.9756768875         0.1934781135        -0.1934781135         1.4657073169
        0.2804861000         0.4594233865         2.5148250994         1.3429439823         3.9680212551         0.1269907893        -0.1269907893         1.4733609081
        0.2855538000        24.5872382319         2.7521865670         1.3276300211         3.9654693777        -0.2719331561         0.2719331561         1.4657073169
        0.2905080000        18.4863718621         2.7287173965         1.3327346748         3.9680212551        -0.1389585076         0.1389585076         1.4784633023
        0.2954806000        -1.3399378860         2.4934754230         1.3454963091         3.9705731326         0.1934781135        -0.1934781135         1.4631561198
        0.3008134000        13.8250078776         2.6734096526         1.3352870017         3.9629175002        -0.0724711834         0.0724711834         1.4682585140
        0.3058522000         1.8370081889         2.5311703382         1.3429439823         3.9756768875         0.1269907893        -0.1269907893         1.4682585140
        0.3105949000        17.5642334637         2.7177760938         1.3327346748         3.9654693777        -0.1389585076         0.1389585076         1.4529513315
