% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaU[deg/s]        Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Error[rad/s]        
        0.0004650000         1.5909092620         2.5282503396         1.3378393285         1.0384659322        -0.0236030001         0.0236030001
        0.0055094000         1.7905184885         2.5306187313         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.0104650000       -10.6107566409         2.3834758453         1.3454963091         1.0461215646         0.1758589726        -0.1758589726
        0.0154466000        13.1037827638         2.6648522144         1.3301823480         1.0359140547        -0.2230649728         0.2230649728
        0.0204681000        14.9902305238         2.6872351843         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.0254737000        12.6763834986         2.6597810616         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.0304851000         5.5999621768         2.5758183203         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.0355040000         1.5992766180         2.5283496194         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.0405086000        -2.9636884520         2.4742093925         1.3429439823         1.0461215646         0.1093716484        -0.1093716484
        0.0455147000        12.9125408933         2.6625831026         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.0505264000        10.0364143568         2.6284574538         1.3352870017         1.0410178097        -0.0900903243         0.0900903243
        0.0555272000         6.5980083092         2.5876602790         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.0604711000         6.7976175357         2.5900286708         1.3378393285         1.0384659322        -0.0236030001         0.0236030001
        0.0654441000        -1.4033628084         2.4927228773         1.3429439823         1.0359140547         0.1093716484        -0.1093716484
        0.0704671000         6.0722769662         2.5814224022         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.0755117000        -6.3289981632         2.4342795161         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        0.0804287000        -3.6159326850         2.4664704223         1.3429439823         1.0461215646         0.1093716484        -0.1093716484
        0.0853910000         3.8597070897         2.5551699472         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.0904974000         8.2596111015         2.6073754315         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        0.0954006000        13.2217946244         2.6662524419         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.1004306000        10.3456680880         2.6321267931         1.3352870017         1.0410178097        -0.0900903243         0.0900903243
        0.1054679000        11.1075568257         2.6411667109         1.3352870017         1.0410178097        -0.0900903243         0.0900903243
        0.1104592000        11.8694455633         2.6502066287         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.1154760000        -8.3701396255         2.4100610836         1.3480486360         1.0461215646         0.2423462968        -0.2423462968
        0.1204165000        10.5818254827         2.6349288341         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        0.1254549000        15.5440090057         2.6938058444         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.1304347000        16.8681772545         2.7095172883         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.1354724000         9.7917559328         2.6255545469         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.1405963000        22.5922495152         2.7497930338         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.1456129000        24.4786972752         2.7520564469         1.3301823480         1.0359140547        -0.2230649728         0.2230649728
        0.1505597000        13.7642606794         2.6726888785         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.1555729000        -2.8373092354         2.4757088999         1.3480486360         1.0410178097         0.2423462968        -0.2423462968
        0.1605785000        28.7155402287         2.7571268059         1.3276300211         1.0333621773        -0.2895522970         0.2895522970
        0.1655619000        14.3630883588         2.6797940537         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.1706582000        18.7629923706         2.7319995380         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        0.1756892000        27.9254706788         2.7561826692         1.3301823480         1.0435696871        -0.2230649728         0.2230649728
        0.1806781000        21.4113288683         2.7483742740         1.3352870017         1.0359140547        -0.0900903243         0.0900903243
        0.1856578000        13.7726280354         2.6727881583         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.1905863000        21.8105473212         2.7488540565         1.3352870017         1.0486734420        -0.0900903243         0.0900903243
        0.1955956000        18.3721412736         2.7273620344         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.2005099000        22.7720452854         2.7500089149         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        0.2056246000        15.1333444524         2.6889332514         1.3403916554         1.0410178097         0.0428843241        -0.0428843241
        0.2105177000        10.5703793824         2.6347930245         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.2156171000         9.6454295865         2.6238183641         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.2206861000        17.1210693612         2.7125178890         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.2256383000        29.9215629436         2.7585668158         1.3301823480         1.0359140547        -0.2230649728         0.2230649728
        0.2306293000        19.2071263477         2.7372692506         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.2357131000        19.4067355742         2.7396376423         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.2406329000        23.8066395860         2.7512505099         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.2456558000        16.1679387530         2.7012088593         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.2505155000        28.4061528242         2.7567571604         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.2556726000        29.7303210731         2.7583385659         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.2607172000        22.6538997513         2.7498670611         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.2656400000        14.4529194072         2.6808599118         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.2707353000        30.3291487525         2.7590531553         1.3327346748         1.0410178097        -0.1565776486         0.1565776486
        0.2756430000        10.6518430749         2.6357596027         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        0.2806632000         9.1646137678         2.6181134163         1.3454963091         1.0461215646         0.1758589726        -0.1758589726
        0.2855421000        28.6788583872         2.7570829847         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.2906003000        25.8027318507         2.7536428984         1.3352870017         1.0359140547        -0.0900903243         0.0900903243
        0.2955695000        26.5646205884         2.7545549873         1.3352870017         1.0359140547        -0.0900903243         0.0900903243
        0.3005546000        23.1262145408         2.7504340693         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.3055684000        31.7264133378         2.7607191628         1.3327346748         1.0410178097        -0.1565776486         0.1565776486
        0.3104997000        28.8502868014         2.7572877668         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.3157118000        17.0112911832         2.7112153553         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.3205964000        32.8875205284         2.7621021437         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.3257135000        30.0113939920         2.7586740181         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.3305340000        30.7732827297         2.7595829190         1.3352870017         1.0359140547        -0.0900903243         0.0900903243
        0.3355232000        35.7354662526         2.7654887925         1.3327346748         1.0333621773        -0.1565776486         0.1565776486
        0.3406591000        28.6590449309         2.7570593143         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.3455591000        20.4580645868         2.7472279693         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.3505414000        27.9337043615         2.7561925117         1.3378393285         1.0384659322        -0.0236030001         0.0236030001
        0.3556555000        28.1333135879         2.7564311026         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.3607144000        32.5332175997         2.7616802765         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.3656428000        16.4939271962         2.7050767583         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        0.3709401000        23.4072874597         2.7507713855         1.3403916554         1.0410178097         0.0428843241        -0.0428843241
        0.3754866000        18.8443223896         2.7329645302         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.3804255000       -28.2838700446         2.2574086544         1.3710195777         1.0410178097         0.8407322148        -0.8407322148
        0.3856025000        10.8093481747         2.6376284230         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.3906656000        30.8858723053         2.7597171853         1.3301823480         1.0359140547        -0.2230649728         0.2230649728
        0.3956387000        20.1714357094         2.7468831122         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.4006898000        11.9704553653         2.6514051243         1.3429439823         1.0410178097         0.1093716484        -0.1093716484
        0.4055950000         2.6449159988         2.5407562788         1.3480486360         1.0435696871         0.2423462968        -0.2423462968
        0.4106277000        34.1977654629         2.7636611947         1.3276300211         1.0359140547        -0.2895522970         0.2895522970
        0.4156607000        15.6450188076         2.6950043401         1.3403916554         1.0410178097         0.0428843241        -0.0428843241
        0.4206827000        27.8832328788         2.7561321773         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.4255582000        12.4062219865         2.6565755570         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.4305708000        19.8818617612         2.7452750818         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.4356529000        32.6823553435         2.7618578691         1.3301823480         1.0410178097        -0.2230649728         0.2230649728
        0.4405905000         0.9664448212         2.5208409805         1.3506009628         1.0410178097         0.3088336210        -0.3088336210
        0.4456274000        10.9555408476         2.6393630198         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.4505977000        18.4311806223         2.7280625446         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.4557041000        18.6307898487         2.7304309364         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.4606222000        23.0306938605         2.7503194163         1.3352870017         1.0410178097        -0.0900903243         0.0900903243
        0.4656756000         6.9914034570         2.5923279682         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        0.4706259000        18.1050585058         2.7241930595         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.4756111000        14.1043729470         2.6767243587         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.4805931000        26.3425870181         2.7542892419         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.4855859000        19.2661656964         2.7379697608         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.4906917000        27.8663644935         2.7561120120         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.4956543000        20.7899431717         2.7476271618         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.5006370000        20.9895523982         2.7478672020         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.5057320000        29.5897511953         2.7581707707         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.5106184000        14.1127403029         2.6768236386         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.5156221000        17.3880852923         2.7156860708         1.3403916554         1.0486734420         0.0428843241        -0.0428843241
        0.5206515000         8.6248254370         2.6117087513         1.3454963091         1.0461215646         0.1758589726        -0.1758589726
        0.5255457000        11.3378909152         2.6438996575         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.5306721000         2.0123515487         2.5332508120         1.3480486360         1.0461215646         0.2423462968        -0.2423462968
        0.5356610000        16.7640218716         2.7082814699         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.5406615000        25.3642206687         2.7531176730         1.3327346748         1.0410178097        -0.1565776486         0.1565776486
        0.5456478000        14.0875045616         2.6765242129         1.3403916554         1.0461215646         0.0428843241        -0.0428843241
        0.5505345000        17.9251290622         2.7220581712         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.5555039000        13.9244435034         2.6745894704         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.5606382000         9.3614784334         2.6204492435         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.5656220000        25.2377077786         2.7529661065         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.5705991000        13.9609916716         2.6750231195         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.5756776000         5.1977318163         2.5710458001         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        0.5806814000        16.3113868651         2.7029108914         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.5857267000         8.1104065209         2.6056050980         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.5906153000        15.5860462956         2.6943046228         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.5957646000         7.3850659515         2.5969988294         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.6006058000        27.4615900821         2.7556280401         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.6056376000        25.1477430568         2.7528583160         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.6106487000        18.0713217351         2.7237927680         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.6156002000        14.0706361763         2.6763240671         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        0.6205761000        17.9082606769         2.7218580254         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.6256780000         5.5069855474         2.5747151394         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        0.6305521000        20.8209353815         2.7476644342         1.3352870017         1.0410178097        -0.0900903243         0.0900903243
        0.6356006000         8.9819397633         2.6159459634         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.6407211000        16.4575795380         2.7046454882         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        0.6456620000        16.6571887645         2.7070138800         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.6505857000        25.2573875615         2.7529896846         1.3327346748         1.0410178097        -0.1565776486         0.1565776486
        0.6557759000         1.3797870986         2.5257453452         1.3480486360         1.0435696871         0.2423462968        -0.2423462968
        0.6606225000        16.1314574215         2.7007760031         1.3378393285         1.0486734420        -0.0236030001         0.0236030001
        0.6656316000         7.9304770774         2.6034702097         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.6705880000       -13.9959466451         2.3433100864         1.3557056165         1.0461215646         0.4418082695        -0.4418082695
        0.6755956000        15.8700642855         2.6976745365         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        0.6806874000        16.6319530231         2.7067144543         1.3352870017         1.0410178097        -0.0900903243         0.0900903243
        0.6854964000         0.5926626196         2.5164060018         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        0.6906087000         3.3057280978         2.5485969080         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.6956944000        27.5825470137         2.7557726804         1.3276300211         1.0359140547        -0.2895522970         0.2895522970
        0.7006648000        21.6306847143         2.7486379172         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.7055433000         6.1536738220         2.5823881874         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.7106579000         5.2287240261         2.5714135270         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        0.7156442000        12.7043638008         2.6601130519         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.7206570000        17.1042678125         2.7123185362         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.7256597000        13.6658617649         2.6715213614         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.7306141000        13.8654709914         2.6738897531         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.7356944000         5.6644906472         2.5765839597         1.3429439823         1.0461215646         0.1093716484        -0.1093716484
        0.7407106000         0.5392460660         2.5157722068         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        0.7457208000        15.8531959001         2.6974743907         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.7506192000        20.8153794231         2.7476577525         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.7555817000        13.7389581014         2.6723886598         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.7607216000         1.3376829719         2.5252457738         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        0.7655637000        25.0522223766         2.7527438597         1.3301823480         1.0410178097        -0.2230649728         0.2230649728
        0.7706738000        14.3377857808         2.6794938350         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.7756493000        22.9379845778         2.7502081289         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.7807051000        24.2621528267         2.7517968153         1.3327346748         1.0359140547        -0.1565776486         0.1565776486
        0.7857197000        29.7866158609         2.7584057583         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.7905065000        23.2724740503         2.7506096058         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        0.7956272000        19.8340680027         2.7447080021         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.8006554000        24.2339720145         2.7517630236         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        0.8059303000        20.7955659668         2.7476339240         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        0.8105075000        20.9951751933         2.7478739631         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        0.8155378000        21.1947844198         2.7481139610         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        0.8205378000        33.9952780022         2.7634203643         1.3301823480         1.0435696871        -0.2230649728         0.2230649728
        0.8255777000        14.8802518357         2.6859302716         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.8304502000        22.3558916104         2.7495091881         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.8355392000         9.9546164810         2.6274869104         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        0.8405200000        21.0682715298         2.7479618545         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.8456617000        17.0675859709         2.7118833010         1.3403916554         1.0461215646         0.0428843241        -0.0428843241
        0.8505983000        20.9052104715         2.7477657816         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.8556863000        33.7057040539         2.7630758883         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.8613024000        22.9912674581         2.7502720903         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.8656222000        27.3911714698         2.7555438268         1.3352870017         1.0486734420        -0.0900903243         0.0900903243
        0.8706062000        15.5521758516         2.6939027452         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.8756127000        27.2281104116         2.7553488038         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        0.8806767000        15.3891147934         2.6919680027         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.8856293000        35.4656389239         2.7651682589         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.8906361000        28.9514971134         2.7574086553         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.8956436000        25.5130910658         2.7532960039         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.9006336000        13.1118159363         2.6649475292         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        0.9061870000        24.2254709851         2.7517528299         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.9105758000        11.8241958557         2.6496697345         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        0.9156335000        35.5387352604         2.7652550984         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.9206058000        29.0245934498         2.7574959573         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        0.9255957000        17.1855978316         2.7132835284         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        0.9306468000        24.6612376063         2.7522752714         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        0.9356158000        29.0611416181         2.7575396064         1.3352870017         1.0359140547        -0.0900903243         0.0900903243
        0.9407494000        34.0233251410         2.7634537248         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.9457179000        31.1471986046         2.7600287765         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        0.9505625000        19.3082029864         2.7384685392         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.9556641000        39.3847271170         2.7698170704         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        0.9606564000        32.8705853064         2.7620819818         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        0.9655430000        29.4321792588         2.7579826573         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
