% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        0.0005729000       -11.4112040090         2.3739784239         1.3454963091         4.3048690797         0.1901537473        -0.1901537473         1.4657073169
        0.0055300000        -0.4184390551         2.5044091372         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.0105969000         3.8605748618         2.5551802434         1.3352870017         4.3023172023        -0.0757955496         0.0757955496         1.4631561198
        0.0155569000       -12.2996056367         2.3634374127         1.3454963091         4.3074209572         0.1901537473        -0.1901537473         1.4682585140
        0.0207398000       -13.9077250387         2.3443568482         1.3454963091         4.3048690797         0.1901537473        -0.1901537473         1.4682585140
        0.0256178000         1.2853347005         2.5246246541         1.3352870017         4.2997653248        -0.0757955496         0.0757955496         1.4733609081
        0.0308484000         6.1266281286         2.5820672864         1.3327346748         4.2921096924        -0.1422828738         0.1422828738         1.4657073169
        0.0356523000        -9.4712728587         2.3969959818         1.3429439823         4.3048690797         0.1236664231        -0.1236664231         1.4657073169
        0.0405620000        -2.1165231789         2.4842611285         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.0455797000        -2.0378040473         2.4851951422         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4682585140
        0.0505208000       -10.3596744864         2.3864549706         1.3429439823         4.3048690797         0.1236664231        -0.1236664231         1.4657073169
        0.0554618000       -15.6058091625         2.3242088396         1.3454963091         4.2997653248         0.1901537473        -0.1901537473         1.4606049228
        0.0604694000       -13.0136337792         2.3549653677         1.3429439823         4.3048690797         0.1236664231        -0.1236664231         1.4657073169
        0.0654485000        -5.6588840994         2.4422305144         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.0704954000       -18.1810493238         2.2936532503         1.3454963091         4.3048690797         0.1901537473        -0.1901537473         1.4529513315
        0.0758791000        -7.1882843699         2.4240839636         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4555025286
        0.0807260000       -19.7104495942         2.2755066995         1.3454963091         4.3048690797         0.1901537473        -0.1901537473         1.4657073169
        0.0867363000        -8.7176846403         2.4059374127         1.3378393285         4.2972134474        -0.0093082254         0.0093082254         1.4682585140
        0.0907009000        -4.4386707235         2.4567085190         1.3352870017         4.2972134474        -0.0757955496         0.0757955496         1.4682585140
        0.0957041000        -7.9979668660         2.4144769661         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4682585140
        0.1009561000         4.6816366215         2.5649222575         1.3301823480         4.2921096924        -0.2087701981         0.2087701981         1.4733609081
        0.1056908000        -6.1536900693         2.4363595715         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4682585140
        0.1114069000         2.3256186329         2.5369677703         1.3327346748         4.2946615699        -0.1422828738         0.1422828738         1.4708097111
        0.1165196000         7.7291915721         2.6010819287         1.3301823480         4.2921096924        -0.2087701981         0.2087701981         1.4682585140
        0.1207941000       -15.7070194745         2.3230079649         1.3454963091         4.2972134474         0.1901537473        -0.1901537473         1.4555025286
