Filename,OmegaCmd_degs,SlewRate_degs2,t_peak_start_s,t_peak_end_s
step_001_OmegaCmd+50deg.out,50,1227.46,0.049654,0.0945355
step_002_OmegaCmd-50deg.out,-50,-1886.84,0.169088,0.214127
step_003_OmegaCmd+100deg.out,100,2524.65,0.124596,0.169596
step_004_OmegaCmd-100deg.out,-100,-3341.05,0.0946793,0.13973
step_005_OmegaCmd+150deg.out,150,4040.52,0.109332,0.154307
step_006_OmegaCmd-150deg.out,-150,-5799.9,0.0979114,0.142952
step_007_OmegaCmd+200deg.out,200,5426.48,0.0946719,0.139659
step_008_OmegaCmd-200deg.out,-200,-5671.17,0.0898114,0.134767
step_009_OmegaCmd+250deg.out,250,6624.19,0.0891194,0.134066
step_010_OmegaCmd-250deg.out,-250,-6358.9,0.0643793,0.109352
step_011_OmegaCmd+300deg.out,300,7287.27,0.0747808,0.119841
step_012_OmegaCmd-300deg.out,-300,-8502.75,0.0645732,0.109665
step_013_OmegaCmd+350deg.out,350,7570.57,0.0669844,0.112058
step_014_OmegaCmd-350deg.out,-350,-8924.5,0.0648299,0.109864
step_015_OmegaCmd+400deg.out,400,8558.16,0.0598091,0.104816
step_016_OmegaCmd-400deg.out,-400,-8970.84,0.0497793,0.0948926
step_017_OmegaCmd+450deg.out,450,10298.6,0.0598118,0.104711
step_018_OmegaCmd-450deg.out,-450,-8614.23,0.0446787,0.089687
step_019_OmegaCmd+500deg.out,500,11004.1,0.0546648,0.0997016
step_020_OmegaCmd-500deg.out,-500,-11473.9,0.0497661,0.0947474
step_021_OmegaCmd+550deg.out,550,9602.18,0.0498517,0.0949324
step_022_OmegaCmd-550deg.out,-550,-11441,0.0425063,0.087533
step_023_OmegaCmd+600deg.out,600,10518,0.0397632,0.0847783
step_024_OmegaCmd-600deg.out,-600,-10741.7,0.0347404,0.079756
step_025_OmegaCmd+650deg.out,650,12282.7,0.0402652,0.0852974
step_026_OmegaCmd-650deg.out,-650,-13897.2,0.0397721,0.0847705
step_027_OmegaCmd+700deg.out,700,14535.4,0.0432872,0.0883173
step_028_OmegaCmd-700deg.out,-700,-14102.4,0.0398163,0.084803
step_029_OmegaCmd+750deg.out,750,15342.3,0.0394698,0.0844914
step_030_OmegaCmd-750deg.out,-750,-13097.4,0.0295879,0.0746814
step_031_OmegaCmd+800deg.out,800,15916.2,0.0337877,0.0787418
step_032_OmegaCmd-800deg.out,-800,-15430.9,0.0298268,0.0748719
step_033_OmegaCmd+850deg.out,850,16749.7,0.0340478,0.0791167
step_034_OmegaCmd-850deg.out,-850,-17016.8,0.0298399,0.074854
step_035_OmegaCmd+900deg.out,900,17722.8,0.034082,0.0790613
step_036_OmegaCmd-900deg.out,-900,-16341.7,0.0247368,0.0698195
step_037_OmegaCmd+950deg.out,950,18282.3,0.0296573,0.0746067
step_038_OmegaCmd-950deg.out,-950,-17639,0.0245145,0.0695303
step_039_OmegaCmd+1000deg.out,1000,19339.1,0.0247727,0.0698327
step_040_OmegaCmd-1000deg.out,-1000,-18775.5,0.0232363,0.0683123
step_041_OmegaCmd+1050deg.out,1050,20560.6,0.0248452,0.0699598
step_042_OmegaCmd-1050deg.out,-1050,-21115.1,0.0195126,0.0647503
step_043_OmegaCmd+1100deg.out,1100,22616.5,0.0243235,0.0693749
step_044_OmegaCmd-1100deg.out,-1100,-21357.8,0.0197004,0.0645957
step_045_OmegaCmd+1150deg.out,1150,24102.4,0.0241615,0.0690831
step_046_OmegaCmd-1150deg.out,-1150,-22694,0.0194897,0.0645477
step_047_OmegaCmd+1200deg.out,1200,24806.4,0.0213357,0.0662803
step_048_OmegaCmd-1200deg.out,-1200,-24843.1,0.0242489,0.0692953
