% Static Verify Step 1/51  Vcmd=+0.0000V
% Vg_offset=1.337814V  K_gimbal=26.049690  K_lin=8.298800
% omega_avg(last 2.0s)=-0.017120 rad/s  omega_target=0.000000 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0012477000         0.0000000000         2.5000000000         1.3454963091         3.2611511990         0.2001268459         0.0000000000
        0.0054967000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.0104652000         0.0000000000         2.5000000000         1.3301823480         3.2509436892        -0.1987970994         0.0000000000
        0.0154599000         0.0000000000         2.5000000000         1.3327346748         3.2585993215        -0.1323097752         0.0000000000
        0.0204653000         0.0000000000         2.5000000000         1.3403916554         3.2611511990         0.0671521975         0.0000000000
        0.0254320000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.0304641000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.0354288000         0.0000000000         2.5000000000         1.3276300211         3.2483918117        -0.2652844237         0.0000000000
        0.0405006000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.0454438000         0.0000000000         2.5000000000         1.3301823480         3.2509436892        -0.1987970994         0.0000000000
        0.0504607000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.0554620000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.0604991000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.0654973000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.0704354000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.0754907000         0.0000000000         2.5000000000         1.3403916554         3.2611511990         0.0671521975         0.0000000000
        0.0805332000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.0854673000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.0904773000         0.0000000000         2.5000000000         1.3276300211         3.2483918117        -0.2652844237         0.0000000000
        0.0954691000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.1004611000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.1054350000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.1104670000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.1156003000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.1205862000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.1254409000         0.0000000000         2.5000000000         1.3403916554         3.2637030765         0.0671521975         0.0000000000
        0.1304747000         0.0000000000         2.5000000000         1.3403916554         3.2611511990         0.0671521975         0.0000000000
        0.1354825000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.1404687000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.1454379000         0.0000000000         2.5000000000         1.3403916554         3.2611511990         0.0671521975         0.0000000000
        0.1522155000         0.0000000000         2.5000000000         1.3352870017         3.2585993215        -0.0658224510         0.0000000000
        0.1554362000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.1604931000         0.0000000000         2.5000000000         1.3403916554         3.2611511990         0.0671521975         0.0000000000
        0.1654654000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.1704252000         0.0000000000         2.5000000000         1.3327346748         3.2509436892        -0.1323097752         0.0000000000
        0.1754848000         0.0000000000         2.5000000000         1.3352870017         3.2534955666        -0.0658224510         0.0000000000
        0.1804336000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.1854680000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.1904381000         0.0000000000         2.5000000000         1.3276300211         3.2483918117        -0.2652844237         0.0000000000
        0.1955343000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.2005689000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2054917000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.2104289000         0.0000000000         2.5000000000         1.3429439823         3.2637030765         0.1336395217         0.0000000000
        0.2154560000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2205976000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2254623000         0.0000000000         2.5000000000         1.3301823480         3.2509436892        -0.1987970994         0.0000000000
        0.2304839000         0.0000000000         2.5000000000         1.3352870017         3.2534955666        -0.0658224510         0.0000000000
        0.2355049000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2404584000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.2454383000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.2504283000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2554309000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2604448000         0.0000000000         2.5000000000         1.3352870017         3.2483918117        -0.0658224510         0.0000000000
        0.2654874000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.2704685000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2754307000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.2804962000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.2854746000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.2904346000         0.0000000000         2.5000000000         1.3301823480         3.2509436892        -0.1987970994         0.0000000000
        0.2954287000         0.0000000000         2.5000000000         1.3429439823         3.2611511990         0.1336395217         0.0000000000
        0.3005604000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.3055621000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.3105046000         0.0000000000         2.5000000000         1.3454963091         3.2611511990         0.2001268459         0.0000000000
        0.3154574000         0.0000000000         2.5000000000         1.3301823480         3.2483918117        -0.1987970994         0.0000000000
        0.3204463000         0.0000000000         2.5000000000         1.3454963091         3.2637030765         0.2001268459         0.0000000000
        0.3255177000         0.0000000000         2.5000000000         1.3454963091         3.2611511990         0.2001268459         0.0000000000
        0.3305186000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.3354739000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.3404576000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.3454173000         0.0000000000         2.5000000000         1.3352870017         3.2611511990        -0.0658224510         0.0000000000
        0.3508817000         0.0000000000         2.5000000000         1.3429439823         3.2637030765         0.1336395217         0.0000000000
        0.3554268000         0.0000000000         2.5000000000         1.3403916554         3.2611511990         0.0671521975         0.0000000000
        0.3604567000         0.0000000000         2.5000000000         1.3454963091         3.2637030765         0.2001268459         0.0000000000
        0.3654256000         0.0000000000         2.5000000000         1.3429439823         3.2509436892         0.1336395217         0.0000000000
        0.3704616000         0.0000000000         2.5000000000         1.3378393285         3.2534955666         0.0006648732         0.0000000000
        0.3754601000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.3804405000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.3855201000         0.0000000000         2.5000000000         1.3352870017         3.2560474441        -0.0658224510         0.0000000000
        0.3904358000         0.0000000000         2.5000000000         1.3378393285         3.2560474441         0.0006648732         0.0000000000
        0.3964235000         0.0000000000         2.5000000000         1.3352870017         3.2585993215        -0.0658224510         0.0000000000
