% Static Verify Step 11/48  OmegaCmd=+300.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=5.119690 rad/s  omega_target=5.235988 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0006223000       300.0000000000         3.0347054762         1.3301823480         4.5370899285        -0.2034512121         5.2359877560
        0.0054545000       300.0000000000         3.0347054762         1.3378393285         4.5472974383        -0.0039892395         5.2359877560
        0.0104516000       300.0000000000         3.0347054762         1.3429439823         4.5498493158         0.1289854090         5.2359877560
        0.0154201000       300.0000000000         3.0347054762         1.3301823480         4.5396418060        -0.2034512121         5.2359877560
        0.0204296000       300.0000000000         3.0347054762         1.3352870017         4.5396418060        -0.0704765637         5.2359877560
        0.0254101000       300.0000000000         3.0347054762         1.3378393285         4.5447455609        -0.0039892395         5.2359877560
        0.0304750000       300.0000000000         3.0347054762         1.3276300211         4.5421936834        -0.2699385364         5.2359877560
        0.0354020000       300.0000000000         3.0347054762         1.3378393285         4.5472974383        -0.0039892395         5.2359877560
        0.0404705000       300.0000000000         3.0347054762         1.3454963091         4.5498493158         0.1954727332         5.2359877560
        0.0454949000       300.0000000000         3.0347054762         1.3327346748         4.5396418060        -0.1369638879         5.2359877560
        0.0504222000       300.0000000000         3.0347054762         1.3352870017         4.5472974383        -0.0704765637         5.2359877560
        0.0554814000       300.0000000000         3.0347054762         1.3174207137         4.5370899285        -0.5358878333         5.2359877560
        0.0603937000       300.0000000000         3.0347054762         1.3378393285         4.5447455609        -0.0039892395         5.2359877560
        0.0654990000       300.0000000000         3.0347054762         1.3276300211         4.5396418060        -0.2699385364         5.2359877560
        0.0703966000       300.0000000000         3.0347054762         1.3378393285         4.5447455609        -0.0039892395         5.2359877560
        0.0754031000       300.0000000000         3.0347054762         1.3378393285         4.5421936834        -0.0039892395         5.2359877560
        0.0803942000       300.0000000000         3.0347054762         1.3378393285         4.5472974383        -0.0039892395         5.2359877560
        0.0854019000       300.0000000000         3.0347054762         1.3403916554         4.5447455609         0.0624980848         5.2359877560
        0.0903905000       300.0000000000         3.0347054762         1.3403916554         4.5421936834         0.0624980848         5.2359877560
        0.0954490000       300.0000000000         3.0347054762         1.3684672508         4.5498493158         0.7938586513         5.2359877560
        0.1004424000       300.0000000000         3.0347054762         1.4246184417         4.5600568256         2.2565797843         5.2359877560
        0.1054211000       300.0000000000         3.0347054762         1.5062929011         4.5728162129         4.3841741595         5.2359877560
        0.1103927000       300.0000000000         3.0347054762         1.5343684965         4.5932312326         5.1155347260         5.2359877560
        0.1154018000       300.0000000000         3.0347054762         1.5241591891         4.5983349875         4.8495854291         5.2359877560
        0.1204638000       300.0000000000         3.0347054762         1.5165022085         4.6187500072         4.6501234564         5.2359877560
        0.1255053000       300.0000000000         3.0347054762         1.5113975548         4.6493725367         4.5171488080         5.2359877560
        0.1304529000       300.0000000000         3.0347054762         1.4986359205         4.6595800465         4.1847121868         5.2359877560
        0.1354259000       300.0000000000         3.0347054762         1.4756649788         4.6774431887         3.5863262688         5.2359877560
        0.1403919000       300.0000000000         3.0347054762         1.4909789399         4.6902025760         3.9852502141         5.2359877560
        0.1454579000       300.0000000000         3.0347054762         1.4960835936         4.7131694732         4.1182248626         5.2359877560
        0.1503986000       300.0000000000         3.0347054762         1.5011882474         4.7259288605         4.2511995111         5.2359877560
        0.1553921000       300.0000000000         3.0347054762         1.4960835936         4.7463438801         4.1182248626         5.2359877560
        0.1603906000       300.0000000000         3.0347054762         1.5011882474         4.7591032674         4.2511995111         5.2359877560
        0.1654337000       300.0000000000         3.0347054762         1.5062929011         4.7795182871         4.3841741595         5.2359877560
        0.1703889000       300.0000000000         3.0347054762         1.4960835936         4.7922776744         4.1182248626         5.2359877560
        0.1754951000       300.0000000000         3.0347054762         1.5062929011         4.8126926941         4.3841741595         5.2359877560
        0.1804471000       300.0000000000         3.0347054762         1.5062929011         4.8254520814         4.3841741595         5.2359877560
        0.1858526000       300.0000000000         3.0347054762         1.5037405742         4.8484189785         4.3176868353         5.2359877560
        0.1904667000       300.0000000000         3.0347054762         1.4935312668         4.8611783658         4.0517375384         5.2359877560
        0.1954214000       300.0000000000         3.0347054762         1.5037405742         4.8790415080         4.3176868353         5.2359877560
        0.2004118000       300.0000000000         3.0347054762         1.5088452279         4.9020084051         4.4506614837         5.2359877560
        0.2054349000       300.0000000000         3.0347054762         1.5088452279         4.9147677924         4.4506614837         5.2359877560
        0.2103938000       300.0000000000         3.0347054762         1.5113975548         4.9402865670         4.5171488080         5.2359877560
        0.2155015000       300.0000000000         3.0347054762         1.5088452279         4.9581497092         4.4506614837         5.2359877560
        0.2205093000       300.0000000000         3.0347054762         1.5139498816         4.9760128515         4.5836361322         5.2359877560
        0.2254783000       300.0000000000         3.0347054762         1.5139498816         4.9913241162         4.5836361322         5.2359877560
        0.2303961000       300.0000000000         3.0347054762         1.5292638428         5.0117391359         4.9825600775         5.2359877560
        0.2354704000       300.0000000000         3.0347054762         1.5113975548         5.0040835035         4.5171488080         5.2359877560
        0.2403908000       300.0000000000         3.0347054762         1.5292638428         5.0117391359         4.9825600775         5.2359877560
        0.2454184000       300.0000000000         3.0347054762         1.5139498816         5.0066353810         4.5836361322         5.2359877560
        0.2504447000       300.0000000000         3.0347054762         1.5165022085         5.0015316260         4.6501234564         5.2359877560
        0.2554510000       300.0000000000         3.0347054762         1.5139498816         5.0091872584         4.5836361322         5.2359877560
        0.2604329000       300.0000000000         3.0347054762         1.5190545354         5.0040835035         4.7166107806         5.2359877560
        0.2654772000       300.0000000000         3.0347054762         1.5522347845         1.1226778884         5.5809459956         5.2359877560
        0.2704453000       300.0000000000         3.0347054762         1.5241591891         1.1073666236         4.8495854291         5.2359877560
        0.2754299000       300.0000000000         3.0347054762         1.5241591891         1.1099185011         4.8495854291         5.2359877560
        0.2803989000       300.0000000000         3.0347054762         1.5216068622         0.0049555613         4.7830981049         5.2359877560
        0.2854618000       300.0000000000         3.0347054762         1.5190545354        -0.0052519485         4.7166107806         5.2359877560
        0.2904153000       300.0000000000         3.0347054762         1.5267115159         0.0049555613         4.9160727533         5.2359877560
        0.2954537000       300.0000000000         3.0347054762         1.5216068622         0.0024036839         4.7830981049         5.2359877560
        0.3004438000       300.0000000000         3.0347054762         1.5292638428         0.0075074388         4.9825600775         5.2359877560
        0.3053964000       300.0000000000         3.0347054762         1.5241591891        -0.0001481936         4.8495854291         5.2359877560
        0.3104727000       300.0000000000         3.0347054762         1.5343684965         0.0075074388         5.1155347260         5.2359877560
        0.3154210000       300.0000000000         3.0347054762         1.5190545354         0.0202668261         4.7166107806         5.2359877560
        0.3204144000       300.0000000000         3.0347054762         1.5267115159         0.0406818457         4.9160727533         5.2359877560
        0.3254020000       300.0000000000         3.0347054762         1.5318161696         0.0636487429         5.0490474018         5.2359877560
        0.3303931000       300.0000000000         3.0347054762         1.5216068622         0.0713043752         4.7830981049         5.2359877560
        0.3353959000       300.0000000000         3.0347054762         1.5216068622         0.0968231498         4.7830981049         5.2359877560
        0.3404516000       300.0000000000         3.0347054762         1.5318161696         0.1121344146         5.0490474018         5.2359877560
        0.3454163000       300.0000000000         3.0347054762         1.5394731502         0.1376531892         5.2485093745         5.2359877560
        0.3503953000       300.0000000000         3.0347054762         1.5165022085         0.1529644539         4.6501234564         5.2359877560
        0.3554664000       300.0000000000         3.0347054762         1.5241591891         0.1810351060         4.8495854291         5.2359877560
        0.3604228000       300.0000000000         3.0347054762         1.5292638428         0.1912426158         4.9825600775         5.2359877560
        0.3654201000       300.0000000000         3.0347054762         1.5241591891         0.2142095129         4.8495854291         5.2359877560
        0.3704322000       300.0000000000         3.0347054762         1.5292638428         0.2346245326         4.9825600775         5.2359877560
        0.3753959000       300.0000000000         3.0347054762         1.5292638428         0.2601433072         4.9825600775         5.2359877560
        0.3804262000       300.0000000000         3.0347054762         1.5369208233         0.2780064494         5.1820220502         5.2359877560
        0.3854506000       300.0000000000         3.0347054762         1.5216068622         0.2958695916         4.7830981049         5.2359877560
        0.3904619000       300.0000000000         3.0347054762         1.5190545354         0.3086289789         4.7166107806         5.2359877560
        0.3954182000       300.0000000000         3.0347054762         1.5165022085         0.3239402437         4.6501234564         5.2359877560
        0.4004478000       300.0000000000         3.0347054762         1.5165022085         0.3469071408         4.6501234564         5.2359877560
        0.4054014000       300.0000000000         3.0347054762         1.5241591891         0.3724259154         4.8495854291         5.2359877560
        0.4104420000       300.0000000000         3.0347054762         1.5267115159         0.3953928125         4.9160727533         5.2359877560
        0.4155226000       300.0000000000         3.0347054762         1.5241591891         0.4081521998         4.8495854291         5.2359877560
        0.4204431000       300.0000000000         3.0347054762         1.5241591891         0.4285672195         4.8495854291         5.2359877560
        0.4254498000       300.0000000000         3.0347054762         1.5241591891         0.4489822392         4.8495854291         5.2359877560
        0.4304498000       300.0000000000         3.0347054762         1.5292638428         0.4719491363         4.9825600775         5.2359877560
        0.4355364000       300.0000000000         3.0347054762         1.5241591891         0.4872604011         4.8495854291         5.2359877560
        0.4403943000       300.0000000000         3.0347054762         1.5190545354         0.5000197884         4.7166107806         5.2359877560
        0.4454123000       300.0000000000         3.0347054762         1.5241591891         0.5255385629         4.8495854291         5.2359877560
        0.4503874000       300.0000000000         3.0347054762         1.5241591891         0.5485054601         4.8495854291         5.2359877560
        0.4554792000       300.0000000000         3.0347054762         1.5216068622         0.5638167248         4.7830981049         5.2359877560
        0.4604158000       300.0000000000         3.0347054762         1.5241591891         0.5842317445         4.8495854291         5.2359877560
        0.4656518000       300.0000000000         3.0347054762         1.5190545354         0.5969911318         4.7166107806         5.2359877560
        0.4704083000       300.0000000000         3.0347054762         1.5190545354         0.6174061515         4.7166107806         5.2359877560
