% Static Verify Step 16/48  OmegaCmd=-400.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=-6.547505 rad/s  omega_target=-6.981317 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0006042000      -400.0000000000         1.8253494656         1.3429439823         1.6917465617         0.1289854090        -6.9813170080
        0.0054448000      -400.0000000000         1.8253494656         1.3352870017         1.6891946843        -0.0704765637        -6.9813170080
        0.0104585000      -400.0000000000         1.8253494656         1.3276300211         1.6764352970        -0.2699385364        -6.9813170080
        0.0154023000      -400.0000000000         1.8253494656         1.3327346748         1.6789871744        -0.1369638879        -6.9813170080
        0.0204880000      -400.0000000000         1.8253494656         1.3352870017         1.6866428068        -0.0704765637        -6.9813170080
        0.0255892000      -400.0000000000         1.8253494656         1.3276300211         1.6815390519        -0.2699385364        -6.9813170080
        0.0304613000      -400.0000000000         1.8253494656         1.3301823480         1.6789871744        -0.2034512121        -6.9813170080
        0.0354521000      -400.0000000000         1.8253494656         1.3378393285         1.6840909293        -0.0039892395        -6.9813170080
        0.0404251000      -400.0000000000         1.8253494656         1.3403916554         1.6866428068         0.0624980848        -6.9813170080
        0.0454212000      -400.0000000000         1.8253494656         1.3429439823         1.6917465617         0.1289854090        -6.9813170080
        0.0503835000      -400.0000000000         1.8253494656         1.3378393285         1.6866428068        -0.0039892395        -6.9813170080
        0.0554319000      -400.0000000000         1.8253494656         1.3301823480         1.6815390519        -0.2034512121        -6.9813170080
        0.0604415000      -400.0000000000         1.8253494656         1.3301823480         1.6789871744        -0.2034512121        -6.9813170080
        0.0653851000      -400.0000000000         1.8253494656         1.3301823480         1.6789871744        -0.2034512121        -6.9813170080
        0.0704027000      -400.0000000000         1.8253494656         1.3352870017         1.6917465617        -0.0704765637        -6.9813170080
        0.0754239000      -400.0000000000         1.8253494656         1.2816881377         1.6815390519        -1.4667103724        -6.9813170080
        0.0804223000      -400.0000000000         1.8253494656         1.1362055069         1.6713315420        -5.2564878534        -6.9813170080
        0.0854414000      -400.0000000000         1.8253494656         1.0826066429         1.6381571351        -6.6527216621        -6.9813170080
        0.0904104000      -400.0000000000         1.8253494656         1.1106822383         1.6279496252        -5.9213610956        -6.9813170080
        0.0954968000      -400.0000000000         1.8253494656         1.1132345652         1.5973270957        -5.8548737714        -6.9813170080
        0.1004248000      -400.0000000000         1.8253494656         1.1157868920         1.5743601986        -5.7883864472        -6.9813170080
        0.1055905000      -400.0000000000         1.8253494656         1.1362055069         1.5539451789        -5.2564878534        -6.9813170080
        0.1104352000      -400.0000000000         1.8253494656         1.1489671412         1.5411857916        -4.9240512322        -6.9813170080
        0.1154878000      -400.0000000000         1.8253494656         1.1387578337         1.5156670170        -5.1900005291        -6.9813170080
        0.1204252000      -400.0000000000         1.8253494656         1.1413101606         1.4978038748        -5.1235132049        -6.9813170080
        0.1254035000      -400.0000000000         1.8253494656         1.1540717949         1.4850444875        -4.7910765838        -6.9813170080
        0.1303932000      -400.0000000000         1.8253494656         1.1362055069         1.4646294679        -5.2564878534        -6.9813170080
        0.1354594000      -400.0000000000         1.8253494656         1.1183392189         1.4340069384        -5.7218991229        -6.9813170080
        0.1404466000      -400.0000000000         1.8253494656         1.1311008532         1.4237994285        -5.3894625018        -6.9813170080
        0.1454514000      -400.0000000000         1.8253494656         1.1362055069         1.4033844088        -5.2564878534        -6.9813170080
        0.1504850000      -400.0000000000         1.8253494656         1.1183392189         1.3727618793        -5.7218991229        -6.9813170080
        0.1554144000      -400.0000000000         1.8253494656         1.1183392189         1.3548987371        -5.7218991229        -6.9813170080
        0.1604476000      -400.0000000000         1.8253494656         1.1311008532         1.3395874724        -5.3894625018        -6.9813170080
        0.1654695000      -400.0000000000         1.8253494656         1.1183392189         1.3115168203        -5.7218991229        -6.9813170080
        0.1704033000      -400.0000000000         1.8253494656         1.1208915457         1.2911018006        -5.6554117987        -6.9813170080
        0.1754450000      -400.0000000000         1.8253494656         1.1106822383         1.2630311486        -5.9213610956        -6.9813170080
        0.1803904000      -400.0000000000         1.8253494656         1.1183392189         1.2502717613        -5.7218991229        -6.9813170080
        0.1854359000      -400.0000000000         1.8253494656         1.0953682772         1.2222011093        -6.3202850410        -6.9813170080
        0.1903956000      -400.0000000000         1.8253494656         1.1081299115         1.1992342121        -5.9878484199        -6.9813170080
        0.1954061000      -400.0000000000         1.8253494656         1.1285485263         1.1915785797        -5.4559498260        -6.9813170080
        0.2004484000      -400.0000000000         1.8253494656         1.1132345652         1.1635079277        -5.8548737714        -6.9813170080
        0.2054643000      -400.0000000000         1.8253494656         1.1208915457         1.1481966629        -5.6554117987        -6.9813170080
        0.2104131000      -400.0000000000         1.8253494656         1.1132345652         1.1201260109        -5.8548737714        -6.9813170080
        0.2156623000      -400.0000000000         1.8253494656         1.1106822383         1.0971591138        -5.9213610956        -6.9813170080
        0.2204783000      -400.0000000000         1.8253494656         1.1106822383         1.0767440941        -5.9213610956        -6.9813170080
        0.2253991000      -400.0000000000         1.8253494656         1.1004729309         1.0563290744        -6.1873103925        -6.9813170080
        0.2304213000      -400.0000000000         1.8253494656         1.1208915457         1.0384659322        -5.6554117987        -6.9813170080
        0.2354529000      -400.0000000000         1.8253494656         1.1106822383         1.0052915252        -5.9213610956        -6.9813170080
        0.2404316000      -400.0000000000         1.8253494656         1.1208915457         0.9925321379        -5.6554117987        -6.9813170080
        0.2454301000      -400.0000000000         1.8253494656         1.1208915457         0.9746689957        -5.6554117987        -6.9813170080
        0.2503890000      -400.0000000000         1.8253494656         1.1157868920         0.9440464662        -5.7883864472        -6.9813170080
        0.2555943000      -400.0000000000         1.8253494656         1.1234438726         0.9287352015        -5.5889244745        -6.9813170080
        0.2604488000      -400.0000000000         1.8253494656         1.1259961995         0.9083201818        -5.5224371503        -6.9813170080
        0.2654084000      -400.0000000000         1.8253494656         1.1132345652         0.8802495297        -5.8548737714        -6.9813170080
        0.2703805000      -400.0000000000         1.8253494656         1.1183392189         0.8521788777        -5.7218991229        -6.9813170080
        0.2753806000      -400.0000000000         1.8253494656         1.1234438726         0.8394194904        -5.5889244745        -6.9813170080
        0.2804643000      -400.0000000000         1.8253494656         1.1106822383         0.8087969609        -5.9213610956        -6.9813170080
        0.2855405000      -400.0000000000         1.8253494656         1.1157868920         0.7909338187        -5.7883864472        -6.9813170080
        0.2904347000      -400.0000000000         1.8253494656         1.1234438726         0.7730706765        -5.5889244745        -6.9813170080
        0.2953842000      -400.0000000000         1.8253494656         1.1311008532         0.7552075343        -5.3894625018        -6.9813170080
        0.3004769000      -400.0000000000         1.8253494656         1.1106822383         0.7245850047        -5.9213610956        -6.9813170080
        0.3054384000      -400.0000000000         1.8253494656         1.1208915457         0.7092737400        -5.6554117987        -6.9813170080
        0.3104224000      -400.0000000000         1.8253494656         1.1362055069         0.6888587203        -5.2564878534        -6.9813170080
        0.3159049000      -400.0000000000         1.8253494656         1.1259961995         0.6658918232        -5.5224371503        -6.9813170080
        0.3204283000      -400.0000000000         1.8253494656         1.1132345652         0.6378211711        -5.8548737714        -6.9813170080
        0.3254169000      -400.0000000000         1.8253494656         1.1106822383         0.6148542740        -5.9213610956        -6.9813170080
        0.3303998000      -400.0000000000         1.8253494656         1.1208915457         0.5995430093        -5.6554117987        -6.9813170080
        0.3354009000      -400.0000000000         1.8253494656         1.1208915457         0.5791279896        -5.6554117987        -6.9813170080
        0.3404215000      -400.0000000000         1.8253494656         1.1259961995         0.5536092150        -5.5224371503        -6.9813170080
        0.3454522000      -400.0000000000         1.8253494656         1.1285485263         0.5331941953        -5.4559498260        -6.9813170080
        0.3503949000      -400.0000000000         1.8253494656         1.1285485263         0.5153310531        -5.4559498260        -6.9813170080
        0.3553814000      -400.0000000000         1.8253494656         1.1106822383         0.4847085236        -5.9213610956        -6.9813170080
        0.3604093000      -400.0000000000         1.8253494656         1.1259961995         0.4745010138        -5.5224371503        -6.9813170080
        0.3654208000      -400.0000000000         1.8253494656         1.1208915457         0.4387747293        -5.6554117987        -6.9813170080
        0.3704024000      -400.0000000000         1.8253494656         1.1336531800         0.4285672195        -5.3229751776        -6.9813170080
        0.3754205000      -400.0000000000         1.8253494656         1.1183392189         0.4004965675        -5.7218991229        -6.9813170080
        0.3804210000      -400.0000000000         1.8253494656         1.1208915457         0.3800815478        -5.6554117987        -6.9813170080
        0.3854387000      -400.0000000000         1.8253494656         1.1055775846         0.3545627732        -6.0543357441        -6.9813170080
        0.3905149000      -400.0000000000         1.8253494656         1.1106822383         0.3290439986        -5.9213610956        -6.9813170080
        0.3953952000      -400.0000000000         1.8253494656         1.1106822383         0.3035252240        -5.9213610956        -6.9813170080
        0.4004175000      -400.0000000000         1.8253494656         1.1081299115         0.2882139593        -5.9878484199        -6.9813170080
        0.4054709000      -400.0000000000         1.8253494656         1.1030252578         0.2601433072        -6.1208230683        -6.9813170080
        0.4103931000      -400.0000000000         1.8253494656         1.1081299115         0.2346245326        -5.9878484199        -6.9813170080
        0.4154464000      -400.0000000000         1.8253494656         1.1106822383         0.2142095129        -5.9213610956        -6.9813170080
        0.4204318000      -400.0000000000         1.8253494656         1.1106822383         0.1912426158        -5.9213610956        -6.9813170080
        0.4254451000      -400.0000000000         1.8253494656         1.1106822383         0.1682757187        -5.9213610956        -6.9813170080
        0.4304547000      -400.0000000000         1.8253494656         1.1157868920         0.1529644539        -5.7883864472        -6.9813170080
        0.4354174000      -400.0000000000         1.8253494656         1.1081299115         0.1197900470        -5.9878484199        -6.9813170080
        0.4404578000      -400.0000000000         1.8253494656         1.1106822383         0.0968231498        -5.9213610956        -6.9813170080
        0.4453805000      -400.0000000000         1.8253494656         1.0979206040         0.0713043752        -6.2537977168        -6.9813170080
        0.4504019000      -400.0000000000         1.8253494656         1.1055775846         0.0534412330        -6.0543357441        -6.9813170080
        0.4556639000      -400.0000000000         1.8253494656         1.1055775846         0.0279224584        -6.0543357441        -6.9813170080
        0.4604141000      -400.0000000000         1.8253494656         1.1132345652         0.0151630711        -5.8548737714        -6.9813170080
        0.4654153000      -400.0000000000         1.8253494656         1.1004729309         0.0024036839        -6.1873103925        -6.9813170080
        0.4704810000      -400.0000000000         1.8253494656         1.1055775846         0.0024036839        -6.0543357441        -6.9813170080
        0.4754688000      -400.0000000000         1.8253494656         1.1081299115         0.0049555613        -5.9878484199        -6.9813170080
        0.4804655000      -400.0000000000         1.8253494656         1.1004729309        -0.0001481936        -6.1873103925        -6.9813170080
        0.4854761000      -400.0000000000         1.8253494656         1.1132345652        -0.0001481936        -5.8548737714        -6.9813170080
        0.4904083000      -400.0000000000         1.8253494656         1.1106822383         1.1201260109        -5.9213610956        -6.9813170080
        0.4954092000      -400.0000000000         1.8253494656         1.0928159503         1.0946072363        -6.3867723652        -6.9813170080
        0.5004815000      -400.0000000000         1.8253494656         1.1004729309         5.0040835035        -6.1873103925        -6.9813170080
        0.5054602000      -400.0000000000         1.8253494656         1.1030252578         5.0040835035        -6.1208230683        -6.9813170080
        0.5103838000      -400.0000000000         1.8253494656         1.1030252578         5.0066353810        -6.1208230683        -6.9813170080
        0.5154175000      -400.0000000000         1.8253494656         1.1030252578         5.0142910133        -6.1208230683        -6.9813170080
        0.5204177000      -400.0000000000         1.8253494656         1.1106822383         5.0142910133        -5.9213610956        -6.9813170080
        0.5254544000      -400.0000000000         1.8253494656         1.1030252578         4.9989797486        -6.1208230683        -6.9813170080
        0.5307119000      -400.0000000000         1.8253494656         1.1004729309         4.9862203613        -6.1873103925        -6.9813170080
        0.5355588000      -400.0000000000         1.8253494656         1.1081299115         4.9632534642        -5.9878484199        -6.9813170080
        0.5403997000      -400.0000000000         1.8253494656         1.0928159503         4.9275271797        -6.3867723652        -6.9813170080
        0.5458662000      -400.0000000000         1.8253494656         1.1030252578         4.9122159150        -6.1208230683        -6.9813170080
        0.5504791000      -400.0000000000         1.8253494656         1.0979206040         4.8841452629        -6.2537977168        -6.9813170080
        0.5554487000      -400.0000000000         1.8253494656         1.1004729309         4.8637302433        -6.1873103925        -6.9813170080
        0.5630873000      -400.0000000000         1.8253494656         1.0928159503         4.8101408166        -6.3867723652        -6.9813170080
        0.5654812000      -400.0000000000         1.8253494656         1.1004729309         4.8050370617        -6.1873103925        -6.9813170080
        0.5703948000      -400.0000000000         1.8253494656         1.0902636235         4.7744145322        -6.4532596894        -6.9813170080
        0.5754188000      -400.0000000000         1.8253494656         1.0953682772         4.7539995125        -6.3202850410        -6.9813170080
        0.5804177000      -400.0000000000         1.8253494656         1.0928159503         4.7284807379        -6.3867723652        -6.9813170080
        0.5855052000      -400.0000000000         1.8253494656         1.0928159503         4.7004100859        -6.3867723652        -6.9813170080
        0.5904751000      -400.0000000000         1.8253494656         1.1004729309         4.6876506986        -6.1873103925        -6.9813170080
        0.5954206000      -400.0000000000         1.8253494656         1.1004729309         4.6493725367        -6.1873103925        -6.9813170080
        0.6004572000      -400.0000000000         1.8253494656         1.0979206040         4.6289575170        -6.2537977168        -6.9813170080
        0.6054499000      -400.0000000000         1.8253494656         1.0851589698         4.6034387424        -6.5862343379        -6.9813170080
        0.6104804000      -400.0000000000         1.8253494656         1.0979206040         4.5779199678        -6.2537977168        -6.9813170080
        0.6154635000      -400.0000000000         1.8253494656         1.0953682772         4.5472974383        -6.3202850410        -6.9813170080
        0.6204211000      -400.0000000000         1.8253494656         1.0953682772         4.5370899285        -6.3202850410        -6.9813170080
        0.6253929000      -400.0000000000         1.8253494656         1.0877112966         4.4962598892        -6.5197470137        -6.9813170080
        0.6303824000      -400.0000000000         1.8253494656         1.0902636235         4.4860523793        -6.4532596894        -6.9813170080
        0.6354200000      -400.0000000000         1.8253494656         1.0979206040         4.4605336047        -6.2537977168        -6.9813170080
        0.6404188000      -400.0000000000         1.8253494656         1.1055775846         4.4350148301        -6.0543357441        -6.9813170080
        0.6454313000      -400.0000000000         1.8253494656         1.0979206040         4.4094960556        -6.2537977168        -6.9813170080
        0.6504611000      -400.0000000000         1.8253494656         1.0953682772         4.3814254035        -6.3202850410        -6.9813170080
        0.6553999000      -400.0000000000         1.8253494656         1.0749496623         4.3456991191        -6.8521836348        -6.9813170080
        0.6604273000      -400.0000000000         1.8253494656         1.1055775846         4.3278359769        -6.0543357441        -6.9813170080
        0.6654417000      -400.0000000000         1.8253494656         1.0953682772         4.3048690797        -6.3202850410        -6.9813170080
        0.6704176000      -400.0000000000         1.8253494656         1.0902636235         4.2819021826        -6.4532596894        -6.9813170080
        0.6754057000      -400.0000000000         1.8253494656         1.0800543160         4.2487277756        -6.7192089863        -6.9813170080
        0.6804334000      -400.0000000000         1.8253494656         1.0800543160         4.2206571236        -6.7192089863        -6.9813170080
        0.6854476000      -400.0000000000         1.8253494656         1.0800543160         4.2027939814        -6.7192089863        -6.9813170080
        0.6904167000      -400.0000000000         1.8253494656         1.0953682772         4.1772752068        -6.3202850410        -6.9813170080
        0.6955926000      -400.0000000000         1.8253494656         1.0800543160         4.1466526773        -6.7192089863        -6.9813170080
        0.7004882000      -400.0000000000         1.8253494656         1.0877112966         4.1338932900        -6.5197470137        -6.9813170080
        0.7054613000      -400.0000000000         1.8253494656         1.0800543160         4.0981670056        -6.7192089863        -6.9813170080
        0.7105013000      -400.0000000000         1.8253494656         1.0902636235         4.0828557408        -6.4532596894        -6.9813170080
        0.7153936000      -400.0000000000         1.8253494656         1.0953682772         4.0522332113        -6.3202850410        -6.9813170080
        0.7204181000      -400.0000000000         1.8253494656         1.0851589698         4.0267144367        -6.5862343379        -6.9813170080
        0.7254397000      -400.0000000000         1.8253494656         1.0749496623         4.0011956621        -6.8521836348        -6.9813170080
        0.7303924000      -400.0000000000         1.8253494656         1.0749496623         3.9654693777        -6.8521836348        -6.9813170080
        0.7354614000      -400.0000000000         1.8253494656         1.0979206040         3.9527099904        -6.2537977168        -6.9813170080
        0.7404188000      -400.0000000000         1.8253494656         1.0953682772         3.9297430933        -6.3202850410        -6.9813170080
        0.7454177000      -400.0000000000         1.8253494656         1.0672926818         3.8889130539        -7.0516456075        -6.9813170080
        0.7504361000      -400.0000000000         1.8253494656         1.0723973355         3.8710499117        -6.9186709590        -6.9813170080
        0.7553858000      -400.0000000000         1.8253494656         1.0928159503         3.8506348920        -6.3867723652        -6.9813170080
        0.7605751000      -400.0000000000         1.8253494656         1.0851589698         3.8174604851        -6.5862343379        -6.9813170080
        0.7654739000      -400.0000000000         1.8253494656         1.0826066429         3.7944935879        -6.6527216621        -6.9813170080
        0.7704505000      -400.0000000000         1.8253494656         1.0723973355         3.7689748133        -6.9186709590        -6.9813170080
        0.7756103000      -400.0000000000         1.8253494656         1.0672926818         3.7383522838        -7.0516456075        -6.9813170080
        0.7803996000      -400.0000000000         1.8253494656         1.0826066429         3.7179372642        -6.6527216621        -6.9813170080
        0.7854028000      -400.0000000000         1.8253494656         1.0953682772         3.6949703670        -6.3202850410        -6.9813170080
        0.7905256000      -400.0000000000         1.8253494656         1.0877112966         3.6694515924        -6.5197470137        -6.9813170080
        0.7954951000      -400.0000000000         1.8253494656         1.0621880280         3.6337253080        -7.1846202559        -6.9813170080
        0.8004706000      -400.0000000000         1.8253494656         1.0749496623         3.6107584109        -6.8521836348        -6.9813170080
        0.8054621000      -400.0000000000         1.8253494656         1.0902636235         3.5877915138        -6.4532596894        -6.9813170080
        0.8104824000      -400.0000000000         1.8253494656         1.0749496623         3.5571689842        -6.8521836348        -6.9813170080
        0.8153928000      -400.0000000000         1.8253494656         1.0672926818         3.5342020871        -7.0516456075        -6.9813170080
        0.8204212000      -400.0000000000         1.8253494656         1.0749496623         3.5035795576        -6.8521836348        -6.9813170080
        0.8254775000      -400.0000000000         1.8253494656         1.0877112966         3.4857164154        -6.5197470137        -6.9813170080
        0.8305022000      -400.0000000000         1.8253494656         1.0775019892         3.4601976408        -6.7856963106        -6.9813170080
        0.8354673000      -400.0000000000         1.8253494656         1.0775019892         3.4270232338        -6.7856963106        -6.9813170080
        0.8403851000      -400.0000000000         1.8253494656         1.0800543160         3.4066082142        -6.7192089863        -6.9813170080
