% Static Verify Step 21/51  Vcmd=-1.0000V
% Vg_offset=1.337622V  K_gimbal=26.049690  K_lin=4.959600
% omega_avg(last 2.0s)=-4.765645 rad/s  omega_target=-4.959600 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0009435000        -1.0000000000         1.9330155417         1.3378393285         4.6161981297         0.0056514226        -4.9596000000
        0.0056866000        -1.0000000000         1.9330155417         1.3276300211         4.6110943748        -0.2602978743        -4.9596000000
        0.0105695000        -1.0000000000         1.9330155417         1.3352870017         4.6213018847        -0.0608359017        -4.9596000000
        0.0156422000        -1.0000000000         1.9330155417         1.3301823480         4.6085424974        -0.1938105501        -4.9596000000
        0.0205543000        -1.0000000000         1.9330155417         1.3352870017         4.6136462523        -0.0608359017        -4.9596000000
        0.0254460000        -1.0000000000         1.9330155417         1.3174207137         4.6085424974        -0.5262471713        -4.9596000000
        0.0304992000        -1.0000000000         1.9330155417         1.1744904097         4.5957831101        -4.2495373279        -4.9596000000
        0.0356736000        -1.0000000000         1.9330155417         1.2459555617         4.5932312326        -2.3878922496        -4.9596000000
        0.0405592000        -1.0000000000         1.9330155417         1.2689265034         4.5881274777        -1.7895063316        -4.9596000000
        0.0457241000        -1.0000000000         1.9330155417         1.2000136783         4.5728162129        -3.5846640857        -4.9596000000
        0.0505640000        -1.0000000000         1.9330155417         1.2153276394         4.5600568256        -3.1857401403        -4.9596000000
        0.0555156000        -1.0000000000         1.9330155417         1.2127753126         4.5345380510        -3.2522274645        -4.9596000000
        0.0606192000        -1.0000000000         1.9330155417         1.2025660052         4.5345380510        -3.5181767615        -4.9596000000
        0.0656862000        -1.0000000000         1.9330155417         1.2102229857         4.5141230314        -3.3187147888        -4.9596000000
        0.0706954000        -1.0000000000         1.9330155417         1.1974613514         4.4937080117        -3.6511514099        -4.9596000000
        0.0755127000        -1.0000000000         1.9330155417         1.1693857560         4.4732929920        -4.3825119764        -4.9596000000
        0.0805195000        -1.0000000000         1.9330155417         1.2025660052         4.4681892371        -3.5181767615        -4.9596000000
        0.0857112000        -1.0000000000         1.9330155417         1.1949090246         4.4630854822        -3.7176387341        -4.9596000000
        0.0907246000        -1.0000000000         1.9330155417         1.1846997172         4.4375667076        -3.9835880310        -4.9596000000
        0.0955747000        -1.0000000000         1.9330155417         1.1821473903         4.4197035654        -4.0500753553        -4.9596000000
        0.1007288000        -1.0000000000         1.9330155417         1.1898043709         4.4145998105        -3.8506133826        -4.9596000000
        0.1056923000        -1.0000000000         1.9330155417         1.1923566977         4.4043923006        -3.7841260584        -4.9596000000
