% Static Verify Step 24/51  Vcmd=+1.2000V
% Vg_offset=1.337814V  K_gimbal=26.049690  K_lin=8.298800
% omega_avg(last 2.0s)=9.414771 rad/s  omega_target=9.958560 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0013243000         1.2000000000         3.3641808108         1.3301823480         1.1941304572        -0.1987970994         9.9585600000
        0.0054545000         1.2000000000         3.3641808108         1.3352870017         1.1992342121        -0.0658224510         9.9585600000
        0.0104250000         1.2000000000         3.3641808108         1.3352870017         1.1992342121        -0.0658224510         9.9585600000
        0.0154251000         1.2000000000         3.3641808108         1.3301823480         1.1966823347        -0.1987970994         9.9585600000
        0.0204254000         1.2000000000         3.3641808108         1.3454963091         1.1966823347         0.2001268459         9.9585600000
        0.0254175000         1.2000000000         3.3641808108         1.5318161696         1.2145454769         5.0537015145         9.9585600000
        0.0303864000         1.2000000000         3.3641808108         1.4986359205         1.2273048642         4.1893662995         9.9585600000
        0.0354452000         1.2000000000         3.3641808108         1.4782173056         1.2400642515         3.6574677057         9.9585600000
        0.0404184000         1.2000000000         3.3641808108         1.5113975548         1.2579273937         4.5218029207         9.9585600000
        0.0454492000         1.2000000000         3.3641808108         1.5701010725         1.2783424134         6.0510113779         9.9585600000
        0.0504535000         1.2000000000         3.3641808108         1.5241591891         1.3013093105         4.8542395418         9.9585600000
        0.0554261000         1.2000000000         3.3641808108         1.5598917651         1.3268280851         5.7850620810         9.9585600000
        0.0604112000         1.2000000000         3.3641808108         1.5573394382         1.3370355949         5.7185747567         9.9585600000
        0.0654224000         1.2000000000         3.3641808108         1.5649964188         1.3651062470         5.9180367294         9.9585600000
        0.0703921000         1.2000000000         3.3641808108         1.5675487456         1.3880731441         5.9845240536         9.9585600000
        0.0754179000         1.2000000000         3.3641808108         1.5828627068         1.4135919187         6.3834479990         9.9585600000
        0.0804263000         1.2000000000         3.3641808108         1.5828627068         1.4416625707         6.3834479990         9.9585600000
        0.0854307000         1.2000000000         3.3641808108         1.5777580530         1.4595257129         6.2504733506         9.9585600000
        0.0904175000         1.2000000000         3.3641808108         1.5879673605         1.4773888552         6.5164226475         9.9585600000
        0.0954844000         1.2000000000         3.3641808108         1.5879673605         1.5054595072         6.5164226475         9.9585600000
        0.1004415000         1.2000000000         3.3641808108         1.5905196873         1.5335301593         6.5829099717         9.9585600000
        0.1055251000         1.2000000000         3.3641808108         1.6058336485         1.5590489338         6.9818339170         9.9585600000
        0.1104457000         1.2000000000         3.3641808108         1.6007289948         1.5871195859         6.8488592686         9.9585600000
        0.1154545000         1.2000000000         3.3641808108         1.6007289948         1.6126383605         6.8488592686         9.9585600000
        0.1204236000         1.2000000000         3.3641808108         1.6236999365         1.6458127674         7.4472451866         9.9585600000
        0.1254532000         1.2000000000         3.3641808108         1.6160429559         1.6585721547         7.2477832140         9.9585600000
        0.1304936000         1.2000000000         3.3641808108         1.6185952828         1.6968503166         7.3142705382         9.9585600000
        0.1354194000         1.2000000000         3.3641808108         1.6134906290         1.7198172138         7.1812958897         9.9585600000
        0.1403834000         1.2000000000         3.3641808108         1.6185952828         1.7453359884         7.3142705382         9.9585600000
        0.1453847000         1.2000000000         3.3641808108         1.6109383022         1.7734066404         7.1148085655         9.9585600000
        0.1503892000         1.2000000000         3.3641808108         1.6288045902         1.7989254150         7.5802198351         9.9585600000
        0.1554845000         1.2000000000         3.3641808108         1.6236999365         1.8346516994         7.4472451866         9.9585600000
        0.1604791000         1.2000000000         3.3641808108         1.6236999365         1.8525148416         7.4472451866         9.9585600000
        0.1655515000         1.2000000000         3.3641808108         1.6339092439         1.8933448810         7.7131944835         9.9585600000
        0.1704212000         1.2000000000         3.3641808108         1.6441185513         1.9214155330         7.9791437804         9.9585600000
        0.1754960000         1.2000000000         3.3641808108         1.6160429559         1.9367267978         7.2477832140         9.9585600000
        0.1803919000         1.2000000000         3.3641808108         1.6517755319         1.9775568371         8.1786057531         9.9585600000
        0.1854498000         1.2000000000         3.3641808108         1.6390138976         2.0005237343         7.8461691320         9.9585600000
        0.1903853000         1.2000000000         3.3641808108         1.6262522633         2.0260425088         7.5137325109         9.9585600000
        0.1954156000         1.2000000000         3.3641808108         1.6364615707         2.0566650383         7.7796818078         9.9585600000
        0.2004154000         1.2000000000         3.3641808108         1.6390138976         2.0923913228         7.8461691320         9.9585600000
        0.2055688000         1.2000000000         3.3641808108         1.6492232050         2.1204619748         8.1121184289         9.9585600000
        0.2103862000         1.2000000000         3.3641808108         1.6441185513         2.1536363818         7.9791437804         9.9585600000
        0.2154152000         1.2000000000         3.3641808108         1.6517755319         2.1919145437         8.1786057531         9.9585600000
        0.2207152000         1.2000000000         3.3641808108         1.6466708782         2.2097776859         8.0456311047         9.9585600000
        0.2254804000         1.2000000000         3.3641808108         1.6492232050         2.2506077252         8.1121184289         9.9585600000
        0.2303865000         1.2000000000         3.3641808108         1.6492232050         2.2710227449         8.1121184289         9.9585600000
        0.2354374000         1.2000000000         3.3641808108         1.6441185513         2.3041971519         7.9791437804         9.9585600000
        0.2405249000         1.2000000000         3.3641808108         1.6568801856         2.3424753138         8.3115804016         9.9585600000
        0.2454569000         1.2000000000         3.3641808108         1.6517755319         2.3654422109         8.1786057531         9.9585600000
        0.2504196000         1.2000000000         3.3641808108         1.6645371662         2.4088241277         8.5110423743         9.9585600000
        0.2554175000         1.2000000000         3.3641808108         1.6568801856         2.4368947797         8.3115804016         9.9585600000
        0.2604899000         1.2000000000         3.3641808108         1.6466708782         2.4624135543         8.0456311047         9.9585600000
        0.2654189000         1.2000000000         3.3641808108         1.6619848393         2.4955879613         8.4445550500         9.9585600000
        0.2704669000         1.2000000000         3.3641808108         1.6466708782         2.5262104908         8.0456311047         9.9585600000
        0.2754237000         1.2000000000         3.3641808108         1.6747464736         2.5746961625         8.7769916712         9.9585600000
