% Static Verify Step 30/50  Vcmd=-1.5000V
% Vg_offset=1.337240V  K_gimbal=26.049690  K_lin=5.741200
% omega_avg(last 2.0s)=8.437408 rad/s  omega_target=-8.611800 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0006283000        -1.5000000000         1.8212322538         1.3378393285         4.8126926941         0.0156245212        -8.6118000000
        0.0054221000        -1.5000000000         1.8212322538         1.3301823480         4.8101408166        -0.1838374515        -8.6118000000
        0.0104319000        -1.5000000000         1.8212322538         1.3454963091         4.8203483265         0.2150864939        -8.6118000000
        0.0154385000        -1.5000000000         1.8212322538         1.3327346748         4.8101408166        -0.1173501273        -8.6118000000
        0.0204339000        -1.5000000000         1.8212322538         1.3454963091         4.8203483265         0.2150864939        -8.6118000000
        0.0254220000        -1.5000000000         1.8212322538         1.3276300211         4.8101408166        -0.2503247757        -8.6118000000
        0.0304435000        -1.5000000000         1.8212322538         1.3378393285         4.8229002039         0.0156245212        -8.6118000000
        0.0354376000        -1.5000000000         1.8212322538         1.3276300211         4.8152445715        -0.2503247757        -8.6118000000
        0.0404310000        -1.5000000000         1.8212322538         1.3199730405         4.8101408166        -0.4497867484        -8.6118000000
        0.0454203000        -1.5000000000         1.8212322538         1.3301823480         4.8126926941        -0.1838374515        -8.6118000000
        0.0504197000        -1.5000000000         1.8212322538         1.3123160600         4.8075889392        -0.6492487211        -8.6118000000
        0.0554292000        -1.5000000000         1.8212322538         1.3352870017         4.8101408166        -0.0508628030        -8.6118000000
        0.0607416000        -1.5000000000         1.8212322538         1.3429439823         4.8203483265         0.1485991696        -8.6118000000
        0.0654292000        -1.5000000000         1.8212322538         1.3327346748         4.8126926941        -0.1173501273        -8.6118000000
        0.0704268000        -1.5000000000         1.8212322538         1.3199730405         4.8075889392        -0.4497867484        -8.6118000000
        0.0754308000        -1.5000000000         1.8212322538         1.2663741766         4.8126926941        -1.8460205572        -8.6118000000
        0.0804317000        -1.5000000000         1.8212322538         1.1515194680         4.7897257969        -4.8379501474        -8.6118000000
        0.0854310000        -1.5000000000         1.8212322538         1.0902636235         4.7616551449        -6.4336459288        -8.6118000000
        0.0904420000        -1.5000000000         1.8212322538         1.1157868920         4.7514476351        -5.7687726865        -8.6118000000
        0.0954191000        -1.5000000000         1.8212322538         1.1132345652         4.7131694732        -5.8352600108        -8.6118000000
        0.1004312000        -1.5000000000         1.8212322538         1.1311008532         4.6953063310        -5.3698487412        -8.6118000000
        0.1054605000        -1.5000000000         1.8212322538         1.1387578337         4.6748913113        -5.1703867685        -8.6118000000
        0.1104501000        -1.5000000000         1.8212322538         1.1438624875         4.6570281691        -5.0374121200        -8.6118000000
        0.1154198000        -1.5000000000         1.8212322538         1.1362055069         4.6289575170        -5.2368740927        -8.6118000000
        0.1204304000        -1.5000000000         1.8212322538         1.1311008532         4.6187500072        -5.3698487412        -8.6118000000
        0.1254438000        -1.5000000000         1.8212322538         1.1234438726         4.5957831101        -5.5693107138        -8.6118000000
        0.1304191000        -1.5000000000         1.8212322538         1.1285485263         4.5702643355        -5.4363360654        -8.6118000000
