% Static Linearization Verify
% Vg_offset=1.337992  K_gimbal=26.049690
Step  OmegaCmd[deg/s]      Vc[V]                Omega_avg[rad/s]     Omega_target[rad/s] 
1            50.0000000000         2.7549579450         0.5732869531         0.8726646260
2           -50.0000000000         2.2337465043        -0.1746954444        -0.8726646260
3           100.0000000000         2.8146410478         1.5260503093         1.7453292520
4          -100.0000000000         2.1662023571        -1.3889202031        -1.7453292520
5           150.0000000000         2.8722219453         2.4774839190         2.6179938780
6          -150.0000000000         2.1030802680        -2.2589068406        -2.6179938780
7           200.0000000000         2.9279061212         3.3079105986         3.4906585040
8          -200.0000000000         2.0435561456        -2.9714847380        -3.4906585040
9           250.0000000000         2.9819589058         4.2643307576         4.3633231300
10         -250.0000000000         1.9868170977        -3.8873476292        -4.3633231300
11          300.0000000000         3.0347054762         5.1196901838         5.2359877560
12         -300.0000000000         1.9320614311        -4.7628194710        -5.2359877560
13          350.0000000000         3.0865308565         6.1627100826         6.1086523820
14         -350.0000000000         1.8784986520        -5.7440061583        -6.1086523820
15          400.0000000000         3.1378799171         6.9815014804         6.9813170080
16         -400.0000000000         1.8253494656        -6.5475054715        -6.9813170080
17          450.0000000000         3.1892573757         7.7419502513         7.8539816340
18         -450.0000000000         1.7718457763        -7.5301881236        -7.8539816340
19          500.0000000000         3.2412277963         8.3644378243         8.7266462600
20         -500.0000000000         1.7172306875        -8.1245848022        -8.7266462600
21          550.0000000000         3.2944155898         9.3389757792         9.5993108860
22         -550.0000000000         1.6607585020        -9.0243245173        -9.5993108860
23          600.0000000000         3.3495050142        10.3389451356        10.4719755120
24         -600.0000000000         1.6016947216       -10.2516805225       -10.4719755120
25          650.0000000000         3.4072401737        11.2617891958        11.3446401380
26         -650.0000000000         1.5393160473       -10.8804843914       -11.3446401380
27          700.0000000000         3.4684250196        11.9236705085        12.2173047640
28         -700.0000000000         1.4729103791       -12.1124945093       -12.2173047640
29          750.0000000000         3.5339233498        12.7928260545        13.0899693900
30         -750.0000000000         1.4017768164       -12.5991817226       -13.0899693900
31          800.0000000000         3.6046588093        13.8722477633        13.9626340160
32         -800.0000000000         1.3252256576       -13.9141347775       -13.9626340160
33          850.0000000000         3.6816148894        14.8680616619        14.8352986420
34         -850.0000000000         1.2425784003       -14.9282326903       -14.8352986420
35          900.0000000000         3.7658349284        15.9144059269        15.7079632679
36         -900.0000000000         1.1531677411       -15.8165033420       -15.7079632679
37          950.0000000000         3.8584221113        16.7614544375        16.5806278939
38         -950.0000000000         1.0563375760       -16.4366638587       -16.5806278939
39         1000.0000000000         3.9605394700        17.5538171240        17.4532925199
40        -1000.0000000000         0.9514430000       -17.3199479611       -17.4532925199
41         1050.0000000000         4.0734098830        18.4088441136        18.3259571459
42        -1050.0000000000         0.8378503073       -18.2417947115       -18.3259571459
43         1100.0000000000         4.1983160755        19.2861443567        19.1986217719
44        -1100.0000000000         0.7149369911       -18.9982542428       -19.1986217719
45         1150.0000000000         4.3366006197        19.8905141340        20.0712863979
46        -1150.0000000000         0.5820917440       -19.7055131543       -20.0712863979
47         1200.0000000000         4.4896659344        20.6564481091        20.9439510239
48        -1200.0000000000         0.4387144576       -20.5301221930       -20.9439510239
