% Step Response  Vcmd=+2.0000V  Vc=3.342344V
% Vg_offset=1.337252V  K_gimbal=26.049690  K_lin=4.959600
% omega_target=9.919200 rad/s  settle=2.0s  record=5.0s  samples=1001

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0004806000         2.0000000000         3.3423440552         1.3327346748         3.4040563367        -0.1176825639         9.9192000000
        0.0055526000         2.0000000000         3.3423440552         1.3378393285         3.4091600916         0.0152920846         9.9192000000
        0.0105393000         2.0000000000         3.3423440552         1.3352870017         3.4142638465        -0.0511952397         9.9192000000
        0.0155433000         2.0000000000         3.3423440552         1.3454963091         3.4142638465         0.2147540573         9.9192000000
        0.0205837000         2.0000000000         3.3423440552         1.5062929011         3.4244713564         4.4034554835         9.9192000000
        0.0254044000         2.0000000000         3.3423440552         1.4629033445         3.4448863760         3.2731709717         9.9192000000
        0.0305009000         2.0000000000         3.3423440552         1.4782173056         3.4550938859         3.6720949170         9.9192000000
        0.0355270000         2.0000000000         3.3423440552         1.5343684965         3.4729570281         5.1348160500         9.9192000000
        0.0405893000         2.0000000000         3.3423440552         1.5113975548         3.4831645379         4.5364301320         9.9192000000
        0.0455795000         2.0000000000         3.3423440552         1.5011882474         3.5061314351         4.2704808351         9.9192000000
        0.0506777000         2.0000000000         3.3423440552         1.5598917651         3.5342020871         5.7996892923         9.9192000000
        0.0555723000         2.0000000000         3.3423440552         1.5343684965         3.5520652293         5.1348160500         9.9192000000
        0.0606803000         2.0000000000         3.3423440552         1.5420254771         3.5622727392         5.3342780227         9.9192000000
        0.0656449000         2.0000000000         3.3423440552         1.5598917651         3.5903433912         5.7996892923         9.9192000000
        0.0706471000         2.0000000000         3.3423440552         1.5573394382         3.6082065334         5.7332019681         9.9192000000
        0.0755675000         2.0000000000         3.3423440552         1.5649964188         3.6337253080         5.9326639407         9.9192000000
        0.0806394000         2.0000000000         3.3423440552         1.5752057262         3.6541403277         6.1986132377         9.9192000000
        0.0856576000         2.0000000000         3.3423440552         1.5752057262         3.6796591023         6.1986132377         9.9192000000
        0.0905798000         2.0000000000         3.3423440552         1.5828627068         3.7000741219         6.3980752103         9.9192000000
        0.0955308000         2.0000000000         3.3423440552         1.5879673605         3.7332485289         6.5310498588         9.9192000000
        0.1005391000         2.0000000000         3.3423440552         1.5905196873         3.7460079162         6.5975371830         9.9192000000
        0.1055324000         2.0000000000         3.3423440552         1.6058336485         3.7868379556         6.9964611284         9.9192000000
        0.1104559000         2.0000000000         3.3423440552         1.5930720142         3.8021492203         6.6640245072         9.9192000000
        0.1154372000         2.0000000000         3.3423440552         1.6083859753         3.8378755047         7.0629484526         9.9192000000
        0.1205001000         2.0000000000         3.3423440552         1.6262522633         3.8608424019         7.5283597222         9.9192000000
        0.1255440000         2.0000000000         3.3423440552         1.6058336485         3.8812574215         6.9964611284         9.9192000000
        0.1305615000         2.0000000000         3.3423440552         1.6083859753         3.9144318285         7.0629484526         9.9192000000
        0.1355333000         2.0000000000         3.3423440552         1.6211476096         3.9501581129         7.3953850737         9.9192000000
        0.1405908000         2.0000000000         3.3423440552         1.6313569170         3.9756768875         7.6613343706         9.9192000000
        0.1455062000         2.0000000000         3.3423440552         1.6262522633         4.0062994170         7.5283597222         9.9192000000
        0.1507547000         2.0000000000         3.3423440552         1.6441185513         4.0318181916         7.9937709918         9.9192000000
        0.1555866000         2.0000000000         3.3423440552         1.6288045902         4.0573369662         7.5948470464         9.9192000000
        0.1606654000         2.0000000000         3.3423440552         1.6339092439         4.0854076183         7.7278216949         9.9192000000
        0.1655708000         2.0000000000         3.3423440552         1.6288045902         4.1160301478         7.5948470464         9.9192000000
        0.1705770000         2.0000000000         3.3423440552         1.6288045902         4.1466526773         7.5948470464         9.9192000000
        0.1755244000         2.0000000000         3.3423440552         1.6517755319         4.1772752068         8.1932329645         9.9192000000
        0.1805470000         2.0000000000         3.3423440552         1.6288045902         4.1976902265         7.5948470464         9.9192000000
        0.1855575000         2.0000000000         3.3423440552         1.6339092439         4.2334165109         7.7278216949         9.9192000000
        0.1905802000         2.0000000000         3.3423440552         1.6441185513         4.2665909178         7.9937709918         9.9192000000
        0.1955706000         2.0000000000         3.3423440552         1.6313569170         4.2972134474         7.6613343706         9.9192000000
        0.2005566000         2.0000000000         3.3423440552         1.6466708782         4.3278359769         8.0602583160         9.9192000000
        0.2055773000         2.0000000000         3.3423440552         1.6415662245         4.3635622613         7.9272836675         9.9192000000
