% K_lin=7.165500  p_cw=[-3.083600 35.229700 -73.320600]  p_ccw=[2.523100 5.992400 -26.429300]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.0000009000         0.0000007200         2.5000000000         1.3352870017         0.0202668261        -0.0342409720         0.0000051592
        0.0050169000         0.0040135200         2.5000000000         1.3378393285         0.0228187035         0.0322463522         0.0287588776
        0.0100025000         0.0080020000         2.5000000000         1.3301823480         0.0151630711        -0.1672156204         0.0573383311
        0.0150019000         0.0120015200         2.5000000000         1.3301823480         0.0151630711        -0.1672156204         0.0859968916
        0.0200035000         0.0160028000         2.7430741807         1.3378393285         0.0202668261         0.0322463522         0.1146680634
        0.0250041000         0.0200032800         2.7446399321         1.3327346748         0.0126111937        -0.1007282962         0.1433335029
        0.0300022000         0.0240017600         2.7462057266         1.3352870017         0.0202668261        -0.0342409720         0.1719846113
        0.0350022000         0.0280017600         2.7477729438         1.3352870017         0.0177149486        -0.0342409720         0.2006466113
        0.0400014000         0.0320011200         2.7493407389         1.3429439823         0.0279224584         0.1652210007         0.2293040254
        0.0450010000         0.0360008000         2.7509094895         1.3352870017         0.0177149486        -0.0342409720         0.2579637324
        0.0500035000         0.0400028000         2.7524799823         1.3352870017         0.0177149486        -0.0342409720         0.2866400634
        0.0550014000         0.0440011200         2.7540498635         1.3378393285         0.0202668261         0.0322463522         0.3152900254
        0.0600020000         0.0480016000         2.7556214269         1.3352870017         0.0202668261        -0.0342409720         0.3439554648
        0.0650014000         0.0520011200         2.7571934487         1.3403916554         0.0177149486         0.0987336765         0.3726140254
        0.0700024000         0.0560019200         2.7587668107         1.3863335388         0.0177149486         1.2955055126         0.4012817578
        0.0750018000         0.0600014400         2.7603405074         1.3684672508         0.0228187035         0.8300942430         0.4299403183
        0.0800021000         0.0640016800         2.7619153270         1.3863335388         0.0355780908         1.2955055126         0.4586040381
        0.0850015000         0.0680012000         2.7634907039         1.3710195777         0.0253705810         0.8965815672         0.4872625986
        0.0900017000         0.0720013600         2.7650671751         1.3837812120         0.0457856007         1.2290181883         0.5159257451
        0.0950025000         0.0760020000         2.7666446794         1.3735719045         0.0406818457         0.9630688914         0.5445923311
        0.1000027000         0.0800021600         2.7682228394         1.3786765582         0.0457856007         1.0960435399         0.5732554775
        0.1050026000         0.0840020800         2.7698017511         1.3812288851         0.0559931105         1.1625308641         0.6019169043
        0.1100020000         0.0880016000         2.7713813524         1.3786765582         0.0534412330         1.0960435399         0.6305754648
        0.1150020000         0.0920016000         2.7729619923         1.3710195777         0.0534412330         0.8965815672         0.6592374648
        0.1200021000         0.0960016800         2.7745435142         1.3786765582         0.0559931105         1.0960435399         0.6879000381
        0.1250020000         0.1000016000         2.7761258246         1.3710195777         0.0610968654         0.8965815672         0.7165614648
        0.1300021000         0.1040016800         2.7777090515         1.3761242314         0.0713043752         1.0295562157         0.7452240381
        0.1350023000         0.1080018400         2.7792931647         1.3684672508         0.0687524978         0.8300942430         0.7738871846
        0.1400018000         0.1120014400         2.7808779119         1.3761242314         0.0866156400         1.0295562157         0.8025463184
        0.1450019000         0.1160015200         2.7824637066         1.3735719045         0.0815118851         0.9630688914         0.8312088916
        0.1500042000         0.1200033600         2.7840510584         1.3684672508         0.0840637625         0.8300942430         0.8598840761
        0.1550067000         0.1240053600         2.7856393346         1.3659149240         0.0866156400         0.7636069187         0.8885604071
        0.1600036000         0.1280028800         2.7872266937         1.3735719045         0.1019269048         0.9630688914         0.9172046367
        0.1650021000         0.1320016800         2.7888154234         1.3812288851         0.1070306597         1.1625308641         0.9458580381
        0.1700034000         0.1360027200         2.7904059076         1.3735719045         0.1044787822         0.9630688914         0.9745274902
        0.1750023000         0.1400018400         2.7919964941         1.3659149240         0.1019269048         0.7636069187         1.0031831846
        0.1800019000         0.1440015200         2.7935881702         1.3812288851         0.1146862920         1.1625308641         1.0318428916
        0.1850028000         0.1480022400         2.7951811290         1.3761242314         0.1121344146         1.0295562157         1.0605100508
        0.1900022000         0.1520017600         2.7967744800         1.3710195777         0.1121344146         0.8965815672         1.0891686113
        0.1950026000         0.1560020800         2.7983690211         1.3761242314         0.1223419244         1.0295562157         1.1178329043
        0.2000020000         0.1600016000         2.7999641160         1.3735719045         0.1223419244         0.9630688914         1.1464914648
        0.2050020000         0.1640016000         2.8015602767         1.3786765582         0.1325494343         1.0960435399         1.1751534648
        0.2100016000         0.1680012800         2.8031571852         1.3837812120         0.1351013117         1.2290181883         1.2038131719
        0.2150011000         0.1720008800         2.8047549388         1.3888858657         0.1376531892         1.3619928368         1.2324723057
        0.2200017000         0.1760013600         2.8063539227         1.3863335388         0.1453088216         1.2955055126         1.2611377451
        0.2250012000         0.1800009600         2.8079534349         1.3837812120         0.1504125765         1.2290181883         1.2897968789
