% K_lin=8.298800  p_cw=[-3.546300 37.820400 -77.140100]  p_ccw=[2.942800 3.999600 -23.482400]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.0000010000         0.0000008000         2.5000036896         1.3378393285         4.0114031719         0.0129650282         0.0000066390
        0.0050280000         0.0040224000         2.5185513088         1.3378393285         4.0114031719         0.0129650282         0.0333810931
        0.0100061000         0.0080048800         2.5369185066         1.3301823480         4.0062994170        -0.1864969445         0.0664308981
        0.0151585000         0.0121268000         2.5559288016         1.3301823480         4.0062994170        -0.1864969445         0.1006378878
        0.0200072000         0.0160057600         2.5738185651         1.3378393285         4.0114031719         0.0129650282         0.1328286011
        0.0250057000         0.0200045600         2.5922610307         1.3301823480         4.0062994170        -0.1864969445         0.1660138425
        0.0300103000         0.0240082400         2.6107260029         1.3378393285         4.0088512945         0.0129650282         0.1992395821
        0.0350062000         0.0280049600         2.6291588755         1.3352870017         4.0139550494        -0.0535222960         0.2324075621
        0.0400102000         0.0320081600         2.6476216339         1.3301823480         4.0062994170        -0.1864969445         0.2656293182
        0.0450059000         0.0360047200         2.6660537686         1.3352870017         4.0114031719        -0.0535222960         0.2987959703
        0.0500091000         0.0400072800         2.6845135754         1.3301823480         4.0037475396        -0.1864969445         0.3320124153
        0.0550064000         0.0440051200         2.7029516134         1.3352870017         4.0114031719        -0.0535222960         0.3651896899
        0.0600086000         0.0480068800         2.7214077306         1.3327346748         4.0062994170        -0.1200096202         0.3983994957
        0.0650059000         0.0520047200         2.7398457686         1.3378393285         4.0114031719         0.0129650282         0.4315767703
        0.0700083000         0.0560066400         2.7583026237         1.3301823480         4.0062994170        -0.1864969445         0.4647879040
        0.0750074000         0.0600059200         2.7767473030         1.3352870017         4.0114031719        -0.0535222960         0.4979771289
        0.0800080000         0.0640064000         2.7765658156         1.3429439823         4.0165069269         0.1459396767         0.5311763123
        0.0850059000         0.0680047200         2.7783969264         1.3352870017         4.0114031719        -0.0535222960         0.5643575703
        0.0900052000         0.0720041600         2.7802298645         1.3352870017         4.0139550494        -0.0535222960         0.5975481230
        0.0950049000         0.0760039200         2.7820642667         1.3761242314         4.0165069269         1.0102748916         0.6307413313
        0.1000053000         0.0800042400         2.7839002465         1.3761242314         4.0114031719         1.0102748916         0.6639391869
        0.1050035000         0.0840028000         2.7857367412         1.3684672508         4.0139550494         0.8108129189         0.6971224366
        0.1100068000         0.0880054400         2.7875764373         1.3761242314         4.0267144367         1.0102748916         0.7303395455
        0.1150033000         0.0920026400         2.7894149612         1.3888858657         4.0394738240         1.3427115128         0.7635115088
        0.1200034000         0.0960027200         2.7912561413         1.3633625971         4.0292663142         0.6778382705         0.7967073727
        0.1250122000         0.1000097600         2.7931018636         1.3812288851         4.0394738240         1.1432495401         0.8299609963
        0.1300043000         0.1040034400         2.7949427679         1.3837812120         4.0471294564         1.2097368643         0.8631037479
        0.1350042000         0.1080033600         2.7967878881         1.3812288851         4.0547850888         1.1432495401         0.8962982840
        0.1400047000         0.1120037600         2.7986345737         1.3837812120         4.0522332113         1.2097368643         0.9294968035
        0.1450037000         0.1160029600         2.8004820517         1.3939905194         4.0573369662         1.4756861612         0.9626853644
        0.1500046000         0.1200036800         2.8023315817         1.3761242314         4.0573369662         1.0102748916         0.9958865396
        0.1550032000         0.1240025600         2.8041816131         1.3761242314         4.0624407211         1.0102748916         1.0290724449
        0.1600037000         0.1280029600         2.8060337033         1.3888858657         4.0777519859         1.3427115128         1.0622709645
        0.1650025000         0.1320020000         2.8078865220         1.3888858657         4.0828557408         1.3427115128         1.0954581976
        0.1700032000         0.1360025600         2.8097414065         1.3837812120         4.0777519859         1.2097368643         1.1286580449
        0.1750031000         0.1400024800         2.8115973588         1.3965428462         4.0905113732         1.5421734854         1.1618525810
        0.1800041000         0.1440032800         2.8134550874         1.3863335388         4.0905113732         1.2762241885         1.1950544201
        0.1850042000         0.1480033600         2.8153138524         1.3914381925         4.0930632506         1.4091988370         1.2282502840
        0.1900044000         0.1520035200         2.8171740283         1.3990951731         4.1007188830         1.6086608097         1.2614468118
        0.1950042000         0.1560033600         2.8190354320         1.3914381925         4.1083745154         1.4091988370         1.2946406840
        0.2000220000         0.1600176000         2.8209049240         1.3863335388         4.1109263928         1.2762241885         1.3279540589
        0.2050046000         0.1640036800         2.8227626795         1.3965428462         4.1185820252         1.5421734854         1.3610337396
        0.2100035000         0.1680028000         2.8246278954         1.4067521537         4.1313414125         1.8081227823         1.3942216366
        0.2150040000         0.1720032000         2.8264950974         1.3863335388         4.1262376576         1.2762241885         1.4274201562
        0.2200032000         0.1760025600         2.8283632057         1.3914381925         4.1338932900         1.4091988370         1.4606100449
        0.2250029000         0.1800023200         2.8302328959         1.4067521537         4.1543083097         1.8081227823         1.4938032532
        0.2300052000         0.1840041600         2.8321049575         1.3990951731         4.1492045547         1.6086608097         1.5270137230
        0.2350044000         0.1880035200         2.8339772605         1.4067521537         4.1645158195         1.8081227823         1.5602036118
        0.2400046000         0.1920036800         2.8358513425         1.3990951731         4.1619639420         1.6086608097         1.5934001396
        0.2450040000         0.1960032000         2.8377265323         1.4016475000         4.1721714519         1.6751481339         1.6265913562
        0.2500037000         0.2000029600         2.8396032453         1.3965428462         4.1721714519         1.5421734854         1.6597845644
        0.2550046000         0.2040036800         2.8414818233         1.4118568074         4.1823789617         1.9410974308         1.6929857396
        0.2600033000         0.2080026400         2.8433609917         1.3965428462         4.1849308392         1.5421734854         1.7261723088
        0.2650042000         0.2120033600         2.8452424080         1.3965428462         4.1900345941         1.5421734854         1.7593734840
        0.2700029000         0.2160023200         2.8471244199         1.4016475000         4.2027939814         1.6751481339         1.7925600532
        0.2750043000         0.2200034400         2.8490088758         1.3965428462         4.2053458588         1.5421734854         1.8257645479
        0.2800055000         0.2240044000         2.8508946873         1.4118568074         4.2232090010         1.9410974308         1.8589677147
        0.2850045000         0.2280036000         2.8527811026         1.3939905194         4.2206571236         1.4756861612         1.8921562757
        0.2900025000         0.2320020000         2.8546685763         1.3990951731         4.2283127560         1.6086608097         1.9253381976
        0.2950038000         0.2360030400         2.8565587366         1.4144091342         4.2461758982         2.0075847550         1.9585420283
        0.3000039000         0.2400031200         2.8584498870         1.4067521537         4.2461758982         1.8081227823         1.9917378923
        0.3050042000         0.2440033600         2.8603425598         1.4169614611         4.2563834080         2.0740720793         2.0249350840
        0.3100035000         0.2480028000         2.8622363040         1.4093044805         4.2589352855         1.8746101066         2.0581256366
        0.3150033000         0.2520026400         2.8641316907         1.4271707685         4.2716946728         2.3400213762         2.0913195088
        0.3200025000         0.2560020000         2.8660283064         1.4041998268         4.2742465502         1.7416354581         2.1245093976
        0.3250025000         0.2600020000         2.8679266854         1.4246184417         4.2921096924         2.2735340519         2.1577045976
        0.3300032000         0.2640025600         2.8698267941         1.4169614611         4.2946615699         2.0740720793         2.1909044449
        0.3350042000         0.2680033600         2.8717284841         1.4220661148         4.2997653248         2.2070467277         2.2241062840
        0.3400028000         0.2720022400         2.8736307313         1.4169614611         4.3048690797         2.0740720793         2.2572921893
        0.3450031000         0.2760024800         2.8755350990         1.4271707685         4.3227322219         2.3400213762         2.2904893810
        0.3500110000         0.2800088000         2.8774438418         1.4195137880         4.3227322219         2.1405594035         2.3237370294
        0.3550044000         0.2840035200         2.8793485368         1.4220661148         4.3329397318         2.2070467277         2.3568884118
        0.3601528000         0.2881222400         2.8813139051         1.4195137880         4.3354916092         2.1405594035         2.3910688453
        0.3650043000         0.2920034400         2.8831673771         1.4246184417         4.3533547515         2.2735340519         2.4232781479
