% K_lin=2.307700  p_cw=[-0.099100 16.403300 -43.799200]  p_ccw=[-1.573900 20.596500 -38.892000]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.0000008000         0.0000004000         2.5000017755         1.3327346748         4.8662821207        -0.1416180006         0.0000009231
        0.0080185000         0.0040092500         2.5177963310         1.3327346748         4.8662821207        -0.1416180006         0.0092521462
        0.0101336000         0.0050668000         2.5224906030         1.3429439823         4.8764896306         0.1243312963         0.0116926544
        0.0150068000         0.0075034000         2.5333062269         1.3378393285         4.8713858756        -0.0086433521         0.0173155962
        0.0200083000         0.0100041500         2.5444066010         1.3378393285         4.8713858756        -0.0086433521         0.0230865770
        0.0250065000         0.0125032500         2.5554996511         1.3429439823         4.8764896306         0.1243312963         0.0288537500
        0.0300077000         0.0150038500         2.5665993594         1.3378393285         4.8739377531        -0.0086433521         0.0346243846
        0.0350108000         0.0175054000         2.5777032845         1.3352870017         4.8688339982        -0.0751306764         0.0403972116
        0.0400075000         0.0200037500         2.5887930054         1.3327346748         4.8662821207        -0.1416180006         0.0461626539
        0.0450071000         0.0225035500         2.5998891627         1.3378393285         4.8739377531        -0.0086433521         0.0519314423
        0.0500091000         0.0250045500         2.6109906465         1.3327346748         4.8637302433        -0.1416180006         0.0577030000
        0.0550061000         0.0275030500         2.6220810332         1.3429439823         4.8764896306         0.1243312963         0.0634687885
        0.0600079000         0.0300039500         2.6331820732         1.3352870017         4.8739377531        -0.0751306764         0.0692401154
        0.0650066000         0.0325033000         2.6442762329         1.3403916554         4.8713858756         0.0578439721         0.0750078654
        0.0700056000         0.0350028000         2.6553710585         1.3378393285         4.8739377531        -0.0086433521         0.0807759616
        0.0750062000         0.0375031000         2.6664694351         1.3301823480         4.8713858756        -0.2081053248         0.0865459039
        0.0800184000         0.0400092000         2.6775935569         1.3429439823         4.8815933855         0.1243312963         0.0923292308
        0.0850136000         0.0425068000         2.6886799487         1.3454963091         4.8764896306         0.1908186205         0.0980929424
        0.0900112000         0.0450056000         2.6997716671         1.3378393285         4.8739377531        -0.0086433521         0.1038594231
        0.0950074000         0.0475037000         2.7108602783         1.3429439823         4.8764896306         0.1243312963         0.1096242885
        0.1000094000         0.0500047000         2.7219415834         1.3301823480         4.8662821207        -0.2081053248         0.1153958462
        0.1050057000         0.0525028500         2.7223049888         1.3327346748         4.8662821207        -0.1416180006         0.1211608269
        0.1100061000         0.0550030500         2.7226686940         1.3429439823         4.8790415080         0.1243312963         0.1269305385
        0.1150058000         0.0575029000         2.7230323499         1.3301823480         4.8688339982        -0.2081053248         0.1326994423
        0.1200079000         0.0600039500         2.7233961821         1.3301823480         4.8688339982        -0.2081053248         0.1384711154
        0.1250057000         0.0625028500         2.7237597032         1.3378393285         4.8713858756        -0.0086433521         0.1442378269
        0.1300061000         0.0650030500         2.7241234150         1.3352870017         4.8713858756        -0.0751306764         0.1500075385
        0.1350066000         0.0675033000         2.7244871357         1.3378393285         4.8713858756        -0.0086433521         0.1557773654
        0.1400087000         0.0700043500         2.7248509745         1.3327346748         4.8739377531        -0.1416180006         0.1615490385
        0.1450057000         0.0725028500         2.7252144440         1.3352870017         4.8739377531        -0.0751306764         0.1673148269
        0.1500056000         0.0750028000         2.7255781261         1.3378393285         4.8713858756        -0.0086433521         0.1730839616
        0.1550051000         0.0775025500         2.7259417807         1.3429439823         4.8815933855         0.1243312963         0.1788526346
        0.1600051000         0.0800025500         2.7263054733         1.3301823480         4.8637302433        -0.2081053248         0.1846218846
        0.1650052000         0.0825026000         2.7266691749         1.3454963091         4.8764896306         0.1908186205         0.1903912500
        0.1700051000         0.0850025500         2.7270328636         1.3276300211         4.8662821207        -0.2745926491         0.1961603846
        0.1750073000         0.0875036500         2.7273967212         1.3352870017         4.8713858756        -0.0751306764         0.2019321731
        0.1800047000         0.0900023500         2.7277602313         1.3429439823         4.8790415080         0.1243312963         0.2076984231
        0.1850041000         0.0925020500         2.7281238886         1.3454963091         4.8790415080         0.1908186205         0.2134669808
        0.1900050000         0.0950025000         2.7284876566         1.3429439823         4.8790415080         0.1243312963         0.2192372692
        0.1950075000         0.0975037500         2.7288515427         1.3327346748         4.8662821207        -0.1416180006         0.2250094039
        0.2000092000         0.1000046000         2.7292153722         1.3429439823         4.8790415080         0.1243312963         0.2307806154
        0.2050190000         0.1025095000         2.7295797926         1.3378393285         4.8739377531        -0.0086433521         0.2365611732
        0.2100149000         0.1050074500         2.7299432036         1.3352870017         4.8688339982        -0.0751306764         0.2423256924
        0.2150183000         0.1075091500         2.7303071617         1.3352870017         4.8713858756        -0.0751306764         0.2480988655
        0.2200103000         0.1100051500         2.7306702923         1.3378393285         4.8713858756        -0.0086433521         0.2538588847
        0.2250168000         0.1125084000         2.7310344792         1.3301823480         4.8662821207        -0.2081053248         0.2596356347
        0.2300091000         0.1150045500         2.7313976349         1.3403916554         4.8637302433         0.0578439721         0.2653960000
        0.2350153000         0.1175076500         2.7317618033         1.3378393285         4.8739377531        -0.0086433521         0.2711724039
        0.2400088000         0.1200044000         2.7321250496         1.3301823480         4.8662821207        -0.2081053248         0.2769341539
        0.2450192000         0.1225096000         2.7324895269         1.3454963091         4.8790415080         0.1908186205         0.2827154039
        0.2500097000         0.1250048500         2.7328525582         1.3378393285         4.8688339982        -0.0086433521         0.2884736923
        0.2550188000         0.1275094000         2.7332169442         1.3429439823         4.8790415080         0.1243312963         0.2942534424
        0.2600128000         0.1300064000         2.7335802335         1.3378393285         4.8739377531        -0.0086433521         0.3000157693
        0.2650196000         0.1325098000         2.7339444555         1.3352870017         4.8739377531        -0.0751306764         0.3057928655
        0.2700080000         0.1350040000         2.7343073407         1.3378393285         4.8739377531        -0.0086433521         0.3115487308
        0.2750097000         0.1375048500         2.7346711950         1.3352870017         4.8739377531        -0.0751306764         0.3173199423
        0.2800512000         0.1400256000         2.7350379463         1.3378393285         4.8739377531        -0.0086433521         0.3231370771
        0.2850166000         0.1425083000         2.7353991632         1.3352870017         4.8688339982        -0.0751306764         0.3288664039
        0.2900296000         0.1450148000         2.7357638446         1.3403916554         4.8739377531         0.0578439721         0.3346506540
        0.2950082000         0.1475041000         2.7361260251         1.3429439823         4.8764896306         0.1243312963         0.3403952116
        0.3000092000         0.1500046000         2.7364898367         1.3429439823         4.8764896306         0.1243312963         0.3461656154
        0.3050188000         0.1525094000         2.7368542757         1.3352870017         4.8713858756        -0.0751306764         0.3519459424
        0.3105088000         0.1552544000         2.7372536648         1.3352870017         4.8713858756        -0.0751306764         0.3582805789
        0.3150195000         0.1575097500         2.7375818128         1.3378393285         4.8790415080        -0.0086433521         0.3634852501
        0.3202138000         0.1601069000         2.7379596935         1.3352870017         4.8713858756        -0.0751306764         0.3694786931
        0.3250187000         0.1625093500         2.7383092473         1.3378393285         4.8713858756        -0.0086433521         0.3750228270
        0.3302242000         0.1651121000         2.7386879463         1.3174207137         4.8713858756        -0.5405419460         0.3810291932
        0.3350165000         0.1675082500         2.7390365866         1.3352870017         4.8713858756        -0.0751306764         0.3865587885
        0.3403741000         0.1701870500         2.7394263544         1.3403916554         4.8739377531         0.0578439721         0.3927406553
        0.3450059000         0.1725029500         2.7397633214         1.3429439823         4.8688339982         0.1243312963         0.3980850577
        0.3500114000         0.1750057000         2.7401274770         1.3327346748         4.8662821207        -0.1416180006         0.4038606539
        0.3550096000         0.1775048000         2.7404911032         1.3403916554         4.8764896306         0.0578439721         0.4096278270
        0.3600157000         0.1800078500         2.7408553058         1.3301823480         4.8662821207        -0.2081053248         0.4154041154
        0.3650176000         0.1825088000         2.7412192044         1.3352870017         4.8739377531        -0.0751306764         0.4211755578
        0.3700515000         0.1850257500         2.7415854328         1.3429439823         4.8790415080         0.1243312963         0.4269839233
        0.3750168000         0.1875084000         2.7419466720         1.3327346748         4.8662821207        -0.1416180006         0.4327131347
        0.3800174000         0.1900087000         2.7423104811         1.3429439823         4.8764896306         0.1243312963         0.4384830770
        0.3850084000         0.1925042000         2.7426735933         1.3454963091         4.8764896306         0.1908186205         0.4442419423
        0.3901729000         0.1950864500         2.7430493301         1.3378393285         4.8688339982        -0.0086433521         0.4502010007
        0.3950091000         0.1975045500         2.7434011833         1.3301823480         4.8662821207        -0.2081053248         0.4557812500
        0.4000078000         0.2000039000         2.7437648607         1.3301823480         4.8688339982        -0.2081053248         0.4615490000
        0.4050081000         0.2025040500         2.7441286562         1.3327346748         4.8688339982        -0.1416180006         0.4673185962
        0.4100085000         0.2050042500         2.7444924606         1.3378393285         4.8713858756        -0.0086433521         0.4730883077
        0.4150091000         0.2075045500         2.7448562812         1.3352870017         4.8713858756        -0.0751306764         0.4788582500
        0.4200078000         0.2100039000         2.7452199653         1.3403916554         4.8713858756         0.0578439721         0.4846260000
        0.4250080000         0.2125040000         2.7455837601         1.3403916554         4.8790415080         0.0578439721         0.4903954808
        0.4300156000         0.2150078000         2.7459480950         1.3352870017         4.8739377531        -0.0751306764         0.4961735001
        0.4350156000         0.2175078000         2.7463118786         1.3429439823         4.8764896306         0.1243312963         0.5019427501
        0.4400184000         0.2200092000         2.7466758675         1.3633625971         4.8713858756         0.6562298901         0.5077152308
        0.4450178000         0.2225089000         2.7470396107         1.3429439823         4.8790415080         0.1243312963         0.5134837885
        0.4500175000         0.2250087500         2.7474033775         1.3378393285         4.8739377531        -0.0086433521         0.5192526924
        0.4550110000         0.2275055000         2.7477666947         1.3352870017         4.8739377531        -0.0751306764         0.5250144423
        0.4600175000         0.2300087500         2.7481309595         1.3378393285         4.8713858756        -0.0086433521         0.5307911924
        0.4650060000         0.2325030000         2.7484939163         1.3352870017         4.8739377531        -0.0751306764         0.5365471731
        0.4700088000         0.2350044000         2.7488579152         1.3378393285         4.8739377531        -0.0086433521         0.5423196539
        0.4750181000         0.2375090500         2.7492223886         1.3403916554         4.8739377531         0.0578439721         0.5480996347
        0.4800186000         0.2400093000         2.7495862235         1.3301823480         4.8637302433        -0.2081053248         0.5538694616
        0.4850162000         0.2425081000         2.7499498490         1.3352870017         4.8713858756        -0.0751306764         0.5596359424
        0.4900175000         0.2450087500         2.7503137453         1.3352870017         4.8739377531        -0.0751306764         0.5654066924
        0.4950091000         0.2475045500         2.7506769376         1.3327346748         4.8662821207        -0.1416180006         0.5711662500
        0.5000189000         0.2500094500         2.7510414557         1.3301823480         4.8688339982        -0.2081053248         0.5769468078
        0.5050079000         0.2525039500         2.7514044621         1.3378393285         4.8713858756        -0.0086433521         0.5827033654
        0.5100180000         0.2550090000         2.7517690054         1.3352870017         4.8739377531        -0.0751306764         0.5884842693
        0.5150142000         0.2575071000         2.7521325389         1.3352870017         4.8739377531        -0.0751306764         0.5942491347
        0.5200111000         0.2600055500         2.7524961251         1.3378393285         4.8739377531        -0.0086433521         0.6000148077
        0.5250091000         0.2625045500         2.7528597929         1.3429439823         4.8790415080         0.1243312963         0.6057817500
        0.5300194000         0.2650097000         2.7532243574         1.3352870017         4.8713858756        -0.0751306764         0.6115628847
        0.5350097000         0.2675048500         2.7535874682         1.3378393285         4.8739377531        -0.0086433521         0.6173209423
        0.5400183000         0.2700091500         2.7539519123         1.3378393285         4.8739377531        -0.0086433521         0.6231001155
        0.5450037000         0.2725018500         2.7543146699         1.3301823480         4.8662821207        -0.2081053248         0.6288525192
        0.5500176000         0.2750088000         2.7546795030         1.3301823480         4.8688339982        -0.2081053248         0.6346378078
        0.5550064000         0.2775032000         2.7550425113         1.3327346748         4.8662821207        -0.1416180006         0.6403941346
        0.5600083000         0.2800041500         2.7554064745         1.3454963091         4.8790415080         0.1908186205         0.6461655770
        0.5650146000         0.2825073000         2.7557707595         1.3378393285         4.8713858756        -0.0086433521         0.6519420962
        0.5700147000         0.2850073500         2.7561345950         1.3403916554         4.8713858756         0.0578439721         0.6577114616
        0.5750075000         0.2875037500         2.7564979010         1.3378393285         4.8739377531        -0.0086433521         0.6634724039
        0.5800083000         0.2900041500         2.7568617907         1.3378393285         4.8739377531        -0.0086433521         0.6692425770
        0.5850078000         0.2925039000         2.7572255876         1.3506009628         4.8713858756         0.3237932690         0.6750112500
        0.5900094000         0.2950047000         2.7575895388         1.3378393285         4.8739377531        -0.0086433521         0.6807823462
        0.5950088000         0.2975044000         2.7579533317         1.3378393285         4.8662821207        -0.0086433521         0.6865509039
        0.6000085000         0.3000042500         2.7583171480         1.3378393285         4.8713858756        -0.0086433521         0.6923198077
        0.6050080000         0.3025040000         2.7586809515         1.3352870017         4.8688339982        -0.0751306764         0.6980884808
        0.6100113000         0.3050056500         2.7590450331         1.3327346748         4.8688339982        -0.1416180006         0.7038615385
        0.6150079000         0.3075039500         2.7594086288         1.3378393285         4.8688339982        -0.0086433521         0.7096268654
        0.6200070000         0.3100035000         2.7597724081         1.3327346748         4.8662821207        -0.1416180006         0.7153950769
        0.6250115000         0.3125057500         2.7601365820         1.3352870017         4.8688339982        -0.0751306764         0.7211695193
        0.6300184000         0.3150092000         2.7605009322         1.3403916554         4.8739377531         0.0578439721         0.7269467308
        0.6350095000         0.3175047500         2.7608641343         1.3403916554         4.8688339982         0.0578439721         0.7327057116
        0.6400121000         0.3200060500         2.7612281749         1.3735719045         4.8764896306         0.9221791870         0.7384779616
        0.6450106000         0.3225053000         2.7615919189         1.3480486360         4.8841452629         0.2573059448         0.7442454808
        0.6500158000         0.3250079000         2.7619561520         1.3454963091         4.8764896306         0.1908186205         0.7500207308
        0.6550102000         0.3275051000         2.7623196008         1.3454963091         4.8790415080         0.1908186205         0.7557835193
        0.6600158000         0.3300079000         2.7626838664         1.3250776943         4.8713858756        -0.3410799733         0.7615592308
        0.6650084000         0.3325042000         2.7630471876         1.3454963091         4.8790415080         0.1908186205         0.7673199423
        0.6700143000         0.3350071500         2.7634114782         1.3454963091         4.8764896306         0.1908186205         0.7730960001
        0.6750107000         0.3375053500         2.7637750793         1.3557056165         4.8866971404         0.4567679174         0.7788610962
        0.6800184000         0.3400092000         2.7641395043         1.3557056165         4.8943527728         0.4567679174         0.7846392308
        0.6850074000         0.3425037000         2.7645025701         1.3608102703         4.8790415080         0.5897425659         0.7903957885
        0.6900153000         0.3450076500         2.7648670129         1.3480486360         4.8841452629         0.2573059448         0.7961741539
        0.6950110000         0.3475055000         2.7652305696         1.3531532897         4.8892490178         0.3902805932         0.8019384423
        0.7000179000         0.3500089500         2.7655949430         1.3582579434         4.8918008953         0.5232552417         0.8077156539
        0.7051261000         0.3525630500         2.7659666902         1.3557056165         4.8943527728         0.4567679174         0.8136097505
        0.7100194000         0.3550097000         2.7663227997         1.3480486360         4.8892490178         0.2573059448         0.8192558847
        0.7150180000         0.3575090000         2.7666865740         1.3608102703         4.9020084051         0.5897425659         0.8250235193
        0.7200096000         0.3600048000         2.7670498406         1.3633625971         4.9045602826         0.6562298901         0.8307830770
        0.7250168000         0.3625084000         2.7674142442         1.3582579434         4.9020084051         0.5232552417         0.8365606347
        0.7300172000         0.3650086000         2.7677781545         1.3506009628         4.8994565277         0.3237932690         0.8423303462
        0.7350169000         0.3675084500         2.7681420155         1.3659149240         4.9071121601         0.7227172143         0.8480992501
        0.7400200000         0.3700100000         2.7685061256         1.3531532897         4.9020084051         0.3902805932         0.8538720770
        0.7450197000         0.3725098500         2.7688699899         1.3633625971         4.9122159150         0.6562298901         0.8596409808
        0.7500100000         0.3750050000         2.7692331718         1.3659149240         4.9173196699         0.7227172143         0.8653990385
        0.7550174000         0.3775087000         2.7695975999         1.3710195777         4.9198715474         0.8556918628         0.8711768270
        0.7600188000         0.3800094000         2.7699615929         1.3761242314         4.9275271797         0.9886665113         0.8769476924
        0.7650195000         0.3825097500         2.7703255366         1.3761242314         4.9326309346         0.9886665113         0.8827177501
        0.7700095000         0.3850047500         2.7706887033         1.3684672508         4.9224234248         0.7892045386         0.8884754616
        0.7750166000         0.3875083000         2.7710531161         1.3710195777         4.9326309346         0.8556918628         0.8942529039
        0.7800196000         0.3900098000         2.7714172322         1.3786765582         4.9428384445         1.0551538355         0.9000256155
        0.7850155000         0.3925077500         2.7717808332         1.3710195777         4.9351828121         0.8556918628         0.9057901347
        0.7900099000         0.3950049500         2.7721443267         1.3710195777         4.9428384445         0.8556918628         0.9115529231
        0.7950182000         0.3975091000         2.7725088335         1.3812288851         4.9555978318         1.1216411597         0.9173317501
        0.8000096000         0.4000048000         2.7728721120         1.3684672508         4.9530459543         0.7892045386         0.9230910770
        0.8050184000         0.4025092000         2.7732366585         1.3659149240         4.9555978318         0.7227172143         0.9288704808
        0.8100092000         0.4050046000         2.7735998966         1.3659149240         4.9504940769         0.7227172143         0.9346291154
        0.8150204000         0.4075102000         2.7739646211         1.3659149240         4.9683572191         0.7227172143         0.9404112885
        0.8200113000         0.4100056500         2.7743278697         1.3710195777         4.9658053416         0.8556918628         0.9461700385
