% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 3
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
0.0000000000         0.0000027500         0.0000063462         0.0800064135        
0.0050000000         0.0030086833         0.0069431385         -0.0529682350       
0.0100000000         0.0050263833         0.0115993848         0.0356815307        
0.0150000000         0.0075050667         0.0173194424         0.0578439721        
0.0200000000         0.0100030833         0.0230841154         -0.0308057935       
0.0250000000         0.0125037333         0.0288548654         0.2129810619        
0.0300000000         0.0150045333         0.0346259616         0.0800064135        
0.0350000000         0.0175033833         0.0403925577         0.0135190893        
0.0400000000         0.0200026833         0.0461601923         -0.0308057936       
0.0450000000         0.0225573500         0.0520555966         -0.0529682349       
0.0500000000         0.0250046833         0.0577033077         -0.0086433522       
0.0550000000         0.0275022000         0.0634668270         0.0800064135        
0.0600000000         0.0300034500         0.0692389616         -0.0972931178       
0.0650000000         0.0325029167         0.0750069808         0.0135190893        
0.0700000000         0.0350025667         0.0807754231         0.1243312963        
0.0750000000         0.0375025500         0.0865446347         -0.0972931178       
0.0800000000         0.0400044833         0.0923183462         0.0578439721        
0.0850000000         0.0425032667         0.0980847885         0.1464937377        
0.0900000000         0.0450033000         0.1038541154         -0.0308057935       
0.0950000000         0.0475028500         0.1096223270         -0.0308057936       
0.1000000000         0.0500030500         0.1153920385         -0.0972931178       
0.1050000000         0.0525023333         0.1211596346         -0.1416180006       
0.1100000000         0.0550033000         0.1269311154         0.0135190893        
0.1150000000         0.0575023833         0.1326982500         -0.0308057935       
0.1200000000         0.0600036500         0.1384704231         0.0578439721        
0.1250000000         0.0625037333         0.1442398654         0.3902805932        
0.1300000000         0.0650043167         0.1500104616         0.6119050073        
0.1350000000         0.0675270333         0.1558321348         0.3902805932        
0.1400000000         0.0700038833         0.1615479616         0.5232552417        
0.1450000000         0.0725039667         0.1673174039         0.5454176831        
0.1500000000         0.0750031667         0.1730848077         0.4567679174        
0.1550000000         0.0775035833         0.1788550192         0.6783923315        
0.1600000000         0.0800036667         0.1846244616         0.4789303589        
0.1650000000         0.0825036333         0.1903936346         0.6119050073        
0.1700000000         0.0850033000         0.1961621154         0.3459557104        
0.1750000000         0.0875378833         0.2020111734         0.4346054760        
0.1800000000         0.0900029667         0.2076998462         0.4567679174        
0.1850000000         0.0925046167         0.2134729039         0.5232552416        
0.1900000000         0.0950028500         0.2192380769         0.6340674487        
0.1950000000         0.0975060000         0.2250145962         0.3237932690        
0.2000000000         0.1000669000         0.2309243851         0.3902805932        
0.2050000000         0.1025090833         0.2365602116         0.3016308276        
0.2100000000         0.1050106000         0.2423329616         0.2129810619        
0.2150000000         0.1075097167         0.2481001732         0.2794683862        
0.2200000000         0.1100099833         0.2538700386         0.2794683862        
0.2250000000         0.1125079500         0.2596345962         0.2573059448        
0.2300000000         0.1150791667         0.2655681929         0.3459557104        
0.2350000000         0.1175068000         0.2711704424         0.2794683862        
0.2400000000         0.1200686167         0.2770823467         0.3459557104        
0.2450000000         0.1225079833         0.2827116731         0.1908186205        
0.2500000000         0.1250055667         0.2884753462         0.2794683862        
0.2550000000         0.1275056833         0.2942448654         0.3681181518        
0.2600000000         0.1300047500         0.3000119616         0.2573059448        
0.2650000000         0.1325094500         0.3057920578         0.3459557104        
0.2700000000         0.1350040500         0.3115488462         0.3237932690        
0.2750000000         0.1375078000         0.3173267500         0.2794683861        
0.2800000000         0.1400105500         0.3231023462         0.2573059448        
0.2850000000         0.1425073333         0.3288641731         0.3681181518        
0.2900000000         0.1450225000         0.3346684233         0.2794683862        
0.2950000000         0.1475111500         0.3404114809         0.3681181518        
0.3000000000         0.1500044167         0.3461651923         0.3016308276        
0.3050000000         0.1525064333         0.3519390962         0.2794683862        
0.3100000000         0.1550898667         0.3579008853         0.2794683861        
0.3150000000         0.1575122667         0.3634910578         0.3016308276        
0.3200000000         0.1600376167         0.3693188080         0.3016308276        
0.3250000000         0.1625148667         0.3750355578         0.3681181518        
0.3300000000         0.1650537667         0.3808945773         0.2129810619        
0.3350000000         0.1675061667         0.3865539808         0.3681181518        
0.3400000000         0.1700645500         0.3924579620         0.2794683862        
0.3450000000         0.1725047333         0.3980891731         0.3902805932        
0.3500000000         0.1750724667         0.4040147313         0.2794683862        
0.3550000000         0.1775066667         0.4096321347         0.2794683862        
0.3600000000         0.1800062667         0.4154004616         0.3681181518        
0.3650000000         0.1825111667         0.4211810193         0.3016308276        
0.3700000000         0.1850539000         0.4270488850         0.5232552417        
0.3750000000         0.1875087833         0.4327140193         0.2794683862        
0.3800000000         0.1900056167         0.4384759616         0.3902805932        
0.3850000000         0.1925070000         0.4442484039         0.3459557104        
0.3900000000         0.1950452333         0.4501058850         0.2573059448        
0.3950000000         0.1975127833         0.4558002501         0.1464937377        
0.4000000000         0.2000034000         0.4615478462         0.1243312963        
0.4050000000         0.2025080833         0.4673279039         0.1243312963        
0.4100000000         0.2050267000         0.4731401156         0.2794683862        
0.4150000000         0.2075104000         0.4788717501         0.2129810619        
0.4200000000         0.2100047833         0.4846280385         0.2351435034        
0.4250000000         0.2125049833         0.4903977500         0.3459557104        
0.4300000000         0.2150735833         0.4963253083         0.1908186205        
0.4350000000         0.2175282667         0.5019899810         0.3902805932        
0.4400000000         0.2200074333         0.5077111539         0.6119050073        
0.4450000000         0.2225097833         0.5134858270         0.4346054760        
0.4500000000         0.2250174500         0.5192727694         0.3459557104        
0.4550000000         0.2275094000         0.5250234423         0.3902805932        
0.4600000000         0.2300088000         0.5307913078         0.3016308276        
0.4650000000         0.2325079833         0.5365586731         0.4124430346        
0.4700000000         0.2350047333         0.5423204231         0.4346054760        
0.4750000000         0.2375057000         0.5480919039         0.4124430346        
0.4800000000         0.2400060667         0.5538620001         0.3237932690        
0.4850000000         0.2425087167         0.5596373655         0.4567679174        
0.4900000000         0.2450354167         0.5654682311         0.5232552417        
0.4950000000         0.2475082167         0.5711747116         0.3902805932        
0.5000000000         0.2500081333         0.5769437693         0.4346054760        
0.5050000000         0.2525041167         0.5827037500         0.5454176831        
0.5100000000         0.2550466167         0.5885710773         0.4789303589        
0.5150000000         0.2575172333         0.5942725194         0.4567679174        
0.5200000000         0.2600124667         0.6000307693         0.3902805932        
0.5250000000         0.2625068333         0.6057870193         0.6340674487        
0.5300000000         0.2650223000         0.6115919617         0.4124430346        
0.5350000000         0.2675072833         0.6173265577         0.5232552417        
0.5400000000         0.2700086167         0.6230988847         0.7005547729        
0.5450000000         0.2725040000         0.6288574808         0.3902805932        
0.5500000000         0.2750187833         0.6346608463         0.4567679175        
0.5550000000         0.2775040333         0.6403960577         0.3902805932        
0.5600000000         0.2800040333         0.6461653077         0.4789303588        
0.5650000000         0.2825054000         0.6519377116         0.4124430346        
0.5700000000         0.2850081667         0.6577133462         0.4789303588        
0.5750000000         0.2875196167         0.6635090194         0.3902805932        
0.5800000000         0.2900065667         0.6692481539         0.4124430346        
0.5850000000         0.2925068500         0.6750180577         0.6119050073        
0.5900000000         0.2950073833         0.6807885385         0.5897425659        
0.5950000000         0.2975045833         0.6865513270         0.3459557104        
0.6000000000         0.3000075333         0.6923273847         0.4346054760        
0.6050000000         0.3025058833         0.6980928270         0.3237932690        
0.6100000000         0.3050078000         0.7038665000         0.4124430346        
0.6150000000         0.3075084500         0.7096372500         0.4346054760        
0.6200000000         0.3100067167         0.7154025000         0.4567679174        
0.6250000000         0.3125085500         0.7211759808         0.4346054760        
0.6300000000         0.3150238000         0.7269804232         0.5675801245        
0.6350000000         0.3175053333         0.7327070577         0.5897425659        
0.6400000000         0.3200276000         0.7385276925         0.7670420971        
0.6450000000         0.3225052500         0.7442453654         0.5897425659        
0.6500000000         0.3250064833         0.7500174616         0.6562298901        
0.6550000000         0.3275043000         0.7557816731         0.5010928002        
0.6600000000         0.3300059833         0.7615548077         0.4124430346        
0.6650000000         0.3325037667         0.7673189423         0.5675801245        
0.6700000000         0.3350063667         0.7730941924         0.6340674487        
0.6750000000         0.3375047500         0.7788597116         0.7227172143        
0.6800000000         0.3400080167         0.7846365000         0.6783923315        
0.6850000000         0.3425050667         0.7903989424         0.6783923315        
0.6900000000         0.3450060333         0.7961704231         0.5454176831        
