% Bode Plot Result
% Input: Vcmd[V]  Output: Omega[rad/s]
Freq[Hz]             Gain[dB]             Phase[deg]
        0.1000000000        16.3892723430        -2.8939028801
        0.2000000000        16.2178555920        -4.8649709692
        0.3000000000        16.4646314640        -7.5571296084
        0.5000000000        16.3137010825        -9.4712235518
        0.7000000000        15.4208312002       -11.2111229026
        1.0000000000        14.8483310219       -13.9883302630
        2.0000000000        13.9113524769       -24.6345401324
        3.0000000000        13.3905777051       -33.2465802631
        5.0000000000        12.2907865254       -51.3638289593
        7.0000000000        10.2014556900       -68.7923530538
       10.0000000000         6.4626926122       -90.7971540266
       15.0000000000        -8.0630606587      -133.2623470780
