% f=15.00Hz  Gain=0.3952(-8.06dB)  Phase=-133.26deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.0541871692
        0.0050000000         0.2042957249         2.7963477207        -0.1206744935
        0.0100000000         0.3640576475         2.8902450178        -0.0541871692
        0.0150000000         0.4444597533         2.9383835146        -0.1871618177
        0.0200000000         0.4279754323         2.9284640853         0.0123001550
        0.0250000000         0.3181980515         2.8630574660         0.0787874792
        0.0300000000         0.1390576475         2.7586463122        -0.0541871692
        0.0350000000        -0.0703955093         2.2679639325        -0.0541871692
        0.0400000000        -0.2645033635         2.1699326868         1.7409705849
        0.0450000000        -0.4009529359         2.0989852816         0.0123001550
        0.0500000000        -0.4500000000         2.0730437205         0.2117621277
        0.0550000000        -0.4009529359         2.0989852816        -0.1206744935
        0.0600000000        -0.2645033635         2.1699326868         0.3447367761
        0.0650000000        -0.0703955093         2.2679639325        -0.2536491419
        0.0700000000         0.1390576475         2.7586463122        -0.1206744935
        0.0750000000         0.3181980515         2.8630574660        -1.7163702749
        0.0800000000         0.4279754323         2.9284640853        -0.2536491419
        0.0850000000         0.4444597533         2.9383835146         0.5441987488
        0.0900000000         0.3640576475         2.8902450178        -0.3866237904
        0.0950000000         0.2042957249         2.7963477207        -0.3866237904
        0.1000000000         0.0000000000         2.5000000000         0.1452748034
        0.1050000000        -0.2042957249         2.2006909874        -0.0541871692
        0.1100000000        -0.3640576475         2.1183436887         0.2117621277
        0.1150000000        -0.4444597533         2.0759860548         0.0123001550
        0.1200000000        -0.4279754323         2.0847223900        -0.1206744935
        0.1250000000        -0.3181980515         2.1422233970        -0.1206744935
        0.1300000000        -0.1390576475         2.2336583516         0.0787874792
        0.1350000000         0.0703955093         2.7193505720        -0.1871618177
        0.1400000000         0.2645033635         2.8314669659        -0.2536491419
        0.1450000000         0.4009529359         2.9122593257        -0.6525730873
        0.1500000000         0.4500000000         2.9417232131         0.0123001550
        0.1550000000         0.4009529359         2.9122593257        -0.1871618177
        0.1600000000         0.2645033635         2.8314669659        -0.1206744935
        0.1650000000         0.0703955093         2.7193505720        -0.1871618177
        0.1700000000        -0.1390576475         2.2336583516        -0.0541871692
        0.1750000000        -0.3181980515         2.1422233970        -0.1206744935
        0.1800000000        -0.4279754323         2.0847223900        -0.0541871692
        0.1850000000        -0.4444597533         2.0759860548        -0.1206744935
        0.1900000000        -0.3640576475         2.1183436887        -0.0541871692
        0.1950000000        -0.2042957249         2.2006909874        -0.0541871692
