% f=7.00Hz  Gain=3.2365(10.20dB)  Phase=-68.79deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.1206744935
        0.0050000000         0.0981644586         2.7351961460        -0.1206744935
        0.0100000000         0.1916006812         2.7889828029        -0.1206744935
        0.0150000000         0.2758081741         2.8380965832        -0.3201364662
        0.0200000000         0.3467309592         2.8799503393        -0.1871618177
        0.0250000000         0.4009529359         2.9122593257        -0.1206744935
        0.0300000000         0.4358624225         2.9332068281        -0.1871618177
        0.0350000000         0.4497779522         2.9415893042         0.0123001550
        0.0400000000         0.4420292628         2.9369193306        -0.1871618177
        0.0450000000         0.4129895816         2.9194688702         3.0042297452
        0.0500000000         0.3640576475         2.8902450178         1.1425846668
        0.0550000000         0.2975903394         2.8509026551         1.4750212880
        0.0600000000         0.2167891533         2.8036092209         1.6744832606
        0.0650000000         0.1255459977         2.7508827126         1.7409705849
        0.0700000000         0.0282557338         2.5000000000         1.1425846668
        0.0750000000        -0.0703955093         2.2679639325         1.4750212880
        0.0800000000        -0.1656560487         2.2202616783         1.2755593153
        0.0850000000        -0.2529375200         2.1758666348         0.1452748034
        0.0900000000        -0.3280358823         2.1371174876        -0.4531111146
        0.0950000000        -0.3873339122         2.1061463881         0.0123001550
        0.1000000000        -0.4279754323         2.0847223900        -0.1871618177
        0.1050000000        -0.4480028841         2.0741047125        -0.0541871692
        0.1100000000        -0.4464516156         2.0749285652        -0.1206744935
        0.1150000000        -0.4233963460         2.0871443917        -0.1206744935
        0.1200000000        -0.3799475665         2.1100226865        -2.7801674625
        0.1250000000        -0.3181980515         2.1422233970        -1.9158322476
        0.1300000000        -0.2411220577         2.1819161471        -1.4504209780
        0.1350000000        -0.1524320641         2.2269297288        -1.8493449234
        0.1400000000        -0.0563999551         2.5000000000        -1.6498829507
        0.1450000000         0.0423487410         2.5000000000        -1.3174463296
        0.1500000000         0.1390576475         2.7586463122        -1.3839336538
        0.1550000000         0.2290686371         2.8107595399        -1.1844716811
        0.1600000000         0.3080461977         2.8570649254         0.2117621277
        0.1650000000         0.3721862584         2.8950842116         0.2117621277
        0.1700000000         0.4183994186         2.9227136473        -0.4531111146
        0.1750000000         0.4444597533         2.9383835146        -0.1871618177
        0.1800000000         0.4491120278         2.9411877384         0.0123001550
        0.1850000000         0.4321321586         2.9309629392        -0.0541871692
        0.1900000000         0.3943380060         2.9083030237        -0.0541871692
        0.1950000000         0.3375499813         2.8745066394         2.8712550967
        0.2000000000         0.2645033635         2.8314669659         1.3420466395
        0.2050000000         0.1787165508         2.7815222962         1.0096100184
        0.2100000000         0.0843215916         2.7272892259         1.4750212880
        0.2150000000        -0.0141348416         2.5000000000         1.4750212880
        0.2200000000        -0.1119104492         2.2472691881         1.0096100184
        0.2250000000        -0.2042957249         2.2006909874         0.9431226942
        0.2300000000        -0.2868407954         2.1584377317         0.0787874792
        0.2350000000        -0.3555697556         2.1227785450        -0.3866237904
        0.2400000000        -0.4071721736         2.0957090592         0.2117621277
        0.2450000000        -0.4391625429         2.0787964297        -0.1871618177
        0.2500000000        -0.4500000000         2.0730437205        -0.3866237904
        0.2550000000        -0.4391625429         2.0787964297        -0.1206744935
        0.2600000000        -0.4071721736         2.0957090592        -0.7855477357
        0.2650000000        -0.3555697556         2.1227785450        -2.9131421110
        0.2700000000        -0.2868407954         2.1584377317        -1.3174463296
        0.2750000000        -0.2042957249         2.2006909874        -1.5833956265
        0.2800000000        -0.1119104492         2.2472691881        -1.9823195718
        0.2850000000        -0.0141348416         2.5000000000        -1.7828575991
        0.2900000000         0.0843215916         2.7272892259        -1.4504209780
        0.2950000000         0.1787165508         2.7815222962        -1.4504209780
        0.3000000000         0.2645033635         2.8314669659        -0.2536491419
        0.3050000000         0.3375499813         2.8745066394         0.4112241003
        0.3100000000         0.3943380060         2.9083030237        -0.1206744935
        0.3150000000         0.4321321586         2.9309629392        -0.1871618177
        0.3200000000         0.4491120278         2.9411877384        -0.0541871692
        0.3250000000         0.4444597533         2.9383835146        -0.1871618177
        0.3300000000         0.4183994186         2.9227136473        -0.2536491419
